FAO_name,Taxon_code,mar_category
Mangrove red snapper,F,
Marble goby,F,
Marbled spinefoot,F,
Marine fishes nei,F,
Masu(=Cherry) salmon,F,salmon
Meagre,F,
Metapenaeus shrimps nei,F,
Mi-iuy (brown) croaker,F,
Milkfish,F,
Mojarras(=Silver-biddies) nei,F,
Mozambique tilapia,F,
Mullets nei,F,
Nile perch,F,
Nile tilapia,F,
Okhotsk atka mackerel,F,
Orange-spotted grouper,F,
Orbicular batfish,F,
Pacific bluefin tuna,F,
Pangas catfishes nei,F,
Papuan black snapper,F,
Pargo breams nei,F,
Percoids nei,F,
Pollack,F,
Pompano,F,
Pompanos nei,F,
"Porgies, seabreams nei",F,
Rainbow trout,F,salmon
Red drum,F,
Red porgy,F,
Red swamp crawfish,F,
Righteye flounders nei,F,
River eels nei,F,
Russell's snapper,F,
Sabaki tilapia,F,
Salmonids nei,F,salmon
Salmonoids nei,F,salmon
Sargo breams nei,F,
Scats,F,
Sciaenas nei,F,
"Scorpionfishes, redfishes nei",F,
Sea trout,F,salmon
Seabasses nei,F,
Senegalese sole,F,
Sharpsnout seabream,F,
Shi drum,F,
Short-finned eel,F,
Silver barb,F,
Silver carp,F,
Silver seabream,F,
Silversides(=Sand smelts) nei,F,
Sixfinger threadfin,F,
Snappers nei,F,
"Snappers, jobfishes nei",F,
Snooks(=Robalos) nei,F,
Snubnose pompano,F,
So-iuy mullet,F,
Sobaity seabream,F,
Sockeye(=Red) salmon,F,salmon
Soles nei,F,
Southern bluefin tuna,F,
Spinefeet(=Rabbitfishes) nei,F,
Spotted coralgrouper,F,
Spotted rose snapper,F,
Spotted seabass,F,
Spotted wolffish,F,
Squaretail mullet,F,
Streaked spinefoot,F,
"Striped bass, hybrid",F,
Sturgeons nei,F,
Tarpon,F,
Thinlip grey mullet,F,
Tiger pufferfish,F,
Tilapias nei,F,
Torpedo-shaped catfishes nei,F,
Trumpet emperor,F,
Turbot,F,
Two-spot red snapper,F,
Waigieu seaperch,F,
White seabream,F,
White trevally,F,
White-spotted spinefoot,F,
Whitemouth croaker,F,
Yellowback seabream,F,
Yellowfin seabream,F,
Yellowfin tuna,F,
Longrayed whiptail,F,
Yellowtail amberjack,F,
Beluga,F,
Striped bass,F,
Pink dentex,F,
Trouts nei,F,salmon
Pufferfishes nei,F,
Emperor red snapper,F,
Giant trevally,F,
Starry sturgeon,F,
Speckled longfin eel,F,
Malabar blood snapper,F,
Crimson snapper,F,
[Oplegnathus fasciatus],F,
Convict grouper,F,
Jack and horse mackerels nei,F,
Pacific chub mackerel,F,
Potato grouper,F,
Bluespotted seabream,F,
Redbanded seabream,F,
Aquatic invertebrates nei,INV,
Marine molluscs nei,MOLL,
[Trochita spp],MOLL,
Japanese sea cucumber,NS-INV,
Jellyfishes nei,NS-INV,
Sand fish,NS-INV,
Sandfish,NS-INV,
Sea cucumbers nei,NS-INV,
American bull frog,OTHER,
Green turtle,OTHER,
Akiami paste shrimp,SH,
Atlantic ditch shrimp,SH,
Baltic prawn,SH,
Banana prawn,SH,
Blue shrimp,SH,
Brine shrimp,SH,
Brown tiger prawn,SH,
Caramote prawn,SH,
Common prawn,SH,
Eastern king prawn,SH,
Eastern school shrimp,SH,
Fleshy prawn,SH,
Giant river prawn,SH,
Giant tiger prawn,SH,
Greasyback shrimp,SH,
Green tiger prawn,SH,
Indian white prawn,SH,
Kuruma prawn,SH,
Northern white shrimp,SH,
Palaemonid shrimps nei,SH,
Penaeus shrimps nei,SH,
Redtail prawn,SH,
Southern white shrimp,SH,
Speckled shrimp,SH,
Whiteleg shrimp,SH,
Red bait,TUN,
Sea squirts nei,TUN,
Sea urchins nei,URCH,
Stony sea urchin,URCH,
