iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
KWT,sheep,mixed,milk,0.025995707795351885,0.08381487651901867,0.13096074456096668,0.24077132887533725
LAO,sheep,mixed,milk,0.8696777973999515,3.5926236466899764,4.381248349621923,8.843549793711851
LBN,sheep,mixed,milk,31.836733363006292,102.64740227871047,160.3865660604851,294.87070170220187
LBR,sheep,mixed,milk,0,0,0,0
LBY,sheep,mixed,milk,301.73074016978904,972.8346282552393,1520.0541066488113,2794.6194750738396
LCA,sheep,mixed,milk,0,0,0,0
LIE,sheep,mixed,milk,0,0,0,0
LKA,sheep,mixed,milk,0,0,0,0
LSO,sheep,mixed,milk,0,0,0,0
LTU,sheep,mixed,milk,0,0,0,0
LUX,sheep,mixed,milk,0,0,0,0
LVA,sheep,mixed,milk,0,0,0,0
MAC,sheep,mixed,milk,0,0,0,0
MAF,sheep,mixed,milk,0,0,0,0
MAR,sheep,mixed,milk,101.15389576713434,326.13850524416114,509.59141444400177,936.8838154552973
MCO,sheep,mixed,milk,0,0,0,0
MDA,sheep,mixed,milk,53.200186699574516,337.69388030964177,402.01652417814495,792.9105911873612
MDG,sheep,mixed,milk,0,0,0,0
MDV,sheep,mixed,milk,0,0,0,0
MEX,sheep,mixed,milk,0.06049214491871145,0.24989198404706994,0.3047463220086219,0.6151304509744033
MHL,sheep,mixed,milk,0,0,0,0
MKD,sheep,mixed,milk,19.48502965895214,123.68331168906646,378.62238272163194,521.7907240696505
MLI,sheep,mixed,milk,1005.8939396432402,4155.330128501042,5067.475766464686,10228.699834608968
MLT,sheep,mixed,milk,0.4199548383877587,2.6657082940482413,8.160331512392574,11.245994644828574
MMR,sheep,mixed,milk,37.06534007936594,153.1162663228215,186.72715405222135,376.9087604544088
MNE,sheep,mixed,milk,8.884635676673291,56.39617608366924,172.64135535817113,237.92216711851364
MNG,sheep,mixed,milk,139.8496318240483,577.7163632026175,704.5321502470946,1422.0981452737603
MNP,sheep,mixed,milk,0,0,0,0
MOZ,sheep,mixed,milk,0,0,0,0
MRT,sheep,mixed,milk,99.43798430436792,410.7765598467591,500.9470242033648,1011.1615683544918
MSR,sheep,mixed,milk,0,0,0,0
MTQ,sheep,mixed,milk,0,0,0,0
MUS,sheep,mixed,milk,0,0,0,0
MWI,sheep,mixed,milk,3.562748085336936e-4,0.001471764952129112,0.0017948353074745272,0.003622875068137333
MYS,sheep,mixed,milk,0,0,0,0
MYT,sheep,mixed,milk,0.01979495714579773,0.08177261893981934,0.09972270602416994,0.201290282109787
NAM,sheep,mixed,milk,0,0,0,0
NCL,sheep,mixed,milk,0,0,0,0
NER,sheep,mixed,milk,515.3288710713608,2128.8144799925235,2596.1152195030772,5240.258570566962
NFK,sheep,mixed,milk,0,0,0,0
NGA,sheep,mixed,milk,0,0,0,0
NIC,sheep,mixed,milk,0,0,0,0
NIU,sheep,mixed,milk,0,0,0,0
NLD,sheep,mixed,milk,0,0,0,0
NOR,sheep,mixed,milk,0,0,0,0
NPL,sheep,mixed,milk,87.6262142701427,361.98234610336027,441.4418854919028,891.0504458654058
NRU,sheep,mixed,milk,0,0,0,0
NZL,sheep,mixed,milk,0,0,0,0
OMN,sheep,mixed,milk,63.531821905857406,204.83811596850754,320.059556200793,588.4294940751579
PAK,sheep,mixed,milk,150.20288446704387,620.4854673197781,756.6895942924124,1527.3779460792343
PAN,sheep,mixed,milk,0,0,0,0
PCN,sheep,mixed,milk,0,0,0,0
PER,sheep,mixed,milk,0,0,0,0
PHL,sheep,mixed,milk,0,0,0,0
PLW,sheep,mixed,milk,0,0,0,0
PNG,sheep,mixed,milk,0,0,0,0
POL,sheep,mixed,milk,5.040479749052967,31.994984805071734,4.23214084723171,41.26760540135641
PRI,sheep,mixed,milk,0,0,0,0
PRK,sheep,mixed,milk,0,0,0,0
PRT,sheep,mixed,milk,26.85916528466438,170.49142699585448,811.8639380754976,1009.2145303560164
PRY,sheep,mixed,milk,0,0,0,0
PSE,sheep,mixed,milk,156.0902097832183,503.2631448929961,786.3486638953065,1445.702018571521
PYF,sheep,mixed,milk,0,0,0,0
QAT,sheep,mixed,milk,48.675104029037314,156.9373631162916,245.21462986920562,450.8270970145345
REU,sheep,mixed,milk,0,0,0,0
ROU,sheep,mixed,milk,111.65269627276929,708.7274423359662,9702.816174837633,10523.19631344637
RUS,sheep,mixed,milk,24.5717093867551,155.97155580509533,40.759117370669514,221.30238256251994
RWA,sheep,mixed,milk,39.08343312116716,161.45297309499784,196.89386962804616,397.43027584421117
SAU,sheep,mixed,milk,221.08683604012168,712.82405574648806,1113.7875871038875,2047.6984788904972
SDN,sheep,mixed,milk,2317.392318700376,7471.693118227913,11674.520497231115,21463.605934159405
SEN,sheep,mixed,milk,96.84466941149465,400.063621750255,487.8824655490914,984.790756710841
SGP,sheep,mixed,milk,0.13171096441662594,0.5440956716455077,0.6635313068847655,1.3393379429468992
SHN,sheep,mixed,milk,0,0,0,0
SJM,sheep,mixed,milk,1.3413215081083623,8.51418186507071,15.20389618762627,25.059399560805346
SLB,sheep,mixed,milk,0,0,0,0
SLE,sheep,mixed,milk,0,0,0,0
SLV,sheep,mixed,milk,0,0,0,0
SMR,sheep,mixed,milk,0.009561721076744741,0.060694048144576185,0.1857981065650291,0.25605387578635
SOM,sheep,mixed,milk,369.6767843279265,1527.12827782821,1862.3515583270855,3759.156620483222
SPM,sheep,mixed,milk,0,0,0,0
SRB,sheep,mixed,milk,34.34791721979082,218.0270815966571,667.4298416224195,919.8048404388675
SSD,sheep,mixed,milk,840.179146492244,3470.7652399175818,4232.640536484856,8543.58492289468
STP,sheep,mixed,milk,0,0,0,0
SUR,sheep,mixed,milk,0,0,0,0
SVK,sheep,mixed,milk,28.23366917585605,179.21623758981676,213.35266379740088,420.8025705630737
SVN,sheep,mixed,milk,0.001769124288384587,0.011229705810400906,0.011388149631358943,0.024386979730144434
SWE,sheep,mixed,milk,0,0,0,0
SWZ,sheep,mixed,milk,0,0,0,0
SXM,sheep,mixed,milk,0,0,0,0
SYC,sheep,mixed,milk,0,0,0,0
SYR,sheep,mixed,milk,1227.719233630963,3958.3894686338353,6184.983544740367,11371.092247005165
TCA,sheep,mixed,milk,0,0,0,0
TCD,sheep,mixed,milk,300.51982399305837,1241.4420940771176,1513.9537732647777,3055.915691334954
TGO,sheep,mixed,milk,0,0,0,0
THA,sheep,mixed,milk,0,0,0,0
TJK,sheep,mixed,milk,0,0,0,0
TKL,sheep,mixed,milk,0,0,0,0
TKM,sheep,mixed,milk,0,0,0,0
TLS,sheep,mixed,milk,0,0,0,0
TON,sheep,mixed,milk,0,0,0,0
TTO,sheep,mixed,milk,0,0,0,0
TUN,sheep,mixed,milk,53.05098902501669,171.04600995471375,267.2593905542402,491.3563895339707
TUR,sheep,mixed,milk,2880.1450865190895,9286.110102630819,14509.547035360652,26675.80222451056
TUV,sheep,mixed,milk,0,0,0,0
TWN,sheep,mixed,milk,0,0,0,0
TZA,sheep,mixed,milk,0,0,0,0
UGA,sheep,mixed,milk,0,0,0,0
UKR,sheep,mixed,milk,45.8988601475958,291.34792839279953,653.1415352277294,990.3883237681247
URY,sheep,mixed,milk,0,0,0,0
USA,sheep,mixed,milk,0,0,0,0
UZB,sheep,mixed,milk,0,0,0,0
VCT,sheep,mixed,milk,0,0,0,0
VEN,sheep,mixed,milk,0,0,0,0
VGB,sheep,mixed,milk,0,0,0,0
VIR,sheep,mixed,milk,0,0,0,0
VNM,sheep,mixed,milk,17.985253192043245,74.29676381599728,90.60580953170401,182.88782653974454
VUT,sheep,mixed,milk,0,0,0,0
WLF,sheep,mixed,milk,0,0,0,0
WSM,sheep,mixed,milk,0,0,0,0
XKO,sheep,mixed,milk,2.696105830160027,17.11382038287977,56.90370455160705,76.71363076464685
XMI,sheep,mixed,milk,0.1550046858955325,0.6403216243543407,2.0079772192296397,2.8033035294795132
YEM,sheep,mixed,milk,109.69011573105676,353.66082653841977,552.5950414662809,1015.9459837357574
ZAF,sheep,mixed,milk,0,0,0,0
ZMB,sheep,mixed,milk,0,0,0,0
ZWE,sheep,mixed,milk,0,0,0,0
NA,NA,NA,NA,0,0,0,0
