iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
ISL,sheep,grassland,meat,0,0,114.13310072584977,114.13310072584977
ISR,sheep,grassland,meat,0,0,11.510329126365509,11.510329126365509
ITA,sheep,grassland,meat,0,0,0,0
JAM,sheep,grassland,meat,0,0,0.24341724854351432,0.24341724854351432
JEY,sheep,grassland,meat,0,0,0.3557801706291728,0.3557801706291728
JOR,sheep,grassland,meat,0,0,0,0
JPN,sheep,grassland,meat,0,0,0,0
KAZ,sheep,grassland,meat,0,0,16584.203823886623,16584.203823886623
KEN,sheep,grassland,meat,0,0,4192.778906530914,4192.778906530914
KGZ,sheep,grassland,meat,0,0,2984.8492514835425,2984.8492514835425
KHM,sheep,grassland,meat,0,0,2.3694752716832372,2.3694752716832372
KIR,sheep,grassland,meat,0,0,0,0
KNA,sheep,grassland,meat,0,0,0.10123426809969265,0.10123426809969265
KOR,sheep,grassland,meat,0,0,0.0064289782017891576,0.0064289782017891576
KWT,sheep,grassland,meat,0,0,13.34266069101695,13.34266069101695
LAO,sheep,grassland,meat,0,0,0.5997161916093786,0.5997161916093786
LBN,sheep,grassland,meat,0,0,31.820789512934383,31.820789512934383
LBR,sheep,grassland,meat,0,0,89.53173884397421,89.53173884397421
LBY,sheep,grassland,meat,0,0,359.64144458022434,359.64144458022434
LCA,sheep,grassland,meat,0,0,0.06628637295815089,0.06628637295815089
LIE,sheep,grassland,meat,0,0,1.4896191831668344,1.4896191831668344
LKA,sheep,grassland,meat,0,0,0.41901811973741465,0.41901811973741465
LSO,sheep,grassland,meat,0,0,1014.361052765011,1014.361052765011
LTU,sheep,grassland,meat,0,0,11.855639853990064,11.855639853990064
LUX,sheep,grassland,meat,0,0,4.50335255234234,4.50335255234234
LVA,sheep,grassland,meat,0,0,15.586448845564108,15.586448845564108
MAC,sheep,grassland,meat,0,0,0,0
MAF,sheep,grassland,meat,0,0,0,0
MAR,sheep,grassland,meat,0,0,5480.901171563625,5480.901171563625
MCO,sheep,grassland,meat,0,0,0,0
MDA,sheep,grassland,meat,0,0,0,0
MDG,sheep,grassland,meat,0,0,631.976883174761,631.976883174761
MDV,sheep,grassland,meat,0,0,0,0
MEX,sheep,grassland,meat,0,0,4266.9498153680315,4266.9498153680315
MHL,sheep,grassland,meat,0,0,0,0
MKD,sheep,grassland,meat,0,0,0,0
MLI,sheep,grassland,meat,0,0,0,0
MLT,sheep,grassland,meat,0,0,0,0
MMR,sheep,grassland,meat,0,0,9.468935733879608,9.468935733879608
MNE,sheep,grassland,meat,0,0,0,0
MNG,sheep,grassland,meat,0,0,24988.3915066411,24988.3915066411
MNP,sheep,grassland,meat,0,0,0,0
MOZ,sheep,grassland,meat,0,0,81.84034568290649,81.84034568290649
MRT,sheep,grassland,meat,0,0,140.56889603885742,140.56889603885742
MSR,sheep,grassland,meat,0,0,0.6695821422441157,0.6695821422441157
MTQ,sheep,grassland,meat,0,0,2.767418041222992,2.767418041222992
MUS,sheep,grassland,meat,0,0,9.180393692511756e-18,9.180393692511756e-18
MWI,sheep,grassland,meat,0,0,50.749918876801765,50.749918876801765
MYS,sheep,grassland,meat,0,0,1.408424845735669,1.408424845735669
MYT,sheep,grassland,meat,0,0,0,0
NAM,sheep,grassland,meat,0,0,658.6396496449876,658.6396496449876
NCL,sheep,grassland,meat,0,0,0.04435928462383041,0.04435928462383041
NER,sheep,grassland,meat,0,0,370.6232017493981,370.6232017493981
NFK,sheep,grassland,meat,0,0,0,0
NGA,sheep,grassland,meat,0,0,10309.590687538739,10309.590687538739
NIC,sheep,grassland,meat,0,0,2.3543882870804853,2.3543882870804853
NIU,sheep,grassland,meat,0,0,0,0
NLD,sheep,grassland,meat,0,0,311.3669049849916,311.3669049849916
NOR,sheep,grassland,meat,0,0,38.56942815880074,38.56942815880074
NPL,sheep,grassland,meat,0,0,0,0
NRU,sheep,grassland,meat,0,0,0,0
NZL,sheep,grassland,meat,0,0,29957.2030560495,29957.2030560495
OMN,sheep,grassland,meat,0,0,0,0
PAK,sheep,grassland,meat,0,0,1881.5723050479357,1881.5723050479357
PAN,sheep,grassland,meat,0,0,10.75161914931552,10.75161914931552
PCN,sheep,grassland,meat,0,0,0,0
PER,sheep,grassland,meat,0,0,7154.412302164265,7154.412302164265
PHL,sheep,grassland,meat,0,0,0.5727040237144615,0.5727040237144615
PLW,sheep,grassland,meat,0,0,0,0
PNG,sheep,grassland,meat,0,0,0.030535971513444105,0.030535971513444105
POL,sheep,grassland,meat,0,0,27.364406518204085,27.364406518204085
PRI,sheep,grassland,meat,0,0,1.1604127365412926,1.1604127365412926
PRK,sheep,grassland,meat,0,0,0.3410062609056075,0.3410062609056075
PRT,sheep,grassland,meat,0,0,511.82110126287245,511.82110126287245
PRY,sheep,grassland,meat,0,0,390.5409939372107,390.5409939372107
PSE,sheep,grassland,meat,0,0,0,0
PYF,sheep,grassland,meat,0,0,0,0
QAT,sheep,grassland,meat,0,0,0.1269834464849055,0.1269834464849055
