"tier_5","pressure","sum","global_total","prop_of_global","tier_2"
"sugc produce feed","ghg",0,6380945647.73425,0,"crop feed"
"sugc produce feed","nutrient",0,140297444.545298,0,"crop feed"
"sugc produce feed","water",0,1389901245020.57,0,"crop feed"
"swpo produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"swpo produce feed","ghg",0,6380945647.73425,0,"crop feed"
"swpo produce feed","nutrient",0,140297444.545298,0,"crop feed"
"swpo produce feed","water",0,1389901245020.57,0,"crop feed"
"tnut produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"tnut produce feed","ghg",0,6380945647.73425,0,"crop feed"
"tnut produce feed","nutrient",0,140297444.545298,0,"crop feed"
"tnut produce feed","water",0,1389901245020.57,0,"crop feed"
"vege produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"vege produce feed","ghg",0,6380945647.73425,0,"crop feed"
"vege produce feed","nutrient",0,140297444.545298,0,"crop feed"
"vege produce feed","water",0,1389901245020.57,0,"crop feed"
"whea produce feed","disturbance",416900.34829062,17484423.1699834,0.0238441007883141,"crop feed"
"whea produce feed","ghg",73806960.8994205,6380945647.73425,0.0115667747343418,"crop feed"
"whea produce feed","nutrient",1536880.28554801,140297444.545298,0.0109544424741949,"crop feed"
"whea produce feed","water",54078950172.0475,1389901245020.57,0.0389084838694759,"crop feed"
"xfru produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"xfru produce feed","ghg",0,6380945647.73425,0,"crop feed"
"xfru produce feed","nutrient",0,140297444.545298,0,"crop feed"
"xfru produce feed","water",0,1389901245020.57,0,"crop feed"
"xmil produce feed","disturbance",101979.284846347,17484423.1699834,0.00583257931101902,"crop feed"
"xmil produce feed","ghg",3416174.9177521,6380945647.73425,0.000535371260992502,"crop feed"
"xmil produce feed","nutrient",68732.6706145381,140297444.545298,0.000489906789373818,"crop feed"
"xmil produce feed","water",1042814201.1227,1389901245020.57,0.000750279348880835,"crop feed"
"xoil produce feed","disturbance",385730.091000001,17484423.1699834,0.0220613563999187,"crop feed"
"xoil produce feed","ghg",35180664.6757511,6380945647.73425,0.00551339356545736,"crop feed"
"xoil produce feed","nutrient",750487.675572411,140297444.545298,0.00534926119292288,"crop feed"
"xoil produce feed","water",30266566825.815,1389901245020.57,0.0217760556257124,"crop feed"
"xpul produce feed","disturbance",64639.6425685028,17484423.1699834,0.00369698456392165,"crop feed"
"xpul produce feed","ghg",5054411.30784678,6380945647.73425,0.00079211007065097,"crop feed"
"xpul produce feed","nutrient",84960.1240416433,140297444.545298,0.000605571429451178,"crop feed"
"xpul produce feed","water",1420712466.71507,1389901245020.57,0.00102216792150153,"crop feed"
"yams produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"yams produce feed","ghg",0,6380945647.73425,0,"crop feed"
"yams produce feed","nutrient",0,140297444.545298,0,"crop feed"
"yams produce feed","water",0,1389901245020.57,0,"crop feed"
