iso3c,country,population
IND,India,1322173695.5011384
IDN,Indonesia,258763256.81476736
IRN,Iran,79075238.61552182
IRQ,Iraq,36767496.36554041
IRL,Ireland,4710082.254605368
IMN,Isle of Man,73019.87276878208
ISR,Israel,8345974.694650977
ITA,Italy,60694960.9477512
JAM,Jamaica,2698183.471336961
JPN,Japan,126872735.97904277
JEY,Jersey,136511.44318282604
JOR,Jordan,7491499.819234378
KAZ,Kazakhstan,17944785.65913323
KEN,Kenya,47316460.26045053
KIR,Kiribati,70647.19987101853
XKO,Kosovo,1824847.8164314292
KWT,Kuwait,3147397.8855647147
KGZ,Kyrgyzstan,6352618.116579833
LAO,Laos,6949088.619232498
LVA,Latvia,2101648.8480818225
LBN,Lebanon,5869375.230773585
LSO,Lesotho,2044039.169617463
LBR,Liberia,4394255.020248238
LBY,Libya,6357672.492158599
LIE,Liechtenstein,38678.986951708794
LTU,Lithuania,2945110.718603246
LUX,Luxembourg,524585.4186359793
MAC,Macao,1791509.1514587402
MKD,Macedonia,2067276.5746567165
MDG,Madagascar,24333749.191457175
MWI,Malawi,18086119.37177682
MYS,Malaysia,30613223.59011126
MDV,Maldives,486377.42549180984
MLI,Mali,17792009.079209037
MLT,Malta,480977.09007561207
MHL,Marshall Islands,12492.428068071604
MTQ,Martinique,313133.45674425364
MRT,Mauritania,3761728.622933219
MUS,Mauritius,1199049.7633814812
MYT,Mayotte,416908.6664915085
MEX,Mexico,126481553.99917167
FSM,Micronesia,194204.67969030142
MDA,Moldova,4015974.8112782836
MCO,Monaco,404988.3484840393
MNG,Mongolia,2959803.422003347
MNE,Montenegro,646229.9934501061
MSR,Montserrat,18138.567509595305
MAR,Morocco,33679106.16817153
MOZ,Mozambique,27773163.578747697
MMR,Myanmar,55261558.61609368
"NAM",Namibia,2368583.4292236725
NRU,Nauru,24840.63059091568
NPL,Nepal,28615703.2435749
NLD,Netherlands,17822639.090241864
NCL,New Caledonia,364976.7087044893
NZL,New Zealand,4668349.301773117
NIC,Nicaragua,6317340.745750698
NER,Niger,19815177.792953365
NGA,Nigeria,183679053.1623119
NIU,Niue,1809.2111859004945
NFK,Norfolk Island,4762.681201100349
PRK,North Korea,25707369.926269166
MNP,Northern Mariana Islands,78794.77929964196
NOR,Norway,5363834.654860511
OMN,Oman,4548296.661812856
PAK,Pakistan,187374381.3297842
PLW,Palau,18000.663461862132
PSE,Palestina,4754751.707427204
PAN,Panama,4724796.42451799
PNG,Papua New Guinea,7612428.116670344
PRY,Paraguay,6787364.505937148
PER,Peru,30749212.9810812
PHL,Philippines,109412077.00210361
PCN,Pitcairn Islands,223.4520361525938
POL,Poland,38981271.08981134
PRT,Portugal,10106130.394789035
PRI,Puerto Rico,3458107.660364476
QAT,Qatar,2114938.648093357
COG,Republic of Congo,4224849.930789787
REU,Reunion,817023.8810125738
ROU,Romania,19910903.97440712
RUS,Russia,150343181.05816284
RWA,Rwanda,12628085.463889875
BLM,Saint-Barthélemy,34412.97262907028
MAF,Saint-Martin,79278.3796787262
SHN,Saint Helena,3879.337717080489
KNA,Saint Kitts and Nevis,64283.77516567707
LCA,Saint Lucia,171212.46457099915
SPM,Saint Pierre and Miquelon,12703.438507742248
VCT,Saint Vincent and the Grenadines,67565.02436473966
WSM,Samoa,178306.2129688915
SMR,San Marino,27063.2803440094
STP,São Tomé and Príncipe,368435.29785983264
SAU,Saudi Arabia,31932285.547996797
SEN,Senegal,15516589.555889368
SRB,Serbia,7129903.269000351
SYC,Seychelles,18715.169746428728
SLE,Sierra Leone,6036227.463977411
SGP,Singapore,6045314.520597458
SXM,Sint Maarten,50920.06176710129
SVK,Slovakia,5392967.792953641
SVN,Slovenia,2039340.7291485346
SLB,Solomon Islands,622960.9608490136
SOM,Somalia,10497937.74203863
ZAF,South Africa,54441988.423518434
KOR,South Korea,49942968.1195179
SSD,South Sudan,12312419.86031091
ESP,Spain,46176668.060728215
LKA,Sri Lanka,22188698.00361426
SDN,Sudan,40182288.30899062
SUR,Suriname,570439.0776736545
SJM,Svalbard and Jan Mayen,4409.305977247868
SWZ,Swaziland,1282170.3625377268
SWE,Sweden,10471341.914400455
CHE,Switzerland,9208113.237480575
SYR,Syria,18496567.959101412
TWN,Taiwan,23730347.84437914
TJK,Tajikistan,8541587.148311919
TZA,Tanzania,56494931.74140025
THA,Thailand,69139923.63310535
TLS,Timor-Leste,1412684.2032419518
TGO,Togo,7301648.511551321
TKL,Tokelau,5629.079882055521
TON,Tonga,97741.98499508202
TTO,Trinidad and Tobago,1436311.9024783373
TUN,Tunisia,11359072.812696468
TUR,Turkey,79026267.42699794
TKM,Turkmenistan,5549036.350123061
TCA,Turks and Caicos Islands,26870.863713156723
TUV,Tuvalu,0
UGA,Uganda,41967294.56467438
UKR,Ukraine,46206942.30381923
ARE,United Arab Emirates,8668119.493537232
GBR,United Kingdom,65433517.71814241
USA,United States,332040711.64332074
URY,Uruguay,3499955.16303397
UZB,Uzbekistan,29481070.161331445
VUT,Vanuatu,313043.2746220322
VEN,Venezuela,32345329.651018348
VNM,Vietnam,96445715.3241965
VIR,"Virgin Islands, U.S.",66950.09209215641
WLF,Wallis and Futuna,14211.463276296854
ESH,Western Sahara,445713.58199584845
YEM,Yemen,26458456.71389361
ZMB,Zambia,16334291.747720271
ZWE,Zimbabwe,15524051.581785899
XMI,Madeira Island,144777.6901186444
COD,Democratic Republic of the Congo,79614414.39055926
