iso3c,country,animal,system_1,system_2,product,tonnes_per_head,gapfilled
AIA,Anguilla,sheep,dairy,All systems,meat,0.0033317425066137544,rate gf with global mean
AIA,Anguilla,sheep,non-dairy,All systems,milk,0,rate gf with global mean
AIA,Anguilla,sheep,non-dairy,All systems,meat,0.0060631695734751365,rate gf with global mean
ATG,Antigua & Barbuda,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
ATG,Antigua & Barbuda,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
ATG,Antigua & Barbuda,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
ATG,Antigua & Barbuda,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
ATG,Antigua & Barbuda,cows,dairy,All systems,milk,0.4320286535949702,NA
ATG,Antigua & Barbuda,cows,dairy,All systems,meat,0.020384807376325198,NA
ATG,Antigua & Barbuda,cows,non-dairy,All systems,milk,0,NA
ATG,Antigua & Barbuda,cows,non-dairy,All systems,meat,0,NA
ATG,Antigua & Barbuda,goats,dairy,All systems,milk,0,NA
ATG,Antigua & Barbuda,goats,dairy,All systems,meat,0,NA
ATG,Antigua & Barbuda,goats,non-dairy,All systems,milk,0,NA
ATG,Antigua & Barbuda,goats,non-dairy,All systems,meat,0.004057910486154776,NA
ATG,Antigua & Barbuda,sheep,dairy,All systems,milk,0,NA
ATG,Antigua & Barbuda,sheep,dairy,All systems,meat,0,NA
ATG,Antigua & Barbuda,sheep,non-dairy,All systems,milk,0,NA
ATG,Antigua & Barbuda,sheep,non-dairy,All systems,meat,0.007793437971655945,NA
ARG,Argentina,buffaloes,dairy,All systems,milk,0,NA
ARG,Argentina,buffaloes,dairy,All systems,meat,0,NA
ARG,Argentina,buffaloes,non-dairy,All systems,milk,0,NA
ARG,Argentina,buffaloes,non-dairy,All systems,meat,0.07596705676368315,NA
ARG,Argentina,cows,dairy,All systems,milk,1.889952301498217,NA
ARG,Argentina,cows,dairy,All systems,meat,0.04548324777830001,NA
ARG,Argentina,cows,non-dairy,All systems,milk,0,NA
ARG,Argentina,cows,non-dairy,All systems,meat,0.05421232600794932,NA
ARG,Argentina,goats,dairy,All systems,milk,0,NA
ARG,Argentina,goats,dairy,All systems,meat,0,NA
ARG,Argentina,goats,non-dairy,All systems,milk,0,NA
ARG,Argentina,goats,non-dairy,All systems,meat,0.0073919097472128215,NA
ARG,Argentina,sheep,dairy,All systems,milk,0,NA
ARG,Argentina,sheep,dairy,All systems,meat,0,NA
ARG,Argentina,sheep,non-dairy,All systems,milk,0,NA
ARG,Argentina,sheep,non-dairy,All systems,meat,0.00892253091852279,NA
ARM,Armenia,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
ARM,Armenia,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
ARM,Armenia,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
ARM,Armenia,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
ARM,Armenia,cows,dairy,All systems,milk,0.7798715927688603,NA
ARM,Armenia,cows,dairy,All systems,meat,0.06276627979205507,NA
ARM,Armenia,cows,non-dairy,All systems,milk,0,NA
ARM,Armenia,cows,non-dairy,All systems,meat,0,NA
ARM,Armenia,goats,dairy,All systems,milk,0.050095721489175855,NA
ARM,Armenia,goats,dairy,All systems,meat,0.010039720428025773,NA
ARM,Armenia,goats,non-dairy,All systems,milk,0,NA
ARM,Armenia,goats,non-dairy,All systems,meat,0,NA
ARM,Armenia,sheep,dairy,All systems,milk,0.062370251326583866,NA
ARM,Armenia,sheep,dairy,All systems,meat,0.005921742767908065,NA
ARM,Armenia,sheep,non-dairy,All systems,milk,0,NA
ARM,Armenia,sheep,non-dairy,All systems,meat,0,NA
ABW,Aruba,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
ABW,Aruba,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
ABW,Aruba,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
ABW,Aruba,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
ABW,Aruba,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
ABW,Aruba,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
ABW,Aruba,cows,non-dairy,All systems,milk,0,rate gf with global mean
ABW,Aruba,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
ABW,Aruba,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
ABW,Aruba,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
ABW,Aruba,goats,non-dairy,All systems,milk,0,rate gf with global mean
ABW,Aruba,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
ABW,Aruba,sheep,dairy,All systems,milk,0.022573503367670982,rate gf with global mean
ABW,Aruba,sheep,dairy,All systems,meat,0.0033317425066137544,rate gf with global mean
ABW,Aruba,sheep,non-dairy,All systems,milk,0,rate gf with global mean
ABW,Aruba,sheep,non-dairy,All systems,meat,0.0060631695734751365,rate gf with global mean
AUS,Australia,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
AUS,Australia,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
AUS,Australia,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
AUS,Australia,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
AUS,Australia,cows,dairy,All systems,milk,2.511027318680519,NA
AUS,Australia,cows,dairy,All systems,meat,0.06374171063905033,NA
AUS,Australia,cows,non-dairy,All systems,milk,0,NA
AUS,Australia,cows,non-dairy,All systems,meat,0.06025479412412201,NA
AUS,Australia,goats,dairy,All systems,milk,0,NA
AUS,Australia,goats,dairy,All systems,meat,0.011861124581145795,NA
AUS,Australia,goats,non-dairy,All systems,milk,0,NA
AUS,Australia,goats,non-dairy,All systems,meat,0.01186109856522925,NA
AUS,Australia,sheep,dairy,All systems,milk,0,NA
AUS,Australia,sheep,dairy,All systems,meat,0,NA
AUS,Australia,sheep,non-dairy,All systems,milk,0,NA
AUS,Australia,sheep,non-dairy,All systems,meat,0.013912894145131865,NA
AUT,Austria,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
AUT,Austria,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
AUT,Austria,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
AUT,Austria,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
AUT,Austria,cows,dairy,All systems,milk,2.0376604610770417,NA
AUT,Austria,cows,dairy,All systems,meat,0.08832397485131822,NA
AUT,Austria,cows,non-dairy,All systems,milk,0,NA
AUT,Austria,cows,non-dairy,All systems,meat,0.10118294936671496,NA
AUT,Austria,goats,dairy,All systems,milk,0.2595438866224267,NA
AUT,Austria,goats,dairy,All systems,meat,0.010981599896725584,NA
AUT,Austria,goats,non-dairy,All systems,milk,0,NA
AUT,Austria,goats,non-dairy,All systems,meat,0,NA
AUT,Austria,sheep,dairy,All systems,milk,0.16036364005119705,NA
AUT,Austria,sheep,dairy,All systems,meat,0.01236484754959396,NA
AUT,Austria,sheep,non-dairy,All systems,milk,0,NA
AUT,Austria,sheep,non-dairy,All systems,meat,0.012364862851155766,NA
AZE,Azerbaijan,buffaloes,dairy,All systems,milk,0.06273589378925133,NA
AZE,Azerbaijan,buffaloes,dairy,All systems,meat,0.00825563498429757,NA
AZE,Azerbaijan,buffaloes,non-dairy,All systems,milk,0,NA
AZE,Azerbaijan,buffaloes,non-dairy,All systems,meat,0,NA
AZE,Azerbaijan,cows,dairy,All systems,milk,0.44796612597260294,NA
AZE,Azerbaijan,cows,dairy,All systems,meat,0.06276630300201706,NA
AZE,Azerbaijan,cows,non-dairy,All systems,milk,0,NA
AZE,Azerbaijan,cows,non-dairy,All systems,meat,0,NA
AZE,Azerbaijan,goats,dairy,All systems,milk,0.01870479578031295,NA
AZE,Azerbaijan,goats,dairy,All systems,meat,0.010039791187406902,NA
AZE,Azerbaijan,goats,non-dairy,All systems,milk,0,NA
AZE,Azerbaijan,goats,non-dairy,All systems,meat,0.010039808298578394,NA
AZE,Azerbaijan,sheep,dairy,All systems,milk,0.041970909065506386,NA
AZE,Azerbaijan,sheep,dairy,All systems,meat,0.005921744856937198,NA
AZE,Azerbaijan,sheep,non-dairy,All systems,milk,0,NA
AZE,Azerbaijan,sheep,non-dairy,All systems,meat,0.0059217428893921994,NA
BHS,Bahamas,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BHS,Bahamas,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BHS,Bahamas,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BHS,Bahamas,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BHS,Bahamas,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
BHS,Bahamas,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
BHS,Bahamas,cows,non-dairy,All systems,milk,0,rate gf with global mean
BHS,Bahamas,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
BHS,Bahamas,goats,dairy,All systems,milk,0.1099763745602705,NA
BHS,Bahamas,goats,dairy,All systems,meat,0.004058207120715938,NA
BHS,Bahamas,goats,non-dairy,All systems,milk,0,NA
BHS,Bahamas,goats,non-dairy,All systems,meat,0,NA
BHS,Bahamas,sheep,dairy,All systems,milk,0.022573503367670982,rate gf with global mean
BHS,Bahamas,sheep,dairy,All systems,meat,0.0033317425066137544,rate gf with global mean
BHS,Bahamas,sheep,non-dairy,All systems,milk,0,rate gf with global mean
BHS,Bahamas,sheep,non-dairy,All systems,meat,0.0060631695734751365,rate gf with global mean
BHR,Bahrain,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BHR,Bahrain,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BHR,Bahrain,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BHR,Bahrain,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BHR,Bahrain,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
BHR,Bahrain,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
BHR,Bahrain,cows,non-dairy,All systems,milk,0,rate gf with global mean
BHR,Bahrain,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
BHR,Bahrain,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
BHR,Bahrain,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
BHR,Bahrain,goats,non-dairy,All systems,milk,0,rate gf with global mean
BHR,Bahrain,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
BHR,Bahrain,sheep,dairy,All systems,milk,0,NA
BHR,Bahrain,sheep,dairy,All systems,meat,0,NA
BHR,Bahrain,sheep,non-dairy,All systems,milk,0,NA
BHR,Bahrain,sheep,non-dairy,All systems,meat,0.005868042834554203,NA
BGD,Bangladesh,buffaloes,dairy,All systems,milk,0,NA
BGD,Bangladesh,buffaloes,dairy,All systems,meat,0,NA
BGD,Bangladesh,buffaloes,non-dairy,All systems,milk,0,NA
BGD,Bangladesh,buffaloes,non-dairy,All systems,meat,0.013981463339104631,NA
BGD,Bangladesh,cows,dairy,All systems,milk,0.06645605264848824,NA
BGD,Bangladesh,cows,dairy,All systems,meat,0.0220515225255025,NA
BGD,Bangladesh,cows,non-dairy,All systems,milk,0,NA
BGD,Bangladesh,cows,non-dairy,All systems,meat,0.022050700371212456,NA
BGD,Bangladesh,goats,dairy,All systems,milk,0.026726376006914,NA
BGD,Bangladesh,goats,dairy,All systems,meat,0.00668965576659576,NA
BGD,Bangladesh,goats,non-dairy,All systems,milk,0,NA
BGD,Bangladesh,goats,non-dairy,All systems,meat,0,NA
BGD,Bangladesh,sheep,dairy,All systems,milk,0.02959618394142713,NA
BGD,Bangladesh,sheep,dairy,All systems,meat,0.004485007954998258,NA
BGD,Bangladesh,sheep,non-dairy,All systems,milk,0,NA
BGD,Bangladesh,sheep,non-dairy,All systems,meat,0.00448501797502819,NA
BRB,Barbados,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BRB,Barbados,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BRB,Barbados,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BRB,Barbados,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BRB,Barbados,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
BRB,Barbados,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
BRB,Barbados,cows,non-dairy,All systems,milk,0,rate gf with global mean
BRB,Barbados,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
BRB,Barbados,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
BRB,Barbados,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
BRB,Barbados,goats,non-dairy,All systems,milk,0,rate gf with global mean
BRB,Barbados,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
BRB,Barbados,sheep,dairy,All systems,milk,0,NA
BRB,Barbados,sheep,dairy,All systems,meat,0,NA
BRB,Barbados,sheep,non-dairy,All systems,milk,0,NA
BRB,Barbados,sheep,non-dairy,All systems,meat,0.007793382103552267,NA
BLR,Belarus,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BLR,Belarus,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BLR,Belarus,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BLR,Belarus,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BLR,Belarus,cows,dairy,All systems,milk,1.4755275308769764,NA
BLR,Belarus,cows,dairy,All systems,meat,0.07807371882446072,NA
BLR,Belarus,cows,non-dairy,All systems,milk,0,NA
BLR,Belarus,cows,non-dairy,All systems,meat,0,NA
BLR,Belarus,goats,dairy,All systems,milk,0.3025425192630455,NA
BLR,Belarus,goats,dairy,All systems,meat,0.012335764711776711,NA
BLR,Belarus,goats,non-dairy,All systems,milk,0,NA
BLR,Belarus,goats,non-dairy,All systems,meat,0,NA
BLR,Belarus,sheep,dairy,All systems,milk,0,NA
BLR,Belarus,sheep,dairy,All systems,meat,0,NA
BLR,Belarus,sheep,non-dairy,All systems,milk,0,NA
BLR,Belarus,sheep,non-dairy,All systems,meat,0.00832797962771153,NA
BEL,Belgium,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BEL,Belgium,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BEL,Belgium,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BEL,Belgium,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BEL,Belgium,cows,dairy,All systems,milk,2.2434697140349162,NA
BEL,Belgium,cows,dairy,All systems,meat,0.10118431222326374,NA
BEL,Belgium,cows,non-dairy,All systems,milk,0,NA
BEL,Belgium,cows,non-dairy,All systems,meat,0.11574778020499482,NA
BEL,Belgium,goats,dairy,All systems,milk,0.2518789533759063,NA
BEL,Belgium,goats,dairy,All systems,meat,0.010981484726801365,NA
BEL,Belgium,goats,non-dairy,All systems,milk,0,NA
BEL,Belgium,goats,non-dairy,All systems,meat,0,NA
BEL,Belgium,sheep,dairy,All systems,milk,0,NA
BEL,Belgium,sheep,dairy,All systems,meat,0,NA
BEL,Belgium,sheep,non-dairy,All systems,milk,0,NA
BEL,Belgium,sheep,non-dairy,All systems,meat,0.01236483252030408,NA
BLZ,Belize,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BLZ,Belize,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BLZ,Belize,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BLZ,Belize,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BLZ,Belize,cows,dairy,All systems,milk,0,NA
BLZ,Belize,cows,dairy,All systems,meat,0,NA
BLZ,Belize,cows,non-dairy,All systems,milk,0,NA
BLZ,Belize,cows,non-dairy,All systems,meat,0.03248939207824517,NA
BLZ,Belize,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
BLZ,Belize,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
BLZ,Belize,goats,non-dairy,All systems,milk,0,rate gf with global mean
BLZ,Belize,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
BLZ,Belize,sheep,dairy,All systems,milk,0.022573503367670982,rate gf with global mean
BLZ,Belize,sheep,dairy,All systems,meat,0.0033317425066137544,rate gf with global mean
BLZ,Belize,sheep,non-dairy,All systems,milk,0,rate gf with global mean
BLZ,Belize,sheep,non-dairy,All systems,meat,0.0060631695734751365,rate gf with global mean
BEN,Benin,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BEN,Benin,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BEN,Benin,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BEN,Benin,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BEN,Benin,cows,dairy,All systems,milk,0.04215676121013149,NA
BEN,Benin,cows,dairy,All systems,meat,0.01016354060324346,NA
BEN,Benin,cows,non-dairy,All systems,milk,0,NA
BEN,Benin,cows,non-dairy,All systems,meat,0.010396239743055513,NA
BEN,Benin,goats,dairy,All systems,milk,0.016348034927422123,NA
BEN,Benin,goats,dairy,All systems,meat,0.0070608545512067305,NA
BEN,Benin,goats,non-dairy,All systems,milk,0,NA
BEN,Benin,goats,non-dairy,All systems,meat,0.007060862271643411,NA
BEN,Benin,sheep,dairy,All systems,milk,0,NA
BEN,Benin,sheep,dairy,All systems,meat,0,NA
BEN,Benin,sheep,non-dairy,All systems,milk,0,NA
BEN,Benin,sheep,non-dairy,All systems,meat,0.00353793315847419,NA
BMU,Bermuda,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BMU,Bermuda,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
BMU,Bermuda,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
BMU,Bermuda,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
BMU,Bermuda,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
BMU,Bermuda,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
BMU,Bermuda,cows,non-dairy,All systems,milk,0,rate gf with global mean
BMU,Bermuda,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
BMU,Bermuda,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
BMU,Bermuda,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
BMU,Bermuda,goats,non-dairy,All systems,milk,0,rate gf with global mean
BMU,Bermuda,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
BMU,Bermuda,sheep,dairy,All systems,milk,0.022573503367670982,rate gf with global mean
BMU,Bermuda,sheep,dairy,All systems,meat,0.0033317425066137544,rate gf with global mean
BMU,Bermuda,sheep,non-dairy,All systems,milk,0,rate gf with global mean
BMU,Bermuda,sheep,non-dairy,All systems,meat,0.0060631695734751365,rate gf with global mean
BTN,Bhutan,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
BTN,Bhutan,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
