iso3c,animal,product,fao_product_tonnes
CHL,chickens,eggs,227687
CHL,cows,meat,203104
CHL,chickens,meat,626127
CHL,goats,meat,5479
CHL,pigs,meat,490342
CHL,sheep,meat,8836
CHL,cows,milk,1990519
CHL,goats,milk,8111
HKG,chickens,eggs,273
HKG,cows,meat,6600
HKG,chickens,meat,23405
HKG,goats,meat,128
HKG,pigs,meat,115500
HKG,sheep,meat,0
HKG,cows,milk,60
MAC,chickens,eggs,430
MAC,buffaloes,meat,10
MAC,cows,meat,810
MAC,chickens,meat,3806
MAC,goats,meat,24
MAC,pigs,meat,6751
CHN,chickens,eggs,26318000
CHN,buffaloes,meat,634620
CHN,cows,meat,5711580
CHN,chickens,meat,13865862
CHN,goats,meat,2308243
CHN,pigs,meat,54518000
CHN,sheep,meat,2402457
CHN,buffaloes,milk,2946374
CHN,cows,milk,30386000
CHN,goats,milk,221735
CHN,sheep,milk,1171320
TWN,chickens,eggs,375153
TWN,buffaloes,meat,422
TWN,cows,meat,6605
TWN,chickens,meat,558724
TWN,goats,meat,1890
TWN,pigs,meat,811236
TWN,cows,milk,386362
TWN,goats,milk,14200
COL,chickens,eggs,799000
COL,cows,meat,753433
COL,chickens,meat,1563569
COL,goats,meat,4716
COL,pigs,meat,355000
COL,sheep,meat,3049
COL,cows,milk,7100000
COM,chickens,eggs,1060
COM,cows,meat,1278
COM,chickens,meat,596
COM,goats,meat,387
COM,sheep,meat,94
COM,cows,milk,13375
COG,chickens,eggs,1600
COG,cows,meat,6921
COG,chickens,meat,6955
COG,goats,meat,1098
COG,pigs,meat,2251
COG,sheep,meat,463
COG,cows,milk,4200
COK,chickens,eggs,36
COK,cows,meat,3
COK,chickens,meat,18
COK,goats,meat,2
COK,pigs,meat,553
CRI,chickens,eggs,67313
CRI,cows,meat,77904
CRI,chickens,meat,133200
CRI,goats,meat,22
CRI,pigs,meat,60640
CRI,sheep,meat,15
CRI,cows,milk,1144352
CRI,goats,milk,27
CIV,chickens,eggs,56800
CIV,cows,meat,32702
CIV,chickens,meat,44724
CIV,goats,meat,4325
CIV,pigs,meat,7366
CIV,sheep,meat,8039
CIV,cows,milk,33000
HRV,chickens,eggs,39234
HRV,cows,meat,42562
HRV,chickens,meat,52400
HRV,goats,meat,600
HRV,pigs,meat,104505
HRV,sheep,meat,4704
HRV,cows,milk,648400
HRV,goats,milk,10800
HRV,sheep,milk,9100
CUB,chickens,eggs,111558
CUB,cows,meat,83550
CUB,chickens,meat,29250
CUB,goats,meat,3708
CUB,pigs,meat,234300
CUB,sheep,meat,9728
CUB,cows,milk,536400
CUB,goats,milk,4700
CYP,chickens,eggs,9635
CYP,cows,meat,5101
CYP,chickens,meat,25100
CYP,goats,meat,2116
CYP,pigs,meat,43143
CYP,sheep,meat,3141
CYP,cows,milk,216368
CYP,goats,milk,30356
CYP,sheep,milk,32294
CZE,chickens,eggs,84422
CZE,cows,meat,67714
CZE,chickens,meat,151981
CZE,goats,meat,263
CZE,pigs,meat,220267
CZE,sheep,meat,3709
CZE,cows,milk,3079213
CZE,goats,milk,10858
CZE,sheep,milk,2631
PRK,chickens,eggs,119700
PRK,cows,meat,21932
PRK,chickens,meat,31122
PRK,goats,meat,14788
PRK,pigs,meat,119324
PRK,sheep,meat,1002
PRK,cows,milk,83048
COD,chickens,eggs,8800
COD,cows,meat,16800
COD,chickens,meat,10307
COD,goats,meat,18684
COD,pigs,meat,24182
COD,sheep,meat,2817
COD,cows,milk,7165
DNK,chickens,eggs,87899
DNK,cows,meat,124148
DNK,chickens,meat,151712
DNK,pigs,meat,1532387
DNK,sheep,meat,1585
DNK,cows,milk,5557160
DJI,cows,meat,6354
DJI,goats,meat,2402
DJI,sheep,meat,2201
DJI,cows,milk,8850
DMA,chickens,eggs,324
DMA,cows,meat,572
DMA,chickens,meat,356
DMA,goats,meat,42
DMA,pigs,meat,425
DMA,sheep,meat,25
DMA,cows,milk,6964
DOM,chickens,eggs,135353
DOM,cows,meat,66473
DOM,chickens,meat,339110
DOM,goats,meat,941
DOM,pigs,meat,76859
DOM,sheep,meat,890
DOM,cows,milk,847686
ECU,chickens,eggs,150500
ECU,cows,meat,216496
ECU,chickens,meat,338000
ECU,goats,meat,480
ECU,pigs,meat,208495
ECU,sheep,meat,5158
ECU,cows,milk,1850000
ECU,goats,milk,1200
ECU,sheep,milk,4300
EGY,chickens,eggs,435842
EGY,buffaloes,meat,369296
EGY,cows,meat,388859
EGY,chickens,meat,1043615
EGY,goats,meat,33411
EGY,pigs,meat,481
EGY,sheep,meat,60225
EGY,buffaloes,milk,2351119
EGY,cows,milk,2961482
EGY,goats,milk,16269
EGY,sheep,milk,94552
SLV,chickens,eggs,66896
SLV,cows,meat,18315
SLV,chickens,meat,136238
SLV,goats,meat,86
SLV,pigs,meat,6935
SLV,sheep,meat,36
SLV,cows,milk,461787
GNQ,chickens,eggs,320
GNQ,cows,meat,50
GNQ,chickens,meat,254
GNQ,goats,meat,48
GNQ,pigs,meat,166
GNQ,sheep,meat,102
ERI,chickens,eggs,2500
ERI,cows,meat,23345
ERI,chickens,meat,1578
ERI,goats,meat,6172
ERI,sheep,meat,6833
ERI,cows,milk,120000
ERI,goats,milk,18696
ERI,sheep,milk,13542
EST,chickens,eggs,12635
EST,cows,meat,11900
EST,chickens,meat,20400
EST,goats,meat,15
EST,pigs,meat,38400
EST,sheep,meat,600
EST,cows,milk,790028
EST,goats,milk,618
EST,sheep,milk,NA
SWZ,chickens,eggs,1375
SWZ,cows,meat,16658
SWZ,chickens,meat,6024
SWZ,goats,meat,1659
SWZ,pigs,meat,1329
SWZ,sheep,meat,565
SWZ,cows,milk,39641
ETH,chickens,eggs,55000
ETH,cows,meat,401219
ETH,chickens,meat,71129
ETH,goats,meat,86958
ETH,pigs,meat,2026
ETH,sheep,meat,106170
ETH,cows,milk,3100000
ETH,goats,milk,79128
ETH,sheep,milk,81854
FLK,cows,meat,142
FLK,chickens,meat,9
FLK,sheep,meat,796
FLK,cows,milk,1490
FRO,cows,meat,96
FRO,sheep,meat,541
FJI,chickens,eggs,8143
FJI,cows,meat,4207
FJI,chickens,meat,33071
FJI,goats,meat,184
FJI,pigs,meat,4228
FJI,sheep,meat,84
FJI,cows,milk,14444
FIN,chickens,eggs,73550
FIN,cows,meat,86080
FIN,chickens,meat,120800
FIN,goats,meat,NA
FIN,pigs,meat,181580
FIN,sheep,meat,1350
FIN,cows,milk,2405761
FRA,chickens,eggs,877856
FRA,cows,meat,1432780
FRA,chickens,meat,1161745
FRA,goats,meat,11044
FRA,pigs,meat,2147550
FRA,sheep,meat,101122
FRA,cows,milk,25539489
FRA,goats,milk,648897
FRA,sheep,milk,320679
GUF,chickens,eggs,690
GUF,cows,meat,544
GUF,chickens,meat,297
GUF,goats,meat,4
GUF,pigs,meat,446
GUF,sheep,meat,8
GUF,cows,milk,540
PYF,chickens,eggs,2250
PYF,cows,meat,143
PYF,chickens,meat,686
PYF,goats,meat,76
PYF,pigs,meat,1007
PYF,sheep,meat,3
PYF,cows,milk,1231
GAB,chickens,eggs,2500
GAB,cows,meat,1159
GAB,chickens,meat,3900
GAB,goats,meat,328
GAB,pigs,meat,3563
GAB,sheep,meat,798
GAB,cows,milk,14000
GMB,chickens,eggs,995
GMB,cows,meat,4312
GMB,chickens,meat,1550
GMB,goats,meat,995
GMB,pigs,meat,500
GMB,sheep,meat,319
GMB,cows,milk,75356
GEO,chickens,eggs,39307
GEO,cows,meat,21400
GEO,chickens,meat,21800
GEO,goats,meat,23
GEO,pigs,meat,15500
GEO,sheep,meat,6700
GEO,buffaloes,milk,6171
GEO,cows,milk,518100
GEO,goats,milk,3099
GEO,sheep,milk,7210
DEU,chickens,eggs,826200
DEU,buffaloes,meat,NA
DEU,cows,meat,1137008
DEU,chickens,meat,1009565
DEU,goats,meat,418
DEU,pigs,meat,5505572
DEU,sheep,meat,31152
DEU,cows,milk,32598198
DEU,goats,milk,28284
GHA,chickens,eggs,46500
GHA,cows,meat,22265
GHA,chickens,meat,58224
GHA,goats,meat,23192
GHA,pigs,meat,27093
GHA,sheep,meat,20860
GHA,cows,milk,45213
GRC,chickens,eggs,87394
GRC,buffaloes,meat,1151
GRC,cows,meat,41766
GRC,chickens,meat,243730
GRC,goats,meat,21934
GRC,pigs,meat,77319
GRC,sheep,meat,53918
GRC,buffaloes,milk,2891
GRC,cows,milk,662436
GRC,goats,milk,404140
GRC,sheep,milk,851685
GRL,sheep,meat,310
GRD,chickens,eggs,1403
GRD,cows,meat,146
GRD,chickens,meat,531
GRD,goats,meat,30
GRD,pigs,meat,246
GRD,sheep,meat,107
GRD,cows,milk,558
GLP,chickens,eggs,1620
GLP,cows,meat,2995
GLP,chickens,meat,1424
GLP,goats,meat,132
GLP,pigs,meat,1599
GLP,sheep,meat,58
GLP,cows,milk,160
GUM,chickens,eggs,730
GUM,buffaloes,meat,1
GUM,cows,meat,9
GUM,chickens,meat,174
GUM,goats,meat,5
GUM,pigs,meat,172
GTM,chickens,eggs,273400
GTM,cows,meat,174200
GTM,chickens,meat,224006
GTM,goats,meat,243
GTM,pigs,meat,63737
GTM,sheep,meat,2016
GTM,cows,milk,543231
GTM,goats,milk,2568
GIN,chickens,eggs,25502
GIN,cows,meat,82000
GIN,chickens,meat,14991
GIN,goats,meat,15123
GIN,pigs,meat,1810
GIN,sheep,meat,7995
GIN,cows,milk,202533
GIN,goats,milk,35890
GIN,sheep,milk,14696
GNB,chickens,eggs,1432
GNB,cows,meat,7311
GNB,chickens,meat,2572
GNB,goats,meat,1324
GNB,pigs,meat,15226
GNB,sheep,meat,1299
GNB,cows,milk,152180
GNB,goats,milk,15076
GNB,sheep,milk,7284
GUY,chickens,eggs,1443
GUY,cows,meat,1979
GUY,chickens,meat,30668
GUY,goats,meat,278
