"country","aq_group","year","total_tonnes"
"Costa Rica","marine_fish_general",2017,700
"Croatia","marine_fish_general",2017,10445.41
"Cyprus","marine_fish_general",2017,7203
"Egypt","marine_fish_general",2017,273248
"France","marine_fish_general",2017,3500
"Greece","marine_fish_general",2017,102889.3
"India","marine_fish_general",2017,96000
"Indonesia","marine_fish_general",2017,739352
"Iran (Islamic Rep. of)","marine_fish_general",2017,14050
"Israel","marine_fish_general",2017,2100
"Italy","marine_fish_general",2017,15100
"Japan","marine_fish_general",2017,216127
"Korea, Republic of","marine_fish_general",2017,84234
"Malaysia","marine_fish_general",2017,57954.42
"Malta","marine_fish_general",2017,2458.2
"Mauritius","marine_fish_general",2017,1200
"Mexico","marine_fish_general",2017,655.98
"Norway","marine_fish_general",2017,1623.07
"Panama","marine_fish_general",2017,1800
"Philippines","marine_fish_general",2017,365198.3
"Portugal","marine_fish_general",2017,4483.83
"Saudi Arabia","marine_fish_general",2017,7730
"Singapore","marine_fish_general",2017,2907.2
"Spain","marine_fish_general",2017,47652.42
"Taiwan Province of China","marine_fish_general",2017,73899.34
"Thailand","marine_fish_general",2017,22455
"Tunisia","marine_fish_general",2017,20289
"Turkey","marine_fish_general",2017,161758
"United Arab Emirates","marine_fish_general",2017,2475
"United States of America","marine_fish_general",2017,1643
"Viet Nam","marine_fish_general",2017,13249.34
"Australia","salmonids",2017,52580.2
"Canada","salmonids",2017,140912
"Chile","salmonids",2017,852241.12
"Denmark","salmonids",2017,13036
"Faroe Islands","salmonids",2017,86800
"Finland","salmonids",2017,12286.6
"Iceland","salmonids",2017,15719
"Ireland","salmonids",2017,18342
"Japan","salmonids",2017,15648
"New Zealand","salmonids",2017,13234
"Norway","salmonids",2017,1303255.33
"Russian Federation","salmonids",2017,13016
"Sweden","salmonids",2017,2856
"Turkey","salmonids",2017,5952
"United Kingdom","salmonids",2017,193189
"United States of America","salmonids",2017,14685
"Australia","shrimps_prawns",2017,4264.1
"Bangladesh","shrimps_prawns",2017,81722
"Belize","shrimps_prawns",2017,500
"Brazil","shrimps_prawns",2017,60000
"Brunei Darussalam","shrimps_prawns",2017,1240
"Cambodia","shrimps_prawns",2017,1000
"China","shrimps_prawns",2017,1345154
"Colombia","shrimps_prawns",2017,3700
"Costa Rica","shrimps_prawns",2017,3000
"Cuba","shrimps_prawns",2017,5631
"Ecuador","shrimps_prawns",2017,440000
"El Salvador","shrimps_prawns",2017,1150
"Guatemala","shrimps_prawns",2017,16455
"Honduras","shrimps_prawns",2017,31500
"India","shrimps_prawns",2017,643161
"Indonesia","shrimps_prawns",2017,893855
"Iran (Islamic Rep. of)","shrimps_prawns",2017,32332
"Japan","shrimps_prawns",2017,1354
"Korea, Republic of","shrimps_prawns",2017,5144
"Madagascar","shrimps_prawns",2017,5439
"Malaysia","shrimps_prawns",2017,45780.96
"Mexico","shrimps_prawns",2017,150029.85
"Myanmar","shrimps_prawns",2017,55309.51
"New Caledonia","shrimps_prawns",2017,1450
"Nicaragua","shrimps_prawns",2017,24888
"Panama","shrimps_prawns",2017,7522
"Peru","shrimps_prawns",2017,27491.66
"Philippines","shrimps_prawns",2017,62421.3
"Saudi Arabia","shrimps_prawns",2017,39200
"Sri Lanka","shrimps_prawns",2017,4630
"Taiwan Province of China","shrimps_prawns",2017,5000.97
"Thailand","shrimps_prawns",2017,359271
"United States of America","shrimps_prawns",2017,1633
"Venezuela, Boliv Rep of","shrimps_prawns",2017,24500
"Viet Nam","shrimps_prawns",2017,708403.73
"Australia","tuna",2017,8100
"Croatia","tuna",2017,1081
"Japan","tuna",2017,15858
"Malta","tuna",2017,4505
"Mexico","tuna",2017,5721.56
"Spain","tuna",2017,1030
"Turkey","tuna",2017,777
