GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Region
215,Marine Fish; Other,"Scad, hardtail  (torpedo), raw",93,21.3,_ASEAN
215,Marine Fish; Other,"Slipmouth, ponyfish, raw",84,18.8,_ASEAN
215,Marine Fish; Other,"Trevally, black-banded, raw",134,18.6,_ASEAN
215,Marine Fish; Other,"Tuna, Skipjack or Yellow  Fin, canned  in water, drained",113,26.1,_ASEAN
216,Crustaceans,"Crab, shore, raw",104,13.1,_ASEAN
216,Crustaceans,"Crabmeat, mud, fresh",98,17.9,_ASEAN
216,Crustaceans,"Prawn,  fresh water, giant, raw",108,17.9,_ASEAN
216,Crustaceans,"Prawn,  fresh water, raw",98,17.5,_ASEAN
216,Crustaceans,"Prawn,  green tiger, raw",79.6,NA,_ASEAN
216,Crustaceans,Radiated scallop,106,22.3,_ASEAN
217,Cephalopods,"Cuttlefish, raw",72,15.9,_ASEAN
217,Cephalopods,"Squid, splendid, raw",68,15.4,_ASEAN
218,Molluscs; Other,"Clam, undulated surf",64,10.3,_ASEAN
218,Molluscs; Other,"Cockle/ark shell, fresh",71,11.7,_ASEAN
218,Molluscs; Other,"Mussel, green, raw",53,9.3,_ASEAN
218,Molluscs; Other,"Oyster, raw",58,7.5,_ASEAN
218,Molluscs; Other,"Snail, fresh water, all species",84,11.5,_ASEAN
218,Molluscs; Other,"Snail, pond,  river",74,12.1,_ASEAN
218,Molluscs; Other,"Wedge  shell, bean clam(Donax), fermented",149,10.6,_ASEAN
219,Aquatic Animals; Others,"Sea cucumber/sea slug, cleaned, raw",21,4.8,_ASEAN
219,Aquatic Animals; Others,Sea horse,194,28.5,_ASEAN
