iso3c,organism,tonnes_product,million_kcals,tonnes_protein
SWE,crustaceans,0,0,0
CHE,crustaceans,0,0,0
SYR,crustaceans,0,0,0
TWN,crustaceans,0,0,0
TJK,crustaceans,0,0,0
TZA,crustaceans,0,0,0
THA,crustaceans,303.763,58.296285836323925,10.173111771950161
TLS,crustaceans,0,0,0
TGO,crustaceans,0,0,0
TKL,crustaceans,0,0,0
TON,crustaceans,0,0,0
TTO,crustaceans,0,0,0
TUN,crustaceans,0,0,0
TUR,crustaceans,0,0,0
TKM,crustaceans,0,0,0
TCA,crustaceans,0,0,0
TUV,crustaceans,0,0,0
UGA,crustaceans,0,0,0
UKR,crustaceans,0,0,0
ARE,crustaceans,0,0,0
GBR,crustaceans,0,0,0
USA,crustaceans,0,0,0
URY,crustaceans,0,0,0
UZB,crustaceans,0,0,0
VUT,crustaceans,0,0,0
VEN,crustaceans,0,0,0
VNM,crustaceans,66942.96,12847.272152597912,2241.939322515214
VIR,crustaceans,0,0,0
WLF,crustaceans,0,0,0
ESH,crustaceans,0,0,0
YEM,crustaceans,0,0,0
ZMB,crustaceans,0,0,0
ZWE,crustaceans,0,0,0
XMI,crustaceans,0,0,0
COD,crustaceans,0,0,0
HSX,crustaceans,0,0,0
AFG,marine-fish-general,0,0,0
ALA,marine-fish-general,0,0,0
ALB,marine-fish-general,7841.26474820144,7934.948572346062,1372.1467323344837
DZA,marine-fish-general,0,0,0
ASM,marine-fish-general,0,0,0
AND,marine-fish-general,0,0,0
AGO,marine-fish-general,0,0,0
AIA,marine-fish-general,0,0,0
ATG,marine-fish-general,0,0,0
ARG,marine-fish-general,0,0,0
ARM,marine-fish-general,0,0,0
ABW,marine-fish-general,0,0,0
AUS,marine-fish-general,6364.27,6440.3073703267255,1113.6867029260063
AUT,marine-fish-general,0,0,0
AZE,marine-fish-general,0,0,0
BHS,marine-fish-general,0,0,0
BHR,marine-fish-general,0,0,0
BGD,marine-fish-general,116110,117497.2288681398,20318.145376726414
BRB,marine-fish-general,0,0,0
BLR,marine-fish-general,0,0,0
BEL,marine-fish-general,0,0,0
BLZ,marine-fish-general,0,0,0
BEN,marine-fish-general,0,0,0
BMU,marine-fish-general,0,0,0
BTN,marine-fish-general,0,0,0
BOL,marine-fish-general,0,0,0
BES,marine-fish-general,0,0,0
BIH,marine-fish-general,0,0,0
BWA,marine-fish-general,0,0,0
BRA,marine-fish-general,0,0,0
IOT,marine-fish-general,0,0,0
VGB,marine-fish-general,0,0,0
BRN,marine-fish-general,0,0,0
BGR,marine-fish-general,0,0,0
BFA,marine-fish-general,0,0,0
BDI,marine-fish-general,0,0,0
KHM,marine-fish-general,850,860.1554089907745,148.7419134460206
CMR,marine-fish-general,0,0,0
CAN,marine-fish-general,0,0,0
CPV,marine-fish-general,0,0,0
CYM,marine-fish-general,0,0,0
CAF,marine-fish-general,0,0,0
TCD,marine-fish-general,0,0,0
CHL,marine-fish-general,0,0,0
CHN,marine-fish-general,1420708.67926655,1437682.6530250148,248610.50282761815
CXR,marine-fish-general,0,0,0
CCK,marine-fish-general,0,0,0
COL,marine-fish-general,0,0,0
COM,marine-fish-general,0,0,0
COK,marine-fish-general,0,0,0
CRI,marine-fish-general,700,708.3632779924026,122.49334048495814
CIV,marine-fish-general,0,0,0
HRV,marine-fish-general,10445.41,10570.206953678031,1827.8473766214092
CUB,marine-fish-general,0,0,0
CUW,marine-fish-general,0,0,0
CYP,marine-fish-general,7203,7289.058130541823,1260.456473590219
CZE,marine-fish-general,0,0,0
DNK,marine-fish-general,0,0,0
DJI,marine-fish-general,0,0,0
DMA,marine-fish-general,0,0,0
DOM,marine-fish-general,0,0,0
ECU,marine-fish-general,0,0,0
EGY,marine-fish-general,273248,276512.6414069543,47815.800429762625
SLV,marine-fish-general,0,0,0
GNQ,marine-fish-general,0,0,0
ERI,marine-fish-general,0,0,0
EST,marine-fish-general,0,0,0
ETH,marine-fish-general,0,0,0
FLK,marine-fish-general,0,0,0
FRO,marine-fish-general,0,0,0
FJI,marine-fish-general,0,0,0
FIN,marine-fish-general,0,0,0
FRA,marine-fish-general,3500,3541.816389962013,612.4667024247907
GUF,marine-fish-general,0,0,0
PYF,marine-fish-general,0,0,0
GAB,marine-fish-general,0,0,0
GMB,marine-fish-general,0,0,0
GEO,marine-fish-general,0,0,0
DEU,marine-fish-general,0,0,0
GHA,marine-fish-general,0,0,0
GIB,marine-fish-general,0,0,0
GRC,marine-fish-general,98208.6232220416,99381.97467526597,17185.57474699501
GRL,marine-fish-general,0,0,0
GRD,marine-fish-general,0,0,0
GLP,marine-fish-general,0,0,0
GUM,marine-fish-general,0,0,0
GTM,marine-fish-general,0,0,0
GGY,marine-fish-general,0,0,0
GIN,marine-fish-general,0,0,0
GNB,marine-fish-general,0,0,0
GUY,marine-fish-general,0,0,0
HTI,marine-fish-general,0,0,0
HND,marine-fish-general,0,0,0
HKG,marine-fish-general,259.615384615385,262.71714980487496,45.43022243260816
HUN,marine-fish-general,0,0,0
ISL,marine-fish-general,0,0,0
IND,marine-fish-general,87351.3513513514,88394.98511472766,15285.655461288992
IDN,marine-fish-general,739352,748185.4375860555,129379.56610604966
IRN,marine-fish-general,14050,14217.862936847509,2458.6163340195167
IRQ,marine-fish-general,0,0,0
IRL,marine-fish-general,0,0,0
IMN,marine-fish-general,0,0,0
ISR,marine-fish-general,2100,2125.089833977208,367.48002145487436
ITA,marine-fish-general,15100,15280.407853836112,2642.3563447469537
JAM,marine-fish-general,0,0,0
JPN,marine-fish-general,216127,218709.1859752343,37820.16885570364
JEY,marine-fish-general,0,0,0
JOR,marine-fish-general,0,0,0
KAZ,marine-fish-general,0,0,0
KEN,marine-fish-general,0,0,0
KIR,marine-fish-general,0,0,0
XKO,marine-fish-general,0,0,0
KWT,marine-fish-general,0,0,0
KGZ,marine-fish-general,0,0,0
LAO,marine-fish-general,0,0,0
LVA,marine-fish-general,0,0,0
LBN,marine-fish-general,0,0,0
LSO,marine-fish-general,0,0,0
LBR,marine-fish-general,0,0,0
LBY,marine-fish-general,0,0,0
LIE,marine-fish-general,0,0,0
LTU,marine-fish-general,0,0,0
LUX,marine-fish-general,0,0,0
