TaxonName,calories_mean,protein_mean,Species,Genus,Family,Order
Crassostrea rhizophorae,107.25982321161798,18.85700945291929,Crassostrea rhizophorae,Crassostrea,Ostreidae,Ostreida
Crassostrea virginica,107.25982321161798,18.85700945291929,Crassostrea virginica,Crassostrea,Ostreidae,Ostreida
Crenidens crenidens,99.03,20.475,Crenidens crenidens,Crenidens,Sparidae,Eupercaria/misc
Cromileptes altivelis,87.98208333333334,16.7215,Cromileptes altivelis,Cromileptes,Serranidae,Perciformes/Serranoidei
Crustacea,108.66916225749559,18.760118911952244,NA,NA,NA,Crustacea
Cryodraco antarcticus,105.76912277407976,17.739660146026814,Cryodraco antarcticus,Cryodraco,Channichthyidae,Perciformes/Notothenioidei
Ctenolabrus rupestris,97,18.5,Ctenolabrus rupestris,Ctenolabrus,Labridae,Eupercaria/misc
Cyclopterus lumpus,92,16.76,Cyclopterus lumpus,Cyclopterus,Cyclopteridae,Perciformes/Cottoidei
Cymbium,108.66916225749559,18.760118911952244,NA,Cymbium,Volutidae,Neogastropoda
Cynoglossidae,108.66916225749559,18.760118911952244,NA,NA,Cynoglossidae,Pleuronectiformes
Cynoscion,96.88541666666666,18.672916666666666,NA,Cynoscion,Sciaenidae,Eupercaria/misc
Cynoscion analis,86.075,17.8875,Cynoscion analis,Cynoscion,Sciaenidae,Eupercaria/misc
Cynoscion nebulosus,111.38499999999999,19.395,Cynoscion nebulosus,Cynoscion,Sciaenidae,Eupercaria/misc
Cynoscion regalis,104.00666666666666,19.521666666666665,Cynoscion regalis,Cynoscion,Sciaenidae,Eupercaria/misc
Cynoscion striatus,86.075,17.8875,Cynoscion striatus,Cynoscion,Sciaenidae,Eupercaria/misc
Cyttus traversi,150,18.946,Cyttus traversi,Cyttus,Cyttidae,Zeiformes
Dalatias licha,97.10111111111111,20.506666666666668,Dalatias licha,Dalatias,Dalatiidae,Squaliformes
Dasyatidae,108.66916225749559,18.760118911952244,NA,NA,Dasyatidae,Myliobatiformes
Dasyatis,89.25,19.775,NA,Dasyatis,Dasyatidae,Myliobatiformes
Dasyatis centroura,89.25,19.775,Dasyatis centroura,Dasyatis,Dasyatidae,Myliobatiformes
Dasyatis pastinaca,89.25,19.775,Dasyatis pastinaca,Dasyatis,Dasyatidae,Myliobatiformes
Deania calcea,102.57407407407408,20.71,Deania calcea,Deania,Centrophoridae,Squaliformes
Decapterus,110.86352150537634,20.18396464646465,NA,Decapterus,Carangidae,Carangiformes
Decapterus macrosoma,114.26822580645161,20.69409090909091,Decapterus macrosoma,Decapterus,Carangidae,Carangiformes
Decapterus maruadsi,114.26822580645161,20.69409090909091,Decapterus maruadsi,Decapterus,Carangidae,Carangiformes
Decapterus russelli,104.0541129032258,19.16371212121212,Decapterus russelli,Decapterus,Carangidae,Carangiformes
Dentex,92.703,18.9675,NA,Dentex,Sparidae,Eupercaria/misc
Dentex angolensis,95.515,19.637500000000003,Dentex angolensis,Dentex,Sparidae,Eupercaria/misc
Dentex congoensis,92,18.8,Dentex congoensis,Dentex,Sparidae,Eupercaria/misc
Dentex dentex,92,18.8,Dentex dentex,Dentex,Sparidae,Eupercaria/misc
Dentex macrophthalmus,92,18.8,Dentex macrophthalmus,Dentex,Sparidae,Eupercaria/misc
Dentex maroccanus,92,18.8,Dentex maroccanus,Dentex,Sparidae,Eupercaria/misc
Diagramma pictum,96.3975,18.41166666666667,Diagramma pictum,Diagramma,Haemulidae,Eupercaria/misc
Diastobranchus capensis,125.87,17.814615384615387,Diastobranchus capensis,Diastobranchus,Synaphobranchidae,Anguilliformes
Dicentrarchus,107.77009523809524,18.33230952380952,NA,Dicentrarchus,Moronidae,Eupercaria/misc
Dicentrarchus labrax,125.41519047619047,19.224619047619047,Dicentrarchus labrax,Dicentrarchus,Moronidae,Eupercaria/misc
Dicentrarchus punctatus,90.125,17.439999999999998,Dicentrarchus punctatus,Dicentrarchus,Moronidae,Eupercaria/misc
Dicologlossa cuneata,96.9625,18.15,Dicologlossa cuneata,Dicologlossa,Soleidae,Pleuronectiformes
Diplodus,104.62,20.0275,NA,Diplodus,Sparidae,Eupercaria/misc
Diplodus annularis,104.62,20.0275,Diplodus annularis,Diplodus,Sparidae,Eupercaria/misc
Diplodus argenteus argenteus,104.62,20.0275,Diplodus argenteus argenteus,Diplodus,Sparidae,Eupercaria incertae sedis
Diplodus cervinus cervinus,104.62,20.0275,Diplodus cervinus cervinus,Diplodus,Sparidae,Eupercaria incertae sedis
Diplodus puntazzo,104.62,20.0275,Diplodus puntazzo,Diplodus,Sparidae,Eupercaria/misc
Diplodus sargus sargus,104.62,20.0275,Diplodus sargus sargus,Diplodus,Sparidae,Eupercaria incertae sedis
Diplodus vulgaris,104.62,20.0275,Diplodus vulgaris,Diplodus,Sparidae,Eupercaria/misc
Dipturus batis,97.625,18.8375,Dipturus batis,Dipturus,Rajidae,Rajiformes
Dipturus oxyrinchus,106,17.9,Dipturus oxyrinchus,Dipturus,Rajidae,Rajiformes
Dissostichus,89.2125,18.067999999999998,NA,Dissostichus,Nototheniidae,Perciformes/Notothenioidei
Dissostichus eleginoides,90.125,17.439999999999998,Dissostichus eleginoides,Dissostichus,Nototheniidae,Perciformes/Notothenioidei
Dissostichus mawsoni,88.3,18.696,Dissostichus mawsoni,Dissostichus,Nototheniidae,Perciformes/Notothenioidei
Donax,107.25982321161798,18.85700945291929,NA,Donax,Donacidae,Cardiida
Dorosoma cepedianum,150,16.792,Dorosoma cepedianum,Dorosoma,Clupeidae,Clupeiformes
Dosidicus gigas,107.25982321161798,18.85700945291929,Dosidicus gigas,Dosidicus,Ommastrephidae,Oegopsida
Dussumieria acuta,150.80812500000002,18.61511363636364,Dussumieria acuta,Dussumieria,Dussumieriidae,Clupeiformes
Dussumieria elopsoides,150.80812500000002,18.61511363636364,Dussumieria elopsoides,Dussumieria,Dussumieriidae,Clupeiformes
Echeneidae,108.66916225749559,18.760118911952244,NA,NA,Echeneidae,Carangiformes
Echinoidea,108.66916225749559,18.760118911952244,NA,NA,NA,Echinoidea
Echinorhinus brucus,97.10111111111111,20.506666666666668,Echinorhinus brucus,Echinorhinus,Echinorhinidae,Echinorhiniformes
Echinus esculentus,107.25982321161798,18.85700945291929,Echinus esculentus,Echinus,Echinidae,Camarodonta
Elagatis bipinnulata,123.36103942652329,19.098282828282827,Elagatis bipinnulata,Elagatis,Carangidae,Carangiformes
Elasmobranchii,108.66916225749559,18.760118911952244,NA,NA,NA,Elasmobranchii
Electrona carlsbergi,108.66916225749559,18.760118911952244,Electrona carlsbergi,Electrona,Myctophidae,Myctophiformes
Eledone,108.66916225749559,18.760118911952244,NA,Eledone,Eledonidae,Octopoda
Eledone cirrhosa,108.66916225749559,18.760118911952244,Eledone cirrhosa,Eledone,Eledonidae,Octopoda
Eleginops maclovinus,88.3,18.696,Eleginops maclovinus,Eleginops,Eleginopidae,Perciformes/Notothenioidei
Eleginus gracilis,88.3,18.696,Eleginus gracilis,Eleginus,Gadidae,Gadiformes
Eleginus nawaga,88.3,18.696,Eleginus nawaga,Eleginus,Gadidae,Gadiformes
Eleutheronema tetradactylum,113.06630952380952,19.973988095238095,Eleutheronema tetradactylum,Eleutheronema,Polynemidae,Carangaria/misc
Elops lacerta,96.4,18.7,Elops lacerta,Elops,Elopidae,Elopiformes
Elops saurus,120.45,18.768749999999997,Elops saurus,Elops,Elopidae,Elopiformes
Emmelichthys nitidus nitidus,103.53208509700177,19.69355356464523,Emmelichthys nitidus nitidus,Emmelichthys,Emmelichthyidae,Eupercaria incertae sedis
Engraulidae,108.66916225749559,18.760118911952244,NA,NA,Engraulidae,Clupeiformes
Engraulis anchoita,126.464,19.905882352941177,Engraulis anchoita,Engraulis,Engraulidae,Clupeiformes
Engraulis capensis,126.464,19.905882352941177,Engraulis capensis,Engraulis,Engraulidae,Clupeiformes
Engraulis encrasicolus,126.464,19.905882352941177,Engraulis encrasicolus,Engraulis,Engraulidae,Clupeiformes
Engraulis japonicus,148.732,19.402941176470588,Engraulis japonicus,Engraulis,Engraulidae,Clupeiformes
Engraulis mordax,111.732,18.767941176470586,Engraulis mordax,Engraulis,Engraulidae,Clupeiformes
Engraulis ringens,126.464,19.905882352941177,Engraulis ringens,Engraulis,Engraulidae,Clupeiformes
Ensis directus,108.66916225749559,18.760118911952244,Ensis directus,Ensis,Pharidae,Adapedonta
Ensis ensis,108.66916225749559,18.760118911952244,Ensis ensis,Ensis,Pharidae,Adapedonta
Eopsetta jordani,96.9625,18.15,Eopsetta jordani,Eopsetta,Pleuronectidae,Pleuronectiformes
Ephippidae,108.66916225749559,18.760118911952244,NA,NA,Ephippidae,Acanthuriformes
Epigonus,95.2932029478458,17.561251700680273,NA,Epigonus,Epigonidae,Acropomatiformes
Epigonus telescopus,95.2932029478458,17.561251700680273,Epigonus telescopus,Epigonus,Epigonidae,Acropomatiformes
Epinephelus,99.6443253968254,18.284205357142856,NA,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus aeneus,103.50333333333333,18.34,Epinephelus aeneus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus analogus,96.81416666666667,17.89,Epinephelus analogus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus areolatus,94.57708333333333,17.769,Epinephelus areolatus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus chlorostigma,104.65583333333333,18.844625,Epinephelus chlorostigma,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus coioides,104.65583333333333,18.844625,Epinephelus coioides,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus flavolimbatus,99.6443253968254,18.284205357142856,Epinephelus flavolimbatus,Epinephelus,Serranidae,Perciformes
Epinephelus fuscoguttatus,103.68444444444444,18.36325,Epinephelus fuscoguttatus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus goreensis,103.50333333333333,18.34,Epinephelus goreensis,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus guttatus,103.50333333333333,18.34,Epinephelus guttatus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus marginatus,97.8235119047619,17.791785714285716,Epinephelus marginatus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus merra,93.97611111111111,18.158666666666665,Epinephelus merra,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus morio,103.50333333333333,18.34,Epinephelus morio,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus morrhua,93.97611111111111,18.158666666666665,Epinephelus morrhua,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus multinotatus,95.90166666666667,18.518,Epinephelus multinotatus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus mystacinus,99.6443253968254,18.284205357142856,Epinephelus mystacinus,Epinephelus,Serranidae,Perciformes
Epinephelus nigritus,99.6443253968254,18.284205357142856,Epinephelus nigritus,Epinephelus,Serranidae,Perciformes
Epinephelus niveatus,99.6443253968254,18.284205357142856,Epinephelus niveatus,Epinephelus,Serranidae,Perciformes
Epinephelus striatus,96.75166666666667,18.35,Epinephelus striatus,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus summana,103.50333333333333,18.34,Epinephelus summana,Epinephelus,Serranidae,Perciformes/Serranoidei
Epinephelus tauvina,93.97611111111111,18.158666666666665,Epinephelus tauvina,Epinephelus,Serranidae,Perciformes/Serranoidei
Erimacrus isenbeckii,108.66916225749559,18.760118911952244,Erimacrus isenbeckii,Erimacrus,Cheiragonidae,Decapoda
Etelis oculatus,102.8359090909091,19.418181818181818,Etelis oculatus,Etelis,Lutjanidae,Eupercaria/misc
Ethmalosa fimbriata,153.55812500000002,17.592363636363636,Ethmalosa fimbriata,Ethmalosa,Clupeidae,Clupeiformes
Ethmidium maculatum,150,16.792,Ethmidium maculatum,Ethmidium,Clupeidae,Clupeiformes
Etmopterus,96.74055555555555,18.553333333333335,NA,Etmopterus,Etmopteridae,Squaliformes
Etmopterus granulosus,97.10111111111111,20.506666666666668,Etmopterus granulosus,Etmopterus,Etmopteridae,Squaliformes
Etmopterus spinax,96.38,16.6,Etmopterus spinax,Etmopterus,Etmopteridae,Squaliformes
Etrumeus whiteheadi,144.5,18.8375,Etrumeus whiteheadi,Etrumeus,Dussumieriidae,Clupeiformes
Euphausia,107.25982321161798,18.85700945291929,NA,Euphausia,Euphausiidae,Euphausiacea
Euphausia superba,107.25982321161798,18.85700945291929,Euphausia superba,Euphausia,Euphausiidae,Euphausiacea
Euthynnus affinis,134.58062365591397,21.973272727272725,Euthynnus affinis,Euthynnus,Scombridae,Scombriformes
Euthynnus alletteratus,135.46666666666667,22.432045454545452,Euthynnus alletteratus,Euthynnus,Scombridae,Scombriformes
Euthynnus lineatus,135.02364516129032,22.202659090909087,Euthynnus lineatus,Euthynnus,Scombridae,Scombriformes
Eutrigla gurnardus,96.45,19.15,Eutrigla gurnardus,Eutrigla,Triglidae,Perciformes/Scorpaenoidei
Exocoetidae,108.66916225749559,18.760118911952244,NA,NA,Exocoetidae,Beloniformes
Farfantepenaeus aztecus,108.66916225749559,18.760118911952244,Farfantepenaeus aztecus,Farfantepenaeus,Penaeidae,Decapoda
Farfantepenaeus brasiliensis,108.66916225749559,18.760118911952244,Farfantepenaeus brasiliensis,Farfantepenaeus,Penaeidae,Decapoda
Farfantepenaeus brevirostris,108.66916225749559,18.760118911952244,Farfantepenaeus brevirostris,Farfantepenaeus,Penaeidae,Decapoda
Farfantepenaeus californiensis,108.66916225749559,18.760118911952244,Farfantepenaeus californiensis,Farfantepenaeus,Penaeidae,Decapoda
Farfantepenaeus duorarum,108.66916225749559,18.760118911952244,Farfantepenaeus duorarum,Farfantepenaeus,Penaeidae,Decapoda
Farfantepenaeus notialis,108.66916225749559,18.760118911952244,Farfantepenaeus notialis,Farfantepenaeus,Penaeidae,Decapoda
Farfantepenaeus paulensis,108.66916225749559,18.760118911952244,Farfantepenaeus paulensis,Farfantepenaeus,Penaeidae,Decapoda
Fenneropenaeus chinensis,108.66916225749559,18.760118911952244,Fenneropenaeus chinensis,Fenneropenaeus,Penaeidae,Decapoda
Fenneropenaeus merguiensis,108.66916225749559,18.760118911952244,Fenneropenaeus merguiensis,Fenneropenaeus,Penaeidae,Decapoda
Fistularia corneta,108.785,18.235,Fistularia corneta,Fistularia,Fistulariidae,Syngnathiformes
Gadiformes,108.66916225749559,18.760118911952244,NA,NA,NA,Gadiformes
Gadus macrocephalus,88.775,19.235500000000002,Gadus macrocephalus,Gadus,Gadidae,Gadiformes
Gadus morhua,87.65,18.843,Gadus morhua,Gadus,Gadidae,Gadiformes
Gadus ogac,88.2125,19.039250000000003,Gadus ogac,Gadus,Gadidae,Gadiformes
Gaidropsarus,90.85424763105473,18.180599755905746,NA,Gaidropsarus,Gaidropsaridae,Gadiformes
Galeocerdo cuvier,97.10111111111111,20.506666666666668,Galeocerdo cuvier,Galeocerdo,Carcharhinidae,Carcharhiniformes
Galeoides decadactylus,95.6,20.2,Galeoides decadactylus,Galeoides,Polynemidae,Carangaria/misc
Galeorhinus galeus,96.28146464646466,19.881515151515153,Galeorhinus galeus,Galeorhinus,Triakidae,Carcharhiniformes
Galeus,105.31055555555555,20.811666666666667,NA,Galeus,Pentanchidae,Carcharhiniformes
Galeus melastomus,105.31055555555555,20.811666666666667,Galeus melastomus,Galeus,Pentanchidae,Carcharhiniformes
Gastropoda,108.66916225749559,18.760118911952244,NA,NA,NA,Gastropoda
Gempylidae,108.66916225749559,18.760118911952244,NA,NA,Gempylidae,Scombriformes
Genyonemus lineatus,94.77444444444444,18.384857142857143,Genyonemus lineatus,Genyonemus,Sciaenidae,Eupercaria/misc
Genypterus,87,18.99,NA,Genypterus,Ophidiidae,Ophidiiformes
Genypterus blacodes,87,18.99,Genypterus blacodes,Genypterus,Ophidiidae,Ophidiiformes
Genypterus capensis,87,18.99,Genypterus capensis,Genypterus,Ophidiidae,Ophidiiformes
Genypterus chilensis,87,18.99,Genypterus chilensis,Genypterus,Ophidiidae,Ophidiiformes
Genypterus maculatus,87,18.99,Genypterus maculatus,Genypterus,Ophidiidae,Ophidiiformes
Gerreidae,108.66916225749559,18.760118911952244,NA,NA,Gerreidae,Eupercaria/misc
Gerres,97.69666666666666,19,NA,Gerres,Gerreidae,Eupercaria/misc
Gerres nigri,99.7,19.6,Gerres nigri,Gerres,Gerreidae,Eupercaria/misc
Gerres oyena,95.69333333333333,18.400000000000002,Gerres oyena,Gerres,Gerreidae,Eupercaria/misc
Geryon,108.66916225749559,18.760118911952244,NA,NA,Geryonidae,Decapoda
Girella tricuspidata,105.74785714285714,19.183571428571426,Girella tricuspidata,Girella,Girellidae,Centrarchiformes
Glycymeris glycymeris,108.66916225749559,18.760118911952244,Glycymeris glycymeris,Glycymeris,Glycymerididae,Arcida
Glyptocephalus cynoglossus,97.07083333333334,18.841666666666665,Glyptocephalus cynoglossus,Glyptocephalus,Pleuronectidae,Pleuronectiformes
Gnathanodon speciosus,113.3541129032258,18.509545454545453,Gnathanodon speciosus,Gnathanodon,Carangidae,Carangiformes
Gobiidae,108.66916225749559,18.760118911952244,NA,NA,Gobiidae,Gobiiformes
Gobionotothen acuta,88.3,18.696,Gobionotothen acuta,Gobionotothen,Nototheniidae,Perciformes/Notothenioidei
Gobionotothen gibberifrons,88.3,18.696,Gobionotothen gibberifrons,Gobionotothen,Nototheniidae,Perciformes/Notothenioidei
Gobius niger,85.5,18.05,Gobius niger,Gobius,Gobiidae,Gobiiformes
Grammoplites suppositus,108.66916225749559,20.1,Grammoplites suppositus,Grammoplites,Platycephalidae,Perciformes/Scorpaenoidei
Gymnocranius,104.0276717754748,18.556040916434856,NA,Gymnocranius,Lethrinidae,Eupercaria/misc
Gymnosarda unicolor,123.65416666666667,22.013295454545453,Gymnosarda unicolor,Gymnosarda,Scombridae,Scombriformes
Gymnoscopelus nicholsi,108.66916225749559,18.760118911952244,Gymnoscopelus nicholsi,Gymnoscopelus,Myctophidae,Myctophiformes
Gymnothorax,98.9595811287478,19.26755945597612,NA,Gymnothorax,Muraenidae,Anguilliformes
Gymnura altavela,89.25,19.775,Gymnura altavela,Gymnura,Gymnuridae,Myliobatiformes
Haemulidae,108.66916225749559,18.760118911952244,NA,NA,Haemulidae,Eupercaria/misc
Haliotis,107.25982321161798,18.85700945291929,NA,Haliotis,Haliotidae,Lepetellida
Haliotis gigantea,107.25982321161798,18.85700945291929,Haliotis gigantea,Haliotis,Haliotidae,Lepetellida
Haliotis midae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Haliotis rubra,107.25982321161798,18.85700945291929,Haliotis rubra,Haliotis,Haliotidae,Lepetellida
Haliotis tuberculata,107.25982321161798,18.85700945291929,Haliotis tuberculata,Haliotis,Haliotidae,Lepetellida
Haliporoides diomedeae,108.66916225749559,18.760118911952244,Haliporoides diomedeae,Haliporoides,Solenoceridae,Decapoda
Haliporoides triarthrus,108.66916225749559,18.760118911952244,Haliporoides triarthrus,Haliporoides,Solenoceridae,Decapoda
Halobatrachus didactylus,108.66916225749559,18.760118911952244,Halobatrachus didactylus,Halobatrachus,Batrachoididae,Batrachoidiformes
Harengula,145.32369771043125,18.116888903534736,NA,Harengula,Clupeidae,Clupeiformes
Harpadon nehereus,100.68305408583186,17.663372970650748,Harpadon nehereus,Harpadon,Synodontidae,Aulopiformes
Helicolenus dactylopterus dactylopterus,92.14660279745507,18.349902630198084,Helicolenus dactylopterus dactylopterus,Helicolenus,Sebastidae,Perciformes
Hemiramphidae,108.66916225749559,18.760118911952244,NA,NA,Hemiramphidae,Beloniformes
Hemiramphus,97.19,19.1,NA,Hemiramphus,Hemiramphidae,Beloniformes
Hemiramphus brasiliensis,97.19,19.1,Hemiramphus brasiliensis,Hemiramphus,Hemiramphidae,Beloniformes
Herklotsichthys quadrimaculatus,130.28875,19.001742424242423,Herklotsichthys quadrimaculatus,Herklotsichthys,Clupeidae,Clupeiformes
Heterocarpus reedi,108.66916225749559,18.760118911952244,Heterocarpus reedi,Heterocarpus,Pandalidae,Decapoda
Hexanchus griseus,93.17555555555555,20.140833333333333,Hexanchus griseus,Hexanchus,Hexanchidae,Hexanchiformes
Himantura gerrardi,94.1047905643739,19.52127972798806,Himantura gerrardi,Himantura,Dasyatidae,Myliobatiformes
Hippoglossoides elassodon,96.9625,19.125,Hippoglossoides elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes
Hippoglossoides platessoides,96.9625,19.125,Hippoglossoides platessoides,Hippoglossoides,Pleuronectidae,Pleuronectiformes
Hippoglossus hippoglossus,86,18.53,Hippoglossus hippoglossus,Hippoglossus,Pleuronectidae,Pleuronectiformes
Hippoglossus stenolepis,86,18.53,Hippoglossus stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes
Holocentridae,108.66916225749559,18.760118911952244,NA,NA,Holocentridae,Holocentriformes
Holocephali,108.66916225749559,18.760118911952244,NA,NA,NA,Holocephali
Holothuroidea,108.66916225749559,18.760118911952244,NA,NA,NA,Holothuroidea
Homaridae/Palinuridae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Homarus americanus,108.66916225749559,18.760118911952244,Homarus americanus,Homarus,Nephropidae,Decapoda
Homarus gammarus,108.66916225749559,18.760118911952244,Homarus gammarus,Homarus,Nephropidae,Decapoda
Hoplostethus atlanticus,88.64285714285714,17.59857142857143,Hoplostethus atlanticus,Hoplostethus,Trachichthyidae,Trachichthyiformes
Hoplostethus mediterraneus mediterraneus,88.64285714285714,17.59857142857143,Hoplostethus mediterraneus mediterraneus,Hoplostethus,Trachichthyidae,Trachichthyiformes
Hydrolagus,97.10111111111111,20.506666666666668,NA,Hydrolagus,Chimaeridae,Chimaeriformes
Hydrolagus novaezealandiae,97.10111111111111,20.506666666666668,Hydrolagus novaezealandiae,Hydrolagus,Chimaeridae,Chimaeriformes
Hyperoglyphe antarctica,115.9888888888889,18.394222222222222,Hyperoglyphe antarctica,Hyperoglyphe,Centrolophidae,Scombriformes
Hyporhamphus sajori,101.0163874191652,18.986706303984082,Hyporhamphus sajori,Hyporhamphus,Hemiramphidae,Beloniformes
Ibacus ciliatus,108.66916225749559,18.760118911952244,Ibacus ciliatus,Ibacus,Scyllaridae,Decapoda
Ilisha africana,150.80812500000002,18.61511363636364,Ilisha africana,Ilisha,Pristigasteridae,Clupeiformes
Ilisha elongata,150.53875,18.007409090909093,Ilisha elongata,Ilisha,Pristigasteridae,Clupeiformes
Illex argentinus,107.25982321161798,18.85700945291929,Illex argentinus,Illex,Ommastrephidae,Oegopsida
Illex coindetii,107.25982321161798,18.85700945291929,Illex coindetii,Illex,Ommastrephidae,Oegopsida
Illex illecebrosus,107.25982321161798,18.85700945291929,Illex illecebrosus,Illex,Ommastrephidae,Oegopsida
Isacia conceptionis,91.3,18.666666666666668,Isacia conceptionis,Isacia,Haemulidae,Eupercaria/misc
Istiophoridae,108.66916225749559,18.760118911952244,NA,NA,Istiophoridae,Carangiformes
Istiophorus albicans,90.5,19.200000000000003,Istiophorus albicans,Istiophorus,Istiophoridae,Carangiformes
Istiophorus platypterus,90.5,19.200000000000003,Istiophorus platypterus,Istiophorus,Istiophoridae,Carangiformes
Isurus,109.24214483545128,20.61598484848485,NA,Isurus,Lamnidae,Lamniformes
Isurus oxyrinchus,121.38317855979146,20.72530303030303,Isurus oxyrinchus,Isurus,Lamnidae,Lamniformes
Isurus paucus,97.10111111111111,20.506666666666668,Isurus paucus,Isurus,Lamnidae,Lamniformes
Jasus edwardsii,108.66916225749559,18.760118911952244,Jasus edwardsii,Jasus,Palinuridae,Decapoda
Jasus frontalis,108.66916225749559,18.760118911952244,Jasus frontalis,Jasus,Palinuridae,Decapoda
Jasus lalandii,108.66916225749559,18.760118911952244,Jasus lalandii,Jasus,Palinuridae,Decapoda
Jasus novaehollandiae,108.66916225749559,18.760118911952244,Jasus novaehollandiae,Jasus,Palinuridae,Decapoda
Jasus verreauxi,108.66916225749559,18.760118911952244,Jasus verreauxi,Jasus,Palinuridae,Decapoda
Joturus pichardi,121.99857142857142,20.439285714285713,Joturus pichardi,Joturus,Mugilidae,Mugiliformes
Kathetostoma giganteum,76,14.48,Kathetostoma giganteum,Kathetostoma,Uranoscopidae,Perciformes/Uranoscopoidei
Katsuwonus pelamis,126.55662365591398,21.003272727272726,Katsuwonus pelamis,Katsuwonus,Scombridae,Scombriformes
King crabs squat-lobsters,108.66916225749559,18.760118911952244,NA,NA,NA,Decapoda
Konosirus punctatus,153.55812500000002,17.592363636363636,Konosirus punctatus,Konosirus,Clupeidae,Clupeiformes
Kyphosus,102.08826908541194,18.77070855863713,NA,Kyphosus,Kyphosidae,Centrarchiformes
Labridae,108.66916225749559,18.760118911952244,NA,NA,Labridae,Eupercaria/misc
Labrus bergylta,97,18.5,Labrus bergylta,Labrus,Labridae,Eupercaria/misc
Labrus merula,97,18.5,Labrus merula,Labrus,Labridae,Eupercaria/misc
Lactarius lactarius,136.5,19.305,Lactarius lactarius,Lactarius,Lactariidae,Carangaria/misc
Lamna nasus,114.06878136200717,20.32242424242424,Lamna nasus,Lamna,Lamnidae,Lamniformes
Lamnidae,108.66916225749559,18.760118911952244,NA,NA,Lamnidae,Lamniformes
Lamniformes,108.66916225749559,18.760118911952244,NA,NA,NA,Lamniformes
Lampris guttatus,85,18.14,Lampris guttatus,Lampris,Lampridae,Lampriformes
Larimichthys crocea,100.20166666666667,17.179285714285715,Larimichthys crocea,Larimichthys,Sciaenidae,Eupercaria/misc
Larimichthys polyactis,115.46777777777778,19.166190476190476,Larimichthys polyactis,Larimichthys,Sciaenidae,Eupercaria/misc
Lateolabrax japonicus,100.80357142857143,18.90904761904762,Lateolabrax japonicus,Lateolabrax,Lateolabracidae,Acropomatiformes
Lates calcarifer,100.80357142857143,18.90904761904762,Lates calcarifer,Lates,Latidae,Carangaria/misc
Latridae,108.66916225749559,18.760118911952244,NA,NA,Latridae,Centrarchiformes
Leiognathidae,108.66916225749559,18.760118911952244,NA,NA,Leiognathidae,Acanthuriformes
Leiognathus,108.66916225749559,18.760118911952244,NA,Leiognathus,Leiognathidae,Acanthuriformes
Leiostomus xanthurus,104.02333333333334,17.75857142857143,Leiostomus xanthurus,Leiostomus,Sciaenidae,Eupercaria/misc
Lepidocybium flavobrunneum,99.10897684474028,18.998152570269237,Lepidocybium flavobrunneum,Lepidocybium,Gempylidae,Scombriformes
Lepidonotothen larseni,88.775,19.235500000000002,Lepidonotothen larseni,Lepidonotothen,Nototheniidae,Perciformes
Lepidonotothen mizops,88.775,19.235500000000002,Lepidonotothen mizops,Lepidonotothen,Nototheniidae,Perciformes
Lepidonotothen nudifrons,88.775,19.235500000000002,Lepidonotothen nudifrons,Lepidonotothen,Nototheniidae,Perciformes
Lepidonotothen squamifrons,88.775,19.235500000000002,Lepidonotothen squamifrons,Lepidonotothen,Nototheniidae,Perciformes/Notothenioidei
Lepidoperca pulchella,101.28571428571429,18.787142857142857,Lepidoperca pulchella,Lepidoperca,Serranidae,Perciformes/Serranoidei
Lepidopsetta bilineata,96.9625,18.15,Lepidopsetta bilineata,Lepidopsetta,Pleuronectidae,Pleuronectiformes
Lepidopus caudatus,104,18,Lepidopus caudatus,Lepidopus,Trichiuridae,Scombriformes
Lepidorhombus,105,18.6,NA,Lepidorhombus,Scophthalmidae,Pleuronectiformes
Lepidorhombus boscii,105,18.6,Lepidorhombus boscii,Lepidorhombus,Scophthalmidae,Pleuronectiformes
Lepidorhombus whiffiagonis,105,18.6,Lepidorhombus whiffiagonis,Lepidorhombus,Scophthalmidae,Pleuronectiformes
Lepidorhynchus denticulatus,84.1672905643739,16.99752972798806,Lepidorhynchus denticulatus,Lepidorhynchus,Macrouridae,Gadiformes
Lethrinidae,108.66916225749559,18.760118911952244,NA,NA,Lethrinidae,Eupercaria/misc
