scientificname,kingdom,phylum,class,order,family,genus
Callinectes sapidus,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes
Callista chione,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Callista
Cancer borealis,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
Cancer irroratus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
Cancer irroratus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
Cancer magister,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
Cancer pagurus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
Cancer productus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
Carcharhiniformes,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,NA,NA
Carcinus aestuarii,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus
Carcinus maenas,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus
Cardium edule,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cardium
Centroselachus crepidater,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Centroselachus
Cephalopoda,Animalia,Mollusca,Cephalopoda,NA,NA,NA
Cervimunida johni,Animalia,Arthropoda,Malacostraca,Decapoda,Munididae,Cervimunida
Chaceon affinis,Animalia,Arthropoda,Malacostraca,Decapoda,Geryonidae,Chaceon
Chaceon quinquedens,Animalia,Arthropoda,Malacostraca,Decapoda,Geryonidae,Chaceon
Chamelea gallina,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Chamelea
Charybdis,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Charybdis
Chelon haematocheilus,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Chelon
Chimaeriformes,Animalia,Chordata,Holocephali,Chimaeriformes,NA,NA
Chione stutchburyi,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Chione
Chionoecetes,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes
Chionoecetes opilio,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes
Chionoecetes opilio,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes
Chlamys islandica,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys
Chlamys varia,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys
Choromytilus chorus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Choromytilus
Choromytilus chorus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Choromytilus
Clinocardium nuttallii,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Clinocardium
Clupea pallasii pallasii,Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea
Clupeiformes,Animalia,Chordata,Actinopteri,Clupeiformes,NA,NA
Clupeiformes,Animalia,Chordata,Actinopteri,Clupeiformes,NA,NA
Concholepas concholepas,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Concholepas
Crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Crangon
Crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon
Crangon crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon
Crassostrea,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea
Crassostrea gigas,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea
Crassostrea iredalei,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea
Crassostrea rhizophorae,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea
Crassostrea virginica,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea
Crustacea,Animalia,Arthropoda,NA,NA,NA,NA
Cymbium,Animalia,Mollusca,Gastropoda,Neogastropoda,Volutidae,Cymbium
Dasyatis centroura,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis
Deania calcea,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania
Diplodus argenteus argenteus,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Diplodus
Diplodus cervinus cervinus,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Diplodus
Diplodus sargus sargus,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Diplodus
Donax,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax
Dosidicus gigas,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus
Echinoidea,Animalia,Echinodermata,Echinoidea,NA,NA,NA
Echinus esculentus,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Echinus
Elasmobranchii,Animalia,Chordata,Elasmobranchii,NA,NA,NA
Eledone,Animalia,Mollusca,Cephalopoda,Octopoda,Eledonidae,Eledone
Eledone cirrhosa,Animalia,Mollusca,Cephalopoda,Octopoda,Eledonidae,Eledone
Emmelichthys nitidus nitidus,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Emmelichthyidae,Emmelichthys
Ensis directus,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis
Ensis directus,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis
Ensis ensis,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis
Epinephelus flavolimbatus,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus
Epinephelus mystacinus,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus
Epinephelus nigritus,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus
Epinephelus niveatus,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus
Erimacrus isenbeckii,Animalia,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Erimacrus
Euphausia,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia
Euphausia superba,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia
Farfantepenaeus aztecus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus
Farfantepenaeus brasiliensis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus
Farfantepenaeus brevirostris,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus
Farfantepenaeus californiensis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus
Farfantepenaeus duorarum,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus
Farfantepenaeus notialis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus
Farfantepenaeus paulensis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus
Fenneropenaeus chinensis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Fenneropenaeus
Fenneropenaeus merguiensis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Fenneropenaeus
Gadiformes,Animalia,Chordata,Actinopteri,Gadiformes,NA,NA
Gadus ogac,Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus
Gastropoda,Animalia,Mollusca,Gastropoda,NA,NA,NA
Geryon,Animalia,Arthropoda,Malacostraca,Decapoda,Geryonidae,Geryon
Glycymeris glycymeris,Animalia,Mollusca,Bivalvia,Arcida,Glycymerididae,Glycymeris
Haliotis,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis
Haliotis gigantea,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis
Haliotis rubra,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis
Haliotis tuberculata,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis
Haliporoides diomedeae,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Haliporoides
Haliporoides triarthrus,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Haliporoides
Helicolenus dactylopterus dactylopterus,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Helicolenus
Heterocarpus reedi,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Heterocarpus
Himantura gerrardi,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Himantura
Holocephali,Animalia,Chordata,Holocephali,NA,NA,NA
Holothuroidea,Animalia,Echinodermata,Holothuroidea,NA,NA,NA
Homarus americanus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus
Homarus gammarus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus
Hoplostethus mediterraneus mediterraneus,Animalia,Chordata,Actinopteri,Trachichthyiformes,Trachichthyidae,Hoplostethus
Ibacus ciliatus,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Ibacus
Ibacus ciliatus,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Ibacus
Illex argentinus,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex
Illex coindetii,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex
Illex illecebrosus,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex
Illex illecebrosus,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex
Jasus edwardsii,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Jasus
Jasus frontalis,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Jasus
Jasus lalandii,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Jasus
Jasus novaehollandiae,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Jasus
Jasus verreauxi,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Jasus
Jasus verreauxi,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Jasus
Lamniformes,Animalia,Chordata,Elasmobranchii,Lamniformes,NA,NA
Lepidonotothen larseni,Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen
Lepidonotothen mizops,Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen
Lepidonotothen nudifrons,Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen
Limulus polyphemus,Animalia,Arthropoda,Merostomata,Xiphosurida,Limulidae,Limulus
Liocarcinus depurator,Animalia,Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus
Lithodes,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes
Lithodes aequispinus,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes
Lithodes aequispinus,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes
Lithodes maia,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes
Litopenaeus occidentalis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Litopenaeus
Litopenaeus setiferus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Litopenaeus
Litopenaeus stylirostris,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Litopenaeus
Litopenaeus vannamei,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Litopenaeus
Littorina,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina
Littorina littorea,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina
Liza aurata,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza
Liza klunzingeri,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza
Liza saliens,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza
Loligo,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo
Loligo forbesii,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo
Loligo gahi,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo
Loligo opalescens,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo
Loligo pealeii,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo
Loligo vulgaris,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo
Loxechinus albus,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Loxechinus
Mactra sachalinensis,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactra
Maja squinado,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,Maja
Makaira indica,Animalia,Chordata,Actinopteri,Carangiformes,Istiophoridae,Makaira
Mancopsetta maculata antarctica,Animalia,Chordata,Actinopteri,Pleuronectiformes,Achiropsettidae,Mancopsetta
Mancopsetta maculata antarctica,Animalia,Chordata,Actinopteri,Pleuronectiformes,Achiropsettidae,Mancopsetta
Marsupenaeus japonicus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Marsupenaeus
Marsupenaeus japonicus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Marsupenaeus
Melicertus kerathurus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Melicertus
Melicertus latisulcatus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Melicertus
Menippe mercenaria,Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe
Mercenaria mercenaria,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria
Meretrix,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Meretrix
Meretrix lusoria,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Meretrix
Merluccius gayi gayi,Animalia,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius
Merluccius gayi peruanus,Animalia,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius
Mesodesma donacium,Animalia,Mollusca,Bivalvia,Venerida,Mesodesmatidae,Mesodesma
Metanephrops,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Metanephrops
Metanephrops challengeri,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Metanephrops
Metanephrops mozambicus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Metanephrops
Metapenaeus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeus
Metapenaeus endeavouri,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeus
Metapenaeus joyneri,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeus
Metapenaeus monoceros,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeus
Microcosmus sulcatus,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus
Microcosmus sulcatus,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus
Microcosmus sulcatus,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus
Modiolus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus
Mugil soiuy,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil
Mulinia,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mulinia
Mullus barbatus barbatus,Animalia,Chordata,Actinopteri,Mulliformes,Mullidae,Mullus
Murex,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Murex
Mya arenaria,Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya
Mytilus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus
Mytilus chilensis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus
Mytilus coruscus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus
Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus
Mytilus galloprovincialis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus
Necora puber,Animalia,Arthropoda,Malacostraca,Decapoda,Polybiidae,Necora
Nematopalaemon schmitti,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Nematopalaemon
Nephrops norvegicus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops
Nototodarus sloanii,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Nototodarus
Octopoda,Animalia,Mollusca,Cephalopoda,Octopoda,NA,NA
Octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus
Octopus vulgaris,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus
Ommastrephes bartramii,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes
Oncorhynchus masou masou,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus
Osmerus mordax mordax,Animalia,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus
Ostrea,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea
Ostrea chilensis,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea
Ostrea edulis,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea
Ostrea lutaria,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea
Palaemon longirostris,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon
Palaemon serratus,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon
Palinurus,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus
Palinurus delagoae,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus
Palinurus elephas,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus
Palinurus gilchristi,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus
Palinurus mauritanicus,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus
Pandalus,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus
Pandalus borealis,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus
Pandalus goniurus,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus
Pandalus hypsinotus,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus
Pandalus jordani,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus
Pandalus kessleri,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus
Pandalus montagui,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus
Panopea abrupta,Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Panopea
Panulirus,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus
Panulirus argus,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus
Panulirus cygnus,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus
Panulirus gracilis,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus
Panulirus homarus,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus
Panulirus longipes,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus
Paphia,Animalia,Mollusca,Bivalvia,Venerida,Mesodesmatidae,Paphia
Paphia,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Paphia
Paphies australis,Animalia,Mollusca,Bivalvia,Venerida,Mesodesmatidae,Paphies
Paracentrotus lividus,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Paracentrotus
Paralithodes,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes
Paralithodes brevipes,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes
Paralithodes camtschaticus,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes
Paralithodes platypus,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes
Paralomis,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis
Paralomis aculeata,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis
Paralomis formosa,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis
Paralomis granulosa,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis
Paralomis spinosissima,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis
Parapenaeopsis,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Parapenaeopsis
Parapenaeopsis atlantica,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Parapenaeopsis
Parapenaeus longirostris,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Parapenaeus
Patagonotothen brevicauda brevicauda,Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Patagonotothen
Patella,Animalia,Mollusca,Gastropoda,NA,Patellidae,Patella
Patella,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Patella
Pecten jacobaeus,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten
Pecten maximus,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten
Pecten novaezelandiae,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten
Pecten yessoensis,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten
Penaeus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus
Penaeus monodon,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus
Penaeus penicillatus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus
Penaeus semisulcatus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus
Perciformes,Animalia,Chordata,Actinopteri,Perciformes,NA,NA
Perna perna,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Perna
Perna viridis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Perna
Pharus legumen,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Pharus
Placopecten magellanicus,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Placopecten
Pleoticus muelleri,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Pleoticus
Pleoticus robustus,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Pleoticus
Plesiopenaeus edwardsianus,Animalia,Arthropoda,Malacostraca,Decapoda,Aristeidae,Plesiopenaeus
Pleuragramma antarcticum,Animalia,Chordata,Actinopteri,Perciformes,Nototheniidae,Pleuragramma
Pleuroncodes monodon,Animalia,Arthropoda,Malacostraca,Decapoda,Munididae,Pleuroncodes
Pleuronectiformes,Animalia,Chordata,Actinopteri,Pleuronectiformes,NA,NA
Pollicipes pollicipes,Animalia,Arthropoda,Thecostraca,Pollicipedomorpha,Pollicipedidae,Pollicipes
Portunus,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus
Portunus pelagicus,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus
Portunus trituberculatus,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus
Protothaca thaca,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca
Psetta maxima,Animalia,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Psetta
Pseudopentaceros richardsoni,Animalia,Chordata,Actinopteri,Acropomatiformes,Pentacerotidae,Pseudopentaceros
Pyura chilensis,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Pyura
Rajiformes,Animalia,Chordata,Elasmobranchii,Rajiformes,NA,NA
Rapana,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Rapana
Rhinobatos planiceps,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhinobatos
Ruditapes decussatus,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes
Ruditapes philippinarum,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes
Salmo trutta trutta,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo
Salmo trutta trutta,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo
Sarda chiliensis chiliensis,Animalia,Chordata,Actinopteri,Scombriformes,Scombridae,Sarda
Sarda chiliensis lineolata,Animalia,Chordata,Actinopteri,Scombriformes,Scombridae,Sarda
Saxidomus gigantea,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Saxidomus
Sclerocrangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sclerocrangon
Scolopsis taeniatus,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Scolopsis
