iso3c,animal,lsu_value
ARG,buffaloes,0
AUS,buffaloes,0.7
AUT,buffaloes,0.7
BHS,buffaloes,0.6
BHR,buffaloes,0.7
BRB,buffaloes,0.6
BGD,buffaloes,0.5
BTN,buffaloes,0.5
BOL,buffaloes,0
BWA,buffaloes,0
BRA,buffaloes,0
BLZ,buffaloes,0
SLB,buffaloes,0.6
BRN,buffaloes,0.7
BGR,buffaloes,0.7
MMR,buffaloes,0.7
BDI,buffaloes,0
CMR,buffaloes,0
CAN,buffaloes,0
CPV,buffaloes,0
CAF,buffaloes,0
LKA,buffaloes,0.5
TCD,buffaloes,0
CHL,buffaloes,0
CHN,buffaloes,0.7
COL,buffaloes,0
COM,buffaloes,0
COG,buffaloes,0
COK,buffaloes,0.6
CRI,buffaloes,0
CUB,buffaloes,0.6
CYP,buffaloes,0.7
AZE,buffaloes,0.7
BEN,buffaloes,0
DNK,buffaloes,0.7
DMA,buffaloes,0.6
DOM,buffaloes,0.6
BLR,buffaloes,0.7
ECU,buffaloes,0
EGY,buffaloes,0.7
SLV,buffaloes,0
GNQ,buffaloes,0
EST,buffaloes,0.7
FRO,buffaloes,0.6
FJI,buffaloes,0.6
FIN,buffaloes,0.7
FRA,buffaloes,0.7
DJI,buffaloes,0
GEO,buffaloes,0.7
GAB,buffaloes,0
GMB,buffaloes,0
DEU,buffaloes,0.7
BIH,buffaloes,0.7
GHA,buffaloes,0
KIR,buffaloes,0.6
GRC,buffaloes,0.7
GRD,buffaloes,0.6
GTM,buffaloes,0
GIN,buffaloes,0
GUY,buffaloes,0
HTI,buffaloes,0.6
HND,buffaloes,0
HUN,buffaloes,0.7
HRV,buffaloes,0.7
ISL,buffaloes,0.7
IND,buffaloes,0.5
IDN,buffaloes,0.7
IRN,buffaloes,0.7
IRQ,buffaloes,0.7
IRL,buffaloes,0.7
ISR,buffaloes,0.6
ITA,buffaloes,0.7
CIV,buffaloes,0
KAZ,buffaloes,0.7
JAM,buffaloes,0.6
JPN,buffaloes,0.7
JOR,buffaloes,0.7
KGZ,buffaloes,0.7
KEN,buffaloes,0
KHM,buffaloes,0.7
PRK,buffaloes,0.7
KOR,buffaloes,0.7
KWT,buffaloes,0.7
LVA,buffaloes,0.7
LAO,buffaloes,0.7
LBN,buffaloes,0.7
LSO,buffaloes,0
LBR,buffaloes,0
LBY,buffaloes,0.7
LTU,buffaloes,0.7
MHL,buffaloes,0.6
MDG,buffaloes,0
MWI,buffaloes,0
MYS,buffaloes,0.7
MDV,buffaloes,0.5
MLI,buffaloes,0
MLT,buffaloes,0.6
MRT,buffaloes,0
MUS,buffaloes,0
MEX,buffaloes,0
MCO,buffaloes,0.6
MNG,buffaloes,0.7
MAR,buffaloes,0.7
MOZ,buffaloes,0
FSM,buffaloes,0.6
MDA,buffaloes,0.7
NAM,buffaloes,0
NRU,buffaloes,0.6
NPL,buffaloes,0.5
NLD,buffaloes,0.7
MKD,buffaloes,0.7
VUT,buffaloes,0.6
NZL,buffaloes,0.7
NIC,buffaloes,0
NER,buffaloes,0
NGA,buffaloes,0
NIU,buffaloes,0.6
NOR,buffaloes,0.7
PAK,buffaloes,0.5
PAN,buffaloes,0
CZE,buffaloes,0.7
PNG,buffaloes,0.6
PRY,buffaloes,0
PER,buffaloes,0
PHL,buffaloes,0.7
POL,buffaloes,0.7
PRT,buffaloes,0.7
GNB,buffaloes,0
TLS,buffaloes,0.7
ERI,buffaloes,0
QAT,buffaloes,0.7
PLW,buffaloes,0.6
ZWE,buffaloes,0
ROU,buffaloes,0.7
RWA,buffaloes,0
RUS,buffaloes,0.7
KNA,buffaloes,0.6
LCA,buffaloes,0.6
VCT,buffaloes,0.6
SMR,buffaloes,0.6
STP,buffaloes,0
SAU,buffaloes,0.7
SEN,buffaloes,0
SYC,buffaloes,0
SLE,buffaloes,0
SVN,buffaloes,0.7
SVK,buffaloes,0.7
SGP,buffaloes,0.7
SOM,buffaloes,0
ZAF,buffaloes,0
ESP,buffaloes,0.7
SUR,buffaloes,0
TJK,buffaloes,0.7
SWZ,buffaloes,0
SWE,buffaloes,0.7
CHE,buffaloes,0.7
SYR,buffaloes,0.7
TKM,buffaloes,0.7
TZA,buffaloes,0
THA,buffaloes,0.7
TGO,buffaloes,0
TKL,buffaloes,0.6
TON,buffaloes,0.6
TTO,buffaloes,0.6
OMN,buffaloes,0.7
TUN,buffaloes,0.7
TUR,buffaloes,0.7
ARE,buffaloes,0.7
UGA,buffaloes,0
TUV,buffaloes,0.6
GBR,buffaloes,0.7
UKR,buffaloes,0.7
USA,buffaloes,0
BFA,buffaloes,0
URY,buffaloes,0
UZB,buffaloes,0.7
VEN,buffaloes,0
VNM,buffaloes,0.7
ETH,buffaloes,0
WSM,buffaloes,0.6
YEM,buffaloes,0.7
COD,buffaloes,0
ZMB,buffaloes,0
BEL,buffaloes,0.7
LUX,buffaloes,0.7
SRB,buffaloes,0.7
MNE,buffaloes,0.7
SDN,buffaloes,0
SSD,buffaloes,0
ARM,sheep,0.1
AFG,sheep,0.1
ALB,sheep,0.1
DZA,sheep,0.1
AND,sheep,0.1
AGO,sheep,0.1
ATG,sheep,0.1
ARG,sheep,0.1
AUS,sheep,0.1
AUT,sheep,0.1
BHS,sheep,0.1
BHR,sheep,0.1
BRB,sheep,0.1
BGD,sheep,0.1
BTN,sheep,0.1
BOL,sheep,0.1
BWA,sheep,0.1
BRA,sheep,0.1
BLZ,sheep,0.1
SLB,sheep,0.1
BRN,sheep,0.1
BGR,sheep,0.1
MMR,sheep,0.1
BDI,sheep,0.1
CMR,sheep,0.1
CAN,sheep,0.15
CPV,sheep,0.1
CAF,sheep,0.1
LKA,sheep,0.1
TCD,sheep,0.1
CHL,sheep,0.1
CHN,sheep,0.1
COL,sheep,0.1
COM,sheep,0.1
COG,sheep,0.1
COK,sheep,0.1
CRI,sheep,0.1
CUB,sheep,0.1
CYP,sheep,0.1
AZE,sheep,0.1
BEN,sheep,0.1
DNK,sheep,0.1
DMA,sheep,0.1
DOM,sheep,0.1
BLR,sheep,0.1
ECU,sheep,0.1
EGY,sheep,0.1
SLV,sheep,0.1
GNQ,sheep,0.1
EST,sheep,0.1
FRO,sheep,0.1
FJI,sheep,0.1
FIN,sheep,0.1
FRA,sheep,0.1
DJI,sheep,0.1
GEO,sheep,0.1
GAB,sheep,0.1
GMB,sheep,0.1
DEU,sheep,0.1
BIH,sheep,0.1
GHA,sheep,0.1
KIR,sheep,0.1
GRC,sheep,0.1
GRD,sheep,0.1
GTM,sheep,0.1
GIN,sheep,0.1
GUY,sheep,0.1
HTI,sheep,0.1
HND,sheep,0.1
HUN,sheep,0.1
HRV,sheep,0.1
ISL,sheep,0.1
IND,sheep,0.1
IDN,sheep,0.1
IRN,sheep,0.1
IRQ,sheep,0.1
IRL,sheep,0.1
ISR,sheep,0.1
ITA,sheep,0.1
CIV,sheep,0.1
KAZ,sheep,0.1
JAM,sheep,0.1
JPN,sheep,0.1
JOR,sheep,0.1
KGZ,sheep,0.1
KEN,sheep,0.1
KHM,sheep,0.1
PRK,sheep,0.1
KOR,sheep,0.1
KWT,sheep,0.1
LVA,sheep,0.1
LAO,sheep,0.1
LBN,sheep,0.1
LSO,sheep,0.1
LBR,sheep,0.1
LBY,sheep,0.1
LTU,sheep,0.1
MHL,sheep,0.1
MDG,sheep,0.1
MWI,sheep,0.1
MYS,sheep,0.1
MDV,sheep,0.1
MLI,sheep,0.1
MLT,sheep,0.1
MRT,sheep,0.1
MUS,sheep,0.1
MEX,sheep,0.1
MCO,sheep,0.1
MNG,sheep,0.1
MAR,sheep,0.1
MOZ,sheep,0.1
FSM,sheep,0.1
MDA,sheep,0.1
NAM,sheep,0.1
NRU,sheep,0.1
NPL,sheep,0.1
NLD,sheep,0.1
MKD,sheep,0.1
VUT,sheep,0.1
NZL,sheep,0.1
NIC,sheep,0.1
NER,sheep,0.1
NGA,sheep,0.1
NIU,sheep,0.1
NOR,sheep,0.1
PAK,sheep,0.1
PAN,sheep,0.1
CZE,sheep,0.1
PNG,sheep,0.1
PRY,sheep,0.1
PER,sheep,0.1
PHL,sheep,0.1
POL,sheep,0.1
PRT,sheep,0.1
GNB,sheep,0.1
TLS,sheep,0.1
ERI,sheep,0.1
QAT,sheep,0.1
PLW,sheep,0.1
ZWE,sheep,0.1
ROU,sheep,0.1
RWA,sheep,0.1
RUS,sheep,0.1
KNA,sheep,0.1
LCA,sheep,0.1
VCT,sheep,0.1
SMR,sheep,0.1
STP,sheep,0.1
SAU,sheep,0.1
SEN,sheep,0.1
SYC,sheep,0.1
SLE,sheep,0.1
SVN,sheep,0.1
SVK,sheep,0.1
SGP,sheep,0.1
SOM,sheep,0.1
ZAF,sheep,0.1
ESP,sheep,0.1
SUR,sheep,0.1
TJK,sheep,0.1
SWZ,sheep,0.1
SWE,sheep,0.1
CHE,sheep,0.1
SYR,sheep,0.1
TKM,sheep,0.1
TZA,sheep,0.1
THA,sheep,0.1
TGO,sheep,0.1
TKL,sheep,0.1
TON,sheep,0.1
TTO,sheep,0.1
OMN,sheep,0.1
TUN,sheep,0.1
TUR,sheep,0.1
ARE,sheep,0.1
UGA,sheep,0.1
TUV,sheep,0.1
GBR,sheep,0.1
UKR,sheep,0.1
USA,sheep,0.15
BFA,sheep,0.1
URY,sheep,0.1
UZB,sheep,0.1
VEN,sheep,0.1
VNM,sheep,0.1
ETH,sheep,0.1
WSM,sheep,0.1
YEM,sheep,0.1
COD,sheep,0.1
ZMB,sheep,0.1
BEL,sheep,0.1
LUX,sheep,0.1
SRB,sheep,0.1
MNE,sheep,0.1
SDN,sheep,0.1
SSD,sheep,0.1
ARM,goats,0.1
AFG,goats,0.1
ALB,goats,0.1
DZA,goats,0.1
AND,goats,0.1
AGO,goats,0.1
ATG,goats,0.1
ARG,goats,0.1
AUS,goats,0.1
AUT,goats,0.1
BHS,goats,0.1
BHR,goats,0.1
BRB,goats,0.1
BGD,goats,0.1
BTN,goats,0.1
BOL,goats,0.1
BWA,goats,0.1
BRA,goats,0.1
BLZ,goats,0.1
SLB,goats,0.1
BRN,goats,0.1
BGR,goats,0.1
MMR,goats,0.1
BDI,goats,0.1
CMR,goats,0.1
CAN,goats,0.1
CPV,goats,0.1
CAF,goats,0.1
LKA,goats,0.1
TCD,goats,0.1
CHL,goats,0.1
CHN,goats,0.1
COL,goats,0.1
COM,goats,0.1
COG,goats,0.1
COK,goats,0.1
CRI,goats,0.1
CUB,goats,0.1
CYP,goats,0.1
AZE,goats,0.1
BEN,goats,0.1
DNK,goats,0.1
DMA,goats,0.1
DOM,goats,0.1
BLR,goats,0.1
ECU,goats,0.1
EGY,goats,0.1
SLV,goats,0.1
GNQ,goats,0.1
EST,goats,0.1
FRO,goats,0.1
FJI,goats,0.1
FIN,goats,0.1
FRA,goats,0.1
DJI,goats,0.1
GEO,goats,0.1
GAB,goats,0.1
GMB,goats,0.1
DEU,goats,0.1
BIH,goats,0.1
GHA,goats,0.1
KIR,goats,0.1
GRC,goats,0.1
GRD,goats,0.1
GTM,goats,0.1
GIN,goats,0.1
GUY,goats,0.1
HTI,goats,0.1
HND,goats,0.1
HUN,goats,0.1
HRV,goats,0.1
ISL,goats,0.1
IND,goats,0.1
IDN,goats,0.1
IRN,goats,0.1
IRQ,goats,0.1
IRL,goats,0.1
ISR,goats,0.1
ITA,goats,0.1
CIV,goats,0.1
KAZ,goats,0.1
JAM,goats,0.1
JPN,goats,0.1
JOR,goats,0.1
KGZ,goats,0.1
KEN,goats,0.1
KHM,goats,0.1
PRK,goats,0.1
KOR,goats,0.1
KWT,goats,0.1
LVA,goats,0.1
LAO,goats,0.1
LBN,goats,0.1
LSO,goats,0.1
LBR,goats,0.1
LBY,goats,0.1
LTU,goats,0.1
MHL,goats,0.1
MDG,goats,0.1
MWI,goats,0.1
MYS,goats,0.1
MDV,goats,0.1
MLI,goats,0.1
MLT,goats,0.1
MRT,goats,0.1
MUS,goats,0.1
MEX,goats,0.1
MCO,goats,0.1
MNG,goats,0.1
MAR,goats,0.1
MOZ,goats,0.1
FSM,goats,0.1
MDA,goats,0.1
NAM,goats,0.1
NRU,goats,0.1
NPL,goats,0.1
NLD,goats,0.1
MKD,goats,0.1
VUT,goats,0.1
NZL,goats,0.1
NIC,goats,0.1
NER,goats,0.1
NGA,goats,0.1
NIU,goats,0.1
NOR,goats,0.1
PAK,goats,0.1
PAN,goats,0.1
CZE,goats,0.1
PNG,goats,0.1
PRY,goats,0.1
PER,goats,0.1
PHL,goats,0.1
POL,goats,0.1
PRT,goats,0.1
GNB,goats,0.1
TLS,goats,0.1
ERI,goats,0.1
QAT,goats,0.1
PLW,goats,0.1
ZWE,goats,0.1
ROU,goats,0.1
RWA,goats,0.1
RUS,goats,0.1
KNA,goats,0.1
LCA,goats,0.1
VCT,goats,0.1
SMR,goats,0.1
STP,goats,0.1
SAU,goats,0.1
SEN,goats,0.1
SYC,goats,0.1
SLE,goats,0.1
SVN,goats,0.1
SVK,goats,0.1
SGP,goats,0.1
SOM,goats,0.1
ZAF,goats,0.1
ESP,goats,0.1
SUR,goats,0.1
TJK,goats,0.1
SWZ,goats,0.1
SWE,goats,0.1
CHE,goats,0.1
SYR,goats,0.1
TKM,goats,0.1
TZA,goats,0.1
THA,goats,0.1
TGO,goats,0.1
TKL,goats,0.1
TON,goats,0.1
TTO,goats,0.1
OMN,goats,0.1
TUN,goats,0.1
TUR,goats,0.1
ARE,goats,0.1
UGA,goats,0.1
TUV,goats,0.1
GBR,goats,0.1
UKR,goats,0.1
USA,goats,0.1
BFA,goats,0.1
URY,goats,0.1
UZB,goats,0.1
VEN,goats,0.1
VNM,goats,0.1
ETH,goats,0.1
WSM,goats,0.1
YEM,goats,0.1
COD,goats,0.1
ZMB,goats,0.1
BEL,goats,0.1
LUX,goats,0.1
SRB,goats,0.1
MNE,goats,0.1
SDN,goats,0.1
SSD,goats,0.1
ARM,pigs,0.25
AFG,pigs,0.2
ALB,pigs,0.25
DZA,pigs,0.2
AND,pigs,0.2
AGO,pigs,0.2
ATG,pigs,0.2
ARG,pigs,0.25
AUS,pigs,0.25
AUT,pigs,0.25
BHS,pigs,0.2
BHR,pigs,0.2
BRB,pigs,0.2
BGD,pigs,0.2
BTN,pigs,0.2
BOL,pigs,0.25
BWA,pigs,0.2
BRA,pigs,0.25
BLZ,pigs,0.25
SLB,pigs,0.2
BRN,pigs,0.25
BGR,pigs,0.25
MMR,pigs,0.25
BDI,pigs,0.2
CMR,pigs,0.2
CAN,pigs,0.25
CPV,pigs,0.2
CAF,pigs,0.2
LKA,pigs,0.2
TCD,pigs,0.2
CHL,pigs,0.25
CHN,pigs,0.25
COL,pigs,0.25
COM,pigs,0.2
COG,pigs,0.2
COK,pigs,0.2
CRI,pigs,0.25
CUB,pigs,0.2
CYP,pigs,0.2
AZE,pigs,0.25
BEN,pigs,0.2
DNK,pigs,0.25
DMA,pigs,0.2
DOM,pigs,0.2
BLR,pigs,0.25
ECU,pigs,0.25
EGY,pigs,0.2
SLV,pigs,0.25
GNQ,pigs,0.2
EST,pigs,0.25
FRO,pigs,0.2
FJI,pigs,0.2
FIN,pigs,0.25
FRA,pigs,0.25
DJI,pigs,0.2
GEO,pigs,0.25
GAB,pigs,0.2
GMB,pigs,0.2
DEU,pigs,0.25
BIH,pigs,0.25
GHA,pigs,0.2
KIR,pigs,0.2
GRC,pigs,0.25
GRD,pigs,0.2
GTM,pigs,0.25
GIN,pigs,0.2
GUY,pigs,0.25
HTI,pigs,0.2
HND,pigs,0.25
HUN,pigs,0.25
HRV,pigs,0.25
ISL,pigs,0.25
IND,pigs,0.2
IDN,pigs,0.25
IRN,pigs,0.2
IRQ,pigs,0.2
IRL,pigs,0.25
ISR,pigs,0.2
ITA,pigs,0.25
CIV,pigs,0.2
KAZ,pigs,0.25
JAM,pigs,0.2
JPN,pigs,0.25
JOR,pigs,0.2
KGZ,pigs,0.25
KEN,pigs,0.2
KHM,pigs,0.25
PRK,pigs,0.25
KOR,pigs,0.25
KWT,pigs,0.2
LVA,pigs,0.25
LAO,pigs,0.25
LBN,pigs,0.2
LSO,pigs,0.2
LBR,pigs,0.2
LBY,pigs,0.2
LTU,pigs,0.25
MHL,pigs,0.2
MDG,pigs,0.2
MWI,pigs,0.2
MYS,pigs,0.25
MDV,pigs,0.2
MLI,pigs,0.2
MLT,pigs,0.2
MRT,pigs,0.2
MUS,pigs,0.2
MEX,pigs,0.25
MCO,pigs,0.2
MNG,pigs,0.25
MAR,pigs,0.2
MOZ,pigs,0.2
FSM,pigs,0.2
MDA,pigs,0.25
NAM,pigs,0.2
NRU,pigs,0.2
NPL,pigs,0.2
NLD,pigs,0.25
MKD,pigs,0.25
VUT,pigs,0.2
NZL,pigs,0.25
NIC,pigs,0.25
NER,pigs,0.2
NGA,pigs,0.2
NIU,pigs,0.2
NOR,pigs,0.25
PAK,pigs,0.2
PAN,pigs,0.25
CZE,pigs,0.25
PNG,pigs,0.2
PRY,pigs,0.25
PER,pigs,0.25
PHL,pigs,0.25
POL,pigs,0.25
PRT,pigs,0.25
GNB,pigs,0.2
TLS,pigs,0.25
ERI,pigs,0.2
QAT,pigs,0.2
PLW,pigs,0.2
ZWE,pigs,0.2
ROU,pigs,0.25
RWA,pigs,0.2
RUS,pigs,0.25
KNA,pigs,0.2
LCA,pigs,0.2
VCT,pigs,0.2
SMR,pigs,0.2
STP,pigs,0.2
SAU,pigs,0.2
SEN,pigs,0.2
SYC,pigs,0.2
SLE,pigs,0.2
SVN,pigs,0.25
SVK,pigs,0.25
SGP,pigs,0.25
SOM,pigs,0.2
ZAF,pigs,0.2
ESP,pigs,0.25
SUR,pigs,0.25
TJK,pigs,0.25
SWZ,pigs,0.2
SWE,pigs,0.25
CHE,pigs,0.25
SYR,pigs,0.2
TKM,pigs,0.25
TZA,pigs,0.2
THA,pigs,0.25
TGO,pigs,0.2
TKL,pigs,0.2
TON,pigs,0.2
TTO,pigs,0.2
OMN,pigs,0.2
TUN,pigs,0.2
TUR,pigs,0.2
ARE,pigs,0.2
UGA,pigs,0.2
TUV,pigs,0.2
GBR,pigs,0.25
UKR,pigs,0.25
USA,pigs,0.25
BFA,pigs,0.2
URY,pigs,0.25
UZB,pigs,0.25
VEN,pigs,0.25
VNM,pigs,0.25
ETH,pigs,0.2
WSM,pigs,0.2
YEM,pigs,0.2
COD,pigs,0.2
ZMB,pigs,0.2
BEL,pigs,0.25
LUX,pigs,0.25
SRB,pigs,0.25
MNE,pigs,0.25
SDN,pigs,0.2
SSD,pigs,0.2
ARM,chickens,0.01
AFG,chickens,0.01
ALB,chickens,0.01
DZA,chickens,0.01
AND,chickens,0.01
AGO,chickens,0.01
ATG,chickens,0.01
ARG,chickens,0.01
AUS,chickens,0.01
AUT,chickens,0.01
BHS,chickens,0.01
BHR,chickens,0.01
BRB,chickens,0.01
BGD,chickens,0.01
BTN,chickens,0.01
BOL,chickens,0.01
BWA,chickens,0.01
BRA,chickens,0.01
BLZ,chickens,0.01
SLB,chickens,0.01
BRN,chickens,0.01
BGR,chickens,0.01
MMR,chickens,0.01
BDI,chickens,0.01
CMR,chickens,0.01
CAN,chickens,0.01
CPV,chickens,0.01
CAF,chickens,0.01
LKA,chickens,0.01
TCD,chickens,0.01
CHL,chickens,0.01
CHN,chickens,0.01
COL,chickens,0.01
COM,chickens,0.01
COG,chickens,0.01
COK,chickens,0.01
CRI,chickens,0.01
CUB,chickens,0.01
CYP,chickens,0.01
AZE,chickens,0.01
BEN,chickens,0.01
DNK,chickens,0.01
DMA,chickens,0.01
DOM,chickens,0.01
BLR,chickens,0.01
ECU,chickens,0.01
EGY,chickens,0.01
SLV,chickens,0.01
GNQ,chickens,0.01
EST,chickens,0.01
FRO,chickens,0.01
FJI,chickens,0.01
FIN,chickens,0.01
FRA,chickens,0.01
DJI,chickens,0.01
GEO,chickens,0.01
GAB,chickens,0.01
GMB,chickens,0.01
DEU,chickens,0.01
BIH,chickens,0.01
GHA,chickens,0.01
KIR,chickens,0.01
GRC,chickens,0.01
GRD,chickens,0.01
GTM,chickens,0.01
GIN,chickens,0.01
GUY,chickens,0.01
HTI,chickens,0.01
HND,chickens,0.01
HUN,chickens,0.01
HRV,chickens,0.01
ISL,chickens,0.01
IND,chickens,0.01
IDN,chickens,0.01
IRN,chickens,0.01
IRQ,chickens,0.01
IRL,chickens,0.01
ISR,chickens,0.01
ITA,chickens,0.01
CIV,chickens,0.01
KAZ,chickens,0.01
JAM,chickens,0.01
JPN,chickens,0.01
JOR,chickens,0.01
KGZ,chickens,0.01
KEN,chickens,0.01
KHM,chickens,0.01
PRK,chickens,0.01
KOR,chickens,0.01
KWT,chickens,0.01
LVA,chickens,0.01
LAO,chickens,0.01
LBN,chickens,0.01
LSO,chickens,0.01
LBR,chickens,0.01
LBY,chickens,0.01
LTU,chickens,0.01
MHL,chickens,0.01
MDG,chickens,0.01
MWI,chickens,0.01
MYS,chickens,0.01
MDV,chickens,0.01
MLI,chickens,0.01
MLT,chickens,0.01
MRT,chickens,0.01
MUS,chickens,0.01
MEX,chickens,0.01
MCO,chickens,0.01
MNG,chickens,0.01
MAR,chickens,0.01
MOZ,chickens,0.01
FSM,chickens,0.01
MDA,chickens,0.01
NAM,chickens,0.01
NRU,chickens,0.01
NPL,chickens,0.01
NLD,chickens,0.01
MKD,chickens,0.01
VUT,chickens,0.01
NZL,chickens,0.01
NIC,chickens,0.01
NER,chickens,0.01
NGA,chickens,0.01
NIU,chickens,0.01
NOR,chickens,0.01
PAK,chickens,0.01
PAN,chickens,0.01
CZE,chickens,0.01
PNG,chickens,0.01
PRY,chickens,0.01
PER,chickens,0.01
PHL,chickens,0.01
POL,chickens,0.01
PRT,chickens,0.01
GNB,chickens,0.01
TLS,chickens,0.01
ERI,chickens,0.01
QAT,chickens,0.01
PLW,chickens,0.01
ZWE,chickens,0.01
ROU,chickens,0.01
RWA,chickens,0.01
RUS,chickens,0.01
KNA,chickens,0.01
LCA,chickens,0.01
VCT,chickens,0.01
SMR,chickens,0.01
STP,chickens,0.01
SAU,chickens,0.01
SEN,chickens,0.01
SYC,chickens,0.01
SLE,chickens,0.01
SVN,chickens,0.01
SVK,chickens,0.01
SGP,chickens,0.01
SOM,chickens,0.01
ZAF,chickens,0.01
ESP,chickens,0.01
SUR,chickens,0.01
TJK,chickens,0.01
SWZ,chickens,0.01
SWE,chickens,0.01
CHE,chickens,0.01
SYR,chickens,0.01
TKM,chickens,0.01
TZA,chickens,0.01
THA,chickens,0.01
TGO,chickens,0.01
TKL,chickens,0.01
TON,chickens,0.01
TTO,chickens,0.01
OMN,chickens,0.01
TUN,chickens,0.01
TUR,chickens,0.01
ARE,chickens,0.01
UGA,chickens,0.01
TUV,chickens,0.01
GBR,chickens,0.01
UKR,chickens,0.01
USA,chickens,0.01
BFA,chickens,0.01
URY,chickens,0.01
UZB,chickens,0.01
VEN,chickens,0.01
VNM,chickens,0.01
ETH,chickens,0.01
WSM,chickens,0.01
YEM,chickens,0.01
COD,chickens,0.01
ZMB,chickens,0.01
BEL,chickens,0.01
LUX,chickens,0.01
SRB,chickens,0.01
MNE,chickens,0.01
SDN,chickens,0.01
SSD,chickens,0.01
ALA,cows,0.3228787878787879
ALA,chickens,0.3228787878787879
