rgn_typ,rgn_id,rgn_nam,iso3c,notes
eez,94,Heard and McDonald Islands,uninhabited_island,"uninhabited island, iso3c: HMD; admin country: AUS"
eez,133,Honduras,HND,
eez,187,Croatia,HRV,
eez,114,Haiti,HTI,
eez,216,Indonesia,IDN,
eez,34,Bassas da India,IND,
eez,203,India,IND,
eez,38,British Indian Ocean Territory,IOT,
eez,181,Ireland,IRL,
eez,191,Iran,IRN,
eez,192,Iraq,IRQ,
eez,143,Iceland,ISL,
eez,79,Israel,ISR,
eez,184,Italy,ITA,
eez,166,Jamaica,JAM,
eez,227,Jersey,JEY,
eez,215,Jordan,JOR,
eez,210,Japan,JPN,
eez,43,Kenya,KEN,
eez,24,Cambodia,KHM,
eez,212,Kiribati,KIR,
eez,119,Saint Kitts and Nevis,KNA,
eez,20,South Korea,KOR,
eez,51,Kuwait,KWT,
eez,78,Lebanon,LBN,
eez,97,Liberia,LBR,
eez,67,Libya,LBY,
eez,122,Saint Lucia,LCA,
eez,40,Sri Lanka,LKA,
eez,189,Lithuania,LTU,
eez,69,Latvia,LVA,
eez,62,Morocco,MAR,
eez,185,Monaco,MCO,
eez,42,Madagascar,MDG,
eez,39,Maldives,MDV,
eez,135,Mexico,MEX,
eez,11,Marshall Islands,MHL,
eez,68,Malta,MLT,
eez,205,Myanmar,MMR,
eez,186,Montenegro,MNE,
eez,41,Mozambique,MOZ,
eez,64,Mauritania,MRT,
eez,121,Montserrat,MSR,
eez,37,Mauritius,MUS,
eez,206,Malaysia,MYS,
eez,29,Mayotte,MYT,
eez,92,Amsterdam Island and Saint Paul Island,ATF,uninhabited French Southern Territories
eez,26,Andaman and Nicobar,uninhabited_island,"uninhabited island, admin country = INDIA"
eez,85,Ascension,uninhabited_island,"uninhabited island, admin = GBR"
eez,55,Azores,PRT,"grouped with Portugal, check on GADM36 map"
eez,245,Bonaire,BES,"Bonaire, Sint Eustatius, Saba grouped in food systems"
eez,58,Canary Islands,ESP,"considered part of Spain, check this on gadm36"
eez,107,Clipperton Island,uninhabited_island,"uninhabited island, iso3c, XCL; adimin = FRA"
eez,91,Crozet Islands,ATF,uninhabited French Southern Territories
eez,30,Glorioso Islands,uninhabited_island,uninhabited island; admin = FRA
eez,140,Guadeloupe and Martinique,GLP/MTQ,multiple regions reported together
eez,158,Howland Island and Baker Island,UMI,United States Outlying uninhabited Islands
eez,35,Ile Europa,uninhabited_island,uninhabited French Overseas Territory
eez,36,Ile Tromelin,uninhabited_island,uninhabited French Overseas Territory
eez,144,Jan Mayen,uninhabited_island,Check on eez that this doesn't include Svalbard (SJM)
eez,149,Jarvis Island,UMI,United States Outlying uninhabited Islands
eez,159,Johnston Atoll,UMI,United States Outlying uninhabited Islands
eez,33,Juan de Nova Island,ATF,uninhabited French Southern Territories
eez,93,Kerguelen Islands,ATF,uninhabited French Southern Territories
eez,148,Line Group,KIR,grouped with Kiribati
eez,4,Macquarie Island,uninhabited_island,"uninhabited island, admin: Australia"
eez,57,Madeira,XMI,our own made up ISO3c
eez,9,Micronesia,FSM,not identified by countrycode
eez,13,Northern Mariana Islands and Guam,MNP/GUM,mutiple regions reported together
eez,221,Northern Saint-Martin,MAF,Not catching the label in countrycode
eez,237,Oecussi Ambeno,TLS,grouped with Timor Leste check on gadm36 map
eez,150,Palmyra Atoll,UMI,United States Outlying uninhabited Islands
eez,157,Phoenix Group,KIR,grouped with kiribati
eez,90,Prince Edward Islands,uninhabited_island,"uninhabited island, admin: ZAF"
eez,116,Puerto Rico and Virgin Islands of the United States,PRI/VIR,mutiple regions reported together
eez,248,Saba,BES,"Bonaire, Sint Eustatius, Saba grouped in food systems"
eez,249,Sint Eustatius,BES,"Bonaire, Sint Eustatius, Saba grouped in food systems"
eez,88,Tristan da Cunha,uninhabited_island,uninhabited island; british overseas territory
eez,12,Wake Island,UMI,United States Outlying uninhabited Islands
eez,101,Namibia,NAM,
eez,5,New Caledonia,NCL,
eez,3,Norfolk Island,NFK,
eez,196,Nigeria,NGA,
eez,131,Nicaragua,NIC,
eez,154,Niue,NIU,
eez,177,Netherlands,NLD,
eez,223,Norway,NOR,
eez,10,Nauru,NRU,
eez,162,New Zealand,NZL,
eez,48,Oman,OMN,
eez,53,Pakistan,PAK,
eez,129,Panama,PAN,
eez,146,Pitcairn,PCN,
eez,138,Peru,PER,
eez,15,Philippines,PHL,
eez,8,Palau,PLW,
eez,17,Papua New Guinea,PNG,
eez,178,Poland,POL,
eez,21,North Korea,PRK,
eez,183,Portugal,PRT,
eez,147,French Polynesia,PYF,
eez,190,Qatar,QAT,
eez,32,Reunion,REU,
eez,72,Romania,ROU,
eez,73,Russia,RUS,
eez,50,Saudi Arabia,SAU,
eez,49,Sudan,SDN,
eez,66,Senegal,SEN,
eez,208,Singapore,SGP,
eez,89,South Georgia and the South Sandwich Islands,uninhabited_island,"uninhabited island, iso3c SGS; admin: GBR"
eez,86,Saint Helena,SHN,
eez,7,Solomon Islands,SLB,
eez,96,Sierra Leone,SLE,
eez,134,El Salvador,SLV,
eez,44,Somalia,SOM,
eez,219,Saint Pierre and Miquelon,SPM,
eez,103,Sao Tome and Principe,STP,
eez,168,Suriname,SUR,
eez,188,Slovenia,SVN,
eez,222,Sweden,SWE,
eez,220,Sint Maarten,SXM,
eez,31,Seychelles,SYC,
eez,77,Syria,SYR,
eez,111,Turks and Caicos Islands,TCA,
eez,98,Togo,TGO,
eez,25,Thailand,THA,
eez,156,Tokelau,TKL,
eez,231,East Timor,TLS,
eez,155,Tonga,TON,
eez,126,Trinidad and Tobago,TTO,
eez,61,Tunisia,TUN,
eez,76,Turkey,TUR,
eez,19,Tuvalu,TUV,
eez,14,Taiwan,TWN,
eez,202,Tanzania,TZA,
eez,75,Ukraine,UKR,
eez,173,Uruguay,URY,
eez,163,United States,USA,
eez,127,Saint Vincent and the Grenadines,VCT,
eez,139,Venezuela,VEN,
eez,117,British Virgin Islands,VGB,
eez,207,Vietnam,VNM,
eez,6,Vanuatu,VUT,
eez,161,Wallis and Futuna,WLF,
eez,152,Samoa,WSM,
eez,47,Yemen,YEM,
eez,102,South Africa,ZAF,
eez-disputed,255,DISPUTED,disputed,
fao,260,Arctic Sea,FAO,
fao,261,"Atlantic, Northwest",FAO,
fao,262,"Atlantic, Northeast",FAO,
fao,263,"Atlantic, Western-Central",FAO,
fao,264,"Atlantic, Eastern Central",FAO,
fao,266,"Atlantic, Southwest",FAO,
fao,267,"Atlantic, Southeast",FAO,
fao,269,"Indian Ocean, Western",FAO,
fao,270,"Indian Ocean, Eastern",FAO,
fao,272,"Pacific, Northwest",FAO,
fao,273,"Pacific, Northeast",FAO,
fao,274,"Pacific, Western Central",FAO,
fao,275,"Pacific, Eastern Central",FAO,
fao,276,"Pacific, Southwest",FAO,
fao,277,"Pacific, Southeast",FAO,
