lon,lat,iso3c
15.308805674099103,44.12560769106361,HRV
15.289529327899027,44.14247819573893,HRV
15.270252981698953,44.15934870041425,HRV
15.250976635498876,44.176219205089566,HRV
15.2317002892988,44.19308970976489,HRV
15.212423943098724,44.20996021444021,HRV
15.193147596898648,44.226830719115526,HRV
15.175180161732415,44.24346013349812,HRV
15.199202347130663,44.25235541649066,HRV
15.223224532528912,44.2612506994832,HRV
15.247246717927158,44.27014598247574,HRV
15.271268903325407,44.27904126546828,HRV
15.295291088723655,44.28793654846082,HRV
15.319313274121903,44.29683183145336,HRV
15.343335459520151,44.3057271144459,HRV
15.3673576449184,44.314622397438434,HRV
15.364391720946275,44.328854055942145,HRV
15.345562647792176,44.34622234471746,HRV
15.326733574638078,44.36359063349278,HRV
15.30790450148398,44.38095892226809,HRV
