site_no_,comp_name,cert_name,farm_name,species__c,type_of_certification__c,cert_country,farm_species,geom,,,,,
S0000160,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2607,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.441491 38.341894),,,,,
S0000161,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2608,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.43358 38.334714),,,,,
S0000162,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2610,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.421392 38.339423),,,,,
S0000163,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2611,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.429202 38.343765),,,,,
S0000164,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2612,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.419564 38.345788),,,,,
S0000165,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2614,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.409516 38.348085),,,,,
S0000166,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2615,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.421643 38.357131),,,,,
S0000167,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2617,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.416238 38.360655),,,,,
S0000168,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2618,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.423904 38.362512),,,,,
S0000169,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2619,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.433096 38.364239),,,,,
S0000170,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2620,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.413167 38.339667),,,,,
S0000171,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2621,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.435166 38.367158),,,,,
S0000172,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2625,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.4489 38.371301),,,,,
S0000173,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2626,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.450114 38.371291),,,,,
S0000174,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2627,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.405484 38.356877),,,,,
S0000175,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2628,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.419162 38.334987),,,,,
S0000176,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2629,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.430035 38.328863),,,,,
S0000177,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2630,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.436564 38.325418),,,,,
S0000178,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2631,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.41 38.380667),,,,,
S0000179,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2632,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.2804 38.2268),,,,,
S0000180,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2633,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.417457 38.371653),,,,,
S0000181,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2634,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.426926 38.373409),,,,,
S0000182,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2635,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.444135 38.373711),,,,,
S0000183,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2636,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.450659 38.371302),,,,,
S0000184,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2637,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.45311 38.371712),,,,,
S0000185,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2638,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.441611 38.375298),,,,,
S0000186,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2641,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.422551 38.380157),,,,,
S0000187,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2642,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.401962 38.367046),,,,,
S0000188,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2643,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.420073 38.383456),,,,,
S0000189,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2644,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.421746 38.388266),,,,,
S0000190,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2645,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.41032 38.378755),,,,,
S0000191,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2650,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.390772 38.373649),,,,,
S0000192,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2651,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.401662 38.388754),,,,,
S0000193,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2652,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.389538 38.380142),,,,,
S0000194,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2653,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.3475 38.411333),,,,,
S0000195,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2654,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.343333 38.399833),,,,,
S0000196,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2655,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.366097 38.39664),,,,,
S0000197,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2656,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.38897 38.431174),,,,,
S0000198,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2657,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.379084 38.425652),,,,,
S0000199,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2658,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.364823 38.386851),,,,,
S0000200,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2659,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.426688 38.301731),,,,,
S0000201,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2660,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.379333 38.4145),,,,,
S0000202,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2661,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.385667 38.415667),,,,,
S0000203,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2662,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.386167 38.415),,,,,
S0000204,Miyagi Prefecture Fisheries Cooperative,"Ishinomaki Area, Ishinomaki City East Branch and Ishinomaki Bay Branch",Fishery area No. 2663,Bivalve,Multi Site without IMS,Japan,Crassostrea gigas (Pacific cupped oyster),POINT (141.355255 38.399389),,,,,
S0000219,Acuapesca Group (Nemo Corporation and Maricultura del Norte),Ensenada de Nonura Farm,Nemo Corporation SAC I,Bivalve,Multi Site without IMS,Peru,Argopecten purpuratus (Peruvian calico scallop),POINT (-81.110611 -5.832639),,,,,
S0000232,Sol Azul,El Cardon Farm,El Cardon Farm,Bivalve,Single Site,Mexico,"Crassostrea gigas (Pacific cupped oyster), Crassostrea sikamea (Kumamoto oyster)",POINT (-113.149167 26.788333),,,,,
S0000284,"Rizhao Green Life Foods Co., Ltd.",Shandong Longde Ocean Technology Farm,Shandong Longde Ocean Technology,Bivalve,Single Site,China,"Mytilus edulis (Blue mussel), Crassostrea gigas (Pacific cupped oyster)",POINT (119.32575 35.035083),,,,,
S0000303,"Acuapesca Group (Acuacultura y Pesca, Premium Fish and Scallops Peru)",CUP-C831442-ASC-01-2019-BV,Acuicultura y Pesca SAC 2,Bivalve,Multi Site,Peru,Argopecten purpuratus (Peruvian calico scallop),POINT (-78.439947 -9.345117),,,,,
S0000304,"Acuapesca Group (Acuacultura y Pesca, Premium Fish and Scallops Peru)",CUP-C831442-ASC-01-2019-BV,Acuicultura y Pesca SAC 3,Bivalve,Multi Site,Peru,Argopecten purpuratus (Peruvian calico scallop),POINT (-78.452169 -9.362617),,,,,
S0000305,"Acuapesca Group (Acuacultura y Pesca, Premium Fish and Scallops Peru)",CUP-C831442-ASC-01-2019-BV,Acuicultura y Pesca SAC 4,Bivalve,Multi Site,Peru,Argopecten purpuratus (Peruvian calico scallop),POINT (-78.450733 -9.333749),,,,,
S0000306,"Acuapesca Group (Acuacultura y Pesca, Premium Fish and Scallops Peru)",CUP-C831442-ASC-01-2019-BV,Acuicultura y Pesca SAC 5,Bivalve,Multi Site,Peru,Argopecten purpuratus (Peruvian calico scallop),POINT (-78.436613 -9.338728),,,,,
S0000307,"Acuapesca Group (Acuacultura y Pesca, Premium Fish and Scallops Peru)",CUP-C831442-ASC-01-2019-BV,Acuicultura y Pesca SAC 6,Bivalve,Multi Site,Peru,Argopecten purpuratus (Peruvian calico scallop),POINT (-78.460586 -9.334895),,,,,
S0000308,"Acuapesca Group (Acuacultura y Pesca, Premium Fish and Scallops Peru)",CUP-C831442-ASC-01-2019-BV,Scallops Peru SAC2,Bivalve,Multi Site,Peru,Argopecten purpuratus (Peruvian calico scallop),POINT (-78.461312 -9.354996),,,,,
S0000315,HUITRES GEAY,HUITRES GEAY,CHARRET,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (-1.193911 45.792117),,,,,
S0000316,HUITRES GEAY,HUITRES GEAY,BOURGEOIS,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (-1.193912 45.792118),,,,,
S0000317,HUITRES GEAY,HUITRES GEAY,LA FLORIDE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (-1.193912 45.792118),,,,,
S0000337,HUITRES GEAY,HUITRES GEAY,SABLE DE RONCE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000338,HUITRES GEAY,HUITRES GEAY,PERQUIS,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (-1.193911 45.792117),,,,,
S0000339,HUITRES GEAY,HUITRES GEAY,GALON D'OR,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000340,HUITRES GEAY,HUITRES GEAY,SEUDRE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000341,HUITRES GEAY,HUITRES GEAY,PUTET,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000342,HUITRES GEAY,HUITRES GEAY,BONNE ANSE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000343,HUITRES GEAY,HUITRES GEAY,LAMOUROUX,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (-1.193912 45.792118),,,,,
S0000344,HUITRES GEAY,HUITRES GEAY,BARAT,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000345,HUITRES GEAY,HUITRES GEAY,ILE MADAME,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000346,HUITRES GEAY,HUITRES GEAY,ESTREE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000347,HUITRES GEAY,HUITRES GEAY,SAINT FROULT,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000348,HUITRES GEAY,HUITRES GEAY,CHENAL DE BROUAGE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000349,HUITRES GEAY,HUITRES GEAY,SAUMONARDS,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000350,HUITRES GEAY,HUITRES GEAY,VIEILLE GOULE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000351,HUITRES GEAY,HUITRES GEAY,LILEAU,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000352,HUITRES GEAY,HUITRES GEAY,VIANDET,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000353,HUITRES GEAY,HUITRES GEAY,ETIER NEUF,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000354,HUITRES GEAY,HUITRES GEAY,GRANDES PORTES,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000355,HUITRES GEAY,HUITRES GEAY,TRAIRES,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
S0000356,HUITRES GEAY,HUITRES GEAY,CASSE EMELINE,Bivalve,Multi Site,France,Crassostrea gigas (Pacific cupped oyster),POINT (0.672467 46.32255),,,,,
