"country","species","fao_major_area","environment","year","value","iso3c"
"Cuba","Whiteleg shrimp","Atlantic, Western Central","Brackishwater",2017,5631,"CUB"
"Madagascar","Giant tiger prawn","Indian Ocean, Western","Marine",2017,5439,"MDG"
"Korea, Republic of","Whiteleg shrimp","Pacific, Northwest","Brackishwater",2017,5144,"KOR"
"Thailand","Giant tiger prawn","Pacific, Western Central","Brackishwater",2017,5115,"THA"
"Taiwan Province of China","Whiteleg shrimp","Pacific, Northwest","Brackishwater",2017,5000.97,"TWN"
"Sri Lanka","Giant tiger prawn","Indian Ocean, Eastern","Brackishwater",2017,4630,"LKA"
"Australia","Penaeus shrimps nei","Pacific, Western Central","Brackishwater",2017,4264.1,"AUS"
"Bangladesh","Speckled shrimp","Indian Ocean, Eastern","Brackishwater",2017,3957,"BGD"
"Colombia","Whiteleg shrimp","Atlantic, Western Central","Brackishwater",2017,3700,"COL"
"Costa Rica","Whiteleg shrimp","Pacific, Eastern Central","Brackishwater",2017,3000,"CRI"
"Bangladesh","Indian white prawn","Indian Ocean, Eastern","Brackishwater",2017,2452,"BGD"
"Mexico","Whiteleg shrimp","Atlantic, Western Central","Brackishwater",2017,2417.95,"MEX"
"Philippines","Banana prawn","Pacific, Western Central","Brackishwater",2017,1744.3,"PHL"
"United States of America","Whiteleg shrimp","Atlantic, Western Central","Marine",2017,1633,"USA"
"New Caledonia","Blue shrimp","Pacific, Western Central","Marine",2017,1450,"NCL"
"Japan","Kuruma prawn","Pacific, Northwest","Marine",2017,1354,"JPN"
"India","Indian white prawn","Indian Ocean, Western","Brackishwater",2017,1311,"IND"
"Brunei Darussalam","Blue shrimp","Pacific, Western Central","Brackishwater",2017,1240,"BRN"
"El Salvador","Whiteleg shrimp","Pacific, Eastern Central","Brackishwater",2017,1150,"SLV"
"Indonesia","Banana prawn","Pacific, Western Central","Brackishwater",2017,1132,"IDN"
"Cambodia","Penaeus shrimps nei","Pacific, Western Central","Brackishwater",2017,1000,"KHM"
"Malaysia","Giant tiger prawn","Pacific, Western Central","Brackishwater",2017,908.72,"MYS"
"Philippines","Metapenaeus shrimps nei","Pacific, Western Central","Brackishwater",2017,644,"PHL"
"Belize","Whiteleg shrimp","Atlantic, Western Central","Brackishwater",2017,500,"BLZ"
