iso3c,total_count,animal,nonmeat_count,meat_count,prop_nonmeat
AUT,1954391,cows,540820,1413571,0.2767204720038109
AUT,16736000,chickens,7348000,9388000,0.4390535372848948
AUT,82735,goats,34978,47757,0.4227714993654439
AUT,2792803,pigs,0,2792803,0
AUT,378381,sheep,27351,351030,0.07228428488745471
AZE,196651,buffaloes,0,196651,0
AZE,2476339,cows,1299033,1177306,0.524578016176299
AZE,30473000,chickens,15646000,14827000,0.5134381255537689
AZE,633327,goats,104600,528727,0.16515954633230542
AZE,4856,pigs,0,4856,0
AZE,7820981,sheep,326300,7494681,0.041721108899254455
BHS,740,cows,672,68,0.9081081081081082
BHS,3022000,chickens,109000,2913000,0.036068828590337526
BHS,14888,goats,7043,7845,0.47306555615260615
BHS,5025,pigs,0,5025,0
BHS,6706,sheep,0,6706,0
BHR,6898,cows,4669,2229,0.676862858799652
BHR,9134000,chickens,274000,8860000,0.029997810378804467
BHR,20000,goats,2785,17215,0.13925
BHR,64704,sheep,2073,62631,0.03203820474777448
BGD,1478000,buffaloes,90315,1387685,0.06110622462787551
BGD,23935000,cows,4031188,19903812,0.16842231042406516
BGD,275183000,chickens,192500000,82683000,0.6995344915928673
BGD,59520832,goats,29642873,29877959,0.49802517881470476
BGD,2201967,sheep,580144,1621823,0.2634662553980146
BRB,11084,cows,2906,8178,0.2621797185131721
BRB,4482000,chickens,872000,3610000,0.19455600178491744
BRB,5487,goats,0,5487,0
BRB,23063,pigs,0,23063,0
BRB,13595,sheep,0,13595,0
BLR,4361400,cows,1500200,2861200,0.34397211904434355
BLR,46000000,chickens,19400000,26600000,0.4217391304347826
BLR,64700,goats,32917,31783,0.5087635239567233
BLR,3155700,pigs,0,3155700,0
BLR,89900,sheep,0,89900,0
BEL,2385988,cows,519159,1866829,0.21758659305914363
BEL,26905000,chickens,9749000,17156000,0.362349005761011
BEL,64000,goats,52230,11770,0.81609375
BEL,6108077,pigs,0,6108077,0
BEL,86602,sheep,0,86602,0
BLZ,113198,cows,6500,106698,0.05742150921394371
BLZ,1620000,chickens,654000,966000,0.40370370370370373
BLZ,189,goats,0,189,0
BLZ,23292,pigs,0,23292,0
BLZ,15064,sheep,0,15064,0
BEN,2400000,cows,577200,1822800,0.2405
BEN,20643000,chickens,16694000,3949000,0.8087002858111708
BEN,1878000,goats,269335,1608665,0.14341586794462194
BEN,485000,pigs,0,485000,0
BEN,934000,sheep,0,934000,0
BTN,550,buffaloes,292,258,0.5309090909090909
BTN,303250,cows,137293,165957,0.4527386644682605
BTN,1068000,chickens,970000,98000,0.9082397003745318
BTN,42689,goats,0,42689,0
BTN,18815,pigs,0,18815,0
BTN,10444,sheep,0,10444,0
BOL,9304000,cows,200000,9104000,0.021496130696474634
BOL,221629000,chickens,24650000,196979000,0.11122190688041728
BOL,2210000,goats,451487,1758513,0.2042927601809955
BOL,2951000,pigs,0,2951000,0
BOL,7442000,sheep,1277000,6165000,0.17159365761891965
BIH,444522,cows,232354,212168,0.5227052879272567
BIH,16282000,chickens,3773000,12509000,0.23172828890799657
BIH,73287,goats,0,73287,0
BIH,548011,pigs,0,548011,0
BIH,1016735,sheep,276238,740497,0.2716912469817602
BWA,1100375,cows,165000,935375,0.1499488810632739
BWA,710000,chickens,560000,150000,0.7887323943661971
BWA,1199661,goats,94794,1104867,0.07901732239357619
BWA,1437,pigs,0,1437,0
BWA,234621,sheep,0,234621,0
BRA,1375168,buffaloes,0,1375168,0
BRA,215003578,cows,16851782,198151796,0.07837907702168566
BRA,1426659000,chickens,240892000,1185767000,0.16885044008414063
BRA,10257806,goats,4880246,5377560,0.4757592413036472
BRA,41383029,pigs,0,41383029,0
BRA,18606767,sheep,0,18606767,0
BRN,2679,buffaloes,194,2485,0.07241508025382605
BRN,651,cows,110,541,0.16897081413210446
BRN,17051000,chickens,1018000,16033000,0.05970324321154184
BRN,7589,goats,0,7589,0
BRN,1300,pigs,0,1300,0
BRN,4493,sheep,0,4493,0
BGR,12273,buffaloes,7589,4684,0.6183492218691437
BGR,557866,cows,271329,286537,0.48636948657921436
BGR,17738000,chickens,6064000,11674000,0.341864922764686
BGR,237543,goats,199438,38105,0.839586937943867
BGR,616426,pigs,0,616426,0
BGR,1360087,sheep,1026221,333866,0.7545259972340005
BFA,9647073,cows,1630000,8017073,0.16896316634071287
BFA,36882000,chickens,15500000,21382000,0.42025920503226505
BFA,15179490,goats,2400000,12779490,0.1581080787299178
BFA,2489317,pigs,0,2489317,0
BFA,10137973,sheep,1300000,8837973,0.12823076171143877
BDI,1077539,cows,132000,945539,0.12250136653986538
BDI,2300000,chickens,700000,1600000,0.30434782608695654
BDI,3619962,goats,682647,2937315,0.18857849889031986
BDI,618176,pigs,0,618176,0
BDI,527464,sheep,73504,453960,0.1393535862163105
CPV,29599,cows,8401,21198,0.2838271563228488
CPV,1000000,chickens,425000,575000,0.425
CPV,107630,goats,57804,49826,0.537062157391062
CPV,66905,pigs,0,66905,0
CPV,12625,sheep,0,12625,0
KHM,640520,buffaloes,0,640520,0
KHM,2898560,cows,123088,2775472,0.04246522411128285
KHM,13175000,chickens,5200000,7975000,0.3946869070208729
KHM,2178123,pigs,0,2178123,0
CMR,5774215,cows,290807,5483408,0.050363036360786706
CMR,51100000,chickens,4550000,46550000,0.08904109589041095
CMR,5417420,goats,1033395,4384025,0.190754085893285
CMR,1905977,pigs,0,1905977,0
CMR,3462332,sheep,892827,2569505,0.2578686850365592
CAN,11535000,cows,945000,10590000,0.08192457737321196
CAN,170120000,chickens,31659000,138461000,0.18609804843639785
CAN,30050,goats,0,30050,0
CAN,13935000,pigs,0,13935000,0
CAN,813900,sheep,0,813900,0
CAF,4591820,cows,322963,4268857,0.0703344207743335
CAF,7545000,chickens,720000,6825000,0.09542743538767395
CAF,6716321,goats,0,6716321,0
CAF,1093009,pigs,0,1093009,0
CAF,437655,sheep,0,437655,0
TCD,27603203,cows,1075684,26527519,0.038969535528177654
TCD,6165000,chickens,1150000,5015000,0.18653690186536903
TCD,34408101,goats,1511478,32896623,0.043927969172143505
TCD,110000,pigs,0,110000,0
TCD,30789484,sheep,955746,29833738,0.031041312676756777
CHL,2890840,cows,532640,2358200,0.1842509443621923
CHL,109973000,chickens,12500000,97473000,0.1136642630463841
CHL,447141,goats,246790,200351,0.5519288099279646
CHL,2505503,pigs,0,2505503,0
CHL,2037516,sheep,0,2037516,0
HKG,320,buffaloes,0,320,0
HKG,1583,cows,20,1563,0.012634238787113077
HKG,1300000,chickens,66000,1234000,0.05076923076923077
HKG,696,goats,0,696,0
HKG,160000,pigs,0,160000,0
HKG,20,sheep,0,20,0
MAC,772000,chickens,107000,665000,0.13860103626943004
CHN,26503470,buffaloes,5660787,20842683,0.21358663601407665
CHN,61841430,cows,11955000,49886430,0.193317004474185
CHN,5040564000,chickens,2890000000,2150564000,0.5733485379810672
CHN,138237700,goats,1247526,136990174,0.009024499105526206
CHN,441589200,pigs,0,441589200,0
CHN,164078900,sheep,41882660,122196240,0.25525926855921144
TWN,2037,buffaloes,0,2037,0
TWN,143993,cows,59601,84392,0.41391595424777594
TWN,94647000,chickens,39646000,55001000,0.4188827960738322
TWN,146000,goats,45365,100635,0.3107191780821918
TWN,5442381,pigs,0,5442381,0
TWN,185,sheep,0,185,0
COL,292607,buffaloes,0,292607,0
COL,24328158,cows,3290596,21037562,0.1352587400986133
COL,163830000,chickens,54408000,109422000,0.33210034792162607
COL,1161238,goats,0,1161238,0
COL,5327460,pigs,0,5327460,0
COL,1061722,sheep,0,1061722,0
COM,50602,cows,9637,40965,0.19044701790443067
COM,544000,chickens,210000,334000,0.3860294117647059
COM,121043,goats,0,121043,0
COM,24673,sheep,0,24673,0
COG,363117,cows,3000,360117,0.008261799915729642
COG,2970000,chickens,540000,2430000,0.18181818181818182
COG,326277,goats,0,326277,0
COG,106260,pigs,0,106260,0
COG,118017,sheep,0,118017,0
COK,118,cows,0,118,0
COK,19000,chickens,6000,13000,0.3157894736842105
COK,863,goats,0,863,0
COK,20486,pigs,0,20486,0
CRI,1423069,cows,835000,588069,0.586760023582834
CRI,25239000,chickens,3175000,22064000,0.12579737707516145
CRI,5654,goats,570,5084,0.10081358330385568
CRI,481535,pigs,0,481535,0
CRI,2813,sheep,0,2813,0
CIV,1659745,cows,305000,1354745,0.1837631684385252
CIV,69872000,chickens,14200000,55672000,0.20322876116327
CIV,1460840,goats,0,1460840,0
CIV,348401,pigs,0,348401,0
CIV,1836769,sheep,0,1836769,0
HRV,450757,cows,145100,305657,0.3219029321785352
HRV,9840000,chickens,3483000,6357000,0.3539634146341463
HRV,76771,goats,27800,48971,0.3621159031405088
HRV,1121032,pigs,0,1121032,0
HRV,636808,sheep,124100,512708,0.19487820504767528
CUB,3865500,cows,330200,3535300,0.08542232570172034
CUB,25635000,chickens,10882000,14753000,0.4244977569728886
CUB,1157700,goats,13400,1144300,0.011574673922432409
CUB,2069400,pigs,0,2069400,0
CUB,1567200,sheep,0,1567200,0
CYP,66862,cows,30137,36725,0.45073434835930726
CYP,2495000,chickens,601000,1894000,0.24088176352705412
CYP,257637,goats,165687,91950,0.6431025046868268
CYP,350147,pigs,0,350147,0
CYP,321488,sheep,220415,101073,0.6856087941074006
CZE,1421242,cows,364642,1056600,0.25656573616597317
CZE,20587000,chickens,4754000,15833000,0.23092242677417787
CZE,28174,goats,16800,11374,0.596294455881309
CZE,1490775,pigs,0,1490775,0
CZE,217141,sheep,80906,136235,0.3725966077341451
PRK,576000,cows,35839,540161,0.06222048611111111
PRK,15393000,chickens,15350000,43000,0.9972065224452673
PRK,3684000,goats,0,3684000,0
PRK,2601000,pigs,0,2601000,0
PRK,168000,sheep,0,168000,0
COD,1080993,cows,8255,1072738,0.007636497183608034
COD,18395000,chickens,2900000,15495000,0.15765153574340854
COD,4101065,goats,0,4101065,0
COD,988947,pigs,0,988947,0
COD,910103,sheep,0,910103,0
DNK,1545417,cows,570038,975379,0.3688570787043238
DNK,20733000,chickens,6148000,14585000,0.296532098586794
DNK,12307667,pigs,0,12307667,0
DNK,154129,sheep,0,154129,0
DJI,300061,cows,25373,274688,0.08455947290717554
DJI,514525,goats,0,514525,0
DJI,468782,sheep,0,468782,0
DMA,14041,cows,7460,6581,0.5313011893739762
DMA,199000,chickens,50000,149000,0.25125628140703515
DMA,9704,goats,0,9704,0
DMA,5062,pigs,0,5062,0
DMA,7982,sheep,0,7982,0
DOM,3000000,cows,540000,2460000,0.18
DOM,184000000,chickens,8948000,175052000,0.04863043478260869
DOM,224433,goats,0,224433,0
DOM,670000,pigs,0,670000,0
DOM,250000,sheep,0,250000,0
ECU,4190611,cows,856164,3334447,0.20430529104228476
ECU,160556000,chickens,8356000,152200000,0.052044146590597674
ECU,39583,goats,38000,1583,0.9600080842786044
ECU,1115473,pigs,0,1115473,0
ECU,390120,sheep,130000,260120,0.33323080077924744
EGY,3432581,buffaloes,1576770,1855811,0.4593540545729292
EGY,4387289,cows,1583398,2803891,0.3609057894294176
EGY,156892000,chickens,35300000,121592000,0.22499553833210106
EGY,3973692,goats,1240945,2732747,0.3122901825305031
EGY,8342,pigs,0,8342,0
EGY,5305337,sheep,1943846,3361491,0.3663944439344758
SLV,885564,cows,214258,671306,0.24194524619338637
SLV,17283000,chickens,6340000,10943000,0.36683446160967426
SLV,14162,goats,0,14162,0
SLV,257752,pigs,0,257752,0
SLV,5327,sheep,0,5327,0
GNQ,5372,cows,0,5372,0
GNQ,373000,chickens,69000,304000,0.18498659517426275
GNQ,9588,goats,0,9588,0
GNQ,6893,pigs,0,6893,0
GNQ,40291,sheep,0,40291,0
ERI,2112808,cows,720000,1392808,0.3407787172331797
ERI,1161000,chickens,608000,553000,0.5236864771748493
ERI,1812215,goats,178650,1633565,0.09858101825666381
ERI,2415896,sheep,231538,2184358,0.0958393904373367
EST,250900,cows,86400,164500,0.3443603029095257
EST,2195000,chickens,819000,1376000,0.37312072892938497
EST,5100,goats,2000,3100,0.39215686274509803
EST,289100,pigs,0,289100,0
EST,80800,sheep,0,80800,0
SWZ,619540,cows,135499,484041,0.21870904219259452
SWZ,3877000,chickens,250000,3627000,0.06448284756254836
SWZ,251729,goats,0,251729,0
SWZ,35354,pigs,0,35354,0
SWZ,38570,sheep,0,38570,0
ETH,61037330,cows,11900000,49137330,0.19496265645957975
ETH,59887000,chickens,11000000,48887000,0.1836792626112512
ETH,30789034,goats,1161017,29628017,0.0377087829387567
ETH,35436,pigs,0,35436,0
ETH,31840682,sheep,2620576,29220106,0.08230275972103863
FRO,1846,cows,0,1846,0
FRO,70348,sheep,0,70348,0
FJI,86463,cows,12079,74384,0.13970137515469044
FJI,5295000,chickens,468000,4827000,0.08838526912181303
FJI,262278,goats,0,262278,0
FJI,152183,pigs,0,152183,0
FJI,24031,sheep,0,24031,0
FIN,893178,cows,274954,618224,0.3078378553882877
FIN,8520000,chickens,3746000,4774000,0.4396713615023474
FIN,5278,goats,0,5278,0
FIN,1135598,pigs,0,1135598,0
FIN,155926,sheep,0,155926,0
FRA,18953568,cows,3596837,15356731,0.1897709708272342
FRA,244774000,chickens,61414000,183360000,0.2509008309706096
FRA,1270737,goats,870142,400595,0.6847538082231021
FRA,12930857,pigs,0,12930857,0
FRA,6901456,sheep,1247035,5654421,0.18069158160249083
PYF,7363,cows,589,6774,0.07999456743175336
PYF,323000,chickens,150000,173000,0.46439628482972134
PYF,16753,goats,0,16753,0
PYF,30038,pigs,0,30038,0
PYF,442,sheep,0,442,0
GAB,38105,cows,10100,28005,0.2650570791234746
GAB,3178000,chickens,660000,2518000,0.20767778477029578
GAB,111005,goats,0,111005,0
GAB,221408,pigs,0,221408,0
GAB,214740,sheep,0,214740,0
GMB,459095,cows,54053,405042,0.11773815876888226
GMB,1360000,chickens,262000,1098000,0.19264705882352942
GMB,346979,goats,0,346979,0
GMB,13500,pigs,0,13500,0
GMB,65000,sheep,0,65000,0
GEO,18338,buffaloes,10178,8160,0.5550223579452503
GEO,962700,cows,509300,453400,0.529032928222707
GEO,8046000,chickens,2777000,5269000,0.3451404424558787
GEO,60600,goats,41800,18800,0.6897689768976898
GEO,136200,pigs,0,136200,0
GEO,875900,sheep,144000,731900,0.16440232903299462
DEU,8674,buffaloes,0,8674,0
DEU,12281195,cows,4199010,8082185,0.34190565331793854
DEU,160000000,chickens,40569000,119431000,0.25355625
DEU,140000,goats,39318,100682,0.2808428571428571
DEU,27577600,pigs,0,27577600,0
DEU,1579800,sheep,0,1579800,0
GHA,1901000,cows,336788,1564212,0.17716359810625987
GHA,75363000,chickens,17800000,57563000,0.2361901728965142
GHA,7151000,goats,0,7151000,0
GHA,816000,pigs,0,816000,0
GHA,4987000,sheep,0,4987000,0
GRC,4583,buffaloes,2282,2301,0.4979271219725071
GRC,610690,cows,124003,486687,0.20305392261212726
GRC,37262000,chickens,7783000,29479000,0.208872309591541
GRC,3998205,goats,2875793,1122412,0.7192710228715136
GRC,716856,pigs,0,716856,0
GRC,8827820,sheep,6323856,2503964,0.7163553402765349
GRD,4551,cows,685,3866,0.15051637002856516
GRD,274000,chickens,153000,121000,0.5583941605839416
GRD,7112,goats,0,7112,0
GRD,2913,pigs,0,2913,0
GRD,13615,sheep,0,13615,0
GTM,3852865,cows,678371,3174494,0.17606923678872735
GTM,36385000,chickens,20200000,16185000,0.5551738353717192
GTM,114285,goats,14136,100149,0.12369077306733167
GTM,2860936,pigs,0,2860936,0
GTM,587520,sheep,0,587520,0
GIN,7129251,cows,720000,6409251,0.10099237633799119
GIN,31813000,chickens,6940000,24873000,0.21814981296954075
GIN,3044131,goats,385358,2658773,0.12659047853065455
GIN,133430,pigs,0,133430,0
GIN,2538815,sheep,242166,2296649,0.09538544557204838
GNB,721296,cows,109277,612019,0.1515009094740578
GNB,2034000,chickens,315000,1719000,0.15486725663716813
GNB,806785,goats,128408,678377,0.15916012320506703
GNB,423189,pigs,0,423189,0
GNB,540342,sheep,101724,438618,0.18825854736444697
GUY,101622,cows,39000,62622,0.3837751667945917
GUY,27803000,chickens,294000,27509000,0.010574398446210841
GUY,82416,goats,0,82416,0
GUY,10191,pigs,0,10191,0
GUY,131731,sheep,0,131731,0
HTI,1500756,cows,192911,1307845,0.12854254788919717
HTI,5787000,chickens,520000,5267000,0.08985657508208053
HTI,2434534,goats,839675,1594859,0.3449017347878485
HTI,1015148,pigs,0,1015148,0
HTI,246709,sheep,0,246709,0
HND,2853141,cows,500260,2352881,0.17533658518804363
HND,46421000,chickens,4500000,41921000,0.09693888541823743
HND,25319,goats,0,25319,0
HND,466893,pigs,0,466893,0
HND,16469,sheep,0,16469,0
HUN,852000,cows,244000,608000,0.2863849765258216
HUN,32027000,chickens,11440000,20587000,0.35719861366971617
HUN,81000,goats,15000,66000,0.18518518518518517
HUN,2907000,pigs,0,2907000,0
HUN,1141000,sheep,19000,1122000,0.016652059596844872
ISL,80895,cows,26742,54153,0.33057667346560354
ISL,230000,chickens,230000,0,1
ISL,1300,goats,0,1300,0
ISL,28700,pigs,0,28700,0
ISL,458634,sheep,0,458634,0
IND,110180508,buffaloes,43187600,66992908,0.3919713276326517
IND,190513468,cows,50905190,139608278,0.2671999545984854
IND,774415000,chickens,398064000,376351000,0.5140189691573639
IND,142361884,goats,36135620,106226264,0.2538293185274227
IND,9450899,pigs,0,9450899,0
IND,69986594,sheep,9001296,60985298,0.12861457438548873
IDN,1321904,buffaloes,131610,1190294,0.09956093634636101
IDN,16429102,cows,540441,15888661,0.03289534631898931
IDN,3481181000,chickens,258844000,3222337000,0.07435522599945249
IDN,18208017,goats,7161098,11046919,0.39329367937211396
IDN,8260995,pigs,0,8260995,0
IDN,17142498,sheep,6113649,11028849,0.35663699654507763
IRN,126765,buffaloes,45000,81765,0.35498757543485976
IRN,4879363,cows,1771193,3108170,0.3629967682256885
IRN,1039624000,chickens,48300000,991324000,0.046459104445453356
IRN,15711084,goats,5678431,10032653,0.3614283393812929
IRN,40029687,sheep,13329289,26700398,0.33298509178950114
IRQ,209163,buffaloes,56176,152987,0.26857522601989836
IRQ,1899370,cows,405039,1494331,0.21324912997467582
IRQ,50073000,chickens,3600000,46473000,0.07189503325145288
IRQ,1282856,goats,679249,603607,0.529481874816815
IRQ,6633904,sheep,3196588,3437316,0.4818562342777345
IRL,7363498,cows,1432687,5930811,0.19456608801957984
IRL,15504000,chickens,4700000,10804000,0.30314757481940147
IRL,8285,goats,0,8285,0
IRL,1556852,pigs,0,1556852,0
IRL,5197140,sheep,0,5197140,0
ISR,509100,cows,114816,394284,0.22552740129640542
ISR,46287000,chickens,9615000,36672000,0.20772571132283363
ISR,89720,goats,71077,18643,0.7922090949621043
ISR,190000,pigs,0,190000,0
ISR,519640,sheep,235864,283776,0.453898853052113
ITA,400792,buffaloes,249059,151733,0.6214170941535759
ITA,5949393,cows,1791120,4158273,0.301059284535414
ITA,146948000,chickens,71152000,75796000,0.4841984919835588
ITA,992177,goats,582731,409446,0.5873256485485957
ITA,8570807,pigs,0,8570807,0
ITA,7215433,sheep,5129745,2085688,0.7109407016876187
JAM,134612,cows,5565,129047,0.041341039431848574
JAM,14176000,chickens,745000,13431000,0.052553611738148986
JAM,564838,goats,531799,33039,0.9415071223961561
JAM,213472,pigs,0,213472,0
JAM,1346,sheep,0,1346,0
JPN,3822000,cows,852100,2969900,0.22294610151753008
JPN,313823000,chickens,136101000,177722000,0.4336871421151413
JPN,15637,goats,7731,7906,0.49440429749952036
JPN,9346000,pigs,0,9346000,0
JPN,14754,sheep,6202,8552,0.4203605801816457
JOR,98,buffaloes,0,98,0
JOR,75500,cows,45721,29779,0.6055761589403974
JOR,29255000,chickens,1800000,27455000,0.06152794394120663
JOR,772666,goats,529068,243598,0.6847305303973515
JOR,3063123,sheep,2268740,794383,0.740662389332717
KAZ,10355,buffaloes,0,10355,0
KAZ,6764212,cows,2336753,4427459,0.34545827363187315
KAZ,38376000,chickens,22257000,16119000,0.5799718574108818
KAZ,2279165,goats,35200,2243965,0.015444252610056754
KAZ,815121,pigs,0,815121,0
KAZ,16049807,sheep,397076,15652731,0.02474023519410545
KEN,18338810,cows,5500000,12838810,0.2999104085815819
KEN,48125000,chickens,16550000,31575000,0.3438961038961039
KEN,25684489,goats,3919776,21764713,0.1526125748501362
KEN,554301,pigs,0,554301,0
KEN,18759072,sheep,1800000,16959072,0.09595357382284156
KIR,672000,chickens,99000,573000,0.14732142857142858
KIR,14138,pigs,0,14138,0
KWT,30630,cows,12163,18467,0.39709435194254
KWT,53012000,chickens,9415000,43597000,0.17760129781936165
KWT,197768,goats,23977,173791,0.1212380162614781
KWT,664654,sheep,1380,663274,0.0020762682538583983
KGZ,1575434,cows,769761,805673,0.48860250572223274
KGZ,4415000,chickens,4100000,315000,0.928652321630804
KGZ,820043,goats,91131,728912,0.11112953832908762
KGZ,52169,pigs,0,52169,0
KGZ,5257732,sheep,454844,4802888,0.08650954441953299
LAO,1189000,buffaloes,0,1189000,0
LAO,1984000,cows,43247,1940753,0.02179788306451613
LAO,36960000,chickens,2600000,34360000,0.07034632034632035
LAO,588000,goats,0,588000,0
LAO,3869000,pigs,0,3869000,0
LVA,412314,cows,154024,258290,0.3735599567320052
LVA,2171000,chickens,2171000,0,1
LVA,13159,goats,8985,4174,0.6828026445778554
LVA,336386,pigs,0,336386,0
LVA,106629,sheep,0,106629,0
LBN,85169,cows,53907,31262,0.6329415632448426
LBN,68876000,chickens,2815000,66061000,0.04087054997386608
LBN,541667,goats,144242,397425,0.2662927592044559
LBN,6515,pigs,0,6515,0
LBN,433018,sheep,252342,180676,0.58275175627803
LSO,461573,cows,120000,341573,0.2599805447892316
LSO,433000,chickens,280000,153000,0.6466512702078522
LSO,972701,goats,0,972701,0
LSO,38689,pigs,0,38689,0
LSO,2041479,sheep,0,2041479,0
LBR,44241,cows,6676,37565,0.15090074817477
LBR,8669000,chickens,1300000,7369000,0.14995962625446996
LBR,396248,goats,0,396248,0
LBR,362241,pigs,0,362241,0
LBR,303271,sheep,0,303271,0
LBY,220394,cows,129439,90955,0.5873072769676125
LBY,35782000,chickens,9850000,25932000,0.27527807277402044
LBY,2640503,goats,525000,2115503,0.19882575403247033
LBY,7417744,sheep,2300000,5117744,0.3100673196594544
LTU,694752,cows,285751,409001,0.4112992837732025
LTU,9917000,chickens,3433000,6484000,0.34617323787435716
LTU,13409,goats,8554,4855,0.6379297486762622
LTU,663915,pigs,0,663915,0
LTU,163565,sheep,0,163565,0
LUX,202281,cows,52701,149580,0.2605336141308378
LUX,123000,chickens,108000,15000,0.8780487804878049
LUX,5406,goats,2887,2519,0.5340362560118387
LUX,96761,pigs,0,96761,0
LUX,8478,sheep,0,8478,0
MDG,10322680,cows,1872352,8450328,0.18138235419484086
MDG,38717000,chickens,3900000,34817000,0.10073094506289226
MDG,1547900,goats,0,1547900,0
MDG,1703000,pigs,0,1703000,0
MDG,851000,sheep,0,851000,0
MWI,1508299,cows,121441,1386858,0.08051520288749114
MWI,18315000,chickens,5255000,13060000,0.28692328692328695
MWI,7718938,goats,1700074,6018864,0.22024713762437267
MWI,3785291,pigs,0,3785291,0
MWI,283398,sheep,77348,206050,0.27293064876957496
MYS,114013,buffaloes,5781,108232,0.050704744195837315
MYS,703832,cows,42694,661138,0.060659361893179053
MYS,293302000,chickens,109000000,184302000,0.3716306059965496
MYS,385304,goats,0,385304,0
MYS,1849351,pigs,0,1849351,0
MYS,130658,sheep,0,130658,0
MLI,11415900,cows,1826544,9589356,0.16
MLI,45000000,chickens,7500000,37500000,0.16666666666666666
MLI,24023800,goats,18017850,6005950,0.75
MLI,84150,pigs,0,84150,0
MLI,17400000,sheep,13050000,4350000,0.75
MLT,14184,cows,6138,8046,0.43274111675126903
MLT,1004000,chickens,342000,662000,0.34063745019920316
MLT,5160,goats,3301,1859,0.6397286821705427
MLT,34011,pigs,0,34011,0
MLT,11739,sheep,8192,3547,0.6978447908680466
MRT,1944047,cows,415000,1529047,0.21347220514730353
MRT,4631000,chickens,1700000,2931000,0.36709134096307494
MRT,7421444,goats,1500000,5921444,0.20211700041124073
MRT,10966563,sheep,2100000,8866563,0.19149117184663964
MUS,25,buffaloes,0,25,0
MUS,3815,cows,3200,615,0.8387942332896461
MUS,16064000,chickens,1350000,14714000,0.08403884462151394
MUS,25618,goats,0,25618,0
MUS,21445,pigs,0,21445,0
MUS,2934,sheep,0,2934,0
MEX,34277868,cows,2506130,31771738,0.07311219005802812
MEX,556128000,chickens,202155000,353973000,0.3635044450198515
MEX,8725172,goats,755384,7969788,0.08657525605225891
MEX,17210269,pigs,0,17210269,0
MEX,8902451,sheep,1522837,7379614,0.1710581726313349
FSM,173,buffaloes,0,173,0
FSM,17682,cows,0,17682,0
FSM,191000,chickens,92000,99000,0.4816753926701571
FSM,4615,goats,0,4615,0
FSM,37381,pigs,0,37381,0
MNG,4388455,cows,1178091,3210364,0.26845233687026526
MNG,695000,chickens,437000,258000,0.6287769784172662
MNG,27346707,goats,4241513,23105194,0.15510141678118686
MNG,31870,pigs,0,31870,0
MNG,30109888,sheep,3271709,26838179,0.10865895615420423
MNE,86649,cows,60042,26607,0.6929335595332895
MNE,788000,chickens,667000,121000,0.8464467005076142
MNE,29595,goats,0,29595,0
MNE,25043,pigs,0,25043,0
MNE,189008,sheep,97276,91732,0.5146660458816558
MAR,3364000,cows,1760484,1603516,0.5233305588585018
MAR,200461000,chickens,65150000,135311000,0.3250008729877632
MAR,5205000,goats,1422818,3782182,0.27335600384245917
MAR,8043,pigs,0,8043,0
MAR,19863000,sheep,981492,18881508,0.049413079595227304
MOZ,1951337,cows,613454,1337883,0.3143762456203106
MOZ,19000000,chickens,9600000,9400000,0.5052631578947369
MOZ,3881460,goats,189338,3692122,0.04878009821046719
MOZ,1670751,pigs,0,1670751,0
