iso3c,animal,system,product,kgCO2eq_per_animal
MAR,chickens,industrial,eggs,1.1810938000000002
MOZ,chickens,industrial,eggs,1.0158272000000002
MMR,chickens,industrial,eggs,1.41372
NAM,chickens,industrial,eggs,0.5352928
NRU,chickens,industrial,eggs,0.41999999999999993
NPL,chickens,industrial,eggs,1.134252
NLD,chickens,industrial,eggs,1.7029596
NCL,chickens,industrial,eggs,2.3142
NZL,chickens,industrial,eggs,1.4737421
NIC,chickens,industrial,eggs,0.6585545
NER,chickens,industrial,eggs,0.5041048000000001
NGA,chickens,industrial,eggs,1.0559944000000001
NIU,chickens,industrial,eggs,0.8399999999999999
MKD,chickens,industrial,eggs,1.1785676
NOR,chickens,industrial,eggs,1.8953606
OMN,chickens,industrial,eggs,2.9162698000000002
PAK,chickens,industrial,eggs,1.863708
PSE,chickens,industrial,eggs,2.8386124
PAN,chickens,industrial,eggs,1.0683140000000002
PNG,chickens,industrial,eggs,0.5499984
PRY,chickens,industrial,eggs,1.2002510000000002
PER,chickens,industrial,eggs,1.3812075000000001
PHL,chickens,industrial,eggs,1.04979
POL,chickens,industrial,eggs,1.4579559
PRT,chickens,industrial,eggs,2.2267919999999997
PRI,chickens,industrial,eggs,0.8556015
QAT,chickens,industrial,eggs,2.4625
KOR,chickens,industrial,eggs,1.4357056
MDA,chickens,industrial,eggs,1.7496394000000002
ROU,chickens,industrial,eggs,0.9973947
RUS,chickens,industrial,eggs,1.7907915
RWA,chickens,industrial,eggs,0.9517216000000001
KNA,chickens,industrial,eggs,0.4047615000000001
LCA,chickens,industrial,eggs,0.9325010000000001
VCT,chickens,industrial,eggs,1.0230940000000002
WSM,chickens,industrial,eggs,0.8499959999999999
STP,chickens,industrial,eggs,0.3376952
SAU,chickens,industrial,eggs,2.0648555
SEN,chickens,industrial,eggs,0.5980920000000001
SRB,chickens,industrial,eggs,1.5595909000000003
SYC,chickens,industrial,eggs,1.564
SLE,chickens,industrial,eggs,0.40965759999999996
SGP,chickens,industrial,eggs,2.346603
SVK,chickens,industrial,eggs,1.496787
SVN,chickens,industrial,eggs,1.662222
SLB,chickens,industrial,eggs,0.7336728
SOM,chickens,industrial,eggs,0.592388
ZAF,chickens,industrial,eggs,2.1552104
ESP,chickens,industrial,eggs,2.1396588
LKA,chickens,industrial,eggs,2.5536420000000004
SDN,chickens,industrial,eggs,1.2772495000000001
SUR,chickens,industrial,eggs,0.33933700000000006
SWE,chickens,industrial,eggs,2.3339865
CHE,chickens,industrial,eggs,2.1992509
SYR,chickens,industrial,eggs,2.1274621000000002
TJK,chickens,industrial,eggs,1.7204994999999998
THA,chickens,industrial,eggs,1.569351
TLS,chickens,industrial,eggs,1.607592
TGO,chickens,industrial,eggs,1.6523752000000003
TKL,chickens,industrial,eggs,0.6719999999999999
TON,chickens,industrial,eggs,0.7223999999999999
TTO,chickens,industrial,eggs,0.29079350000000004
TUN,chickens,industrial,eggs,0.8939466
TUR,chickens,industrial,eggs,1.9529989
TKM,chickens,industrial,eggs,2.9848455
TUV,chickens,industrial,eggs,0.29018639999999996
UGA,chickens,industrial,eggs,1.012
UKR,chickens,industrial,eggs,1.5261027999999999
ARE,chickens,industrial,eggs,2.2983399
GBR,chickens,industrial,eggs,1.6571821
TZA,chickens,industrial,eggs,1.2305
USA,chickens,industrial,eggs,2.7490650000000003
URY,chickens,industrial,eggs,1.5073645000000002
UZB,chickens,industrial,eggs,2.3471171
VUT,chickens,industrial,eggs,0.7249367999999999
VEN,chickens,industrial,eggs,1.2240255000000002
VNM,chickens,industrial,eggs,0.979881
YEM,chickens,industrial,eggs,1.2059355
ZMB,chickens,industrial,eggs,1.104
ZWE,chickens,industrial,eggs,0.9012319999999999
AFG,chickens,backyard,eggs&meat,0
ALB,chickens,backyard,eggs&meat,0
DZA,chickens,backyard,eggs&meat,0
AGO,chickens,backyard,eggs&meat,0
ATG,chickens,backyard,eggs&meat,0
ARG,chickens,backyard,eggs&meat,0
ARM,chickens,backyard,eggs&meat,0
AUS,chickens,backyard,eggs&meat,0
AUT,chickens,backyard,eggs&meat,0
AZE,chickens,backyard,eggs&meat,0
BHS,chickens,backyard,eggs&meat,0
BHR,chickens,backyard,eggs&meat,0
BGD,chickens,backyard,eggs&meat,0
BRB,chickens,backyard,eggs&meat,0
BLR,chickens,backyard,eggs&meat,0
BEL,chickens,backyard,eggs&meat,0
BLZ,chickens,backyard,eggs&meat,0
BEN,chickens,backyard,eggs&meat,0
BTN,chickens,backyard,eggs&meat,0
BOL,chickens,backyard,eggs&meat,0
BIH,chickens,backyard,eggs&meat,0
BWA,chickens,backyard,eggs&meat,0
BRA,chickens,backyard,eggs&meat,0
BRN,chickens,backyard,eggs&meat,0
BGR,chickens,backyard,eggs&meat,0
BFA,chickens,backyard,eggs&meat,0
BDI,chickens,backyard,eggs&meat,0
CPV,chickens,backyard,eggs&meat,0
KHM,chickens,backyard,eggs&meat,0
CMR,chickens,backyard,eggs&meat,0
CAN,chickens,backyard,eggs&meat,0
CAF,chickens,backyard,eggs&meat,0
TCD,chickens,backyard,eggs&meat,0
CHL,chickens,backyard,eggs&meat,0
HKG,chickens,backyard,eggs&meat,0
MAC,chickens,backyard,eggs&meat,0
CHN,chickens,backyard,eggs&meat,0
TWN,chickens,backyard,eggs&meat,0
COL,chickens,backyard,eggs&meat,0
COM,chickens,backyard,eggs&meat,0
COG,chickens,backyard,eggs&meat,0
COK,chickens,backyard,eggs&meat,0
CRI,chickens,backyard,eggs&meat,0
CIV,chickens,backyard,eggs&meat,0
HRV,chickens,backyard,eggs&meat,0
CUB,chickens,backyard,eggs&meat,0
CYP,chickens,backyard,eggs&meat,0
CZE,chickens,backyard,eggs&meat,0
PRK,chickens,backyard,eggs&meat,0
COD,chickens,backyard,eggs&meat,0
DNK,chickens,backyard,eggs&meat,0
DMA,chickens,backyard,eggs&meat,0
DOM,chickens,backyard,eggs&meat,0
ECU,chickens,backyard,eggs&meat,0
EGY,chickens,backyard,eggs&meat,0
SLV,chickens,backyard,eggs&meat,0
GNQ,chickens,backyard,eggs&meat,0
ERI,chickens,backyard,eggs&meat,0
EST,chickens,backyard,eggs&meat,0
SWZ,chickens,backyard,eggs&meat,0
ETH,chickens,backyard,eggs&meat,0
FJI,chickens,backyard,eggs&meat,0
FIN,chickens,backyard,eggs&meat,0
FRA,chickens,backyard,eggs&meat,0
PYF,chickens,backyard,eggs&meat,0
GAB,chickens,backyard,eggs&meat,0
GMB,chickens,backyard,eggs&meat,0
GEO,chickens,backyard,eggs&meat,0
DEU,chickens,backyard,eggs&meat,0
GHA,chickens,backyard,eggs&meat,0
GRC,chickens,backyard,eggs&meat,0
GRD,chickens,backyard,eggs&meat,0
GTM,chickens,backyard,eggs&meat,0
GIN,chickens,backyard,eggs&meat,0
GNB,chickens,backyard,eggs&meat,0
GUY,chickens,backyard,eggs&meat,0
HTI,chickens,backyard,eggs&meat,0
HND,chickens,backyard,eggs&meat,0
HUN,chickens,backyard,eggs&meat,0
ISL,chickens,backyard,eggs&meat,0
IND,chickens,backyard,eggs&meat,0
IDN,chickens,backyard,eggs&meat,0
IRN,chickens,backyard,eggs&meat,0
IRQ,chickens,backyard,eggs&meat,0
IRL,chickens,backyard,eggs&meat,0
ISR,chickens,backyard,eggs&meat,0
ITA,chickens,backyard,eggs&meat,0
JAM,chickens,backyard,eggs&meat,0
JPN,chickens,backyard,eggs&meat,0
JOR,chickens,backyard,eggs&meat,0
KAZ,chickens,backyard,eggs&meat,0
KEN,chickens,backyard,eggs&meat,0
KIR,chickens,backyard,eggs&meat,0
KWT,chickens,backyard,eggs&meat,0
KGZ,chickens,backyard,eggs&meat,0
LAO,chickens,backyard,eggs&meat,0
LVA,chickens,backyard,eggs&meat,0
LBN,chickens,backyard,eggs&meat,0
LSO,chickens,backyard,eggs&meat,0
LBR,chickens,backyard,eggs&meat,0
LBY,chickens,backyard,eggs&meat,0
LTU,chickens,backyard,eggs&meat,0
LUX,chickens,backyard,eggs&meat,0
MDG,chickens,backyard,eggs&meat,0
MWI,chickens,backyard,eggs&meat,0
MYS,chickens,backyard,eggs&meat,0
MLI,chickens,backyard,eggs&meat,0
MLT,chickens,backyard,eggs&meat,0
MRT,chickens,backyard,eggs&meat,0
MUS,chickens,backyard,eggs&meat,0
MEX,chickens,backyard,eggs&meat,0
FSM,chickens,backyard,eggs&meat,0
MNG,chickens,backyard,eggs&meat,0
MNE,chickens,backyard,eggs&meat,0
MAR,chickens,backyard,eggs&meat,0
MOZ,chickens,backyard,eggs&meat,0
MMR,chickens,backyard,eggs&meat,0
NAM,chickens,backyard,eggs&meat,0
NRU,chickens,backyard,eggs&meat,0
NPL,chickens,backyard,eggs&meat,0
NLD,chickens,backyard,eggs&meat,0
NCL,chickens,backyard,eggs&meat,0
NZL,chickens,backyard,eggs&meat,0
NIC,chickens,backyard,eggs&meat,0
NER,chickens,backyard,eggs&meat,0
NGA,chickens,backyard,eggs&meat,0
NIU,chickens,backyard,eggs&meat,0
MKD,chickens,backyard,eggs&meat,0
NOR,chickens,backyard,eggs&meat,0
OMN,chickens,backyard,eggs&meat,0
PAK,chickens,backyard,eggs&meat,0
PSE,chickens,backyard,eggs&meat,0
PAN,chickens,backyard,eggs&meat,0
PNG,chickens,backyard,eggs&meat,0
PRY,chickens,backyard,eggs&meat,0
PER,chickens,backyard,eggs&meat,0
PHL,chickens,backyard,eggs&meat,0
POL,chickens,backyard,eggs&meat,0
PRT,chickens,backyard,eggs&meat,0
PRI,chickens,backyard,eggs&meat,0
QAT,chickens,backyard,eggs&meat,0
KOR,chickens,backyard,eggs&meat,0
MDA,chickens,backyard,eggs&meat,0
ROU,chickens,backyard,eggs&meat,0
RUS,chickens,backyard,eggs&meat,0
RWA,chickens,backyard,eggs&meat,0
KNA,chickens,backyard,eggs&meat,0
LCA,chickens,backyard,eggs&meat,0
VCT,chickens,backyard,eggs&meat,0
WSM,chickens,backyard,eggs&meat,0
STP,chickens,backyard,eggs&meat,0
SAU,chickens,backyard,eggs&meat,0
SEN,chickens,backyard,eggs&meat,0
SRB,chickens,backyard,eggs&meat,0
SYC,chickens,backyard,eggs&meat,0
SLE,chickens,backyard,eggs&meat,0
SGP,chickens,backyard,eggs&meat,0
SVK,chickens,backyard,eggs&meat,0
SVN,chickens,backyard,eggs&meat,0
SLB,chickens,backyard,eggs&meat,0
SOM,chickens,backyard,eggs&meat,0
ZAF,chickens,backyard,eggs&meat,0
ESP,chickens,backyard,eggs&meat,0
LKA,chickens,backyard,eggs&meat,0
SDN,chickens,backyard,eggs&meat,0
SUR,chickens,backyard,eggs&meat,0
SWE,chickens,backyard,eggs&meat,0
CHE,chickens,backyard,eggs&meat,0
SYR,chickens,backyard,eggs&meat,0
TJK,chickens,backyard,eggs&meat,0
THA,chickens,backyard,eggs&meat,0
TLS,chickens,backyard,eggs&meat,0
TGO,chickens,backyard,eggs&meat,0
TKL,chickens,backyard,eggs&meat,0
TON,chickens,backyard,eggs&meat,0
TTO,chickens,backyard,eggs&meat,0
TUN,chickens,backyard,eggs&meat,0
TUR,chickens,backyard,eggs&meat,0
TKM,chickens,backyard,eggs&meat,0
TUV,chickens,backyard,eggs&meat,0
UGA,chickens,backyard,eggs&meat,0
UKR,chickens,backyard,eggs&meat,0
ARE,chickens,backyard,eggs&meat,0
GBR,chickens,backyard,eggs&meat,0
TZA,chickens,backyard,eggs&meat,0
USA,chickens,backyard,eggs&meat,0
URY,chickens,backyard,eggs&meat,0
UZB,chickens,backyard,eggs&meat,0
VUT,chickens,backyard,eggs&meat,0
VEN,chickens,backyard,eggs&meat,0
VNM,chickens,backyard,eggs&meat,0
YEM,chickens,backyard,eggs&meat,0
ZMB,chickens,backyard,eggs&meat,0
ZWE,chickens,backyard,eggs&meat,0
AFG,cows,mixed,milk,14.183100000000001
AFG,goats,mixed,milk,2.3544
AFG,sheep,mixed,milk,1.5606
ALB,buffaloes,mixed,milk,29.2110001605
ALB,cows,mixed,milk,170.6856676045
ALB,goats,mixed,milk,14.6934667474
ALB,sheep,mixed,milk,7.498400041200001
DZA,cows,mixed,milk,67.041
DZA,goats,mixed,milk,7.3224
DZA,sheep,mixed,milk,1.5714000000000001
AGO,cows,mixed,milk,13.4703
ATG,cows,mixed,milk,23.9139
ARG,cows,mixed,milk,158.50080000000003
ARM,cows,mixed,milk,63.290699999999994
ARM,goats,mixed,milk,11.8368
ARM,sheep,mixed,milk,6.874200000000001
AUS,cows,mixed,milk,595.3472
AUT,cows,mixed,milk,416.476668955
AUT,goats,mixed,milk,80.0436004398
AUT,sheep,mixed,milk,53.1561336254
AZE,cows,mixed,milk,41.258700000000005
AZE,goats,mixed,milk,3.1644
AZE,sheep,mixed,milk,5.454
BHS,cows,mixed,milk,27.1215
BHS,goats,mixed,milk,16.221600000000002
BHR,cows,mixed,milk,64.8027
BHR,goats,mixed,milk,5.6592
BHR,sheep,mixed,milk,4.374
BGD,buffaloes,mixed,milk,10.6326
BGD,cows,mixed,milk,5.5431
BGD,goats,mixed,milk,4.881600000000001
BGD,sheep,mixed,milk,2.6189999999999998
BRB,cows,mixed,milk,45.173700000000004
BLR,cows,mixed,milk,295.3678016229
BLR,goats,mixed,milk,61.92853367360001
BEL,cows,mixed,milk,470.39113591790004
BEL,goats,mixed,milk,76.34293375280001
BLZ,cows,mixed,milk,19.8774
BEN,cows,mixed,milk,5.562
BEN,goats,mixed,milk,5.389200000000001
BTN,buffaloes,mixed,milk,26.8164
BTN,cows,mixed,milk,37.457100000000004
BOL,cows,mixed,milk,73.3725
BOL,goats,mixed,milk,3.5316
BOL,sheep,mixed,milk,1.4796
BIH,cows,mixed,milk,177.46820097510002
BIH,sheep,mixed,milk,7.2921333734000005
BWA,cows,mixed,milk,37.6353
BWA,goats,mixed,milk,6.663600000000001
BRA,cows,mixed,milk,54.974700000000006
BRA,goats,mixed,milk,2.9268
BRN,buffaloes,mixed,milk,27.834300000000002
BRN,cows,mixed,milk,12.5172
BGR,buffaloes,mixed,milk,82.93740045570001
BGR,cows,mixed,milk,216.4768678561
BGR,goats,mixed,milk,26.487066812200002
BGR,sheep,mixed,milk,8.202133378400001
BFA,cows,mixed,milk,3.5154000000000005
BFA,goats,mixed,milk,4.055400000000001
BFA,sheep,mixed,milk,3.0942000000000003
BDI,cows,mixed,milk,13.5
BDI,goats,mixed,milk,4.460400000000001
BDI,sheep,mixed,milk,0.9017999999999999
CPV,cows,mixed,milk,14.3073
CPV,goats,mixed,milk,3.9798
KHM,cows,mixed,milk,5.3757
CMR,cows,mixed,milk,16.0839
CMR,goats,mixed,milk,2.8242000000000003
CMR,sheep,mixed,milk,1.1124
CAN,cows,mixed,milk,667.5055301698
CAF,cows,mixed,milk,6.7311000000000005
TCD,cows,mixed,milk,4.293
TCD,goats,mixed,milk,3.7638000000000003
TCD,sheep,mixed,milk,2.3166
CHL,cows,mixed,milk,100.9017
CHL,goats,mixed,milk,1.7766
HKG,cows,mixed,milk,121
CHN,buffaloes,mixed,milk,13.608
CHN,cows,mixed,milk,68.6259
CHN,goats,mixed,milk,9.693
CHN,sheep,mixed,milk,1.5066000000000002
TWN,cows,mixed,milk,175.0275
TWN,goats,mixed,milk,16.902
COL,cows,mixed,milk,162.0081
COM,cows,mixed,milk,37.4247
COG,cows,mixed,milk,37.8
CRI,cows,mixed,milk,37.0035
CRI,goats,mixed,milk,2.5596
CIV,cows,mixed,milk,2.9214
HRV,cows,mixed,milk,271.0950681562
HRV,goats,mixed,milk,47.138000259
HRV,sheep,mixed,milk,8.893733382199999
CUB,cows,mixed,milk,43.8615
CUB,goats,mixed,milk,18.937800000000003
CYP,cows,mixed,milk,435.5563357265
CYP,goats,mixed,milk,22.228266788800003
CYP,sheep,mixed,milk,17.775333431
CZE,cows,mixed,milk,512.2996694815
CZE,goats,mixed,milk,78.41773376420001
CZE,sheep,mixed,milk,3.943333355
PRK,cows,mixed,milk,62.5563
COD,cows,mixed,milk,24.4161
DNK,cows,mixed,milk,591.4272032496001
DJI,cows,mixed,milk,9.4095
DMA,cows,mixed,milk,25.236900000000002
DOM,cows,mixed,milk,42.9084
ECU,cows,mixed,milk,58.34160000000001
ECU,goats,mixed,milk,1.7064000000000001
ECU,sheep,mixed,milk,1.7874
EGY,buffaloes,mixed,milk,40.2597
EGY,cows,mixed,milk,50.4981
EGY,goats,mixed,milk,0.7074
EGY,sheep,mixed,milk,2.6244
SLV,cows,mixed,milk,58.1931
ERI,cows,mixed,milk,4.500900000000001
ERI,goats,mixed,milk,5.6538
ERI,sheep,mixed,milk,3.159
EST,cows,mixed,milk,554.7238697146
EST,goats,mixed,milk,37.492000206
SWZ,cows,mixed,milk,7.948800000000001
ETH,cows,mixed,milk,7.0335
ETH,goats,mixed,milk,3.6828000000000003
ETH,sheep,mixed,milk,1.6794
FJI,cows,mixed,milk,29.019599999999997
FIN,cows,mixed,milk,530.8151362499001
FRA,cows,mixed,milk,430.7636690335
FRA,goats,mixed,milk,90.47826716380001
FRA,sheep,mixed,milk,31.2069335048
PYF,cows,mixed,milk,37.5894
GAB,cows,mixed,milk,37.4247
GMB,cows,mixed,milk,37.540800000000004
GEO,buffaloes,mixed,milk,16.3944
GEO,cows,mixed,milk,27.467100000000002
GEO,goats,mixed,milk,3.9906
GEO,sheep,mixed,milk,2.7054
DEU,cows,mixed,milk,470.9735359211
DEU,goats,mixed,milk,87.28720047960002
GHA,cows,mixed,milk,3.6504000000000003
GRC,buffaloes,mixed,milk,76.8586004223
GRC,cows,mixed,milk,324.0874017807
GRC,goats,mixed,milk,17.047333427
GRC,sheep,mixed,milk,16.343600089800002
GRD,cows,mixed,milk,21.9942
GTM,cows,mixed,milk,21.6216
GTM,goats,mixed,milk,9.828
GIN,cows,mixed,milk,7.5951
GIN,goats,mixed,milk,5.0274
GIN,sheep,mixed,milk,3.2724
GNB,cows,mixed,milk,4.4469
GNB,goats,mixed,milk,6.318
GNB,sheep,mixed,milk,4.0608
GUY,cows,mixed,milk,38.078100000000006
HTI,cows,mixed,milk,6.8904000000000005
HTI,goats,mixed,milk,4.244400000000001
HND,cows,mixed,milk,37.0494
HUN,cows,mixed,milk,489.1856693545
HUN,goats,mixed,milk,29.787333497
HUN,sheep,mixed,milk,11.563066730200001
ISL,cows,mixed,milk,347.2838686068
IND,buffaloes,mixed,milk,53.9298
IND,cows,mixed,milk,44.3583
IND,goats,mixed,milk,9.2124
IND,sheep,mixed,milk,1.3068000000000002
IDN,buffaloes,mixed,milk,19.5507
IDN,cows,mixed,milk,46.36710000000001
IDN,goats,mixed,milk,2.7054
IDN,sheep,mixed,milk,1.4472
IRN,buffaloes,mixed,milk,76.7988
IRN,cows,mixed,milk,103.8339
IRN,goats,mixed,milk,2.9646000000000003
IRN,sheep,mixed,milk,1.8198
IRQ,buffaloes,mixed,milk,16.0272
IRQ,cows,mixed,milk,18.1656
IRQ,goats,mixed,milk,1.6632
IRQ,sheep,mixed,milk,0.9666000000000001
IRL,cows,mixed,milk,316.66180173990006
ISR,cows,mixed,milk,383.64239402461874
ISR,goats,mixed,milk,18.9817375135875
ISR,sheep,mixed,milk,4.8720375034875
ITA,buffaloes,mixed,milk,50.899333613
ITA,cows,mixed,milk,385.4517354512
ITA,goats,mixed,milk,6.0788000334
ITA,sheep,mixed,milk,9.70666672
JAM,cows,mixed,milk,64.044
JAM,goats,mixed,milk,19.526400000000002
JPN,cows,mixed,milk,566.4534971534999
JPN,goats,mixed,milk,27.6742665276
JPN,sheep,mixed,milk,20.1122665656
JOR,cows,mixed,milk,172.7946
JOR,goats,mixed,milk,1.4849999999999999
JOR,sheep,mixed,milk,2.2518000000000002
KAZ,cows,mixed,milk,63.0936
KAZ,goats,mixed,milk,2.1708000000000003
KAZ,sheep,mixed,milk,4.6494
KEN,cows,mixed,milk,17.4798
KEN,goats,mixed,milk,3.4452000000000003
KEN,sheep,mixed,milk,1.998
KWT,cows,mixed,milk,145.52730000000003
KWT,goats,mixed,milk,13.2192
KWT,sheep,mixed,milk,12.015
KGZ,cows,mixed,milk,53.5626
KGZ,goats,mixed,milk,0.5346
KGZ,sheep,mixed,milk,4.4712000000000005
LAO,cows,mixed,milk,4.5576
LVA,cows,mixed,milk,393.08966882650003
LVA,goats,mixed,milk,28.3556001558
LBN,cows,mixed,milk,138.3912
LBN,goats,mixed,milk,12.3282
LBN,sheep,mixed,milk,4.3308
LSO,cows,mixed,milk,38.2509
LBR,cows,mixed,milk,37.4625
LBY,cows,mixed,milk,30.8799
LBY,goats,mixed,milk,1.89
LBY,sheep,mixed,milk,1.674
LTU,cows,mixed,milk,332.6110684942
LTU,goats,mixed,milk,57.59693364980001
LUX,cows,mixed,milk,445.6998024489001
LUX,goats,mixed,milk,133.47880073340002
MDG,cows,mixed,milk,7.8516
MWI,cows,mixed,milk,13.9833
MWI,goats,mixed,milk,3.6936000000000004
MWI,sheep,mixed,milk,4.363200000000001
MYS,buffaloes,mixed,milk,37.4004
MYS,cows,mixed,milk,23.1525
MLI,cows,mixed,milk,4.660200000000001
MLI,goats,mixed,milk,0.4536
MLI,sheep,mixed,milk,0.4536
MLT,cows,mixed,milk,406.13300223150003
MLT,goats,mixed,milk,37.528400206200004
MLT,sheep,mixed,milk,24.6064001352
MRT,cows,mixed,milk,10.0845
MRT,goats,mixed,milk,3.6018000000000003
MRT,sheep,mixed,milk,1.8792000000000002
MUS,cows,mixed,milk,30.375
MEX,cows,mixed,milk,126.7785
MEX,goats,mixed,milk,11.6046
MEX,sheep,mixed,milk,2.0465999999999998
MNG,cows,mixed,milk,12.3741
MNG,goats,mixed,milk,0.9558
MNG,sheep,mixed,milk,0.7668
MNE,cows,mixed,milk,171.1103342735
MNE,sheep,mixed,milk,10.289066723200001
MAR,cows,mixed,milk,39.1095
MAR,goats,mixed,milk,1.593
MAR,sheep,mixed,milk,1.863
MOZ,cows,mixed,milk,34.921800000000005
MOZ,goats,mixed,milk,5.7834
MMR,buffaloes,mixed,milk,12.1203
MMR,cows,mixed,milk,16.0542
MMR,goats,mixed,milk,0.7128000000000001
MMR,sheep,mixed,milk,0.9396000000000001
NAM,cows,mixed,milk,12.096
NPL,buffaloes,mixed,milk,22.285800000000002
NPL,cows,mixed,milk,17.447400000000002
NPL,goats,mixed,milk,3.5856000000000003
NPL,sheep,mixed,milk,3.024
NLD,cows,mixed,milk,520.944669529
NLD,goats,mixed,milk,86.996000478
NCL,cows,mixed,milk,35.1783
