iso3c,country,mms,mms_specific,animal,product,production_system,gleam_percentage,percentage
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Buffaloes,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Pit storage,Chicken,eggs&meat,Backyard,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Buffaloes,Meat,Grassland Based,40,100
AFG,Afghanistan,management,Anaerobic digester,Cow,Meat,Mixed,0,0
AFG,Afghanistan,management,Solid storage,Pig,Meat,Backyard,15,15
AFG,Afghanistan,management,Liquid/Slurry,Buffaloes,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Composting,Buffaloes,Dairy,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Sheep,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Short pit storage (less than 1 month),Pig,Meat,Industrial,0,0
AFG,Afghanistan,applied to crops,Daily spread,Chicken,Eggs,Industrial,0,0
AFG,Afghanistan,management,Pit storage,Pig,Meat,Intermediate,0,0
AFG,Afghanistan,management,Anaerobic digester,Cow,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Liquid/Slurry,Cow,Meat,Feedlot,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Sheep,Meat,Mixed,0,0
AFG,Afghanistan,management,Liquid/Slurry,Chicken,Meat,Industrial,0,0
AFG,Afghanistan,management,Dry lot,Cow,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Solid storage,Buffaloes,Dairy,Mixed,60,60
AFG,Afghanistan,management,Liquid/Slurry,Buffaloes,Meat,Mixed,0,0
AFG,Afghanistan,management,Dry lot,Goat,Dairy,Grassland Based,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Buffaloes,Dairy,Grassland Based,40,100
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Chicken,Meat,Industrial,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Buffaloes,Dairy,Mixed,20,20
AFG,Afghanistan,management,Anaerobic digester,Cow,Dairy,Mixed,0,0
AFG,Afghanistan,management,Anaerobic digester,Sheep,Meat,Grassland Based,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Sheep,Meat,Grassland Based,50,100
AFG,Afghanistan,management,Liquid/Slurry,Sheep,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Dry lot,Buffaloes,Meat,Mixed,0,0
AFG,Afghanistan,management,Burned for fuel,Goat,Dairy,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Buffaloes,Dairy,Mixed,0,0
AFG,Afghanistan,management,Dry lot,Chicken,eggs&meat,Backyard,0,0
AFG,Afghanistan,management,Dry lot,Cow,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Composting,Sheep,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Liquid/Slurry,Cow,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Solid storage,Goat,Meat,Mixed,50,50
AFG,Afghanistan,management,Solid storage,Chicken,Meat,Industrial,0,0
AFG,Afghanistan,management,Burned for fuel,Sheep,Meat,Grassland Based,0,0
AFG,Afghanistan,applied to crops,Daily spread,Pig,Meat,Backyard,5,5
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Pig,Meat,Industrial,0,0
AFG,Afghanistan,management,Liquid/Slurry,Sheep,Meat,Mixed,0,0
AFG,Afghanistan,management,Composting,Cow,Dairy,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Goat,Dairy,Mixed,0,0
AFG,Afghanistan,management,Dry lot,Sheep,Dairy,Mixed,0,0
AFG,Afghanistan,management,Solid storage,Chicken,Eggs,Industrial,100,100
AFG,Afghanistan,management,Solid storage,Goat,Dairy,Grassland Based,50,0
AFG,Afghanistan,management,Anaerobic digester,Goat,Meat,Mixed,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Goat,Meat,Mixed,50,50
AFG,Afghanistan,management,Liquid/Slurry,Buffaloes,Dairy,Mixed,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Sheep,Dairy,Mixed,50,50
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Chicken,Eggs,Industrial,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Sheep,Meat,Mixed,50,50
AFG,Afghanistan,management,Solid storage,Cow,Meat,Mixed,60,60
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Pig,Meat,Backyard,5,5
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Cow,Meat,Mixed,20,20
AFG,Afghanistan,management,Solid storage,Chicken,eggs&meat,Backyard,0,0
AFG,Afghanistan,management,Liquid/Slurry,Pig,Meat,Backyard,30,30
AFG,Afghanistan,management,Composting,Cow,Meat,Feedlot,0,0
AFG,Afghanistan,applied to crops,Daily spread,Cow,Dairy,Mixed,0,0
AFG,Afghanistan,management,Solid storage,Buffaloes,Meat,Mixed,60,60
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Pig,Meat,Intermediate,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Goat,Dairy,Grassland Based,50,100
AFG,Afghanistan,management,Liquid/Slurry,Cow,Dairy,Mixed,0,0
AFG,Afghanistan,management,Composting,Goat,Meat,Mixed,0,0
AFG,Afghanistan,management,Burned for fuel,Sheep,Dairy,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Cow,Meat,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Cow,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Burned for fuel,Cow,Meat,Mixed,20,20
AFG,Afghanistan,management,Composting,Cow,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Anaerobic digester,Sheep,Meat,Mixed,0,0
AFG,Afghanistan,management,Poultry manure with litter,Chicken,Eggs,Industrial,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Pig,Meat,Intermediate,10,10
AFG,Afghanistan,management,Solid storage,Sheep,Dairy,Grassland Based,50,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Chicken,Eggs,Industrial,0,0
AFG,Afghanistan,management,Poultry manure with litter,Chicken,Meat,Industrial,100,100
AFG,Afghanistan,management,Composting,Goat,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Burned for fuel,Goat,Dairy,Grassland Based,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Cow,Dairy,Grassland Based,40,100
AFG,Afghanistan,management,Composting,Goat,Dairy,Mixed,0,0
AFG,Afghanistan,management,Liquid/Slurry,Chicken,eggs&meat,Backyard,0,0
AFG,Afghanistan,applied to crops,Daily spread,Sheep,Meat,Mixed,0,0
AFG,Afghanistan,management,Burned for fuel,Cow,Dairy,Mixed,20,20
AFG,Afghanistan,management,Burned for fuel,Goat,Meat,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Buffaloes,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Liquid/Slurry,Goat,Dairy,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Goat,Meat,Mixed,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Sheep,Dairy,Grassland Based,50,100
AFG,Afghanistan,applied to crops,Daily spread,Cow,Meat,Feedlot,NA,NA
AFG,Afghanistan,management,Composting,Buffaloes,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Dry lot,Cow,Dairy,Mixed,0,0
AFG,Afghanistan,management,Liquid/Slurry,Goat,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Anaerobic digester,Goat,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Solid storage,Sheep,Meat,Mixed,50,50
AFG,Afghanistan,management,Composting,Cow,Meat,Mixed,0,0
AFG,Afghanistan,management,Dry lot,Goat,Meat,Mixed,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Chicken,Meat,Industrial,0,0
AFG,Afghanistan,management,Dry lot,Chicken,Meat,Industrial,0,0
AFG,Afghanistan,management,Composting,Cow,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Goat,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Pit storage,Chicken,Eggs,Industrial,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Buffaloes,Meat,Mixed,20,20
AFG,Afghanistan,management,Dry lot,Cow,Meat,Mixed,0,0
AFG,Afghanistan,management,Liquid/Slurry,Goat,Meat,Grassland Based,0,0
AFG,Afghanistan,applied to crops,Daily spread,Sheep,Dairy,Mixed,0,0
AFG,Afghanistan,management,Liquid/Slurry,Cow,Meat,Mixed,0,0
AFG,Afghanistan,management,Solid storage,Sheep,Dairy,Mixed,50,50
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Buffaloes,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Cow,Meat,Mixed,0,0
AFG,Afghanistan,management,Burned for fuel,Sheep,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Liquid/Slurry,Pig,Meat,Industrial,30,30
AFG,Afghanistan,management,Solid storage,Cow,Meat,Grassland Based,40,0
AFG,Afghanistan,management,Dry lot,Sheep,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Anaerobic digester,Pig,Meat,Intermediate,7,7
AFG,Afghanistan,management,Composting,Sheep,Meat,Mixed,0,0
AFG,Afghanistan,management,Poultry manure with litter,Chicken,eggs&meat,Backyard,0,0
AFG,Afghanistan,management,Liquid/Slurry,Chicken,Eggs,Industrial,0,0
AFG,Afghanistan,management,Anaerobic digester,Goat,Dairy,Grassland Based,0,0
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Chicken,eggs&meat,Backyard,50,50
AFG,Afghanistan,management,Dry lot,Sheep,Meat,Mixed,0,0
AFG,Afghanistan,management,Anaerobic digester,Buffaloes,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Burned for fuel,Sheep,Meat,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Chicken,eggs&meat,Backyard,50,50
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Sheep,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Pig,Meat,Backyard,5,5
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Sheep,Dairy,Mixed,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Sheep,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Solid storage,Pig,Meat,Industrial,0,0
AFG,Afghanistan,management,Anaerobic digester,Sheep,Dairy,Mixed,0,0
AFG,Afghanistan,management,Anaerobic digester,Sheep,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Dry lot,Pig,Meat,Industrial,53,53
AFG,Afghanistan,management,Burned for fuel,Cow,Dairy,Grassland Based,20,0
AFG,Afghanistan,management,Pit storage,Pig,Meat,Backyard,5,5
AFG,Afghanistan,management,Liquid/Slurry,Cow,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Burned for fuel,Buffaloes,Meat,Mixed,20,20
AFG,Afghanistan,management,Composting,Sheep,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Dry lot,Cow,Meat,Feedlot,100,100
AFG,Afghanistan,management,Solid storage,Cow,Meat,Feedlot,0,0
AFG,Afghanistan,management,Dry lot,Buffaloes,Dairy,Mixed,0,0
AFG,Afghanistan,management,Dry lot,Pig,Meat,Backyard,15,15
AFG,Afghanistan,management,Anaerobic digester,Goat,Dairy,Mixed,0,0
AFG,Afghanistan,management,Anaerobic digester,Pig,Meat,Backyard,5,5
AFG,Afghanistan,left on field,Pasture/Range/Paddock,Goat,Meat,Grassland Based,50,100
AFG,Afghanistan,management,Burned for fuel,Buffaloes,Dairy,Grassland Based,20,0
AFG,Afghanistan,management,Dry lot,Sheep,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Liquid/Slurry,Sheep,Meat,Grassland Based,0,0
AFG,Afghanistan,applied to crops,Daily spread,Pig,Meat,Industrial,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Cow,Dairy,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Goat,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Cow,Meat,Feedlot,0,0
AFG,Afghanistan,applied to crops,Daily spread,Pig,Meat,Intermediate,0,0
AFG,Afghanistan,management,Solid storage,Sheep,Meat,Grassland Based,50,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Cow,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Uncovered anaerobic lagoon,Buffaloes,Dairy,Mixed,0,0
AFG,Afghanistan,management,Burned for fuel,Buffaloes,Dairy,Mixed,20,20
AFG,Afghanistan,management,Anaerobic digester,Buffaloes,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Anaerobic digester,Pig,Meat,Industrial,7,7
AFG,Afghanistan,management,Burned for fuel,Cow,Meat,Grassland Based,20,0
AFG,Afghanistan,management,Burned for fuel,Goat,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Dry lot,Buffaloes,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Solid storage,Buffaloes,Dairy,Grassland Based,40,0
AFG,Afghanistan,management,Anaerobic digester,Buffaloes,Dairy,Mixed,0,0
AFG,Afghanistan,management,Dry lot,Goat,Dairy,Mixed,0,0
AFG,Afghanistan,applied to crops,Daily spread,Goat,Dairy,Grassland Based,0,0
AFG,Afghanistan,management,Pit storage,Chicken,Meat,Industrial,0,0
AFG,Afghanistan,management,Anaerobic digester,Buffaloes,Meat,Mixed,0,0
AFG,Afghanistan,management,Dry lot,Pig,Meat,Intermediate,53,53
AFG,Afghanistan,management,Solid storage,Buffaloes,Meat,Grassland Based,40,0
AFG,Afghanistan,management,Dry lot,Buffaloes,Meat,Grassland Based,0,0
AFG,Afghanistan,applied to crops,Daily spread,Buffaloes,Meat,Grassland Based,0,0
AFG,Afghanistan,management,Burned for fuel,Buffaloes,Meat,Grassland Based,20,0
AFG,Afghanistan,management,Pit storage,Pig,Meat,Industrial,0,0
AFG,Afghanistan,applied to crops,Daily spread,Cow,Meat,Grassland Based,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Goat,Meat,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Chicken,Eggs,Industrial,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Buffaloes,Dairy,Grassland Based,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Pig,Meat,Industrial,11.7,11.7
ALB,Albania,management,Anaerobic digester,Buffaloes,Dairy,Grassland Based,0,0
ALB,Albania,management,Composting,Goat,Dairy,Mixed,0,0
ALB,Albania,management,Dry lot,Buffaloes,Meat,Mixed,0,0
ALB,Albania,management,Anaerobic digester,Pig,Meat,Industrial,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Sheep,Meat,Grassland Based,0,0
ALB,Albania,left on field,Pasture/Range/Paddock,Pig,Meat,Intermediate,0,0
ALB,Albania,management,Solid storage,Goat,Meat,Grassland Based,28,0
ALB,Albania,management,Composting,Buffaloes,Meat,Grassland Based,0,0
ALB,Albania,management,Anaerobic digester,Cow,Dairy,Grassland Based,0,0
ALB,Albania,management,Dry lot,Chicken,Eggs,Industrial,50,50
ALB,Albania,management,Dry lot,Pig,Meat,Industrial,0,0
ALB,Albania,management,Solid storage,Sheep,Meat,Grassland Based,28,0
ALB,Albania,left on field,Pasture/Range/Paddock,Chicken,eggs&meat,Backyard,50,50
ALB,Albania,management,Uncovered anaerobic lagoon,Pig,Meat,Intermediate,11.7,11.7
ALB,Albania,management,Liquid/Slurry,Buffaloes,Dairy,Mixed,19,19
ALB,Albania,left on field,Pasture/Range/Paddock,Goat,Meat,Mixed,72,72
ALB,Albania,management,Dry lot,Goat,Dairy,Mixed,0,0
ALB,Albania,management,Composting,Goat,Meat,Grassland Based,0,0
ALB,Albania,management,Liquid/Slurry,Sheep,Meat,Grassland Based,0,0
ALB,Albania,management,Burned for fuel,Goat,Dairy,Mixed,0,0
ALB,Albania,left on field,Pasture/Range/Paddock,Chicken,Meat,Industrial,0,0
ALB,Albania,management,Liquid/Slurry,Buffaloes,Dairy,Grassland Based,19,0
ALB,Albania,management,Poultry manure with litter,Chicken,Eggs,Industrial,8,8
ALB,Albania,left on field,Pasture/Range/Paddock,Goat,Dairy,Mixed,72,72
ALB,Albania,management,Liquid/Slurry,Chicken,eggs&meat,Backyard,0,0
ALB,Albania,management,Solid storage,Goat,Dairy,Grassland Based,28,0
ALB,Albania,management,Poultry manure with litter,Chicken,eggs&meat,Backyard,0,0
ALB,Albania,management,Burned for fuel,Buffaloes,Meat,Mixed,0,0
ALB,Albania,management,Anaerobic digester,Cow,Meat,Grassland Based,0,0
ALB,Albania,management,Burned for fuel,Buffaloes,Dairy,Grassland Based,0,0
ALB,Albania,management,Liquid/Slurry,Goat,Meat,Mixed,0,0
ALB,Albania,management,Composting,Sheep,Dairy,Grassland Based,0,0
ALB,Albania,management,Dry lot,Buffaloes,Meat,Grassland Based,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Sheep,Meat,Mixed,0,0
ALB,Albania,management,Dry lot,Cow,Dairy,Grassland Based,0,0
ALB,Albania,management,Solid storage,Cow,Meat,Mixed,49,49
ALB,Albania,management,Burned for fuel,Sheep,Meat,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Cow,Meat,Feedlot,NA,NA
ALB,Albania,management,Anaerobic digester,Cow,Dairy,Mixed,0,0
ALB,Albania,applied to crops,Daily spread,Cow,Dairy,Mixed,1,1
ALB,Albania,management,Liquid/Slurry,Cow,Meat,Grassland Based,29,0
ALB,Albania,management,Liquid/Slurry,Cow,Meat,Feedlot,4,4
ALB,Albania,management,Burned for fuel,Sheep,Dairy,Mixed,0,0
ALB,Albania,management,Short pit storage (less than 1 month),Pig,Meat,Intermediate,2.8,2.8
ALB,Albania,management,Liquid/Slurry,Goat,Meat,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Buffaloes,Dairy,Mixed,1,1
ALB,Albania,management,Dry lot,Cow,Meat,Feedlot,96,96
ALB,Albania,management,Short pit storage (less than 1 month),Pig,Meat,Industrial,2.8,2.8
ALB,Albania,applied to crops,Daily spread,Goat,Dairy,Mixed,0,0
ALB,Albania,management,Composting,Buffaloes,Dairy,Mixed,0,0
ALB,Albania,management,Burned for fuel,Cow,Dairy,Mixed,0,0
ALB,Albania,left on field,Pasture/Range/Paddock,Chicken,Eggs,Industrial,0,0
ALB,Albania,management,Liquid/Slurry,Sheep,Dairy,Mixed,0,0
ALB,Albania,left on field,Pasture/Range/Paddock,Buffaloes,Meat,Mixed,22,22
ALB,Albania,management,Liquid/Slurry,Goat,Dairy,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Chicken,Meat,Industrial,0,0
ALB,Albania,management,Anaerobic digester,Cow,Meat,Mixed,0,0
ALB,Albania,management,Liquid/Slurry,Buffaloes,Meat,Mixed,29,29
ALB,Albania,management,Burned for fuel,Sheep,Dairy,Grassland Based,0,0
ALB,Albania,management,Pit storage,Pig,Meat,Backyard,5,5
ALB,Albania,management,Liquid/Slurry,Pig,Meat,Backyard,30,30
ALB,Albania,applied to crops,Daily spread,Pig,Meat,Intermediate,2,2
ALB,Albania,management,Solid storage,Cow,Dairy,Mixed,67,67
ALB,Albania,management,Solid storage,Pig,Meat,Backyard,15,15
ALB,Albania,management,Pit storage,Pig,Meat,Industrial,69.8,69.8
ALB,Albania,management,Composting,Cow,Dairy,Mixed,0,0
ALB,Albania,management,Composting,Cow,Meat,Grassland Based,0,0
ALB,Albania,management,Dry lot,Chicken,Meat,Industrial,0,0
ALB,Albania,applied to crops,Daily spread,Pig,Meat,Backyard,5,5
ALB,Albania,management,Uncovered anaerobic lagoon,Goat,Dairy,Mixed,0,0
ALB,Albania,management,Burned for fuel,Cow,Dairy,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Goat,Meat,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Cow,Meat,Mixed,0,0
ALB,Albania,applied to crops,Daily spread,Buffaloes,Dairy,Grassland Based,1,0
ALB,Albania,management,Uncovered anaerobic lagoon,Cow,Dairy,Grassland Based,0,0
ALB,Albania,management,Solid storage,Chicken,Eggs,Industrial,0,0
ALB,Albania,management,Liquid/Slurry,Buffaloes,Meat,Grassland Based,29,0
ALB,Albania,applied to crops,Daily spread,Goat,Dairy,Grassland Based,0,0
ALB,Albania,management,Solid storage,Buffaloes,Dairy,Mixed,67,67
ALB,Albania,management,Burned for fuel,Buffaloes,Dairy,Mixed,0,0
ALB,Albania,management,Liquid/Slurry,Cow,Dairy,Grassland Based,19,0
ALB,Albania,management,Solid storage,Pig,Meat,Industrial,13.7,13.7
ALB,Albania,management,Uncovered anaerobic lagoon,Goat,Dairy,Grassland Based,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Buffaloes,Dairy,Mixed,0,0
ALB,Albania,management,Liquid/Slurry,Sheep,Dairy,Grassland Based,0,0
ALB,Albania,management,Pit storage,Chicken,Eggs,Industrial,42,42
ALB,Albania,management,Anaerobic digester,Buffaloes,Dairy,Mixed,0,0
ALB,Albania,applied to crops,Daily spread,Goat,Meat,Mixed,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Buffaloes,Meat,Mixed,0,0
ALB,Albania,management,Burned for fuel,Goat,Meat,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Sheep,Dairy,Grassland Based,0,0
ALB,Albania,management,Solid storage,Pig,Meat,Intermediate,13.7,13.7
ALB,Albania,left on field,Pasture/Range/Paddock,Buffaloes,Dairy,Grassland Based,13,100
ALB,Albania,management,Liquid/Slurry,Chicken,Meat,Industrial,0,0
ALB,Albania,management,Composting,Goat,Dairy,Grassland Based,0,0
ALB,Albania,management,Solid storage,Sheep,Meat,Mixed,28,28
ALB,Albania,left on field,Pasture/Range/Paddock,Cow,Meat,Grassland Based,22,100
ALB,Albania,management,Uncovered anaerobic lagoon,Goat,Meat,Mixed,0,0
ALB,Albania,management,Dry lot,Goat,Meat,Mixed,0,0
ALB,Albania,applied to crops,Daily spread,Sheep,Dairy,Mixed,0,0
ALB,Albania,left on field,Pasture/Range/Paddock,Cow,Meat,Mixed,22,22
ALB,Albania,management,Poultry manure with litter,Chicken,Meat,Industrial,100,100
ALB,Albania,applied to crops,Daily spread,Chicken,eggs&meat,Backyard,50,50
ALB,Albania,left on field,Pasture/Range/Paddock,Pig,Meat,Backyard,5,5
ALB,Albania,management,Anaerobic digester,Buffaloes,Meat,Grassland Based,0,0
ALB,Albania,management,Composting,Sheep,Meat,Grassland Based,0,0
ALB,Albania,management,Composting,Cow,Meat,Mixed,0,0
ALB,Albania,management,Anaerobic digester,Goat,Meat,Grassland Based,0,0
ALB,Albania,management,Solid storage,Buffaloes,Meat,Mixed,49,49
ALB,Albania,management,Dry lot,Pig,Meat,Intermediate,0,0
ALB,Albania,management,Solid storage,Sheep,Dairy,Mixed,28,28
ALB,Albania,management,Composting,Cow,Dairy,Grassland Based,0,0
ALB,Albania,management,Composting,Buffaloes,Meat,Mixed,0,0
ALB,Albania,left on field,Pasture/Range/Paddock,Pig,Meat,Industrial,0,0
ALB,Albania,applied to crops,Daily spread,Sheep,Meat,Mixed,0,0
ALB,Albania,management,Dry lot,Sheep,Meat,Mixed,0,0
ALB,Albania,management,Dry lot,Sheep,Meat,Grassland Based,0,0
ALB,Albania,management,Liquid/Slurry,Chicken,Eggs,Industrial,0,0
ALB,Albania,applied to crops,Daily spread,Cow,Meat,Grassland Based,0,0
ALB,Albania,management,Composting,Buffaloes,Dairy,Grassland Based,0,0
ALB,Albania,management,Burned for fuel,Sheep,Meat,Mixed,0,0
ALB,Albania,left on field,Pasture/Range/Paddock,Sheep,Dairy,Grassland Based,72,100
ALB,Albania,management,Anaerobic digester,Pig,Meat,Backyard,5,5
ALB,Albania,left on field,Pasture/Range/Paddock,Sheep,Meat,Grassland Based,72,100
ALB,Albania,management,Uncovered anaerobic lagoon,Buffaloes,Meat,Grassland Based,0,0
ALB,Albania,applied to crops,Daily spread,Pig,Meat,Industrial,2,2
ALB,Albania,management,Solid storage,Chicken,eggs&meat,Backyard,0,0
ALB,Albania,management,Dry lot,Buffaloes,Dairy,Grassland Based,0,0
ALB,Albania,management,Anaerobic digester,Goat,Dairy,Grassland Based,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Cow,Meat,Feedlot,0,0
ALB,Albania,management,Dry lot,Cow,Dairy,Mixed,0,0
ALB,Albania,management,Solid storage,Buffaloes,Dairy,Grassland Based,67,0
ALB,Albania,management,Burned for fuel,Cow,Meat,Feedlot,NA,NA
ALB,Albania,management,Dry lot,Sheep,Dairy,Grassland Based,0,0
ALB,Albania,management,Dry lot,Cow,Meat,Mixed,0,0
ALB,Albania,management,Uncovered anaerobic lagoon,Cow,Meat,Grassland Based,0,0
