iso3c,ID_0,Country,animal,kg_n_yr
BES,29,"Bonaire, Sint Eustatius and Saba",sheep,4.5
BES,29,"Bonaire, Sint Eustatius and Saba",pigs,18.84
BES,29,"Bonaire, Sint Eustatius and Saba",chickens,0.35
BIH,30,Bosnia and Herzegovina,cows,42.55
BIH,30,Bosnia and Herzegovina,buffaloes,52.67
BIH,30,Bosnia and Herzegovina,goats,4.72
BIH,30,Bosnia and Herzegovina,sheep,4.81
BIH,30,Bosnia and Herzegovina,pigs,16.51
BIH,30,Bosnia and Herzegovina,chickens,0.68
BWA,31,Botswana,cows,26.66
BWA,31,Botswana,buffaloes,32.82
BWA,31,Botswana,goats,3.59
BWA,31,Botswana,sheep,3.58
BWA,31,Botswana,pigs,8.91
BWA,31,Botswana,chickens,0.65
BRA,33,Brazil,cows,43.5
BRA,33,Brazil,buffaloes,52.75
BRA,33,Brazil,goats,3.05
BRA,33,Brazil,sheep,5
BRA,33,Brazil,pigs,16.74
BRA,33,Brazil,chickens,0.69
VGB,35,British Virgin Islands,cows,34.01416666666667
VGB,35,British Virgin Islands,buffaloes,50.828863636363636
VGB,35,British Virgin Islands,goats,2.9341666666666666
VGB,35,British Virgin Islands,sheep,3.8433333333333333
VGB,35,British Virgin Islands,pigs,12.76
VGB,35,British Virgin Islands,chickens,0
BRN,36,Brunei,cows,27.56
BRN,36,Brunei,buffaloes,33.03
BRN,36,Brunei,goats,1.82
BRN,36,Brunei,sheep,1.47
BRN,36,Brunei,pigs,21.69
BRN,36,Brunei,chickens,0.94
BGR,37,Bulgaria,cows,48.46
BGR,37,Bulgaria,buffaloes,52.76
BGR,37,Bulgaria,goats,4.83
BGR,37,Bulgaria,sheep,4.34
BGR,37,Bulgaria,pigs,19.35
BGR,37,Bulgaria,chickens,0.59
BFA,38,Burkina Faso,cows,35.11
BFA,38,Burkina Faso,buffaloes,32.82
BFA,38,Burkina Faso,goats,2.56
BFA,38,Burkina Faso,sheep,3.26
BFA,38,Burkina Faso,pigs,7.59
BFA,38,Burkina Faso,chickens,0.5
BDI,39,Burundi,cows,26.43
BDI,39,Burundi,buffaloes,32.82
BDI,39,Burundi,goats,2.11
BDI,39,Burundi,sheep,2.54
BDI,39,Burundi,pigs,6.01
BDI,39,Burundi,chickens,0.38
KHM,40,Cambodia,cows,29.81
KHM,40,Cambodia,buffaloes,31.44
KHM,40,Cambodia,goats,3.073
KHM,40,Cambodia,sheep,2.45
KHM,40,Cambodia,pigs,11.34
KHM,40,Cambodia,chickens,0.52
CMR,41,Cameroon,cows,30.59
CMR,41,Cameroon,buffaloes,32.82
CMR,41,Cameroon,goats,2.57
CMR,41,Cameroon,sheep,3.45
CMR,41,Cameroon,pigs,8.94
CMR,41,Cameroon,chickens,0.5
CAN,42,Canada,cows,52.3
CAN,42,Canada,buffaloes,58.1
CAN,42,Canada,goats,5.23
CAN,42,Canada,sheep,6.47
CAN,42,Canada,pigs,13.04
CAN,42,Canada,chickens,0.72
CPV,43,Cape Verde,cows,30.708125
CPV,43,Cape Verde,buffaloes,32.82
CPV,43,Cape Verde,goats,2.481875
CPV,43,Cape Verde,sheep,2.8
CPV,43,Cape Verde,pigs,14.26
CPV,43,Cape Verde,chickens,0.5293333333333333
CYM,45,Cayman Islands,cows,34.01416666666667
CYM,45,Cayman Islands,buffaloes,50.828863636363636
CYM,45,Cayman Islands,goats,2.9341666666666666
CYM,45,Cayman Islands,sheep,3.8433333333333333
CYM,45,Cayman Islands,pigs,19.55
CYM,45,Cayman Islands,chickens,0.4928571428571428
CAF,46,Central African Republic,cows,34.8
CAF,46,Central African Republic,buffaloes,32.82
CAF,46,Central African Republic,goats,2.7
CAF,46,Central African Republic,sheep,3.69
CAF,46,Central African Republic,pigs,10.49
CAF,46,Central African Republic,chickens,0.57
TCD,47,Chad,cows,33.7
TCD,47,Chad,buffaloes,32.82
TCD,47,Chad,goats,3.21
TCD,47,Chad,sheep,3.42
TCD,47,Chad,pigs,11.75
TCD,47,Chad,chickens,0.56
CHL,48,Chile,cows,45.96
CHL,48,Chile,buffaloes,53.2625
CHL,48,Chile,goats,3.74
CHL,48,Chile,sheep,5.7
CHL,48,Chile,pigs,21.53
CHL,48,Chile,chickens,0.58
CHN,49,China,cows,39.95
CHN,49,China,buffaloes,31.36
CHN,49,China,goats,2.51
CHN,49,China,sheep,4.03
CHN,49,China,pigs,14.47
CHN,49,China,chickens,0.56
COL,53,Colombia,cows,44.26
COL,53,Colombia,buffaloes,52.51
COL,53,Colombia,goats,3.37
COL,53,Colombia,sheep,4.84
COL,53,Colombia,pigs,14.36
COL,53,Colombia,chickens,0.57
COM,54,Comoros,cows,25.95
COM,54,Comoros,buffaloes,32.82
COM,54,Comoros,goats,1.21
COM,54,Comoros,sheep,1.47
COM,54,Comoros,pigs,7.633333333333333
COM,54,Comoros,chickens,0.72
COK,55,Cook Islands,cows,46.58625
COK,55,Cook Islands,buffaloes,43.435267916415384
COK,55,Cook Islands,goats,5.071666666666666
COK,55,Cook Islands,sheep,5.865
COK,55,Cook Islands,pigs,19.18
COK,55,Cook Islands,chickens,0.6375
CRI,56,Costa Rica,cows,44.57
CRI,56,Costa Rica,buffaloes,46.57
CRI,56,Costa Rica,goats,2.92
CRI,56,Costa Rica,sheep,4.44
CRI,56,Costa Rica,pigs,15.46
CRI,56,Costa Rica,chickens,0.63
CIV,57,Côte d'Ivoire,cows,33.55
CIV,57,Côte d'Ivoire,buffaloes,32.82
CIV,57,Côte d'Ivoire,goats,2.52
CIV,57,Côte d'Ivoire,sheep,2.77
CIV,57,Côte d'Ivoire,pigs,12.78
CIV,57,Côte d'Ivoire,chickens,0.65
HRV,58,Croatia,cows,44.94
HRV,58,Croatia,buffaloes,55.74
HRV,58,Croatia,goats,5.71
HRV,58,Croatia,sheep,4.8
HRV,58,Croatia,pigs,18.34
HRV,58,Croatia,chickens,0.59
CUB,59,Cuba,cows,27.63
CUB,59,Cuba,buffaloes,50.828863636363636
CUB,59,Cuba,goats,2.88
CUB,59,Cuba,sheep,3.27
CUB,59,Cuba,pigs,12.55
CUB,59,Cuba,chickens,0.47
CZE,62,Czech Republic,cows,55.56
CZE,62,Czech Republic,buffaloes,47.943333333333335
CZE,62,Czech Republic,goats,7.35
CZE,62,Czech Republic,sheep,4.47
CZE,62,Czech Republic,pigs,18.93
CZE,62,Czech Republic,chickens,0.5
COD,301,Democratic Republic of the Congo,cows,26.26
COD,301,Democratic Republic of the Congo,buffaloes,32.82
COD,301,Democratic Republic of the Congo,goats,2.71
COD,301,Democratic Republic of the Congo,sheep,3.16
COD,301,Democratic Republic of the Congo,pigs,6.05
COD,301,Democratic Republic of the Congo,chickens,0.33
DNK,64,Denmark,cows,60.13
DNK,64,Denmark,buffaloes,52.741282051282056
DNK,64,Denmark,goats,5.888333333333334
DNK,64,Denmark,sheep,5.43
DNK,64,Denmark,pigs,20.19
DNK,64,Denmark,chickens,0.62
DJI,65,Djibouti,cows,27.92
DJI,65,Djibouti,buffaloes,32.82
DJI,65,Djibouti,goats,2.64
DJI,65,Djibouti,sheep,2.79
DJI,65,Djibouti,pigs,7.633333333333333
DJI,65,Djibouti,chickens,0.47933333333333333
DOM,67,Dominican Republic,cows,32.83
DOM,67,Dominican Republic,buffaloes,50.828863636363636
DOM,67,Dominican Republic,goats,3
DOM,67,Dominican Republic,sheep,4.1
DOM,67,Dominican Republic,pigs,16.37
DOM,67,Dominican Republic,chickens,0.26
DMA,66,Dominica,cows,39.94
DMA,66,Dominica,buffaloes,50.828863636363636
DMA,66,Dominica,goats,3.65
DMA,66,Dominica,sheep,5.01
DMA,66,Dominica,pigs,23.39
DMA,66,Dominica,chickens,0.8
ECU,68,Ecuador,cows,43.14
ECU,68,Ecuador,buffaloes,53.2625
ECU,68,Ecuador,goats,3.26
ECU,68,Ecuador,sheep,3.82
ECU,68,Ecuador,pigs,16.9
ECU,68,Ecuador,chickens,0.81
EGY,69,Egypt,cows,24.45
EGY,69,Egypt,buffaloes,32.82
EGY,69,Egypt,goats,1.69
EGY,69,Egypt,sheep,2.39
EGY,69,Egypt,pigs,8.17
EGY,69,Egypt,chickens,0.44
SLV,70,El Salvador,cows,35.91
SLV,70,El Salvador,buffaloes,46.57
SLV,70,El Salvador,goats,2.7
SLV,70,El Salvador,sheep,3.93
SLV,70,El Salvador,pigs,14.34
SLV,70,El Salvador,chickens,0.52
GNQ,71,Equatorial Guinea,cows,24.33
GNQ,71,Equatorial Guinea,buffaloes,32.82
GNQ,71,Equatorial Guinea,goats,2.6
GNQ,71,Equatorial Guinea,sheep,3.19
GNQ,71,Equatorial Guinea,pigs,12.19
GNQ,71,Equatorial Guinea,chickens,0.77
ERI,72,Eritrea,cows,28.23
ERI,72,Eritrea,buffaloes,32.82
ERI,72,Eritrea,goats,2.66
ERI,72,Eritrea,sheep,3.23
ERI,72,Eritrea,pigs,7.633333333333333
ERI,72,Eritrea,chickens,0.53
EST,73,Estonia,cows,64.12
EST,73,Estonia,buffaloes,52.741282051282056
EST,73,Estonia,goats,6
EST,73,Estonia,sheep,4.68
EST,73,Estonia,pigs,19.11
EST,73,Estonia,chickens,0.59
ETH,74,Ethiopia,cows,31.15
ETH,74,Ethiopia,buffaloes,32.82
ETH,74,Ethiopia,goats,2.65
ETH,74,Ethiopia,sheep,2.77
ETH,74,Ethiopia,pigs,7.56
ETH,74,Ethiopia,chickens,0.47
FLK,75,Falkland Islands,cows,43.09076923076923
FLK,75,Falkland Islands,buffaloes,53.2625
FLK,75,Falkland Islands,goats,3.4715384615384615
FLK,75,Falkland Islands,sheep,4.88
FLK,75,Falkland Islands,pigs,20.44
FLK,75,Falkland Islands,chickens,0.6161538461538462
FJI,77,Fiji,cows,41.5475
FJI,77,Fiji,buffaloes,43.435267916415384
FJI,77,Fiji,goats,4.463333333333333
FJI,77,Fiji,sheep,5.43
FJI,77,Fiji,pigs,25.19
FJI,77,Fiji,chickens,0.5800000000000001
FIN,78,Finland,cows,67.33
FIN,78,Finland,buffaloes,52.741282051282056
FIN,78,Finland,goats,4.11
FIN,78,Finland,sheep,4.17
FIN,78,Finland,pigs,19.01
FIN,78,Finland,chickens,0.55
FRA,79,France,cows,59.01
FRA,79,France,buffaloes,52.741282051282056
FRA,79,France,goats,7.57
FRA,79,France,sheep,5.57
FRA,79,France,pigs,14.68
FRA,79,France,chickens,0.58
GUF,80,French Guiana,cows,35.54
GUF,80,French Guiana,buffaloes,53.2625
GUF,80,French Guiana,goats,3.42
GUF,80,French Guiana,sheep,4.91
GUF,80,French Guiana,pigs,12.62
GUF,80,French Guiana,chickens,0.44
PYF,81,French Polynesia,cows,46.58625
PYF,81,French Polynesia,buffaloes,43.435267916415384
PYF,81,French Polynesia,goats,5.071666666666666
PYF,81,French Polynesia,sheep,5.865
PYF,81,French Polynesia,pigs,23.57
PYF,81,French Polynesia,chickens,0.6375
GAB,83,Gabon,cows,32.3
GAB,83,Gabon,buffaloes,32.82
GAB,83,Gabon,goats,2.64
GAB,83,Gabon,sheep,3.17
GAB,83,Gabon,pigs,6.21
GAB,83,Gabon,chickens,0.35
GMB,84,Gambia,cows,31.02
GMB,84,Gambia,buffaloes,32.82
GMB,84,Gambia,goats,2.34
GMB,84,Gambia,sheep,3.15
GMB,84,Gambia,pigs,8.57
GMB,84,Gambia,chickens,0.42
GEO,85,Georgia,cows,42.12
GEO,85,Georgia,buffaloes,45.75
GEO,85,Georgia,goats,3.19
GEO,85,Georgia,sheep,4.04
GEO,85,Georgia,pigs,14.35
GEO,85,Georgia,chickens,0.53
DEU,86,Germany,cows,66.81
DEU,86,Germany,buffaloes,52.741282051282056
DEU,86,Germany,goats,6.02
DEU,86,Germany,sheep,5.24
DEU,86,Germany,pigs,20.73
DEU,86,Germany,chickens,0.43
GHA,87,Ghana,cows,32.57
GHA,87,Ghana,buffaloes,32.82
GHA,87,Ghana,goats,2.39
GHA,87,Ghana,sheep,2.71
GHA,87,Ghana,pigs,10.25
GHA,87,Ghana,chickens,0.52
GRC,89,Greece,cows,49.79
GRC,89,Greece,buffaloes,55.74
GRC,89,Greece,goats,5
GRC,89,Greece,sheep,5.15
GRC,89,Greece,pigs,19.01
GRC,89,Greece,chickens,0.47
GRD,91,Grenada,cows,34.01416666666667
GRD,91,Grenada,buffaloes,50.828863636363636
GRD,91,Grenada,goats,2.9341666666666666
GRD,91,Grenada,sheep,3.8433333333333333
GRD,91,Grenada,pigs,24.66
GRD,91,Grenada,chickens,0.63
GLP,92,Guadeloupe,cows,33.43
GLP,92,Guadeloupe,buffaloes,50.828863636363636
GLP,92,Guadeloupe,goats,1.31
GLP,92,Guadeloupe,sheep,1.86
GLP,92,Guadeloupe,pigs,11.85
GLP,92,Guadeloupe,chickens,0.63
GUM,93,Guam,cows,46.58625
GUM,93,Guam,buffaloes,43.435267916415384
GUM,93,Guam,goats,5.071666666666666
GUM,93,Guam,sheep,5.865
GUM,93,Guam,pigs,18.52
GUM,93,Guam,chickens,0.6375
GTM,94,Guatemala,cows,35.33
GTM,94,Guatemala,buffaloes,46.57
GTM,94,Guatemala,goats,3.23
GTM,94,Guatemala,sheep,4.31
GTM,94,Guatemala,pigs,14.07
GTM,94,Guatemala,chickens,0.55
GNB,97,Guinea-Bissau,cows,29.3
GNB,97,Guinea-Bissau,buffaloes,32.82
GNB,97,Guinea-Bissau,goats,2.1
GNB,97,Guinea-Bissau,sheep,1.69
GNB,97,Guinea-Bissau,pigs,14.53
GNB,97,Guinea-Bissau,chickens,0.66
GIN,96,Guinea,cows,32.39
GIN,96,Guinea,buffaloes,32.82
GIN,96,Guinea,goats,2.67
GIN,96,Guinea,sheep,3.19
GIN,96,Guinea,pigs,15.01
GIN,96,Guinea,chickens,0.72
GUY,98,Guyana,cows,42.23
GUY,98,Guyana,buffaloes,53.2625
GUY,98,Guyana,goats,3.19
GUY,98,Guyana,sheep,4.67
GUY,98,Guyana,pigs,14.88
GUY,98,Guyana,chickens,0.62
HTI,99,Haiti,cows,33.02
HTI,99,Haiti,buffaloes,50.828863636363636
HTI,99,Haiti,goats,2.5
HTI,99,Haiti,sheep,3.81
HTI,99,Haiti,pigs,13.37
HTI,99,Haiti,chickens,0.51
HND,101,Honduras,cows,40.53
HND,101,Honduras,buffaloes,46.57
HND,101,Honduras,goats,3.18
HND,101,Honduras,sheep,4.5
HND,101,Honduras,pigs,16.12
HND,101,Honduras,chickens,0.64
HKG,102,Hong Kong,cows,25.62
HKG,102,Hong Kong,buffaloes,33.97
HKG,102,Hong Kong,goats,2.952
HKG,102,Hong Kong,sheep,1.31
HKG,102,Hong Kong,pigs,15.22
HKG,102,Hong Kong,chickens,0.5820000000000001
HUN,103,Hungary,cows,59.86
HUN,103,Hungary,buffaloes,47.943333333333335
HUN,103,Hungary,goats,4.52
HUN,103,Hungary,sheep,4.1
HUN,103,Hungary,pigs,16.36
HUN,103,Hungary,chickens,0.49
ISL,104,Iceland,cows,62.891111111111115
ISL,104,Iceland,buffaloes,52.741282051282056
ISL,104,Iceland,goats,5.888333333333334
ISL,104,Iceland,sheep,4.59375
ISL,104,Iceland,pigs,19.01
ISL,104,Iceland,chickens,0.63
IND,105,India,cows,34.47
IND,105,India,buffaloes,40.57
IND,105,India,goats,2.71
IND,105,India,sheep,2.75
IND,105,India,pigs,15.41
IND,105,India,chickens,0.68
IDN,106,Indonesia,cows,30.64
IDN,106,Indonesia,buffaloes,31.76
IDN,106,Indonesia,goats,4.23
IDN,106,Indonesia,sheep,3.25
IDN,106,Indonesia,pigs,17.89
IDN,106,Indonesia,chickens,0.81
IRN,107,Iran,cows,34.02
IRN,107,Iran,buffaloes,42.34
IRN,107,Iran,goats,3.37
IRN,107,Iran,sheep,3.36
IRN,107,Iran,pigs,15.064
IRN,107,Iran,chickens,0.54
IRQ,108,Iraq,cows,30.88
IRQ,108,Iraq,buffaloes,44.6325
IRQ,108,Iraq,goats,3.31
IRQ,108,Iraq,sheep,3.81
IRQ,108,Iraq,pigs,14.82625
IRQ,108,Iraq,chickens,0.47
IRL,109,Ireland,cows,58.95
IRL,109,Ireland,buffaloes,52.741282051282056
IRL,109,Ireland,goats,5.06
IRL,109,Ireland,sheep,4.61
IRL,109,Ireland,pigs,18.65
IRL,109,Ireland,chickens,0.63
ISR,111,Israel,cows,73.85
ISR,111,Israel,buffaloes,44.6325
ISR,111,Israel,goats,3.79
ISR,111,Israel,sheep,4.34
ISR,111,Israel,pigs,17.71
ISR,111,Israel,chickens,0.54
ITA,112,Italy,cows,52.28
ITA,112,Italy,buffaloes,58.81
ITA,112,Italy,goats,4.56
ITA,112,Italy,sheep,5.25
ITA,112,Italy,pigs,17.83
ITA,112,Italy,chickens,0.48
JAM,113,Jamaica,cows,32.15
JAM,113,Jamaica,buffaloes,50.828863636363636
JAM,113,Jamaica,goats,4.44
JAM,113,Jamaica,sheep,4.33
JAM,113,Jamaica,pigs,18.13
JAM,113,Jamaica,chickens,0.71
JPN,114,Japan,cows,55.56
JPN,114,Japan,buffaloes,32.665
JPN,114,Japan,goats,2.78
JPN,114,Japan,sheep,3.39
JPN,114,Japan,pigs,11.71
JPN,114,Japan,chickens,0.49
JOR,116,Jordan,cows,37.5
JOR,116,Jordan,buffaloes,44.6325
JOR,116,Jordan,goats,3.16
JOR,116,Jordan,sheep,4.04
JOR,116,Jordan,pigs,14.82625
JOR,116,Jordan,chickens,0.71
KAZ,117,Kazakhstan,cows,54.94
KAZ,117,Kazakhstan,buffaloes,35.09
KAZ,117,Kazakhstan,goats,3.11
KAZ,117,Kazakhstan,sheep,4.57
KAZ,117,Kazakhstan,pigs,14.34
KAZ,117,Kazakhstan,chickens,0.53
KEN,118,Kenya,cows,35.48
KEN,118,Kenya,buffaloes,32.82
KEN,118,Kenya,goats,3.55
KEN,118,Kenya,sheep,3.2
KEN,118,Kenya,pigs,7.77
KEN,118,Kenya,chickens,0.5
KIR,119,Kiribati,cows,46.58625
KIR,119,Kiribati,buffaloes,43.435267916415384
KIR,119,Kiribati,goats,5.071666666666666
KIR,119,Kiribati,sheep,5.865
KIR,119,Kiribati,pigs,17.06
KIR,119,Kiribati,chickens,0.6375
KWT,121,Kuwait,cows,34.52
KWT,121,Kuwait,buffaloes,44.6325
KWT,121,Kuwait,goats,3.44
KWT,121,Kuwait,sheep,3.96
KWT,121,Kuwait,pigs,14.82625
KWT,121,Kuwait,chickens,0.39
KGZ,122,Kyrgyzstan,cows,53.53
KGZ,122,Kyrgyzstan,buffaloes,35.09
KGZ,122,Kyrgyzstan,goats,3.02
KGZ,122,Kyrgyzstan,sheep,4.42
KGZ,122,Kyrgyzstan,pigs,16.29
KGZ,122,Kyrgyzstan,chickens,0.62
LAO,123,Laos,cows,34.12
LAO,123,Laos,buffaloes,31.48
LAO,123,Laos,goats,3.42
LAO,123,Laos,sheep,2.38
LAO,123,Laos,pigs,10.47
LAO,123,Laos,chickens,0.51
LVA,124,Latvia,cows,61.34
LVA,124,Latvia,buffaloes,52.741282051282056
LVA,124,Latvia,goats,6.61
LVA,124,Latvia,sheep,4.44
LVA,124,Latvia,pigs,17.44
LVA,124,Latvia,chickens,0.62
LBN,125,Lebanon,cows,36.5
LBN,125,Lebanon,buffaloes,44.6325
LBN,125,Lebanon,goats,3.75
LBN,125,Lebanon,sheep,4.28
LBN,125,Lebanon,pigs,21.17
LBN,125,Lebanon,chickens,0.72
LSO,126,Lesotho,cows,23.95
LSO,126,Lesotho,buffaloes,32.82
LSO,126,Lesotho,goats,3.24
LSO,126,Lesotho,sheep,2.53
LSO,126,Lesotho,pigs,6.6
LSO,126,Lesotho,chickens,0.47
LBR,127,Liberia,cows,30.13
LBR,127,Liberia,buffaloes,32.82
LBR,127,Liberia,goats,2.41
LBR,127,Liberia,sheep,2.59
LBR,127,Liberia,pigs,9.86
LBR,127,Liberia,chickens,0.52
LBY,128,Libya,cows,27.86
LBY,128,Libya,buffaloes,32.82
LBY,128,Libya,goats,2.35
LBY,128,Libya,sheep,2.82
LBY,128,Libya,pigs,11.8875
LBY,128,Libya,chickens,0.44
LIE,129,Liechtenstein,cows,58.67
LIE,129,Liechtenstein,buffaloes,52.741282051282056
LIE,129,Liechtenstein,goats,4.19
LIE,129,Liechtenstein,sheep,5.39
LIE,129,Liechtenstein,pigs,16.87
LIE,129,Liechtenstein,chickens,0.5071428571428571
LTU,130,Lithuania,cows,62.07
LTU,130,Lithuania,buffaloes,52.741282051282056
LTU,130,Lithuania,goats,6.65
LTU,130,Lithuania,sheep,4.53
LTU,130,Lithuania,pigs,17.93
LTU,130,Lithuania,chickens,0.64
LUX,131,Luxembourg,cows,60.92
LUX,131,Luxembourg,buffaloes,52.741282051282056
LUX,131,Luxembourg,goats,4.38
LUX,131,Luxembourg,sheep,6.93
LUX,131,Luxembourg,pigs,18.95
LUX,131,Luxembourg,chickens,0.53
MKD,133,Macedonia,cows,43.12
MKD,133,Macedonia,buffaloes,55.74
MKD,133,Macedonia,goats,5.31
MKD,133,Macedonia,sheep,4.81
MKD,133,Macedonia,pigs,17.3
MKD,133,Macedonia,chickens,0.6
MDG,134,Madagascar,cows,34.12
MDG,134,Madagascar,buffaloes,32.82
MDG,134,Madagascar,goats,3.12
MDG,134,Madagascar,sheep,3.37
MDG,134,Madagascar,pigs,7.84
MDG,134,Madagascar,chickens,0.47
MWI,135,Malawi,cows,30
MWI,135,Malawi,buffaloes,32.82
MWI,135,Malawi,goats,2.49
MWI,135,Malawi,sheep,3.02
MWI,135,Malawi,pigs,6.4
MWI,135,Malawi,chickens,0.4
MYS,136,Malaysia,cows,24.72
MYS,136,Malaysia,buffaloes,30.15
MYS,136,Malaysia,goats,4.21
MYS,136,Malaysia,sheep,2.9
MYS,136,Malaysia,pigs,24.24
MYS,136,Malaysia,chickens,0.67
MLI,138,Mali,cows,33.04
MLI,138,Mali,buffaloes,32.82
MLI,138,Mali,goats,2.63
MLI,138,Mali,sheep,3.35
MLI,138,Mali,pigs,10.95
MLI,138,Mali,chickens,0.55
MLT,139,Malta,cows,49.73
MLT,139,Malta,buffaloes,55.74
MLT,139,Malta,goats,6.7
MLT,139,Malta,sheep,5.22
MLT,139,Malta,pigs,17.17
MLT,139,Malta,chickens,0.48
