iso3c,animal,system,product,leach_n_rate
TZA,buffaloes,grassland,meat,0.19544310000000004
UGA,buffaloes,grassland,meat,0.19544310000000004
UKR,buffaloes,grassland,meat,0.180635
URY,buffaloes,grassland,meat,0.31717818750000004
USA,buffaloes,grassland,meat,0.23065700000000003
UZB,buffaloes,grassland,meat,0.20896095000000006
VCT,buffaloes,grassland,meat,0.3026858829545455
VEN,buffaloes,grassland,meat,0.3199026
VGB,buffaloes,grassland,meat,0.3026858829545455
VIR,buffaloes,grassland,meat,0.3026858829545455
VNM,buffaloes,grassland,meat,0.17537475
VUT,buffaloes,grassland,meat,0.08621900681408454
WLF,buffaloes,grassland,meat,0.08621900681408454
WSM,buffaloes,grassland,meat,0.08621900681408454
XKO,buffaloes,grassland,meat,0.22738175
XMI,buffaloes,grassland,meat,0.19544310000000004
YEM,buffaloes,grassland,meat,0.27049992
ZAF,buffaloes,grassland,meat,0.1954431
ZMB,buffaloes,grassland,meat,0.19544310000000004
ZWE,buffaloes,grassland,meat,0.19544310000000004
