"zone","food_group","n_cells_dom_80%","proportion_dominated","iso3c","Country"
25,"small.pelagic_fisheries",0,0,"BEN","Benin"
25,"benthic_fisheries",0,0,"BEN","Benin"
25,"reef_fisheries",0,0,"BEN","Benin"
25,"aquaculture_marine",0,0,"BEN","Benin"
26,"demersal_fisheries",0,0,"BMU","Bermuda"
26,"fofm_fisheries",68,6.78033058903504e-06,"BMU","Bermuda"
26,"large.pelagic_fisheries",6499,0.000648020124972628,"BMU","Bermuda"
26,"medium.pelagic_fisheries",0,0,"BMU","Bermuda"
26,"small.pelagic_fisheries",0,0,"BMU","Bermuda"
26,"benthic_fisheries",0,0,"BMU","Bermuda"
26,"reef_fisheries",0,0,"BMU","Bermuda"
26,"aquaculture_marine",0,0,"BMU","Bermuda"
27,"demersal_fisheries",0,0,"BTN","Bhutan"
27,"fofm_fisheries",0,0,"BTN","Bhutan"
27,"large.pelagic_fisheries",0,0,"BTN","Bhutan"
27,"medium.pelagic_fisheries",0,0,"BTN","Bhutan"
27,"small.pelagic_fisheries",0,0,"BTN","Bhutan"
27,"benthic_fisheries",0,0,"BTN","Bhutan"
27,"reef_fisheries",0,0,"BTN","Bhutan"
27,"aquaculture_marine",0,0,"BTN","Bhutan"
28,"demersal_fisheries",0,0,"BOL","Bolivia"
28,"fofm_fisheries",0,0,"BOL","Bolivia"
28,"large.pelagic_fisheries",0,0,"BOL","Bolivia"
28,"medium.pelagic_fisheries",0,0,"BOL","Bolivia"
28,"small.pelagic_fisheries",0,0,"BOL","Bolivia"
28,"benthic_fisheries",0,0,"BOL","Bolivia"
28,"reef_fisheries",0,0,"BOL","Bolivia"
28,"aquaculture_marine",0,0,"BOL","Bolivia"
29,"demersal_fisheries",14,1.39595041538957e-06,"BES","Bonaire, Sint Eustatius and Saba"
29,"fofm_fisheries",54,5.38438017364547e-06,"BES","Bonaire, Sint Eustatius and Saba"
29,"large.pelagic_fisheries",146,1.45577686176341e-05,"BES","Bonaire, Sint Eustatius and Saba"
29,"medium.pelagic_fisheries",0,0,"BES","Bonaire, Sint Eustatius and Saba"
29,"small.pelagic_fisheries",0,0,"BES","Bonaire, Sint Eustatius and Saba"
29,"benthic_fisheries",0,0,"BES","Bonaire, Sint Eustatius and Saba"
29,"reef_fisheries",0,0,"BES","Bonaire, Sint Eustatius and Saba"
29,"aquaculture_marine",0,0,"BES","Bonaire, Sint Eustatius and Saba"
30,"demersal_fisheries",0,0,"BIH","Bosnia and Herzegovina"
30,"fofm_fisheries",0,0,"BIH","Bosnia and Herzegovina"
30,"large.pelagic_fisheries",0,0,"BIH","Bosnia and Herzegovina"
30,"medium.pelagic_fisheries",0,0,"BIH","Bosnia and Herzegovina"
30,"small.pelagic_fisheries",0,0,"BIH","Bosnia and Herzegovina"
30,"benthic_fisheries",0,0,"BIH","Bosnia and Herzegovina"
30,"reef_fisheries",0,0,"BIH","Bosnia and Herzegovina"
30,"aquaculture_marine",0,0,"BIH","Bosnia and Herzegovina"
31,"demersal_fisheries",0,0,"BWA","Botswana"
31,"fofm_fisheries",0,0,"BWA","Botswana"
31,"large.pelagic_fisheries",0,0,"BWA","Botswana"
31,"medium.pelagic_fisheries",0,0,"BWA","Botswana"
31,"small.pelagic_fisheries",0,0,"BWA","Botswana"
31,"benthic_fisheries",0,0,"BWA","Botswana"
31,"reef_fisheries",0,0,"BWA","Botswana"
31,"aquaculture_marine",0,0,"BWA","Botswana"
33,"demersal_fisheries",3753,0.00037421442206836,"BRA","Brazil"
33,"fofm_fisheries",0,0,"BRA","Brazil"
33,"large.pelagic_fisheries",49456,0.0049312945531076,"BRA","Brazil"
33,"medium.pelagic_fisheries",0,0,"BRA","Brazil"
33,"small.pelagic_fisheries",0,0,"BRA","Brazil"
