iso3c,ID_0,Country,GHG_KgCO2e_tLW,GHG_aquatic_KgCO2e_tLW
FRA,79,France,118,909
GUF,80,French Guiana,118,909
PYF,81,French Polynesia,118,909
GAB,83,Gabon,118,909
GMB,84,Gambia,118,909
GEO,85,Georgia,118,909
DEU,86,Germany,118,909
GHA,87,Ghana,118,909
GIB,88,Gibraltar,118,909
GRC,89,Greece,118,909
GRL,90,Greenland,118,909
GRD,91,Grenada,118,909
GLP,92,Guadeloupe,118,909
GUM,93,Guam,118,909
GTM,94,Guatemala,118,909
GGY,95,Guernsey,118,909
GNB,97,Guinea-Bissau,118,909
GIN,96,Guinea,118,909
GUY,98,Guyana,118,909
HTI,99,Haiti,118,909
HND,101,Honduras,118,909
HKG,102,Hong Kong,118,909
HUN,103,Hungary,118,909
ISL,104,Iceland,118,909
IND,105,India,118,909
IDN,106,Indonesia,118,909
IRN,107,Iran,118,909
IRQ,108,Iraq,118,909
IRL,109,Ireland,118,909
IMN,110,Isle of Man,118,909
ISR,111,Israel,118,909
ITA,112,Italy,118,909
JAM,113,Jamaica,118,909
JPN,114,Japan,118,909
JEY,115,Jersey,118,909
JOR,116,Jordan,118,909
KAZ,117,Kazakhstan,118,909
KEN,118,Kenya,118,909
KIR,119,Kiribati,118,909
XKO,120,Kosovo,118,909
KWT,121,Kuwait,118,909
KGZ,122,Kyrgyzstan,118,909
LAO,123,Laos,118,909
LVA,124,Latvia,118,909
LBN,125,Lebanon,118,909
LSO,126,Lesotho,118,909
LBR,127,Liberia,118,909
LBY,128,Libya,118,909
LIE,129,Liechtenstein,118,909
LTU,130,Lithuania,118,909
LUX,131,Luxembourg,118,909
MAC,132,Macao,118,909
MKD,133,Macedonia,118,909
MDG,134,Madagascar,118,909
MWI,135,Malawi,118,909
MYS,136,Malaysia,118,909
MDV,137,Maldives,118,909
MLI,138,Mali,118,909
MLT,139,Malta,118,909
MHL,140,Marshall Islands,118,909
MTQ,141,Martinique,118,909
MRT,142,Mauritania,118,909
MUS,143,Mauritius,118,909
MYT,144,Mayotte,118,909
MEX,145,Mexico,118,909
FSM,146,Micronesia,118,909
MDA,147,Moldova,118,909
MCO,148,Monaco,118,909
MNG,149,Mongolia,118,909
MNE,150,Montenegro,118,909
MSR,151,Montserrat,118,909
MAR,152,Morocco,118,909
MOZ,153,Mozambique,118,909
MMR,154,Myanmar,118,909
NAM,155,Namibia,118,909
NRU,156,Nauru,118,909
NPL,157,Nepal,118,909
NLD,158,Netherlands,118,909
NCL,159,New Caledonia,118,909
NZL,160,New Zealand,118,909
NIC,161,Nicaragua,118,909
NER,162,Niger,118,909
NGA,163,Nigeria,118,909
NIU,164,Niue,118,909
NFK,165,Norfolk Island,118,909
PRK,166,North Korea,118,909
MNP,168,Northern Mariana Islands,118,909
NOR,169,Norway,96,887
OMN,170,Oman,118,909
PAK,171,Pakistan,118,909
PLW,172,Palau,118,909
PSE,173,Palestina,118,909
PAN,174,Panama,118,909
PNG,175,Papua New Guinea,118,909
PRY,177,Paraguay,118,909
PER,178,Peru,118,909
PHL,179,Philippines,118,909
PCN,180,Pitcairn Islands,118,909
POL,181,Poland,118,909
PRT,182,Portugal,118,909
XMI,300,Madeira Island,118,909
PRI,183,Puerto Rico,118,909
QAT,184,Qatar,118,909
COG,185,Republic of Congo,118,909
REU,186,Reunion,118,909
ROU,187,Romania,118,909
RUS,188,Russia,118,909
RWA,189,Rwanda,118,909
BLM,190,Saint-Barthélemy,118,909
MAF,191,Saint-Martin,118,909
SHN,192,Saint Helena,118,909
KNA,193,Saint Kitts and Nevis,118,909
LCA,194,Saint Lucia,118,909
SPM,195,Saint Pierre and Miquelon,118,909
VCT,196,Saint Vincent and the Grenadines,118,909
WSM,197,Samoa,118,909
SMR,198,San Marino,118,909
STP,199,São Tomé and Príncipe,118,909
SAU,200,Saudi Arabia,118,909
SEN,201,Senegal,118,909
SRB,202,Serbia,118,909
SYC,203,Seychelles,118,909
SLE,204,Sierra Leone,118,909
SGP,205,Singapore,118,909
SXM,206,Sint Maarten,118,909
SVK,207,Slovakia,118,909
SVN,208,Slovenia,118,909
SLB,209,Solomon Islands,118,909
SOM,210,Somalia,118,909
ZAF,211,South Africa,118,909
KOR,213,South Korea,118,909
SSD,214,South Sudan,118,909
ESP,215,Spain,118,909
LKA,217,Sri Lanka,118,909
SDN,218,Sudan,118,909
SUR,219,Suriname,118,909
SJM,220,Svalbard and Jan Mayen,118,909
SWZ,221,Swaziland,118,909
SWE,222,Sweden,118,909
CHE,223,Switzerland,118,909
SYR,224,Syria,118,909
TWN,225,Taiwan,118,909
TJK,226,Tajikistan,118,909
TZA,227,Tanzania,118,909
THA,228,Thailand,118,909
TLS,229,Timor-Leste,118,909
TGO,230,Togo,118,909
TKL,231,Tokelau,118,909
TON,232,Tonga,118,909
TTO,233,Trinidad and Tobago,118,909
TUN,234,Tunisia,118,909
TUR,235,Turkey,118,909
TKM,236,Turkmenistan,118,909
TCA,237,Turks and Caicos Islands,118,909
TUV,238,Tuvalu,118,909
UGA,239,Uganda,118,909
UKR,240,Ukraine,118,909
ARE,241,United Arab Emirates,118,909
GBR,242,United Kingdom,176.5,967.5
USA,243,United States,118,909
URY,245,Uruguay,118,909
UZB,246,Uzbekistan,118,909
VUT,247,Vanuatu,118,909
VEN,249,Venezuela,118,909
VNM,250,Vietnam,118,909
VIR,251,"Virgin Islands, U.S.",118,909
WLF,252,Wallis and Futuna,118,909
ESH,253,Western Sahara,118,909
YEM,254,Yemen,118,909
ZMB,255,Zambia,118,909
ZWE,256,Zimbabwe,118,909
