#,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
77,88,Chillies and peppers; green,"Bell pepper,  green, capsicum, fresh, raw",23,1.1,0.3,3.2,97,16,,9,1,0.2,126,1.7,0.08,13,24,0.07,0.04,0.5,,,,,,,,,,93.3,0.4,
78,88,Chillies and peppers; green,"Chilli pepper,  green,  raw",24,1.4,0.2,2.6,250,4,,10,0.5,0.2,183,3.2,0.07,9,37,0.22,,,,,,,,,,,,92,0.6,
79,88,Chillies and peppers; green,"Bird chilli, small, fresh",56,3.7,1.1,2.9,52,92,,24,1.2,0.4,461,9.9,0.19,22,95,0.22,0.06,1.1,,,,,,,,,,81.2,1.2,
80,89,Onions (inc. shallots); green,"Onion,  spring,  fresh, raw",39,2.2,0.7,4.6,42,237,,55,2.3,,137,2.6,,16,39,0.06,0.09,0.3,,,,,,,,,,89.2,0.7,
81,89,Onions (inc. shallots); green,"Shallot,  leaf, spring onion, raw",32,1.8,0.3,4.4,25,69,,76,1.8,0.3,135,2.3,0.1,17,35,0.04,0.1,0.3,,,,,,,,,,90.4,0.8,
82,89,Onions (inc. shallots); green,"Onion,  flower",23,1.2,0.1,4.2,19,32,,23,0.6,,,,,,25,0.04,0.1,0.2,,,,,,,,,,94,0.5,
83,89,Onions (inc. shallots); green,"Shallot,  bulb",62,1.7,0.1,12.3,9,0,,50,0.9,0.3,256,2.4,0.08,10,40,0.11,0.06,0.3,,,,,,,,,,82.8,0.7,
84,90,Garlic,"Garlic, fresh",51,2.1,0.1,10.4,,,,25,0.7,,303,,,21,49,,,,,,,,,,,,,86.6,0.8,
85,91,Leeks; other alliaceous veg.,"Leek, Chinese, onion fragant",34,1.7,0.1,6.5,,0.06,,48,1.2,0.4,45,,,2,67,0.05,0.3,17,,,,,,,,,,90.7,1,
86,91,Leeks; other alliaceous veg.,"Leek, Chinese, raw",23,2.3,0.2,1.7,18,126,,68,7.1,0.3,247,2.7,0.06,12,46,0.05,0.11,1,,,,,,,,,,92.3,0.8,
87,92,Beans; green,"Bean, mixed variety,  pod, fresh, raw",35,2.1,0.2,5.9,19,58,,61,1,,113,0.5,,68,45,0.1,0.12,0.8,,,,,,,,,,90.6,0.7,
88,92,Beans; green,"Mung bean, sprout,  raw",41,4.3,0.2,4.1,23,2,,29,1.4,0.5,106,2.6,0.13,13,73,0.11,0.14,0.8,,,,,,,,,,88.2,0.6,
89,92,Beans; green,"Winged  bean, pod, fresh, raw",23,2.2,0.1,0.9,19,20,,64,0.7,0.4,93,4.9,0.16,3,28,0.07,0.1,0.6,,,,,,,,,,91.4,0.5,
90,92,Beans; green,"Soybean sprout,  raw",72,7.9,2.5,4.2,10,0,,51,2.4,,180,0.6,,4,65,0.15,0.16,1,,,,,,,,,,83.9,0.9,
91,92,Beans; green,"Soybean, young seed, boiled",152,15.1,4.1,13.6,25,7,,167,1.3,,,,,,253,0.29,0.18,1.8,,,,,,,,,,65,2.2,
92,92,Beans; green,"Soybean, young seed, fresh, raw",162,14,6.9,10.9,27,8,,177,2.6,,286,,,84,217,0.47,0.2,1.6,,,,,,,,,,65,3.2,
93,93,Peas; green,"Pea, garden,  pod, fresh, raw",57,4.9,0.4,7.3,49,7,,53,0.9,0.8,139,2.1,0.11,2,56,0.24,0.12,1,,,,,,,,,,84.5,0.8,
94,96,Carrots and turnips,"Carrot,  raw",35,1.5,0.2,4.9,12,362,,80,0.7,0.2,237,4,0.07,98,43,0.06,0.07,0.6,,,,,,,,,,88.4,1,
95,97,Okra,"Okra (Lady's  fingers),  young pod, raw",31,1.6,0.2,5.6,17,14,,44,1.3,,68,,,26,17,0.08,0.12,1.2,,,,,,,,,,91.9,0.7,
96,99,Mushrooms and truffles,"Mushroom, abalone, raw",45,2.6,0.9,6.7,8,,,7,1.3,0.1,487,,0.04,45,85,0.07,0.27,2.8,,,,,,,,,,88.6,1.2,
97,99,Mushrooms and truffles,"Mushroom, button/
champignon, raw",33,4.7,0.2,3.2,4,,,9,5.7,0.2,528,,0.38,8,139,,,5.5,,,,,,,,,,90.5,1.4,
98,99,Mushrooms and truffles,"Mushroom, Chinese/
shiitake,  fresh, raw",32,2.2,0.1,5.5,,,,6,1.1,0.1,237,,0.08,7,46,,1.03,3.2,,,,,,,,,,91.6,0.6,
99,99,Mushrooms and truffles,"Mushroom, Chinese/straw, fresh, raw",31,3,0.2,3.6,9,,,6,1,0.3,317,1.4,0.38,21,101,0.09,0.32,6.4,,,,,,,,,,90.8,1,
100,99,Mushrooms and truffles,"Mushroom, grey, oyster, fresh, raw",40,3.2,0.5,5.7,10,0,,4,1.5,0.2,214,,0.06,22,78,0.04,0.31,3.9,,,,,,,,,,89.9,0.7,
101,99,Mushrooms and truffles,"Mushrooms, Jew's ear/ black wood ear, fresh, raw",23,0.8,0.1,0.7,1,,,23,0.5,0.1,54,8.2,0.03,28,15,0.01,0.14,0.2,,,,,,,,,,89.8,0.4,
102,101,Vegetables; fresh; nes,"Acacia  pennata  (Cha-om), leaf",59,10.5,0.5,1.3,47,108,,41,2.5,0.5,438,3.9,0.06,42,171,0.37,0.48,1.9,,,,,,,,,,82.4,1.4,
103,101,Vegetables; fresh; nes,"Bamboo shoot, spring variety,  fresh, raw",23,2,0.4,0,5,1,,24,1,,112,5.7,,23,40,0.07,0.09,0.6,,,,,,,,,,91.2,0.9,
104,101,Vegetables; fresh; nes,"Beetroot, fresh, raw",37,1.6,0.1,6.2,8,0,,54,1.1,,369,2.4,,26,47,0.03,0.05,0.3,,,,,,,,,,88.7,1,
105,101,Vegetables; fresh; nes,"Cashew  nut, leaf and top, raw",48,3.1,0.2,8.5,72,214,,56,2.4,,384,,,8,36,0.01,0.64,0.6,,,,,,,,,,87.4,0.8,
106,101,Vegetables; fresh; nes,"Cassia,  flower,  raw",102,4.2,0.5,20.1,441,,,19,1.5,,,,,,25,0.11,0.54,1.8,,,,,,,,,,73.9,1.3,
107,101,Vegetables; fresh; nes,"Cassia,  leaf, raw",104,6.3,0.7,15.1,56,20,,125,2.4,,521,5.8,,39,129,0.42,0.63,3.2,,,,,,,,,,70.2,1.9,
108,101,Vegetables; fresh; nes,"Cassia,  tender tip, raw",65,4.5,0.9,9.7,2,,,51,0.5,,386,,,45,79,,0.36,2.6,,,,,,,,,,83.9,1,
109,101,Vegetables; fresh; nes,"Celery,  leaf and petiole,  raw",25,1.3,0.2,3.2,21,7,,164,2.5,0.5,329,2.6,0.1,82,35,0.03,0.09,0.5,,,,,,,,,,91.1,1.6,
110,101,Vegetables; fresh; nes,"Chayote, fruit, raw",21,0.6,0.1,4.5,10,3,,24,0.4,,,,,,10,0.02,0.02,0.4,,,,,,,,,,94.4,0.4,
111,101,Vegetables; fresh; nes,"Chinese  radish,  leaf, sweet pickled",55,1.3,0.2,12,,,,,,,,,,,,,,,,,,,,,,,,72.5,14,
112,101,Vegetables; fresh; nes,"Chrysanthemum, leaf, raw",18,2.2,0.4,0.3,20,243,,76,2.1,0.5,452,2,0.1,63,33,0.06,0.16,0.5,,,,,,,,,,93.8,1.3,
113,101,Vegetables; fresh; nes,"Coriander, leaf, raw",27,2.5,0.2,2.2,127,216,,127,2.6,0.2,544,3,0.1,23,46,0.1,0.39,1,,,,,,,,,,90.3,1.8,
114,101,Vegetables; fresh; nes,Fennel,42,2.5,0.4,7.2,23,434,,79,2.3,,439,,,70,48,,0.22,1.2,,,,,,,,,,88.3,1.6,
115,101,Vegetables; fresh; nes,"Fern, leaf, raw",63,3.2,1.4,9.4,26,155,,39,1.1,0.3,231,,0.23,23,74,0.34,0.17,0.6,,,,,,,,,,84.9,1.1,
116,101,Vegetables; fresh; nes,"Garlic,  leaf, raw",32,2.4,0.3,2.9,27,112,,70,0.7,,210,3.8,,5,45,0.07,0.12,0.6,,,,,,,,,,89.7,0.9,
117,101,Vegetables; fresh; nes,"Gourd,  bitter, leaf and top, raw",68,4.5,4.5,0,65,332,,207,3.2,,,4.5,,,69,0.16,0.34,1.4,,,,,,,,,,85.6,1.7,
118,101,Vegetables; fresh; nes,"Gourd,  bitter, mixed variety, raw",16,0.9,0.1,1.5,42,14,,33,0.7,0.1,155,2.8,0,12,26,0.06,0.05,0.2,,,,,,,,,,94,0.7,
119,101,Vegetables; fresh; nes,"Horseradish, leaf, raw",47,2.9,0.1,8.7,,239,,,,,,,,,,,,,,,,,,,,,,86.2,2.1,
120,101,Vegetables; fresh; nes,"Horseradish-tree, leaf, raw",90,6,1.1,14.1,169,445,,304,3.8,,426,,,9,96,0.24,0.62,3.7,,,,,,,,,,76.5,2.3,
121,101,Vegetables; fresh; nes,"Horseradish-tree, pod, raw",63,3.2,0.3,11.9,239,6,,24,0.9,,222,,,3,36,0.05,0.09,0.5,,,,,,,,,,83.6,1,
122,101,Vegetables; fresh; nes,"Indian pennywort, leaf, raw",34,2.3,0.4,3.1,30,162,,182,4.8,,391,4.5,,21,21,0.17,0.14,0.1,,,,,,,,,,87.8,1.9,
123,101,Vegetables; fresh; nes,"Ivygourd, fresh, raw",26,3.6,0.2,1.2,13,336,,57,1.4,0.5,166,2.7,0.14,19,69,0.11,0.17,0.8,,,,,,,,,,91,1.3,
124,101,Vegetables; fresh; nes,"Jackfruit, unripe",38,1.9,0.6,2.5,14,2,,49,0.5,,,7.6,,,13,0.31,0.05,0.5,,,,,,,,,,86.7,0.7,
125,101,Vegetables; fresh; nes,"Jute, leaf, raw",50,4.7,1,5.5,86,460,,335,8.7,,,,,,86,0.11,0.21,1.1,,,,,,,,,,87.2,1.6,
126,101,Vegetables; fresh; nes,"Loofah,  angled",21,0.8,0.3,3,6,2,,19,0.7,0.1,119,1.4,0.05,25,16,0.05,0.04,0.4,,,,,,,,,,94,0.5,
127,101,Vegetables; fresh; nes,"Mustard  green, India (leaf and stem)",18,1.7,0.4,1,63,124,,68,1.5,,319,1.8,,16,17,0.07,0.17,0.5,,,,,,,,,,94.3,0.8,
128,101,Vegetables; fresh; nes,"Mustard, leaf, raw",28,2.2,0.5,3.7,80,158,,152,2.5,,426,,,11,49,0.06,0.16,0.9,,,,,,,,,,92.5,1.1,
129,101,Vegetables; fresh; nes,"Neem,  leaf and tip",78,5.6,0.4,7.3,92,401,,162,2.7,0.4,331,11.6,0.14,12,70,0.06,0.11,2.5,,,,,,,,,,73.3,1.8,
130,101,Vegetables; fresh; nes,"Onion,  flower",23,1.2,0.1,4.2,19,32,,23,0.6,,,,,,25,0.04,0.1,0.2,,,,,,,,,,94,0.5,
131,101,Vegetables; fresh; nes,"Parsley,  leaf, raw",33,3,0.9,1,106,175,,216,6,,804,4.7,,13,51,0.13,0.21,0.5,,,,,,,,,,88.5,1.9,
132,101,Vegetables; fresh; nes,"Purslane, leaf, raw",32,2.4,0.1,4.9,27,416,,120,4.5,,354,1.1,,5,44,0.04,0.15,0.7,,,,,,,,,,89.7,1.8,
133,101,Vegetables; fresh; nes,"Radish,  chinese, white, raw",20,0.7,0.2,3.2,25,,,37,0.8,0.2,113,1.4,0.03,51,23,0.05,0.04,0.3,,,,,,,,,,93.9,0.6,
134,101,Vegetables; fresh; nes,"Rhubarb, raw",35,0.9,1.3,4.8,14,9,,162,0.7,,126,,,5,17,0.02,0.03,0.8,,,,,,,,,,92.1,0.9,
135,101,Vegetables; fresh; nes,"Roselle  (Red sorrel),  leaf, raw",57,1.7,0.1,12.4,44,66,,9,,,,,,,4,0.11,0.24,4.5,,,,,,,,,,85.6,0.2,
136,101,Vegetables; fresh; nes,"Sesbania, yellow flower,  raw",40,3.1,0.5,3.2,32,17,,49,5.2,,,5.1,,,59,0.2,0.26,2.8,,,,,,,,,,87.1,1,
137,101,Vegetables; fresh; nes,"Sesbania/Cork Wood, young leaf, raw",75,7.7,1.5,4.1,94,360,,254,2.4,,343,7,,22,73,0.63,0.47,3.7,,,,,,,,,,78,1.7,
138,101,Vegetables; fresh; nes,"Solanum, raw",46,2.8,0.8,0.2,18,9,,182,0.9,0.2,302,13.6,0.21,4,132,0.18,0.13,1.6,,,,,,,,,,80.9,1.7,
139,101,Vegetables; fresh; nes,"Swamp  cabbage, kangkong, raw",26,2.9,0.3,1.9,28,228,,70,3.3,0.5,239,2.2,0.12,62,38,0.08,0.24,0.8,,,,,,,,,,91.4,1.3,
140,101,Vegetables; fresh; nes,"Sweet potato,  leaf, raw",39,3.1,0.5,4.4,55,332,,65,4.9,,378,2,,24,43,0.1,0.18,0.9,,,,,,,,,,88.6,1.4,
141,101,Vegetables; fresh; nes,"Tamarind, young leaf, raw",68,3.8,0.3,12.4,32,190,,46,1.5,,,,,,48,0.18,0.21,1.9,,,,,,,,,,82.2,1.3,
142,101,Vegetables; fresh; nes,"Tamarind, young pod, raw",55,1.7,0.2,0,,6,,,,,,23,,,,,,,,,,,,,,,,76.9,1,
