iso3c,animal,system,meters_sq_animal
TON,cows,mixed,5.1096649998
TTO,cows,mixed,5.1096649998
OMN,cows,mixed,5.961275833099999
TUN,cows,mixed,5.961275833099999
TUR,cows,mixed,5.961275833099999
ARE,cows,mixed,5.961275833099999
UGA,cows,mixed,4.2580541665
TUV,cows,mixed,5.1096649998
GBR,cows,mixed,7.6644974997
UKR,cows,mixed,5.1096649998
USA,cows,mixed,8.516108333
BFA,cows,mixed,4.2580541665
URY,cows,mixed,5.961275833099999
UZB,cows,mixed,5.1096649998
VEN,cows,mixed,5.961275833099999
VNM,cows,mixed,5.53547041645
ETH,cows,mixed,4.2580541665
WSM,cows,mixed,5.1096649998
YEM,cows,mixed,5.961275833099999
COD,cows,mixed,4.2580541665
ZMB,cows,mixed,4.2580541665
BEL,cows,mixed,7.6644974997
LUX,cows,mixed,7.6644974997
SRB,cows,mixed,5.1096649998
MNE,cows,mixed,5.1096649998
SDN,cows,mixed,4.2580541665
SSD,cows,mixed,4.2580541665
ALA,cows,mixed,2.749670736003485
ASM,cows,mixed,2.2851557360216663
AIA,cows,mixed,2.2851557360216663
ABW,cows,mixed,2.2851557360216663
BMU,cows,mixed,2.1432205971383333
BES,cows,mixed,2.2851557360216663
IOT,cows,mixed,1.2916097638383335
VGB,cows,mixed,2.2851557360216663
CYM,cows,mixed,2.2851557360216663
CXR,cows,mixed,2.9238638609966667
CCK,cows,mixed,2.9238638609966667
CUW,cows,mixed,2.2851557360216663
FLK,cows,mixed,1.6464476110466666
GUF,cows,mixed,1.6464476110466666
PYF,cows,mixed,2.2851557360216663
GIB,cows,mixed,2.574095125891309
GRL,cows,mixed,2.1432205971383333
GLP,cows,mixed,2.2851557360216663
GUM,cows,mixed,2.2851557360216663
GGY,cows,mixed,2.749670736003485
HKG,cows,mixed,2.63999358323
IMN,cows,mixed,2.749670736003485
JEY,cows,mixed,2.749670736003485
XKO,cows,mixed,2.574095125891309
LIE,cows,mixed,2.8440253453747917
MAC,cows,mixed,2.63999358323
MTQ,cows,mixed,2.2851557360216663
MYT,cows,mixed,1.2916097638383335
MSR,cows,mixed,2.2851557360216663
NCL,cows,mixed,2.2851557360216663
NFK,cows,mixed,2.9238638609966667
MNP,cows,mixed,2.2851557360216663
PSE,cows,mixed,2.53980407343
PCN,cows,mixed,2.2851557360216663
XMI,cows,mixed,2.3561233054633335
PRI,cows,mixed,2.2851557360216663
REU,cows,mixed,1.2916097638383335
BLM,cows,mixed,2.2851557360216663
MAF,cows,mixed,2.2851557360216663
SHN,cows,mixed,1.2916097638383335
SPM,cows,mixed,2.1432205971383333
SXM,cows,mixed,2.2851557360216663
SJM,cows,mixed,2.749670736003485
TWN,cows,mixed,2.63999358323
TCA,cows,mixed,2.2851557360216663
VIR,cows,mixed,2.2851557360216663
WLF,cows,mixed,2.2851557360216663
ESH,cows,mixed,2.3561233054633335
ARM,buffaloes,mixed,5.961275833099999
AFG,buffaloes,mixed,5.961275833099999
ALB,buffaloes,mixed,5.961275833099999
DZA,buffaloes,mixed,5.961275833099999
AND,buffaloes,mixed,5.1096649998
AGO,buffaloes,mixed,0
ATG,buffaloes,mixed,5.1096649998
ARG,buffaloes,mixed,0
AUS,buffaloes,mixed,5.961275833099999
AUT,buffaloes,mixed,5.961275833099999
BHS,buffaloes,mixed,5.1096649998
BHR,buffaloes,mixed,5.961275833099999
BRB,buffaloes,mixed,5.1096649998
BGD,buffaloes,mixed,4.2580541665
BTN,buffaloes,mixed,4.2580541665
BOL,buffaloes,mixed,0
BWA,buffaloes,mixed,0
BRA,buffaloes,mixed,0
BLZ,buffaloes,mixed,0
SLB,buffaloes,mixed,5.1096649998
BRN,buffaloes,mixed,5.961275833099999
BGR,buffaloes,mixed,5.961275833099999
MMR,buffaloes,mixed,5.961275833099999
BDI,buffaloes,mixed,0
CMR,buffaloes,mixed,0
CAN,buffaloes,mixed,0
CPV,buffaloes,mixed,0
CAF,buffaloes,mixed,0
LKA,buffaloes,mixed,4.2580541665
TCD,buffaloes,mixed,0
CHL,buffaloes,mixed,0
CHN,buffaloes,mixed,5.961275833099999
COL,buffaloes,mixed,0
COM,buffaloes,mixed,0
COG,buffaloes,mixed,0
COK,buffaloes,mixed,5.1096649998
CRI,buffaloes,mixed,0
CUB,buffaloes,mixed,5.1096649998
CYP,buffaloes,mixed,5.961275833099999
AZE,buffaloes,mixed,5.961275833099999
BEN,buffaloes,mixed,0
DNK,buffaloes,mixed,5.961275833099999
DMA,buffaloes,mixed,5.1096649998
DOM,buffaloes,mixed,5.1096649998
BLR,buffaloes,mixed,5.961275833099999
ECU,buffaloes,mixed,0
EGY,buffaloes,mixed,5.961275833099999
SLV,buffaloes,mixed,0
GNQ,buffaloes,mixed,0
EST,buffaloes,mixed,5.961275833099999
FRO,buffaloes,mixed,5.1096649998
FJI,buffaloes,mixed,5.1096649998
FIN,buffaloes,mixed,5.961275833099999
FRA,buffaloes,mixed,5.961275833099999
DJI,buffaloes,mixed,0
GEO,buffaloes,mixed,5.961275833099999
GAB,buffaloes,mixed,0
GMB,buffaloes,mixed,0
DEU,buffaloes,mixed,5.961275833099999
BIH,buffaloes,mixed,5.961275833099999
GHA,buffaloes,mixed,0
KIR,buffaloes,mixed,5.1096649998
GRC,buffaloes,mixed,5.961275833099999
GRD,buffaloes,mixed,5.1096649998
GTM,buffaloes,mixed,0
GIN,buffaloes,mixed,0
GUY,buffaloes,mixed,0
HTI,buffaloes,mixed,5.1096649998
HND,buffaloes,mixed,0
HUN,buffaloes,mixed,5.961275833099999
HRV,buffaloes,mixed,5.961275833099999
ISL,buffaloes,mixed,5.961275833099999
IND,buffaloes,mixed,4.2580541665
IDN,buffaloes,mixed,5.961275833099999
IRN,buffaloes,mixed,5.961275833099999
IRQ,buffaloes,mixed,5.961275833099999
IRL,buffaloes,mixed,5.961275833099999
ISR,buffaloes,mixed,5.1096649998
ITA,buffaloes,mixed,5.961275833099999
CIV,buffaloes,mixed,0
KAZ,buffaloes,mixed,5.961275833099999
JAM,buffaloes,mixed,5.1096649998
JPN,buffaloes,mixed,5.961275833099999
JOR,buffaloes,mixed,5.961275833099999
KGZ,buffaloes,mixed,5.961275833099999
KEN,buffaloes,mixed,0
KHM,buffaloes,mixed,5.961275833099999
PRK,buffaloes,mixed,5.961275833099999
KOR,buffaloes,mixed,5.961275833099999
KWT,buffaloes,mixed,5.961275833099999
LVA,buffaloes,mixed,5.961275833099999
LAO,buffaloes,mixed,5.961275833099999
LBN,buffaloes,mixed,5.961275833099999
LSO,buffaloes,mixed,0
LBR,buffaloes,mixed,0
LBY,buffaloes,mixed,5.961275833099999
LTU,buffaloes,mixed,5.961275833099999
MHL,buffaloes,mixed,5.1096649998
MDG,buffaloes,mixed,0
MWI,buffaloes,mixed,0
MYS,buffaloes,mixed,5.961275833099999
MDV,buffaloes,mixed,4.2580541665
MLI,buffaloes,mixed,0
MLT,buffaloes,mixed,5.1096649998
MRT,buffaloes,mixed,0
MUS,buffaloes,mixed,0
MEX,buffaloes,mixed,0
MCO,buffaloes,mixed,5.1096649998
MNG,buffaloes,mixed,5.961275833099999
MAR,buffaloes,mixed,5.961275833099999
MOZ,buffaloes,mixed,0
FSM,buffaloes,mixed,5.1096649998
MDA,buffaloes,mixed,5.961275833099999
NAM,buffaloes,mixed,0
NRU,buffaloes,mixed,5.1096649998
NPL,buffaloes,mixed,4.2580541665
NLD,buffaloes,mixed,5.961275833099999
MKD,buffaloes,mixed,5.961275833099999
VUT,buffaloes,mixed,5.1096649998
NZL,buffaloes,mixed,5.961275833099999
NIC,buffaloes,mixed,0
NER,buffaloes,mixed,0
NGA,buffaloes,mixed,0
NIU,buffaloes,mixed,5.1096649998
NOR,buffaloes,mixed,5.961275833099999
PAK,buffaloes,mixed,4.2580541665
PAN,buffaloes,mixed,0
CZE,buffaloes,mixed,5.961275833099999
PNG,buffaloes,mixed,5.1096649998
PRY,buffaloes,mixed,0
PER,buffaloes,mixed,0
PHL,buffaloes,mixed,5.961275833099999
POL,buffaloes,mixed,5.961275833099999
PRT,buffaloes,mixed,5.961275833099999
GNB,buffaloes,mixed,0
TLS,buffaloes,mixed,5.961275833099999
ERI,buffaloes,mixed,0
QAT,buffaloes,mixed,5.961275833099999
PLW,buffaloes,mixed,5.1096649998
ZWE,buffaloes,mixed,0
ROU,buffaloes,mixed,5.961275833099999
RWA,buffaloes,mixed,0
RUS,buffaloes,mixed,5.961275833099999
KNA,buffaloes,mixed,5.1096649998
LCA,buffaloes,mixed,5.1096649998
VCT,buffaloes,mixed,5.1096649998
SMR,buffaloes,mixed,5.1096649998
STP,buffaloes,mixed,0
SAU,buffaloes,mixed,5.961275833099999
SEN,buffaloes,mixed,0
SYC,buffaloes,mixed,0
SLE,buffaloes,mixed,0
SVN,buffaloes,mixed,5.961275833099999
SVK,buffaloes,mixed,5.961275833099999
SGP,buffaloes,mixed,5.961275833099999
SOM,buffaloes,mixed,0
ZAF,buffaloes,mixed,0
ESP,buffaloes,mixed,5.961275833099999
SUR,buffaloes,mixed,0
TJK,buffaloes,mixed,5.961275833099999
SWZ,buffaloes,mixed,0
SWE,buffaloes,mixed,5.961275833099999
CHE,buffaloes,mixed,5.961275833099999
SYR,buffaloes,mixed,5.961275833099999
TKM,buffaloes,mixed,5.961275833099999
TZA,buffaloes,mixed,0
THA,buffaloes,mixed,5.961275833099999
TGO,buffaloes,mixed,0
TKL,buffaloes,mixed,5.1096649998
TON,buffaloes,mixed,5.1096649998
TTO,buffaloes,mixed,5.1096649998
OMN,buffaloes,mixed,5.961275833099999
TUN,buffaloes,mixed,5.961275833099999
TUR,buffaloes,mixed,5.961275833099999
ARE,buffaloes,mixed,5.961275833099999
UGA,buffaloes,mixed,0
TUV,buffaloes,mixed,5.1096649998
GBR,buffaloes,mixed,5.961275833099999
UKR,buffaloes,mixed,5.961275833099999
USA,buffaloes,mixed,0
BFA,buffaloes,mixed,0
URY,buffaloes,mixed,0
UZB,buffaloes,mixed,5.961275833099999
VEN,buffaloes,mixed,0
VNM,buffaloes,mixed,5.961275833099999
ETH,buffaloes,mixed,0
WSM,buffaloes,mixed,5.1096649998
YEM,buffaloes,mixed,5.961275833099999
COD,buffaloes,mixed,0
ZMB,buffaloes,mixed,0
BEL,buffaloes,mixed,5.961275833099999
LUX,buffaloes,mixed,5.961275833099999
SRB,buffaloes,mixed,5.961275833099999
MNE,buffaloes,mixed,5.961275833099999
SDN,buffaloes,mixed,0
SSD,buffaloes,mixed,0
ALA,buffaloes,mixed,2.749670736003485
ASM,buffaloes,mixed,2.2851557360216663
AIA,buffaloes,mixed,2.2851557360216663
ABW,buffaloes,mixed,2.2851557360216663
BMU,buffaloes,mixed,2.1432205971383333
BES,buffaloes,mixed,2.2851557360216663
IOT,buffaloes,mixed,1.2916097638383335
VGB,buffaloes,mixed,2.2851557360216663
CYM,buffaloes,mixed,2.2851557360216663
CXR,buffaloes,mixed,2.9238638609966667
CCK,buffaloes,mixed,2.9238638609966667
CUW,buffaloes,mixed,2.2851557360216663
FLK,buffaloes,mixed,1.6464476110466666
GUF,buffaloes,mixed,1.6464476110466666
PYF,buffaloes,mixed,2.2851557360216663
GIB,buffaloes,mixed,2.574095125891309
GRL,buffaloes,mixed,2.1432205971383333
GLP,buffaloes,mixed,2.2851557360216663
GUM,buffaloes,mixed,2.2851557360216663
GGY,buffaloes,mixed,2.749670736003485
HKG,buffaloes,mixed,2.63999358323
IMN,buffaloes,mixed,2.749670736003485
JEY,buffaloes,mixed,2.749670736003485
XKO,buffaloes,mixed,2.574095125891309
LIE,buffaloes,mixed,2.8440253453747917
MAC,buffaloes,mixed,2.63999358323
MTQ,buffaloes,mixed,2.2851557360216663
MYT,buffaloes,mixed,1.2916097638383335
MSR,buffaloes,mixed,2.2851557360216663
NCL,buffaloes,mixed,2.2851557360216663
NFK,buffaloes,mixed,2.9238638609966667
MNP,buffaloes,mixed,2.2851557360216663
PSE,buffaloes,mixed,2.53980407343
PCN,buffaloes,mixed,2.2851557360216663
XMI,buffaloes,mixed,2.3561233054633335
PRI,buffaloes,mixed,2.2851557360216663
REU,buffaloes,mixed,1.2916097638383335
BLM,buffaloes,mixed,2.2851557360216663
MAF,buffaloes,mixed,2.2851557360216663
SHN,buffaloes,mixed,1.2916097638383335
SPM,buffaloes,mixed,2.1432205971383333
SXM,buffaloes,mixed,2.2851557360216663
SJM,buffaloes,mixed,2.749670736003485
TWN,buffaloes,mixed,2.63999358323
TCA,buffaloes,mixed,2.2851557360216663
VIR,buffaloes,mixed,2.2851557360216663
WLF,buffaloes,mixed,2.2851557360216663
ESH,buffaloes,mixed,2.3561233054633335
ARM,goats,mixed,2.167736667
AFG,goats,mixed,2.167736667
ALB,goats,mixed,2.167736667
DZA,goats,mixed,2.167736667
AND,goats,mixed,2.167736667
AGO,goats,mixed,2.167736667
ATG,goats,mixed,2.167736667
ARG,goats,mixed,2.167736667
AUS,goats,mixed,2.167736667
AUT,goats,mixed,2.167736667
BHS,goats,mixed,2.167736667
BHR,goats,mixed,2.167736667
BRB,goats,mixed,2.167736667
BGD,goats,mixed,2.167736667
BTN,goats,mixed,2.167736667
BOL,goats,mixed,2.167736667
BWA,goats,mixed,2.167736667
BRA,goats,mixed,2.167736667
BLZ,goats,mixed,2.167736667
SLB,goats,mixed,2.167736667
BRN,goats,mixed,2.167736667
BGR,goats,mixed,2.167736667
MMR,goats,mixed,2.167736667
BDI,goats,mixed,2.167736667
CMR,goats,mixed,2.167736667
CAN,goats,mixed,2.167736667
CPV,goats,mixed,2.167736667
CAF,goats,mixed,2.167736667
LKA,goats,mixed,2.167736667
TCD,goats,mixed,2.167736667
CHL,goats,mixed,2.167736667
CHN,goats,mixed,2.167736667
COL,goats,mixed,2.167736667
COM,goats,mixed,2.167736667
COG,goats,mixed,2.167736667
COK,goats,mixed,2.167736667
CRI,goats,mixed,2.167736667
CUB,goats,mixed,2.167736667
CYP,goats,mixed,2.167736667
AZE,goats,mixed,2.167736667
BEN,goats,mixed,2.167736667
DNK,goats,mixed,2.167736667
DMA,goats,mixed,2.167736667
DOM,goats,mixed,2.167736667
BLR,goats,mixed,2.167736667
ECU,goats,mixed,2.167736667
EGY,goats,mixed,2.167736667
SLV,goats,mixed,2.167736667
GNQ,goats,mixed,2.167736667
EST,goats,mixed,2.167736667
FRO,goats,mixed,2.167736667
FJI,goats,mixed,2.167736667
FIN,goats,mixed,2.167736667
FRA,goats,mixed,2.167736667
DJI,goats,mixed,2.167736667
GEO,goats,mixed,2.167736667
GAB,goats,mixed,2.167736667
GMB,goats,mixed,2.167736667
DEU,goats,mixed,2.167736667
BIH,goats,mixed,2.167736667
GHA,goats,mixed,2.167736667
KIR,goats,mixed,2.167736667
GRC,goats,mixed,2.167736667
GRD,goats,mixed,2.167736667
GTM,goats,mixed,2.167736667
GIN,goats,mixed,2.167736667
GUY,goats,mixed,2.167736667
HTI,goats,mixed,2.167736667
HND,goats,mixed,2.167736667
HUN,goats,mixed,2.167736667
HRV,goats,mixed,2.167736667
ISL,goats,mixed,2.167736667
IND,goats,mixed,2.167736667
IDN,goats,mixed,2.167736667
IRN,goats,mixed,2.167736667
IRQ,goats,mixed,2.167736667
IRL,goats,mixed,2.167736667
ISR,goats,mixed,2.167736667
ITA,goats,mixed,2.167736667
CIV,goats,mixed,2.167736667
KAZ,goats,mixed,2.167736667
JAM,goats,mixed,2.167736667
JPN,goats,mixed,2.167736667
JOR,goats,mixed,2.167736667
KGZ,goats,mixed,2.167736667
KEN,goats,mixed,2.167736667
KHM,goats,mixed,2.167736667
PRK,goats,mixed,2.167736667
KOR,goats,mixed,2.167736667
KWT,goats,mixed,2.167736667
LVA,goats,mixed,2.167736667
LAO,goats,mixed,2.167736667
LBN,goats,mixed,2.167736667
LSO,goats,mixed,2.167736667
LBR,goats,mixed,2.167736667
LBY,goats,mixed,2.167736667
LTU,goats,mixed,2.167736667
MHL,goats,mixed,2.167736667
MDG,goats,mixed,2.167736667
MWI,goats,mixed,2.167736667
MYS,goats,mixed,2.167736667
MDV,goats,mixed,2.167736667
MLI,goats,mixed,2.167736667
MLT,goats,mixed,2.167736667
MRT,goats,mixed,2.167736667
MUS,goats,mixed,2.167736667
MEX,goats,mixed,2.167736667
MCO,goats,mixed,2.167736667
MNG,goats,mixed,2.167736667
MAR,goats,mixed,2.167736667
MOZ,goats,mixed,2.167736667
FSM,goats,mixed,2.167736667
MDA,goats,mixed,2.167736667
NAM,goats,mixed,2.167736667
NRU,goats,mixed,2.167736667
NPL,goats,mixed,2.167736667
NLD,goats,mixed,2.167736667
MKD,goats,mixed,2.167736667
VUT,goats,mixed,2.167736667
NZL,goats,mixed,2.167736667
NIC,goats,mixed,2.167736667
NER,goats,mixed,2.167736667
NGA,goats,mixed,2.167736667
NIU,goats,mixed,2.167736667
NOR,goats,mixed,2.167736667
PAK,goats,mixed,2.167736667
PAN,goats,mixed,2.167736667
CZE,goats,mixed,2.167736667
PNG,goats,mixed,2.167736667
PRY,goats,mixed,2.167736667
PER,goats,mixed,2.167736667
PHL,goats,mixed,2.167736667
POL,goats,mixed,2.167736667
PRT,goats,mixed,2.167736667
GNB,goats,mixed,2.167736667
TLS,goats,mixed,2.167736667
ERI,goats,mixed,2.167736667
QAT,goats,mixed,2.167736667
PLW,goats,mixed,2.167736667
ZWE,goats,mixed,2.167736667
ROU,goats,mixed,2.167736667
RWA,goats,mixed,2.167736667
RUS,goats,mixed,2.167736667
KNA,goats,mixed,2.167736667
LCA,goats,mixed,2.167736667
VCT,goats,mixed,2.167736667
SMR,goats,mixed,2.167736667
STP,goats,mixed,2.167736667
SAU,goats,mixed,2.167736667
SEN,goats,mixed,2.167736667
SYC,goats,mixed,2.167736667
SLE,goats,mixed,2.167736667
SVN,goats,mixed,2.167736667
SVK,goats,mixed,2.167736667
SGP,goats,mixed,2.167736667
SOM,goats,mixed,2.167736667
ZAF,goats,mixed,2.167736667
ESP,goats,mixed,2.167736667
SUR,goats,mixed,2.167736667
TJK,goats,mixed,2.167736667
SWZ,goats,mixed,2.167736667
SWE,goats,mixed,2.167736667
CHE,goats,mixed,2.167736667
SYR,goats,mixed,2.167736667
TKM,goats,mixed,2.167736667
TZA,goats,mixed,2.167736667
THA,goats,mixed,2.167736667
TGO,goats,mixed,2.167736667
TKL,goats,mixed,2.167736667
TON,goats,mixed,2.167736667
TTO,goats,mixed,2.167736667
OMN,goats,mixed,2.167736667
TUN,goats,mixed,2.167736667
TUR,goats,mixed,2.167736667
ARE,goats,mixed,2.167736667
UGA,goats,mixed,2.167736667
TUV,goats,mixed,2.167736667
GBR,goats,mixed,2.167736667
UKR,goats,mixed,2.167736667
USA,goats,mixed,2.167736667
BFA,goats,mixed,2.167736667
URY,goats,mixed,2.167736667
UZB,goats,mixed,2.167736667
VEN,goats,mixed,2.167736667
VNM,goats,mixed,2.167736667
ETH,goats,mixed,2.167736667
WSM,goats,mixed,2.167736667
YEM,goats,mixed,2.167736667
COD,goats,mixed,2.167736667
ZMB,goats,mixed,2.167736667
BEL,goats,mixed,2.167736667
LUX,goats,mixed,2.167736667
SRB,goats,mixed,2.167736667
MNE,goats,mixed,2.167736667
SDN,goats,mixed,2.167736667
SSD,goats,mixed,2.167736667
ALA,goats,mixed,6.999161874813635
ASM,goats,mixed,5.816760056449999
AIA,goats,mixed,5.816760056449999
ABW,goats,mixed,5.816760056449999
BMU,goats,mixed,5.455470611949998
BES,goats,mixed,5.816760056449999
IOT,goats,mixed,3.2877339449499994
VGB,goats,mixed,5.816760056449999
CYM,goats,mixed,5.816760056449999
CXR,goats,mixed,7.442562556699999
CCK,goats,mixed,7.442562556699999
CUW,goats,mixed,5.816760056449999
FLK,goats,mixed,4.190957556199999
GUF,goats,mixed,4.190957556199999
PYF,goats,mixed,5.816760056449999
GIB,goats,mixed,6.552242139896427
GRL,goats,mixed,5.455470611949998
GLP,goats,mixed,5.816760056449999
GUM,goats,mixed,5.816760056449999
GGY,goats,mixed,6.999161874813635
HKG,goats,mixed,6.719983667699998
IMN,goats,mixed,6.999161874813635
JEY,goats,mixed,6.999161874813635
XKO,goats,mixed,6.552242139896427
LIE,goats,mixed,7.23933724416875
MAC,goats,mixed,6.719983667699998
MTQ,goats,mixed,5.816760056449999
MYT,goats,mixed,3.2877339449499994
MSR,goats,mixed,5.816760056449999
NCL,goats,mixed,5.816760056449999
NFK,goats,mixed,7.442562556699999
MNP,goats,mixed,5.816760056449999
PSE,goats,mixed,6.464955824523528
PCN,goats,mixed,5.816760056449999
XMI,goats,mixed,5.997404778699999
PRI,goats,mixed,5.816760056449999
REU,goats,mixed,3.2877339449499994
BLM,goats,mixed,5.816760056449999
MAF,goats,mixed,5.816760056449999
SHN,goats,mixed,3.2877339449499994
SPM,goats,mixed,5.455470611949998
SXM,goats,mixed,5.816760056449999
SJM,goats,mixed,6.999161874813635
TWN,goats,mixed,6.719983667699998
TCA,goats,mixed,5.816760056449999
VIR,goats,mixed,5.816760056449999
WLF,goats,mixed,5.816760056449999
ESH,goats,mixed,5.997404778699999
ARM,sheep,mixed,1.445157778
AFG,sheep,mixed,1.445157778
ALB,sheep,mixed,1.445157778
DZA,sheep,mixed,1.445157778
AND,sheep,mixed,1.445157778
AGO,sheep,mixed,1.445157778
ATG,sheep,mixed,1.445157778
ARG,sheep,mixed,1.445157778
AUS,sheep,mixed,1.445157778
AUT,sheep,mixed,1.445157778
BHS,sheep,mixed,1.445157778
BHR,sheep,mixed,1.445157778
BRB,sheep,mixed,1.445157778
BGD,sheep,mixed,1.445157778
BTN,sheep,mixed,1.445157778
BOL,sheep,mixed,1.445157778
