iso3c,animal,system,product,headcount,kg_dm,kg_dm_per_head
AUS,goats,grassland,meat,2273910.6735869264,524539497.2907584,230.6772659909881
AUT,cows,grassland,milk,1245742.6173878093,2800631538.4659953,2248.162260305924
AUT,cows,grassland,meat,318847.2128593882,706455409.0030258,2215.6549610944003
AUT,buffaloes,grassland,milk,0,0,1625.849168917518
AUT,buffaloes,grassland,meat,0,0,1969.2300419101177
AUT,sheep,grassland,milk,49310.47666994107,11752528.79998181,238.33735939417468
AUT,sheep,grassland,meat,230657.523801765,54343864.24572765,235.60412576193542
AUT,goats,grassland,milk,53031.51340555292,12790516.414333776,241.18709033475335
AUT,goats,grassland,meat,0,0,178.60888245972234
AZE,cows,grassland,milk,357197.4680277234,1262260010.8340821,3533.7876771738866
AZE,cows,grassland,meat,0,0,1762.682751282521
AZE,buffaloes,grassland,milk,22341.971241332238,73714094.60376212,3299.355003527728
AZE,buffaloes,grassland,meat,0,0,2713.012736171676
AZE,sheep,grassland,milk,158668.41533717228,51477663.12907565,324.4354777205343
AZE,sheep,grassland,meat,1437290.4783343205,432507982.05005914,300.9189781534584
AZE,goats,grassland,milk,73484.78254142348,20279116.97594249,275.96348896468623
AZE,goats,grassland,meat,113470.69691204492,30409599.682443738,267.99517857914697
BHS,cows,grassland,milk,0,0,2179.0810195813524
BHS,cows,grassland,meat,0,0,1972.9170556150248
BHS,buffaloes,grassland,milk,0,0,3358.572676103807
BHS,buffaloes,grassland,meat,0,0,3170.871731986684
BHS,sheep,grassland,milk,0,0,313.1057762532239
BHS,sheep,grassland,meat,0,0,231.1404424858868
BHS,goats,grassland,milk,12175.144937753863,2970028.2171941665,243.94191875157205
BHS,goats,grassland,meat,0,0,170.44684947185294
BHR,cows,grassland,milk,0,0,2341.6873265397526
BHR,cows,grassland,meat,0,0,1762.682751282521
BHR,buffaloes,grassland,milk,0,0,3132.5417012168887
BHR,buffaloes,grassland,meat,0,0,2713.012736171676
BHR,sheep,grassland,milk,0,0,274.59535942650024
BHR,sheep,grassland,meat,25894.42187129065,7445003.379568072,287.5137902894216
BHR,goats,grassland,milk,0,0,256.32230401237956
BHR,goats,grassland,meat,0,0,251.99787171932917
BGD,cows,grassland,milk,123261.54166964375,219395597.51645893,1779.9193044694055
BGD,cows,grassland,meat,98921.22703480568,173324250.27986157,1752.1441603112848
BGD,buffaloes,grassland,milk,0,0,2843.405209494458
BGD,buffaloes,grassland,meat,15222.60450191651,41200443.7090675,2706.5305220194355
BGD,sheep,grassland,milk,12196.981539310249,2090292.8410746986,171.377880202392
BGD,sheep,grassland,meat,0,0,223.83384056134867
BGD,goats,grassland,milk,539987.7113014946,101424386.90354383,187.82721306580797
BGD,goats,grassland,meat,0,0,201.44447403882634
BRB,cows,grassland,milk,0,0,2179.0810195813524
BRB,cows,grassland,meat,0,0,1972.9170556150248
BRB,buffaloes,grassland,milk,0,0,3358.572676103807
BRB,buffaloes,grassland,meat,0,0,3170.871731986684
BRB,sheep,grassland,milk,0,0,313.1057762532239
BRB,sheep,grassland,meat,0,0,231.1404424858868
BRB,goats,grassland,milk,0,0,235.85346910577044
BRB,goats,grassland,meat,0,0,170.44684947185294
BLR,cows,grassland,milk,1092368.5645522238,2496107272.0581374,2285.0412883140084
BLR,cows,grassland,meat,0,0,2227.1297406967506
BLR,buffaloes,grassland,milk,0,0,1625.849168917518
BLR,buffaloes,grassland,meat,0,0,1969.2300419101177
BLR,sheep,grassland,milk,0,0,200.0651006327087
BLR,sheep,grassland,meat,16893.947987192812,3617336.515085179,214.12025879489255
BLR,goats,grassland,milk,24681.999180490806,8162899.319022746,330.7227773297586
BLR,goats,grassland,meat,0,0,224.52406130231333
BEL,cows,grassland,milk,185432.92457640453,454470729.1175311,2450.8631903191176
BEL,cows,grassland,meat,166540.61211577675,401844650.9963602,2412.8928427199685
BEL,buffaloes,grassland,milk,0,0,1625.849168917518
BEL,buffaloes,grassland,meat,0,0,1969.2300419101177
BEL,sheep,grassland,milk,0,0,223.84639871906916
BEL,sheep,grassland,meat,12802.942425854275,2991522.754215711,233.65900233798027
BEL,goats,grassland,milk,0,0,245.58092279401856
BEL,goats,grassland,meat,0,0,178.60888245972234
BLZ,cows,grassland,milk,0,0,3420.7524789606264
BLZ,cows,grassland,meat,66914.1211806335,176768344.61044067,2641.7195876077876
BLZ,buffaloes,grassland,milk,0,0,3358.572676103807
BLZ,buffaloes,grassland,meat,0,0,3170.871731986684
BLZ,sheep,grassland,milk,0,0,313.1057762532239
BLZ,sheep,grassland,meat,0,0,349.80724966990596
BLZ,goats,grassland,milk,0,0,317.25591808782843
BLZ,goats,grassland,meat,0,0,240.67210479915545
BEN,cows,grassland,milk,189127.77540417045,270573379.0761476,1430.6379826967564
BEN,cows,grassland,meat,434228.8278855643,622020719.762334,1432.4721893551018
BEN,buffaloes,grassland,milk,0,0,3301.837936933596
BEN,buffaloes,grassland,meat,0,0,2553.6630536843745
BEN,sheep,grassland,milk,0,0,233.14947923016828
BEN,sheep,grassland,meat,199903.016564595,41703815.53382124,208.62024120754285
BEN,goats,grassland,milk,92385.29334015118,27804146.4050041,300.95857684439756
BEN,goats,grassland,meat,199311.59628182428,57056724.1095131,286.26896364241423
BMU,cows,grassland,milk,0,0,3111.4985488759953
BMU,cows,grassland,meat,0,0,2809.726753197509
BMU,buffaloes,grassland,milk,0,0,1713.869499319224
BMU,buffaloes,grassland,meat,0,0,3170.871731986684
BMU,sheep,grassland,milk,0,0,313.1057762532239
BMU,sheep,grassland,meat,0,0,283.2745964391759
BMU,goats,grassland,milk,0,0,283.7016004591146
BMU,goats,grassland,meat,0,0,247.57598628270262
BTN,cows,grassland,milk,208581.81402916327,374027430.9573499,1793.1929142444533
BTN,cows,grassland,meat,0,0,1741.4628099767604
BTN,buffaloes,grassland,milk,0,0,2843.405209494458
BTN,buffaloes,grassland,meat,0,0,2708.2357837859226
BTN,sheep,grassland,milk,0,0,212.71213015033246
BTN,sheep,grassland,meat,13731.552431604272,2916332.0522348033,212.38181675093273
BTN,goats,grassland,milk,0,0,215.08129381688514
BTN,goats,grassland,meat,37973.34557085119,8669256.880513405,228.29847489571827
BOL,cows,grassland,milk,401876.9324324692,1466784083.1890745,3649.833978553996
BOL,cows,grassland,meat,7110017.135920274,18779705803.54658,2641.3024672852434
BOL,buffaloes,grassland,milk,0,0,3358.572676103807
BOL,buffaloes,grassland,meat,0,0,3170.871731986684
BOL,sheep,grassland,milk,2684632.0412478317,849998477.6590842,316.6163796748847
BOL,sheep,grassland,meat,5382120.342689203,1682794421.182691,312.6638413926424
BOL,goats,grassland,milk,1371849.9581733798,342374282.62678826,249.5712308674486
BOL,goats,grassland,meat,750028.5087296013,180941568.10201544,241.24625397039156
BIH,cows,grassland,milk,182906.47839906556,426067183.9760206,2329.426424396115
BIH,cows,grassland,meat,0,0,2213.784689455979
BIH,buffaloes,grassland,milk,0,0,1625.849168917518
BIH,buffaloes,grassland,meat,0,0,1969.2300419101177
BIH,sheep,grassland,milk,248382.99174791842,49868110.3523849,200.7710350916281
BIH,sheep,grassland,meat,107925.7086363094,28527742.253947347,264.32758806412664
BIH,goats,grassland,milk,0,0,226.20697028893227
BIH,goats,grassland,meat,20788.210483090344,5285138.066190389,254.2372788888901
BWA,cows,grassland,milk,793404.5464608665,1608407180.1433992,2027.2220361201719
BWA,cows,grassland,meat,1301752.7924203393,2299066984.413877,1766.131786158291
BWA,buffaloes,grassland,milk,0,0,3301.837936933596
BWA,buffaloes,grassland,meat,0,0,2553.6630536843745
BWA,sheep,grassland,milk,0,0,235.50070705255615
BWA,sheep,grassland,meat,205120.35803179437,56414244.61952397,275.02996368005347
BWA,goats,grassland,milk,254356.52584260452,72009388.80024092,283.1041529667701
BWA,goats,grassland,meat,1169268.770299636,318115706.61766684,272.06380149548227
BRA,cows,grassland,milk,16687597.11689188,51380809930.14546,3078.9819271305196
BRA,cows,grassland,meat,46990633.32034978,115720701509.12946,2462.6333661056533
BRA,buffaloes,grassland,milk,271281.6689727357,853277622.3191507,3145.356726646011
BRA,buffaloes,grassland,meat,586296.1840137283,1714322271.1071353,2923.9867456940397
BRA,sheep,grassland,milk,0,0,313.1057762532239
BRA,sheep,grassland,meat,7261362.710807555,2324595998.677028,320.1321971173788
BRA,goats,grassland,milk,4385042.58337654,909685940.501512,207.4520197249811
BRA,goats,grassland,meat,0,0,247.68517339954968
VGB,cows,grassland,milk,0,0,2179.0810195813524
VGB,cows,grassland,meat,0,0,1972.9170556150248
VGB,buffaloes,grassland,milk,0,0,3358.572676103807
VGB,buffaloes,grassland,meat,0,0,3170.871731986684
VGB,sheep,grassland,milk,0,0,313.1057762532239
VGB,sheep,grassland,meat,0,0,231.1404424858868
VGB,goats,grassland,milk,0,0,235.85346910577044
VGB,goats,grassland,meat,0,0,170.44684947185294
BRN,cows,grassland,milk,0,0,2301.6585564995708
BRN,cows,grassland,meat,0,0,2089.3632831559385
BRN,buffaloes,grassland,milk,0,0,2178.9826562814956
BRN,buffaloes,grassland,meat,0,0,2167.0937912931327
BRN,sheep,grassland,milk,0,0,216.07250301639905
BRN,sheep,grassland,meat,0,0,223.79474392562935
BRN,goats,grassland,milk,0,0,245.16227120387492
BRN,goats,grassland,meat,0,0,240.18292168978354
BGR,cows,grassland,milk,131329.15609952738,320666556.05666316,2441.7011848735788
BGR,cows,grassland,meat,0,0,2227.1297406967506
BGR,buffaloes,grassland,milk,0,0,1625.849168917518
BGR,buffaloes,grassland,meat,0,0,1969.2300419101177
BGR,sheep,grassland,milk,329344.8998276152,65577188.97506315,199.11402608447068
BGR,sheep,grassland,meat,0,0,213.38170653219896
BGR,goats,grassland,milk,103129.88707906601,23632527.607202653,229.1530445396923
BGR,goats,grassland,meat,0,0,224.52406130231333
BFA,cows,grassland,milk,1186746.9760629374,1787059022.3930185,1505.8467040056266
BFA,cows,grassland,meat,2302747.0078550493,3486667582.360817,1514.1340192679525
BFA,buffaloes,grassland,milk,0,0,3301.837936933596
BFA,buffaloes,grassland,meat,0,0,2553.6630536843745
BFA,sheep,grassland,milk,713562.0763798167,162016266.09090015,227.05279814318735
BFA,sheep,grassland,meat,1788765.042212379,358492372.4078771,200.41333766478735
BFA,goats,grassland,milk,1276306.0888462737,233356025.21424443,182.83703827283964
BFA,goats,grassland,meat,2481611.267712814,399376320.35554564,160.9342790918387
BDI,cows,grassland,milk,0,0,1618.4360333828224
BDI,cows,grassland,meat,0,0,1400.7215131502144
BDI,buffaloes,grassland,milk,0,0,3301.837936933596
BDI,buffaloes,grassland,meat,0,0,2553.6630536843745
BDI,sheep,grassland,milk,22067.939781689234,5178453.484589205,234.65958017911584
BDI,sheep,grassland,meat,55449.436432190574,12527338.734264906,225.92364395956773
BDI,goats,grassland,milk,168932.83416308396,33734865.99298955,199.69395624075463
BDI,goats,grassland,meat,162434.12531302744,29386349.57335517,180.91241305806045
CPV,cows,grassland,milk,0,0,1544.399654623579
CPV,cows,grassland,meat,0,0,1508.6382149325848
CPV,buffaloes,grassland,milk,0,0,3301.837936933596
CPV,buffaloes,grassland,meat,0,0,2553.6630536843745
CPV,sheep,grassland,milk,0,0,233.14947923016828
CPV,sheep,grassland,meat,0,0,214.50745870514527
CPV,goats,grassland,milk,0,0,209.91788493459822
CPV,goats,grassland,meat,0,0,178.31801750218872
KHM,cows,grassland,milk,94806.89295788256,194203060.02745628,2048.4065448039723
KHM,cows,grassland,meat,651626.6433166863,1306062892.6647682,2004.3116807150413
KHM,buffaloes,grassland,milk,0,0,2178.9826562814956
KHM,buffaloes,grassland,meat,210435.7396789819,453458639.26907027,2154.8556341276344
KHM,sheep,grassland,milk,0,0,216.07250301639905
KHM,sheep,grassland,meat,0,0,223.79474392562935
KHM,goats,grassland,milk,0,0,245.16227120387492
KHM,goats,grassland,meat,0,0,240.18292168978354
CMR,cows,grassland,milk,579401.3696225721,1218516818.967853,2103.0616820281375
CMR,cows,grassland,meat,2351738.3418831504,4278655308.220458,1819.3585706453773
CMR,buffaloes,grassland,milk,0,0,3301.837936933596
CMR,buffaloes,grassland,meat,0,0,2553.6630536843745
CMR,sheep,grassland,milk,1411360.72881749,356013113.19932634,252.24813609318173
CMR,sheep,grassland,meat,1258083.2247050696,306299355.09671426,243.46509760395185
CMR,goats,grassland,milk,2401309.3923529787,439193420.45503163,182.89747329255135
CMR,goats,grassland,meat,826706.5677664282,139864614.38583004,169.18289976056704
CAN,cows,grassland,milk,1331746.9941331898,3764349886.620756,2826.6254049785966
CAN,cows,grassland,meat,5061163.26154656,13089909872.240013,2586.344126002384
CAN,buffaloes,grassland,milk,43864.40767025643,75177870.41175671,1713.869499319224
CAN,buffaloes,grassland,meat,0,0,3170.871731986684
CAN,sheep,grassland,milk,0,0,313.1057762532239
CAN,sheep,grassland,meat,752055.7828150436,215544182.26018757,286.60664166875677
CAN,goats,grassland,milk,0,0,283.7016004591146
CAN,goats,grassland,meat,17329.875340034232,4299550.684669825,248.1004969918804
CYM,cows,grassland,milk,0,0,2179.0810195813524
CYM,cows,grassland,meat,0,0,1972.9170556150248
CYM,buffaloes,grassland,milk,0,0,3358.572676103807
CYM,buffaloes,grassland,meat,0,0,3170.871731986684
CYM,sheep,grassland,milk,0,0,313.1057762532239
CYM,sheep,grassland,meat,25574.503814536554,5295216.937887907,207.0506226157203
CYM,goats,grassland,milk,0,0,235.85346910577044
CYM,goats,grassland,meat,0,0,170.44684947185294
CAF,cows,grassland,milk,713480.21237487,1450840667.280445,2033.470083846079
CAF,cows,grassland,meat,2635839.5884020254,4782517433.775383,1814.4190013758684
CAF,buffaloes,grassland,milk,0,0,3301.837936933596
CAF,buffaloes,grassland,meat,0,0,2553.6630536843745
CAF,sheep,grassland,milk,0,0,233.68649660757313
CAF,sheep,grassland,meat,332131.78919169045,67635805.07781672,203.6414678716002
CAF,goats,grassland,milk,0,0,204.55103010183515
CAF,goats,grassland,meat,4219476.583347125,711615666.8644016,168.65022303309198
TCD,cows,grassland,milk,1160738.176361984,2359319185.8437743,2032.6023851807943
TCD,cows,grassland,meat,2865977.569543875,5194087889.90209,1812.3267764195161
TCD,buffaloes,grassland,milk,0,0,3301.837936933596
TCD,buffaloes,grassland,meat,0,0,2553.6630536843745
TCD,sheep,grassland,milk,709870.4709770863,152710783.64404735,215.1248571219645
TCD,sheep,grassland,meat,1224431.052574246,249969728.45700943,204.151738827166
TCD,goats,grassland,milk,1873869.2673963984,423877823.5568434,226.20458691111895
TCD,goats,grassland,meat,2507308.0497281994,533577395.6113497,212.80887111944273
CHL,cows,grassland,milk,1079485.8759484983,3744065001.564482,3468.37794267084
CHL,cows,grassland,meat,524773.2943256682,1316597443.0203176,2508.888042239536
CHL,buffaloes,grassland,milk,0,0,3358.572676103807
CHL,buffaloes,grassland,meat,0,0,3170.871731986684
CHL,sheep,grassland,milk,0,0,313.1057762532239
CHL,sheep,grassland,meat,2750001.202672561,1000278413.077594,363.7374456801995
CHL,goats,grassland,milk,604061.4396154468,140359100.735791,232.35898127373497
CHL,goats,grassland,meat,0,0,247.68517339954968
HKG,cows,grassland,milk,0,0,2370.455979710697
HKG,cows,grassland,meat,0,0,2252.0842358623318
HKG,buffaloes,grassland,milk,0,0,2114.042351121596
HKG,buffaloes,grassland,meat,0,0,1914.4952307347658
HKG,sheep,grassland,milk,0,0,208.17273106031905
HKG,sheep,grassland,meat,0,0,221.1067223778261
HKG,goats,grassland,milk,0,0,189.27969833542554
HKG,goats,grassland,meat,0,0,194.47514739903085
MAC,cows,grassland,milk,0,0,2370.455979710697
MAC,cows,grassland,meat,0,0,2252.0842358623318
MAC,buffaloes,grassland,milk,0,0,2114.042351121596
MAC,buffaloes,grassland,meat,0,0,1914.4952307347658
MAC,sheep,grassland,milk,0,0,208.17273106031905
MAC,sheep,grassland,meat,0,0,221.1067223778261
MAC,goats,grassland,milk,0,0,189.27969833542554
MAC,goats,grassland,meat,0,0,194.47514739903085
CHN,cows,grassland,milk,15491463.98631721,36008258578.75806,2324.3935247541644
CHN,cows,grassland,meat,31713169.529696118,60530781821.78136,1908.6954321957794
CHN,buffaloes,grassland,milk,5943751.731782338,12565342885.54019,2114.042351121596
CHN,buffaloes,grassland,meat,4078476.0185400853,8782555088.157585,2153.3913766400797
CHN,sheep,grassland,milk,52374725.348547176,11427934821.060953,218.19560379571428
CHN,sheep,grassland,meat,56815845.362027764,12107005936.110918,213.09206716833435
CHN,goats,grassland,milk,1673599.8492396486,371278855.6053623,221.8444604748513
CHN,goats,grassland,meat,71412206.99524085,13579132170.500582,190.15141446903525
COL,cows,grassland,milk,4415689.172026058,15159590073.62901,3433.1198331773226
COL,cows,grassland,meat,4432482.174046604,11663757058.43414,2631.427854742119
COL,buffaloes,grassland,milk,20188.035158600527,68327957.55236365,3384.576904863102
COL,buffaloes,grassland,meat,43630.660308978186,137010069.28565955,3140.2245190744
COL,sheep,grassland,milk,0,0,313.1057762532239
COL,sheep,grassland,meat,913137.9438678522,278456879.94014335,304.94503246756017
COL,goats,grassland,milk,0,0,250.47471263951374
COL,goats,grassland,meat,1733512.4577255151,409833809.43394786,236.41815067869624
COM,cows,grassland,milk,16700.651168128745,20543144.738732547,1230.0804640442257
COM,cows,grassland,meat,12903.72461263515,13160048.36302493,1019.8643227505639
COM,buffaloes,grassland,milk,0,0,3301.837936933596
COM,buffaloes,grassland,meat,0,0,2553.6630536843745
COM,sheep,grassland,milk,0,0,238.18160071852955
COM,sheep,grassland,meat,13172.042606021721,2197621.3801206755,166.8398323518945
COM,goats,grassland,milk,0,0,211.90820289974906
COM,goats,grassland,meat,67219.3580431197,10173055.590796234,151.34115955511578
COG,cows,grassland,milk,0,0,2065.3426143742395
COG,cows,grassland,meat,283565.60943159147,487848872.6854031,1720.4091626741986
COG,buffaloes,grassland,milk,0,0,3301.837936933596
COG,buffaloes,grassland,meat,0,0,2553.6630536843745
COG,sheep,grassland,milk,0,0,233.68649660757313
COG,sheep,grassland,meat,108827.71116111372,25286564.598170493,232.35409739285114
COG,goats,grassland,milk,0,0,204.55103010183515
COG,goats,grassland,meat,294323.41941814846,52738709.292941436,179.18624823400472
COK,cows,grassland,milk,0,0,2110.426304224341
COK,cows,grassland,meat,0,0,1953.2660651258843
COK,buffaloes,grassland,milk,0,0,2736.120699098977
COK,buffaloes,grassland,meat,0,0,2553.6630536843745
COK,sheep,grassland,milk,0,0,253.68687400051996
COK,sheep,grassland,meat,0,0,280.5140120029873
COK,goats,grassland,milk,0,0,199.8261874269004
COK,goats,grassland,meat,0,0,228.33099458144392
CRI,cows,grassland,milk,925865.3337463521,3102396542.2545533,3350.8075409857374
CRI,cows,grassland,meat,0,0,2682.155913248687
CRI,buffaloes,grassland,milk,0,0,3358.572676103807
CRI,buffaloes,grassland,meat,0,0,3170.871731986684
CRI,sheep,grassland,milk,0,0,313.1057762532239
CRI,sheep,grassland,meat,0,0,349.80724966990596
CRI,goats,grassland,milk,0,0,317.25591808782843
CRI,goats,grassland,meat,0,0,240.67210479915545
CIV,cows,grassland,milk,318819.5452959383,478919843.5072725,1502.1658821535675
CIV,cows,grassland,meat,544362.9349472546,818800591.6028329,1504.1446414461882
CIV,buffaloes,grassland,milk,0,0,3301.837936933596
CIV,buffaloes,grassland,meat,0,0,2553.6630536843745
CIV,sheep,grassland,milk,0,0,233.14947923016828
CIV,sheep,grassland,meat,497391.56286624866,109199021.94872372,219.54337407626662
CIV,goats,grassland,milk,0,0,209.91788493459822
CIV,goats,grassland,meat,388171.79843193805,68243610.5695537,175.80775019007342
HRV,cows,grassland,milk,156305.3447806378,385665140.5664738,2467.38293631433
HRV,cows,grassland,meat,0,0,2213.784689455979
HRV,buffaloes,grassland,milk,0,0,1625.849168917518
HRV,buffaloes,grassland,meat,0,0,1969.2300419101177
HRV,sheep,grassland,milk,89066.25249279314,18382530.50289442,206.39164653729938
HRV,sheep,grassland,meat,185869.73987121333,49013657.82884802,263.6989639239229
HRV,goats,grassland,milk,30661.52136087343,7109065.435476965,231.85625239550916
HRV,goats,grassland,meat,0,0,257.8608604654041
CUB,cows,grassland,milk,103724.83253310404,241522089.3595103,2328.488592955095
CUB,cows,grassland,meat,363474.802775037,735835939.0303868,2024.4482792547597
CUB,buffaloes,grassland,milk,0,0,3358.572676103807
CUB,buffaloes,grassland,meat,0,0,3170.871731986684
CUB,sheep,grassland,milk,0,0,313.1057762532239
CUB,sheep,grassland,meat,394815.6835303833,81612678.53658207,206.7108322719442
CUB,goats,grassland,milk,11016.443263382465,2345296.3259699233,212.89051919011368
CUB,goats,grassland,meat,189603.75358834825,31527193.898906812,166.27937634270685
CYP,cows,grassland,milk,29397.174815747203,56599713.217855826,1925.3453290190669
CYP,cows,grassland,meat,0,0,1762.682751282521
CYP,buffaloes,grassland,milk,0,0,3132.5417012168887
CYP,buffaloes,grassland,meat,0,0,2713.012736171676
CYP,sheep,grassland,milk,104390.67954089552,21392083.603031512,204.92331017589618
CYP,sheep,grassland,meat,14716.58176196525,3934150.071809722,267.32770798565906
CYP,goats,grassland,milk,153998.6952984145,33312618.257736463,216.31753563355957
CYP,goats,grassland,meat,0,0,251.99787171932917
CZE,cows,grassland,milk,425351.8718813754,1164191402.2315905,2737.0078262081024
CZE,cows,grassland,meat,94748.47599616423,211017148.77674952,2227.1297406967506
CZE,buffaloes,grassland,milk,0,0,1625.849168917518
CZE,buffaloes,grassland,meat,0,0,1969.2300419101177
CZE,sheep,grassland,milk,70543.30524618026,15891832.885373978,225.27769048976452
CZE,sheep,grassland,meat,28480.8286523927,6151016.6897761375,215.9704257502137
CZE,goats,grassland,milk,10626.786846607978,3656028.9834670257,344.0389871595113
CZE,goats,grassland,meat,0,0,224.52406130231333
PRK,cows,grassland,milk,98137.32076377873,196495977.06154817,2002.255365566006
PRK,cows,grassland,meat,338677.8369975167,547949708.7647982,1617.9083745855385
