iso3c,animal,lsu_value,ref_value,adjust_multiplier
TON,buffaloes,0.6,1,0.6
TTO,buffaloes,0.6,1,0.6
OMN,buffaloes,0.7,1,0.7
TUN,buffaloes,0.7,1,0.7
TUR,buffaloes,0.7,1,0.7
ARE,buffaloes,0.7,1,0.7
UGA,buffaloes,0,1,0
TUV,buffaloes,0.6,1,0.6
GBR,buffaloes,0.7,1,0.7
UKR,buffaloes,0.7,1,0.7
USA,buffaloes,0,1,0
BFA,buffaloes,0,1,0
URY,buffaloes,0,1,0
UZB,buffaloes,0.7,1,0.7
VEN,buffaloes,0,1,0
VNM,buffaloes,0.7,1,0.7
ETH,buffaloes,0,1,0
WSM,buffaloes,0.6,1,0.6
YEM,buffaloes,0.7,1,0.7
COD,buffaloes,0,1,0
ZMB,buffaloes,0,1,0
BEL,buffaloes,0.7,1,0.7
LUX,buffaloes,0.7,1,0.7
SRB,buffaloes,0.7,1,0.7
MNE,buffaloes,0.7,1,0.7
SDN,buffaloes,0,1,0
SSD,buffaloes,0,1,0
ARM,sheep,0.1,0.15,0.6666666666666667
AFG,sheep,0.1,0.15,0.6666666666666667
ALB,sheep,0.1,0.15,0.6666666666666667
DZA,sheep,0.1,0.15,0.6666666666666667
AND,sheep,0.1,0.15,0.6666666666666667
AGO,sheep,0.1,0.15,0.6666666666666667
ATG,sheep,0.1,0.15,0.6666666666666667
ARG,sheep,0.1,0.15,0.6666666666666667
AUS,sheep,0.1,0.15,0.6666666666666667
AUT,sheep,0.1,0.15,0.6666666666666667
BHS,sheep,0.1,0.15,0.6666666666666667
BHR,sheep,0.1,0.15,0.6666666666666667
BRB,sheep,0.1,0.15,0.6666666666666667
BGD,sheep,0.1,0.15,0.6666666666666667
BTN,sheep,0.1,0.15,0.6666666666666667
BOL,sheep,0.1,0.15,0.6666666666666667
BWA,sheep,0.1,0.15,0.6666666666666667
BRA,sheep,0.1,0.15,0.6666666666666667
BLZ,sheep,0.1,0.15,0.6666666666666667
SLB,sheep,0.1,0.15,0.6666666666666667
BRN,sheep,0.1,0.15,0.6666666666666667
BGR,sheep,0.1,0.15,0.6666666666666667
MMR,sheep,0.1,0.15,0.6666666666666667
BDI,sheep,0.1,0.15,0.6666666666666667
CMR,sheep,0.1,0.15,0.6666666666666667
CAN,sheep,0.15,0.15,1
CPV,sheep,0.1,0.15,0.6666666666666667
CAF,sheep,0.1,0.15,0.6666666666666667
LKA,sheep,0.1,0.15,0.6666666666666667
TCD,sheep,0.1,0.15,0.6666666666666667
CHL,sheep,0.1,0.15,0.6666666666666667
CHN,sheep,0.1,0.15,0.6666666666666667
COL,sheep,0.1,0.15,0.6666666666666667
COM,sheep,0.1,0.15,0.6666666666666667
COG,sheep,0.1,0.15,0.6666666666666667
COK,sheep,0.1,0.15,0.6666666666666667
CRI,sheep,0.1,0.15,0.6666666666666667
CUB,sheep,0.1,0.15,0.6666666666666667
CYP,sheep,0.1,0.15,0.6666666666666667
AZE,sheep,0.1,0.15,0.6666666666666667
BEN,sheep,0.1,0.15,0.6666666666666667
DNK,sheep,0.1,0.15,0.6666666666666667
DMA,sheep,0.1,0.15,0.6666666666666667
DOM,sheep,0.1,0.15,0.6666666666666667
BLR,sheep,0.1,0.15,0.6666666666666667
ECU,sheep,0.1,0.15,0.6666666666666667
EGY,sheep,0.1,0.15,0.6666666666666667
SLV,sheep,0.1,0.15,0.6666666666666667
GNQ,sheep,0.1,0.15,0.6666666666666667
EST,sheep,0.1,0.15,0.6666666666666667
FRO,sheep,0.1,0.15,0.6666666666666667
FJI,sheep,0.1,0.15,0.6666666666666667
FIN,sheep,0.1,0.15,0.6666666666666667
FRA,sheep,0.1,0.15,0.6666666666666667
DJI,sheep,0.1,0.15,0.6666666666666667
GEO,sheep,0.1,0.15,0.6666666666666667
GAB,sheep,0.1,0.15,0.6666666666666667
GMB,sheep,0.1,0.15,0.6666666666666667
DEU,sheep,0.1,0.15,0.6666666666666667
BIH,sheep,0.1,0.15,0.6666666666666667
GHA,sheep,0.1,0.15,0.6666666666666667
KIR,sheep,0.1,0.15,0.6666666666666667
GRC,sheep,0.1,0.15,0.6666666666666667
GRD,sheep,0.1,0.15,0.6666666666666667
GTM,sheep,0.1,0.15,0.6666666666666667
GIN,sheep,0.1,0.15,0.6666666666666667
GUY,sheep,0.1,0.15,0.6666666666666667
HTI,sheep,0.1,0.15,0.6666666666666667
HND,sheep,0.1,0.15,0.6666666666666667
HUN,sheep,0.1,0.15,0.6666666666666667
HRV,sheep,0.1,0.15,0.6666666666666667
ISL,sheep,0.1,0.15,0.6666666666666667
IND,sheep,0.1,0.15,0.6666666666666667
IDN,sheep,0.1,0.15,0.6666666666666667
IRN,sheep,0.1,0.15,0.6666666666666667
IRQ,sheep,0.1,0.15,0.6666666666666667
IRL,sheep,0.1,0.15,0.6666666666666667
ISR,sheep,0.1,0.15,0.6666666666666667
ITA,sheep,0.1,0.15,0.6666666666666667
CIV,sheep,0.1,0.15,0.6666666666666667
KAZ,sheep,0.1,0.15,0.6666666666666667
JAM,sheep,0.1,0.15,0.6666666666666667
JPN,sheep,0.1,0.15,0.6666666666666667
JOR,sheep,0.1,0.15,0.6666666666666667
KGZ,sheep,0.1,0.15,0.6666666666666667
KEN,sheep,0.1,0.15,0.6666666666666667
KHM,sheep,0.1,0.15,0.6666666666666667
PRK,sheep,0.1,0.15,0.6666666666666667
KOR,sheep,0.1,0.15,0.6666666666666667
KWT,sheep,0.1,0.15,0.6666666666666667
LVA,sheep,0.1,0.15,0.6666666666666667
LAO,sheep,0.1,0.15,0.6666666666666667
LBN,sheep,0.1,0.15,0.6666666666666667
LSO,sheep,0.1,0.15,0.6666666666666667
LBR,sheep,0.1,0.15,0.6666666666666667
LBY,sheep,0.1,0.15,0.6666666666666667
LTU,sheep,0.1,0.15,0.6666666666666667
MHL,sheep,0.1,0.15,0.6666666666666667
MDG,sheep,0.1,0.15,0.6666666666666667
MWI,sheep,0.1,0.15,0.6666666666666667
MYS,sheep,0.1,0.15,0.6666666666666667
MDV,sheep,0.1,0.15,0.6666666666666667
MLI,sheep,0.1,0.15,0.6666666666666667
MLT,sheep,0.1,0.15,0.6666666666666667
MRT,sheep,0.1,0.15,0.6666666666666667
MUS,sheep,0.1,0.15,0.6666666666666667
MEX,sheep,0.1,0.15,0.6666666666666667
MCO,sheep,0.1,0.15,0.6666666666666667
MNG,sheep,0.1,0.15,0.6666666666666667
MAR,sheep,0.1,0.15,0.6666666666666667
MOZ,sheep,0.1,0.15,0.6666666666666667
FSM,sheep,0.1,0.15,0.6666666666666667
MDA,sheep,0.1,0.15,0.6666666666666667
NAM,sheep,0.1,0.15,0.6666666666666667
NRU,sheep,0.1,0.15,0.6666666666666667
NPL,sheep,0.1,0.15,0.6666666666666667
NLD,sheep,0.1,0.15,0.6666666666666667
MKD,sheep,0.1,0.15,0.6666666666666667
VUT,sheep,0.1,0.15,0.6666666666666667
NZL,sheep,0.1,0.15,0.6666666666666667
NIC,sheep,0.1,0.15,0.6666666666666667
NER,sheep,0.1,0.15,0.6666666666666667
NGA,sheep,0.1,0.15,0.6666666666666667
NIU,sheep,0.1,0.15,0.6666666666666667
NOR,sheep,0.1,0.15,0.6666666666666667
PAK,sheep,0.1,0.15,0.6666666666666667
PAN,sheep,0.1,0.15,0.6666666666666667
CZE,sheep,0.1,0.15,0.6666666666666667
PNG,sheep,0.1,0.15,0.6666666666666667
PRY,sheep,0.1,0.15,0.6666666666666667
PER,sheep,0.1,0.15,0.6666666666666667
PHL,sheep,0.1,0.15,0.6666666666666667
POL,sheep,0.1,0.15,0.6666666666666667
PRT,sheep,0.1,0.15,0.6666666666666667
GNB,sheep,0.1,0.15,0.6666666666666667
TLS,sheep,0.1,0.15,0.6666666666666667
ERI,sheep,0.1,0.15,0.6666666666666667
QAT,sheep,0.1,0.15,0.6666666666666667
PLW,sheep,0.1,0.15,0.6666666666666667
ZWE,sheep,0.1,0.15,0.6666666666666667
ROU,sheep,0.1,0.15,0.6666666666666667
RWA,sheep,0.1,0.15,0.6666666666666667
RUS,sheep,0.1,0.15,0.6666666666666667
KNA,sheep,0.1,0.15,0.6666666666666667
LCA,sheep,0.1,0.15,0.6666666666666667
VCT,sheep,0.1,0.15,0.6666666666666667
SMR,sheep,0.1,0.15,0.6666666666666667
STP,sheep,0.1,0.15,0.6666666666666667
SAU,sheep,0.1,0.15,0.6666666666666667
SEN,sheep,0.1,0.15,0.6666666666666667
SYC,sheep,0.1,0.15,0.6666666666666667
SLE,sheep,0.1,0.15,0.6666666666666667
SVN,sheep,0.1,0.15,0.6666666666666667
SVK,sheep,0.1,0.15,0.6666666666666667
SGP,sheep,0.1,0.15,0.6666666666666667
SOM,sheep,0.1,0.15,0.6666666666666667
ZAF,sheep,0.1,0.15,0.6666666666666667
ESP,sheep,0.1,0.15,0.6666666666666667
SUR,sheep,0.1,0.15,0.6666666666666667
TJK,sheep,0.1,0.15,0.6666666666666667
SWZ,sheep,0.1,0.15,0.6666666666666667
SWE,sheep,0.1,0.15,0.6666666666666667
CHE,sheep,0.1,0.15,0.6666666666666667
SYR,sheep,0.1,0.15,0.6666666666666667
TKM,sheep,0.1,0.15,0.6666666666666667
TZA,sheep,0.1,0.15,0.6666666666666667
THA,sheep,0.1,0.15,0.6666666666666667
TGO,sheep,0.1,0.15,0.6666666666666667
TKL,sheep,0.1,0.15,0.6666666666666667
TON,sheep,0.1,0.15,0.6666666666666667
TTO,sheep,0.1,0.15,0.6666666666666667
OMN,sheep,0.1,0.15,0.6666666666666667
TUN,sheep,0.1,0.15,0.6666666666666667
TUR,sheep,0.1,0.15,0.6666666666666667
ARE,sheep,0.1,0.15,0.6666666666666667
UGA,sheep,0.1,0.15,0.6666666666666667
TUV,sheep,0.1,0.15,0.6666666666666667
GBR,sheep,0.1,0.15,0.6666666666666667
UKR,sheep,0.1,0.15,0.6666666666666667
USA,sheep,0.15,0.15,1
BFA,sheep,0.1,0.15,0.6666666666666667
URY,sheep,0.1,0.15,0.6666666666666667
UZB,sheep,0.1,0.15,0.6666666666666667
VEN,sheep,0.1,0.15,0.6666666666666667
VNM,sheep,0.1,0.15,0.6666666666666667
ETH,sheep,0.1,0.15,0.6666666666666667
WSM,sheep,0.1,0.15,0.6666666666666667
YEM,sheep,0.1,0.15,0.6666666666666667
COD,sheep,0.1,0.15,0.6666666666666667
ZMB,sheep,0.1,0.15,0.6666666666666667
BEL,sheep,0.1,0.15,0.6666666666666667
LUX,sheep,0.1,0.15,0.6666666666666667
SRB,sheep,0.1,0.15,0.6666666666666667
MNE,sheep,0.1,0.15,0.6666666666666667
SDN,sheep,0.1,0.15,0.6666666666666667
SSD,sheep,0.1,0.15,0.6666666666666667
ARM,goats,0.1,0.1,1
AFG,goats,0.1,0.1,1
ALB,goats,0.1,0.1,1
DZA,goats,0.1,0.1,1
AND,goats,0.1,0.1,1
AGO,goats,0.1,0.1,1
ATG,goats,0.1,0.1,1
ARG,goats,0.1,0.1,1
AUS,goats,0.1,0.1,1
AUT,goats,0.1,0.1,1
BHS,goats,0.1,0.1,1
BHR,goats,0.1,0.1,1
BRB,goats,0.1,0.1,1
BGD,goats,0.1,0.1,1
BTN,goats,0.1,0.1,1
BOL,goats,0.1,0.1,1
BWA,goats,0.1,0.1,1
BRA,goats,0.1,0.1,1
BLZ,goats,0.1,0.1,1
SLB,goats,0.1,0.1,1
BRN,goats,0.1,0.1,1
BGR,goats,0.1,0.1,1
MMR,goats,0.1,0.1,1
BDI,goats,0.1,0.1,1
CMR,goats,0.1,0.1,1
CAN,goats,0.1,0.1,1
CPV,goats,0.1,0.1,1
CAF,goats,0.1,0.1,1
LKA,goats,0.1,0.1,1
TCD,goats,0.1,0.1,1
CHL,goats,0.1,0.1,1
CHN,goats,0.1,0.1,1
COL,goats,0.1,0.1,1
COM,goats,0.1,0.1,1
COG,goats,0.1,0.1,1
COK,goats,0.1,0.1,1
CRI,goats,0.1,0.1,1
CUB,goats,0.1,0.1,1
CYP,goats,0.1,0.1,1
AZE,goats,0.1,0.1,1
BEN,goats,0.1,0.1,1
DNK,goats,0.1,0.1,1
DMA,goats,0.1,0.1,1
DOM,goats,0.1,0.1,1
BLR,goats,0.1,0.1,1
ECU,goats,0.1,0.1,1
EGY,goats,0.1,0.1,1
SLV,goats,0.1,0.1,1
GNQ,goats,0.1,0.1,1
EST,goats,0.1,0.1,1
FRO,goats,0.1,0.1,1
FJI,goats,0.1,0.1,1
FIN,goats,0.1,0.1,1
FRA,goats,0.1,0.1,1
DJI,goats,0.1,0.1,1
GEO,goats,0.1,0.1,1
GAB,goats,0.1,0.1,1
GMB,goats,0.1,0.1,1
DEU,goats,0.1,0.1,1
BIH,goats,0.1,0.1,1
GHA,goats,0.1,0.1,1
KIR,goats,0.1,0.1,1
GRC,goats,0.1,0.1,1
GRD,goats,0.1,0.1,1
GTM,goats,0.1,0.1,1
GIN,goats,0.1,0.1,1
GUY,goats,0.1,0.1,1
HTI,goats,0.1,0.1,1
HND,goats,0.1,0.1,1
HUN,goats,0.1,0.1,1
HRV,goats,0.1,0.1,1
ISL,goats,0.1,0.1,1
IND,goats,0.1,0.1,1
IDN,goats,0.1,0.1,1
IRN,goats,0.1,0.1,1
IRQ,goats,0.1,0.1,1
IRL,goats,0.1,0.1,1
ISR,goats,0.1,0.1,1
ITA,goats,0.1,0.1,1
CIV,goats,0.1,0.1,1
KAZ,goats,0.1,0.1,1
JAM,goats,0.1,0.1,1
JPN,goats,0.1,0.1,1
JOR,goats,0.1,0.1,1
KGZ,goats,0.1,0.1,1
KEN,goats,0.1,0.1,1
KHM,goats,0.1,0.1,1
PRK,goats,0.1,0.1,1
KOR,goats,0.1,0.1,1
KWT,goats,0.1,0.1,1
LVA,goats,0.1,0.1,1
LAO,goats,0.1,0.1,1
LBN,goats,0.1,0.1,1
LSO,goats,0.1,0.1,1
LBR,goats,0.1,0.1,1
LBY,goats,0.1,0.1,1
LTU,goats,0.1,0.1,1
MHL,goats,0.1,0.1,1
MDG,goats,0.1,0.1,1
MWI,goats,0.1,0.1,1
MYS,goats,0.1,0.1,1
MDV,goats,0.1,0.1,1
MLI,goats,0.1,0.1,1
MLT,goats,0.1,0.1,1
MRT,goats,0.1,0.1,1
MUS,goats,0.1,0.1,1
MEX,goats,0.1,0.1,1
MCO,goats,0.1,0.1,1
MNG,goats,0.1,0.1,1
MAR,goats,0.1,0.1,1
MOZ,goats,0.1,0.1,1
FSM,goats,0.1,0.1,1
MDA,goats,0.1,0.1,1
NAM,goats,0.1,0.1,1
NRU,goats,0.1,0.1,1
NPL,goats,0.1,0.1,1
NLD,goats,0.1,0.1,1
MKD,goats,0.1,0.1,1
VUT,goats,0.1,0.1,1
NZL,goats,0.1,0.1,1
NIC,goats,0.1,0.1,1
NER,goats,0.1,0.1,1
NGA,goats,0.1,0.1,1
NIU,goats,0.1,0.1,1
