nutrient,grassland,iso3c
P2O5,0.10099999999999999,SVN
P2O5,0.10099999999999999,ESP
P2O5,0.10099999999999999,SWE
P2O5,0.10099999999999999,ROU
P2O5,0.10099999999999999,GBR
P2O5,0.10099999999999999,GGY
P2O5,0.10099999999999999,FRO
P2O5,0.10099999999999999,GIB
P2O5,0.10099999999999999,ALA
P2O5,0.10099999999999999,SJM
K2O,0.142,AUT
K2O,0.142,BEL
K2O,0.142,BGR
K2O,0.142,HRV
K2O,0.142,CYP
K2O,0.142,CZE
K2O,0.142,DNK
K2O,0.142,EST
K2O,0.142,FIN
K2O,0.142,FRA
K2O,0.142,DEU
K2O,0.142,GRC
K2O,0.142,HUN
K2O,0.142,IRL
K2O,0.142,ITA
K2O,0.142,LVA
K2O,0.142,LTU
K2O,0.142,LUX
K2O,0.142,MLT
K2O,0.142,NLD
K2O,0.142,POL
K2O,0.142,PRT
K2O,0.142,SVK
K2O,0.142,SVN
K2O,0.142,ESP
K2O,0.142,SWE
K2O,0.142,ROU
K2O,0.142,GBR
K2O,0.142,GGY
K2O,0.142,FRO
K2O,0.142,GIB
K2O,0.142,ALA
K2O,0.142,SJM
N,0.02,BRA
P2O5,0.009000000000000001,BRA
K2O,0.004,BRA
N,0,IDN
P2O5,0,IDN
K2O,0,IDN
N,0,PAK
P2O5,0,PAK
K2O,0,PAK
N,0.024,CAN
P2O5,0,CAN
K2O,0,CAN
N,0,VNM
P2O5,0,VNM
K2O,0,VNM
N,0.071,AUS
P2O5,0.349,AUS
K2O,0.326,AUS
N,0,THA
P2O5,0,THA
K2O,0,THA
N,0.065,RUS
P2O5,0.018000000000000002,RUS
K2O,0.027999999999999997,RUS
N,0,BGD
P2O5,0,BGD
K2O,0,BGD
N,0,MYS
P2O5,0,MYS
K2O,0,MYS
N,0,TUR
P2O5,0,TUR
K2O,0,TUR
N,0,MEX
P2O5,0,MEX
K2O,0,MEX
N,0.02,UKR
P2O5,0.02,UKR
K2O,0.02,UKR
N,0.06,ARG
P2O5,0.034,ARG
K2O,0,ARG
N,0,EGY
P2O5,0,EGY
K2O,0,EGY
N,0.083,BLR
P2O5,0.006,BLR
K2O,0.075,BLR
N,0.055999999999999994,IRN
P2O5,0.040999999999999995,IRN
K2O,0.033,IRN
N,0.048,JPN
P2O5,0.046,JPN
K2O,0.053,JPN
N,0,PHL
P2O5,0,PHL
K2O,0,PHL
N,0.897,NZL
P2O5,0.895,NZL
K2O,0.8420000000000001,NZL
N,0.054000000000000006,ZAF
P2O5,0.069,ZAF
K2O,0.038,ZAF
N,0.02,UZB
P2O5,0.02,UZB
K2O,0.015,UZB
N,0,MAR
P2O5,0,MAR
K2O,0,MAR
N,0.2,CHL
P2O5,0.324,CHL
K2O,0.15,CHL
N,0,AFG
N,0,ALB
N,0,DZA
N,0,ASM
N,0,AND
N,0,AGO
N,0,AIA
N,0,ATG
N,0,ARM
N,0,ABW
N,0,AZE
N,0,BHS
N,0,BHR
N,0,BRB
N,0,BLZ
N,0,BEN
N,0,BMU
N,0,BTN
N,0,BOL
N,0,BES
N,0,BIH
N,0,BWA
N,0,IOT
N,0,VGB
N,0,BRN
N,0,BFA
N,0,BDI
N,0,KHM
N,0,CMR
N,0,CPV
N,0,CYM
N,0,CAF
N,0,TCD
N,0,CXR
N,0,CCK
N,0,COL
N,0,COM
N,0,COK
N,0,CRI
N,0,CIV
N,0,CUB
N,0,CUW
N,0,COD
N,0,DJI
N,0,DOM
N,0,DMA
N,0,ECU
N,0,SLV
N,0,GNQ
N,0,ERI
N,0,ETH
N,0,FLK
N,0,FJI
N,0,GUF
N,0,PYF
N,0,GAB
N,0,GMB
N,0,GEO
N,0,GHA
N,0,GRL
N,0,GRD
N,0,GLP
N,0,GUM
N,0,GTM
N,0,GNB
N,0,GIN
N,0,GUY
N,0,HTI
N,0,HND
N,0,ISL
N,0,IRQ
N,0,IMN
N,0,ISR
N,0,JAM
N,0,JEY
N,0,JOR
N,0,KAZ
N,0,KEN
N,0,KIR
N,0,XKO
N,0,KWT
N,0,KGZ
N,0,LAO
N,0,LBN
N,0,LSO
N,0,LBR
N,0,LBY
N,0,LIE
N,0,MKD
N,0,MDG
N,0,MWI
N,0,MDV
N,0,MLI
N,0,MHL
N,0,MTQ
N,0,MRT
N,0,MUS
N,0,MYT
N,0,FSM
N,0,MDA
N,0,MCO
N,0,MNG
N,0,MNE
N,0,MSR
N,0,MOZ
N,0,MMR
N,0,"NAM"
N,0,NRU
N,0,NPL
N,0,NCL
N,0,NIC
N,0,NER
N,0,NGA
N,0,NIU
N,0,NFK
N,0,PRK
N,0,MNP
N,0,NOR
N,0,OMN
N,0,PLW
N,0,PSE
N,0,PAN
N,0,PNG
N,0,PRY
N,0,PER
N,0,PCN
N,0,XMI
N,0,PRI
N,0,QAT
N,0,COG
N,0,REU
N,0,RWA
N,0,BLM
N,0,MAF
N,0,SHN
N,0,KNA
N,0,LCA
N,0,SPM
N,0,VCT
N,0,WSM
N,0,SMR
N,0,STP
N,0,SAU
N,0,SEN
N,0,SRB
N,0,SYC
N,0,SLE
N,0,SGP
N,0,SXM
N,0,SLB
N,0,SOM
N,0,KOR
N,0,SSD
N,0,LKA
N,0,SDN
N,0,SUR
N,0,SWZ
N,0,CHE
N,0,SYR
N,0,TWN
N,0,TJK
N,0,TZA
N,0,TLS
N,0,TGO
N,0,TKL
N,0,TON
N,0,TTO
N,0,TUN
N,0,TKM
N,0,TCA
N,0,TUV
N,0,UGA
N,0,ARE
N,0,URY
N,0,VUT
N,0,VEN
N,0,VIR
N,0,WLF
N,0,ESH
N,0,YEM
N,0,ZMB
N,0,ZWE
P2O5,0,AFG
P2O5,0,ALB
P2O5,0,DZA
P2O5,0,ASM
P2O5,0,AND
P2O5,0,AGO
P2O5,0,AIA
P2O5,0,ATG
P2O5,0,ARM
P2O5,0,ABW
P2O5,0,AZE
P2O5,0,BHS
P2O5,0,BHR
P2O5,0,BRB
P2O5,0,BLZ
P2O5,0,BEN
P2O5,0,BMU
P2O5,0,BTN
P2O5,0,BOL
P2O5,0,BES
P2O5,0,BIH
P2O5,0,BWA
P2O5,0,IOT
P2O5,0,VGB
P2O5,0,BRN
P2O5,0,BFA
P2O5,0,BDI
P2O5,0,KHM
P2O5,0,CMR
P2O5,0,CPV
P2O5,0,CYM
P2O5,0,CAF
P2O5,0,TCD
P2O5,0,CXR
P2O5,0,CCK
P2O5,0,COL
P2O5,0,COM
P2O5,0,COK
P2O5,0,CRI
P2O5,0,CIV
P2O5,0,CUB
P2O5,0,CUW
P2O5,0,COD
P2O5,0,DJI
P2O5,0,DOM
P2O5,0,DMA
P2O5,0,ECU
P2O5,0,SLV
P2O5,0,GNQ
P2O5,0,ERI
P2O5,0,ETH
P2O5,0,FLK
P2O5,0,FJI
P2O5,0,GUF
P2O5,0,PYF
P2O5,0,GAB
P2O5,0,GMB
P2O5,0,GEO
P2O5,0,GHA
P2O5,0,GRL
P2O5,0,GRD
P2O5,0,GLP
P2O5,0,GUM
P2O5,0,GTM
P2O5,0,GNB
P2O5,0,GIN
P2O5,0,GUY
P2O5,0,HTI
P2O5,0,HND
P2O5,0,ISL
P2O5,0,IRQ
P2O5,0,IMN
P2O5,0,ISR
P2O5,0,JAM
P2O5,0,JEY
P2O5,0,JOR
P2O5,0,KAZ
P2O5,0,KEN
P2O5,0,KIR
P2O5,0,XKO
P2O5,0,KWT
P2O5,0,KGZ
P2O5,0,LAO
P2O5,0,LBN
P2O5,0,LSO
P2O5,0,LBR
P2O5,0,LBY
P2O5,0,LIE
P2O5,0,MKD
P2O5,0,MDG
P2O5,0,MWI
P2O5,0,MDV
P2O5,0,MLI
P2O5,0,MHL
P2O5,0,MTQ
P2O5,0,MRT
P2O5,0,MUS
P2O5,0,MYT
P2O5,0,FSM
P2O5,0,MDA
P2O5,0,MCO
P2O5,0,MNG
P2O5,0,MNE
P2O5,0,MSR
P2O5,0,MOZ
P2O5,0,MMR
P2O5,0,"NAM"
P2O5,0,NRU
P2O5,0,NPL
P2O5,0,NCL
P2O5,0,NIC
P2O5,0,NER
P2O5,0,NGA
P2O5,0,NIU
P2O5,0,NFK
P2O5,0,PRK
P2O5,0,MNP
P2O5,0,NOR
P2O5,0,OMN
P2O5,0,PLW
P2O5,0,PSE
P2O5,0,PAN
P2O5,0,PNG
P2O5,0,PRY
P2O5,0,PER
P2O5,0,PCN
P2O5,0,XMI
P2O5,0,PRI
P2O5,0,QAT
P2O5,0,COG
P2O5,0,REU
P2O5,0,RWA
P2O5,0,BLM
P2O5,0,MAF
P2O5,0,SHN
P2O5,0,KNA
P2O5,0,LCA
P2O5,0,SPM
P2O5,0,VCT
P2O5,0,WSM
P2O5,0,SMR
P2O5,0,STP
P2O5,0,SAU
P2O5,0,SEN
P2O5,0,SRB
P2O5,0,SYC
P2O5,0,SLE
P2O5,0,SGP
P2O5,0,SXM
P2O5,0,SLB
P2O5,0,SOM
P2O5,0,KOR
P2O5,0,SSD
P2O5,0,LKA
P2O5,0,SDN
P2O5,0,SUR
P2O5,0,SWZ
P2O5,0,CHE
P2O5,0,SYR
P2O5,0,TWN
P2O5,0,TJK
P2O5,0,TZA
P2O5,0,TLS
P2O5,0,TGO
P2O5,0,TKL
P2O5,0,TON
P2O5,0,TTO
P2O5,0,TUN
P2O5,0,TKM
P2O5,0,TCA
P2O5,0,TUV
P2O5,0,UGA
P2O5,0,ARE
P2O5,0,URY
P2O5,0,VUT
P2O5,0,VEN
P2O5,0,VIR
P2O5,0,WLF
P2O5,0,ESH
P2O5,0,YEM
P2O5,0,ZMB
P2O5,0,ZWE
K2O,0,AFG
K2O,0,ALB
K2O,0,DZA
K2O,0,ASM
K2O,0,AND
K2O,0,AGO
K2O,0,AIA
K2O,0,ATG
K2O,0,ARM
K2O,0,ABW
K2O,0,AZE
K2O,0,BHS
K2O,0,BHR
K2O,0,BRB
K2O,0,BLZ
K2O,0,BEN
K2O,0,BMU
K2O,0,BTN
K2O,0,BOL
K2O,0,BES
K2O,0,BIH
K2O,0,BWA
K2O,0,IOT
K2O,0,VGB
K2O,0,BRN
K2O,0,BFA
K2O,0,BDI
K2O,0,KHM
K2O,0,CMR
K2O,0,CPV
K2O,0,CYM
K2O,0,CAF
K2O,0,TCD
K2O,0,CXR
K2O,0,CCK
K2O,0,COL
K2O,0,COM
K2O,0,COK
K2O,0,CRI
K2O,0,CIV
K2O,0,CUB
K2O,0,CUW
K2O,0,COD
K2O,0,DJI
K2O,0,DOM
K2O,0,DMA
K2O,0,ECU
K2O,0,SLV
K2O,0,GNQ
K2O,0,ERI
K2O,0,ETH
K2O,0,FLK
K2O,0,FJI
K2O,0,GUF
K2O,0,PYF
K2O,0,GAB
K2O,0,GMB
K2O,0,GEO
K2O,0,GHA
K2O,0,GRL
K2O,0,GRD
K2O,0,GLP
K2O,0,GUM
K2O,0,GTM
K2O,0,GNB
K2O,0,GIN
K2O,0,GUY
K2O,0,HTI
K2O,0,HND
K2O,0,ISL
K2O,0,IRQ
K2O,0,IMN
K2O,0,ISR
K2O,0,JAM
K2O,0,JEY
K2O,0,JOR
K2O,0,KAZ
K2O,0,KEN
K2O,0,KIR
K2O,0,XKO
K2O,0,KWT
K2O,0,KGZ
K2O,0,LAO
K2O,0,LBN
K2O,0,LSO
K2O,0,LBR
K2O,0,LBY
K2O,0,LIE
K2O,0,MKD
K2O,0,MDG
K2O,0,MWI
K2O,0,MDV
K2O,0,MLI
K2O,0,MHL
K2O,0,MTQ
K2O,0,MRT
K2O,0,MUS
K2O,0,MYT
K2O,0,FSM
K2O,0,MDA
K2O,0,MCO
K2O,0,MNG
K2O,0,MNE
K2O,0,MSR
K2O,0,MOZ
K2O,0,MMR
K2O,0,"NAM"
K2O,0,NRU
K2O,0,NPL
K2O,0,NCL
K2O,0,NIC
K2O,0,NER
K2O,0,NGA
K2O,0,NIU
K2O,0,NFK
K2O,0,PRK
K2O,0,MNP
K2O,0,NOR
K2O,0,OMN
K2O,0,PLW
K2O,0,PSE
K2O,0,PAN
K2O,0,PNG
K2O,0,PRY
K2O,0,PER
K2O,0,PCN
K2O,0,XMI
K2O,0,PRI
K2O,0,QAT
K2O,0,COG
K2O,0,REU
K2O,0,RWA
K2O,0,BLM
K2O,0,MAF
K2O,0,SHN
K2O,0,KNA
K2O,0,LCA
K2O,0,SPM
K2O,0,VCT
K2O,0,WSM
K2O,0,SMR
K2O,0,STP
K2O,0,SAU
K2O,0,SEN
K2O,0,SRB
K2O,0,SYC
K2O,0,SLE
K2O,0,SGP
K2O,0,SXM
K2O,0,SLB
K2O,0,SOM
K2O,0,KOR
K2O,0,SSD
K2O,0,LKA
K2O,0,SDN
K2O,0,SUR
K2O,0,SWZ
K2O,0,CHE
K2O,0,SYR
K2O,0,TWN
K2O,0,TJK
K2O,0,TZA
K2O,0,TLS
K2O,0,TGO
K2O,0,TKL
K2O,0,TON
K2O,0,TTO
K2O,0,TUN
K2O,0,TKM
K2O,0,TCA
K2O,0,TUV
K2O,0,UGA
K2O,0,ARE
K2O,0,URY
K2O,0,VUT
K2O,0,VEN
K2O,0,VIR
K2O,0,WLF
K2O,0,ESH
K2O,0,YEM
K2O,0,ZMB
K2O,0,ZWE
