iso3c,nutrient,country_application
SSD,N,0
SSD,P2O5,0
STP,K2O,0
STP,N,0
STP,P2O5,0
SWZ,K2O,0
SWZ,N,0
SWZ,P2O5,0
SXM,K2O,0
SXM,N,0
SXM,P2O5,0
TCA,K2O,0
TCA,N,0
TCA,P2O5,0
TCD,K2O,0
TCD,N,0
TCD,P2O5,0
TKL,K2O,0
TKL,N,0
TKL,P2O5,0
TKM,K2O,0
TKM,N,0
TKM,P2O5,0
TLS,K2O,0
TLS,N,0
TLS,P2O5,0
TUV,K2O,0
TUV,N,0
TUV,P2O5,0
VCT,K2O,0
VCT,N,0
VCT,P2O5,0
VGB,K2O,0
VGB,N,0
VGB,P2O5,0
VIR,K2O,0
VIR,N,0
VIR,P2O5,0
VUT,K2O,0
VUT,N,0
VUT,P2O5,0
WLF,K2O,0
WLF,N,0
WLF,P2O5,0
AFG,N,0
AFG,P2O5,0
AFG,K2O,0
ALB,N,0
ALB,P2O5,0
ALB,K2O,0
DZA,N,0
DZA,P2O5,0
DZA,K2O,0
AGO,N,0
AGO,P2O5,0
AGO,K2O,0
ATG,N,0
ATG,P2O5,0
ATG,K2O,0
ARG,N,58550.5848
ARG,P2O5,21776.325440000004
ARG,K2O,0
ARM,N,0
ARM,P2O5,0
ARM,K2O,0
AUS,N,106060.43899999998
AUS,P2O5,342015.34085
AUS,K2O,89039.13794
AUT,N,19782.031
AUT,P2O5,3154.634
AUT,K2O,4779.861999999999
AZE,N,0
AZE,P2O5,0
AZE,K2O,0
BHS,N,0
BHS,P2O5,0
BHS,K2O,0
BHR,N,0
BHR,P2O5,0
BHR,K2O,0
BGD,N,0
BGD,P2O5,0
BGD,K2O,0
BRB,N,0
BRB,P2O5,0
BRB,K2O,0
BLR,N,33768.218
BLR,P2O5,465.216
BLR,K2O,24855.6
BEL,N,29487.529949999996
BEL,P2O5,1883.31569
BEL,K2O,8565.15742
BLZ,N,0
BLZ,P2O5,0
BLZ,K2O,0
BEN,N,0
BEN,P2O5,0
BEN,K2O,0
BMU,N,0
BMU,P2O5,0
BMU,K2O,0
BTN,N,0
BTN,P2O5,0
BTN,K2O,0
BOL,N,0
BOL,P2O5,0
BOL,K2O,0
BIH,N,0
BIH,P2O5,0
BIH,K2O,0
BWA,N,0
BWA,P2O5,0
BWA,K2O,0
BRA,N,103454.1342
BRA,P2O5,46386.468539999994
BRA,K2O,25024.40136
BRN,N,0
BRN,P2O5,0
BRN,K2O,0
BGR,N,57879.744999999995
BGR,P2O5,7025.56
BGR,K2O,5272.317999999999
BFA,N,0
BFA,P2O5,0
BFA,K2O,0
BDI,N,0
BDI,P2O5,0
BDI,K2O,0
KHM,N,0
KHM,P2O5,0
KHM,K2O,0
CMR,N,0
CMR,P2O5,0
CMR,K2O,0
CAN,N,59304
CAN,P2O5,0
CAN,K2O,0
CAF,N,0
CAF,P2O5,0
CAF,K2O,0
CHL,N,52736.076
CHL,P2O5,25633.45764
CHL,K2O,4549.227
HKG,N,163.32500000000002
HKG,P2O5,11.43
HKG,K2O,7.565099999999999
MAC,N,0
MAC,P2O5,0
MAC,K2O,0
CHN,N,590899.8200000001
CHN,P2O5,396160.8292
CHN,K2O,314998.90739999997
TWN,N,0
TWN,P2O5,0
TWN,K2O,0
COL,N,0
COL,P2O5,0
COL,K2O,0
COG,N,0
COG,P2O5,0
COG,K2O,0
COK,N,0
COK,P2O5,0
COK,K2O,0
CRI,N,0
CRI,P2O5,0
CRI,K2O,0
CIV,N,0
CIV,P2O5,0
CIV,K2O,0
HRV,N,17025.275999999998
HRV,P2O5,3444.5040000000004
HRV,K2O,5957.325999999999
CUB,N,0
CUB,P2O5,0
CUB,K2O,0
CYP,N,1379.156
CYP,P2O5,502.677
CYP,K2O,485.782
CZE,N,63325.611999999994
CZE,P2O5,5588.4310000000005
CZE,K2O,4820.473999999999
COD,N,0
COD,P2O5,0
COD,K2O,0
DNK,N,37948.069
DNK,P2O5,3235.5350000000003
DNK,K2O,9018.277999999998
DMA,N,0
DMA,P2O5,0
DMA,K2O,0
DOM,N,0
DOM,P2O5,0
DOM,K2O,0
ECU,N,0
ECU,P2O5,0
ECU,K2O,0
EGY,N,0
EGY,P2O5,0
EGY,K2O,0
SLV,N,0
SLV,P2O5,0
SLV,K2O,0
ERI,N,0
ERI,P2O5,0
ERI,K2O,0
EST,N,6458.6089999999995
EST,P2O5,939.805
EST,K2O,1855.94
ETH,N,0
ETH,P2O5,0
ETH,K2O,0
FJI,N,0
FJI,P2O5,0
FJI,K2O,0
FIN,N,24038.003999999997
FIN,P2O5,2836.1163600000004
FIN,K2O,4787.813999999999
FRA,N,386461.41299999994
FRA,P2O5,45507.368
FRA,K2O,65727.824
PYF,N,0
PYF,P2O5,0
PYF,K2O,0
GAB,N,0
GAB,P2O5,0
GAB,K2O,0
GMB,N,0
GMB,P2O5,0
GMB,K2O,0
GEO,N,0
GEO,P2O5,0
GEO,K2O,0
DEU,N,258920.27699999997
DEU,P2O5,21061.227000000003
DEU,K2O,55612.88
GHA,N,0
GHA,P2O5,0
GHA,K2O,0
GRC,N,31438.598
GRC,P2O5,5157.262000000001
GRC,K2O,6526.745999999999
GTM,N,0
GTM,P2O5,0
GTM,K2O,0
GIN,N,0
GIN,P2O5,0
GIN,K2O,0
GUY,N,0
GUY,P2O5,0
GUY,K2O,0
HND,N,0
HND,P2O5,0
HND,K2O,0
HUN,N,64827.944
HUN,P2O5,11335.432
HUN,K2O,15691.71
ISL,N,0
ISL,P2O5,0
ISL,K2O,0
IND,N,0
IND,P2O5,0
IND,K2O,0
IDN,N,0
IDN,P2O5,0
IDN,K2O,0
IRN,N,31635.057999999994
IRN,P2O5,4016.6141999999986
IRN,K2O,1164.1245
IRQ,N,0
IRQ,P2O5,0
IRQ,K2O,0
IRL,N,59553.17746
IRL,P2O5,11937.084960000002
IRL,K2O,22644.103839999996
ISR,N,0
ISR,P2O5,0
ISR,K2O,0
ITA,N,104165.03
ITA,P2O5,16163.535000000002
ITA,K2O,16445.73
JAM,N,0
JAM,P2O5,0
JAM,K2O,0
JPN,N,18676.8
JPN,P2O5,16320.8
JPN,K2O,16276.3
JOR,N,0
JOR,P2O5,0
JOR,K2O,0
KAZ,N,0
KAZ,P2O5,0
KAZ,K2O,0
KEN,N,0
KEN,P2O5,0
KEN,K2O,0
KWT,N,0
KWT,P2O5,0
KWT,K2O,0
KGZ,N,0
KGZ,P2O5,0
KGZ,K2O,0
LVA,N,13397.293
LVA,P2O5,2613.981
LVA,K2O,4284.566
LBN,N,0
LBN,P2O5,0
LBN,K2O,0
LBY,N,0
LBY,P2O5,0
LBY,K2O,0
LTU,N,28916.777
LTU,P2O5,5429.962
LTU,K2O,10783.48
LUX,N,2348.4490499999997
LUX,P2O5,117.89831
LUX,K2O,128.50858
MDG,N,0
MDG,P2O5,0
MDG,K2O,0
MWI,N,0
MWI,P2O5,0
MWI,K2O,0
MYS,N,0
MYS,P2O5,0
MYS,K2O,0
MDV,N,0
MDV,P2O5,0
MDV,K2O,0
MLI,N,0
MLI,P2O5,0
MLI,K2O,0
MLT,N,107.91048
MLT,P2O5,12.68964
MLT,K2O,19.304899999999996
MUS,N,0
MUS,P2O5,0
MUS,K2O,0
MEX,N,0
MEX,P2O5,0
MEX,K2O,0
MNG,N,0
MNG,P2O5,0
MNG,K2O,0
MNE,N,0
MNE,P2O5,0
MNE,K2O,0
MAR,N,0
MAR,P2O5,0
MAR,K2O,0
MOZ,N,0
MOZ,P2O5,0
MOZ,K2O,0
MMR,N,0
MMR,P2O5,0
MMR,K2O,0
"NAM",N,0
"NAM",P2O5,0
"NAM",K2O,0
NRU,N,0
NRU,P2O5,0
NRU,K2O,0
NPL,N,0
NPL,P2O5,0
NPL,K2O,0
NLD,N,38814.799
NLD,P2O5,1297.143
NLD,K2O,9102.625999999998
NCL,N,0
NCL,P2O5,0
NCL,K2O,0
NZL,N,397371
NZL,P2O5,272080
NZL,K2O,141356.45034
NIC,N,0
NIC,P2O5,0
NIC,K2O,0
NER,N,0
NER,P2O5,0
NER,K2O,0
NGA,N,0
NGA,P2O5,0
NGA,K2O,0
MKD,N,0
MKD,P2O5,0
MKD,K2O,0
NOR,N,0
NOR,P2O5,0
NOR,K2O,0
OMN,N,0
OMN,P2O5,0
OMN,K2O,0
PAK,N,0
PAK,P2O5,0
PAK,K2O,0
PAN,N,0
PAN,P2O5,0
PAN,K2O,0
PNG,N,0
PNG,P2O5,0
PNG,K2O,0
PRY,N,0
PRY,P2O5,0
PRY,K2O,0
PER,N,0
PER,P2O5,0
PER,K2O,0
PHL,N,0
PHL,P2O5,0
PHL,K2O,0
POL,N,188778.638
POL,P2O5,33743.696
POL,K2O,75250.912
PRT,N,18283.28183
XMI,N,0
PRT,P2O5,5476.4028100000005
XMI,P2O5,0
PRT,K2O,5113.069259999999
XMI,K2O,0
QAT,N,0
QAT,P2O5,0
QAT,K2O,0
KOR,N,0
KOR,P2O5,0
KOR,K2O,0
MDA,N,0
MDA,P2O5,0
MDA,K2O,0
ROU,N,59565.80299999999
ROU,P2O5,12745.089
ROU,K2O,6194.892
RUS,N,98331.675
RUS,P2O5,10617.3
RUS,K2O,10367.587999999996
RWA,N,0
RWA,P2O5,0
RWA,K2O,0
KNA,N,0
KNA,P2O5,0
KNA,K2O,0
LCA,N,0
LCA,P2O5,0
LCA,K2O,0
WSM,N,0
WSM,P2O5,0
WSM,K2O,0
SAU,N,0
SAU,P2O5,0
SAU,K2O,0
SEN,N,0
SEN,P2O5,0
SEN,K2O,0
XKO,N,0
XKO,P2O5,0
XKO,K2O,0
SYC,N,0
SYC,P2O5,0
SYC,K2O,0
SGP,N,0
SGP,P2O5,0
SGP,K2O,0
SVK,N,21199.618949999996
SVK,P2O5,2343.96962
SVK,K2O,2510.0899799999997
SVN,N,4685.51643
SVN,P2O5,922.40472
SVN,K2O,1570.93606
ZAF,N,25380
ZAF,P2O5,18492
ZAF,K2O,5168
ESP,N,186722.533
ESP,P2O5,44081.652
ESP,K2O,55327.31799999999
LKA,N,0
LKA,P2O5,0
LKA,K2O,0
SDN,N,0
SDN,P2O5,0
SDN,K2O,0
SUR,N,0
SUR,P2O5,0
SUR,K2O,0
SWE,N,34333.51945
SWE,P2O5,3328.4186400000003
SWE,K2O,5224.321999999999
CHE,N,0
CHE,P2O5,0
CHE,K2O,0
SYR,N,0
SYR,P2O5,0
SYR,K2O,0
TJK,N,0
TJK,P2O5,0
TJK,K2O,0
THA,N,0
THA,P2O5,0
THA,K2O,0
TGO,N,0
TGO,P2O5,0
TGO,K2O,0
TON,N,0
TON,P2O5,0
TON,K2O,0
TTO,N,0
TTO,P2O5,0
TTO,K2O,0
TUN,N,0
TUN,P2O5,0
TUN,K2O,0
TUR,N,0
TUR,P2O5,0
TUR,K2O,0
UGA,N,0
UGA,P2O5,0
UGA,K2O,0
UKR,N,27306.2
UKR,P2O5,7268.6
UKR,K2O,5986.8
ARE,N,0
ARE,P2O5,0
ARE,K2O,0
GGY,N,0
GBR,N,180093
GGY,P2O5,0
GBR,P2O5,19695
GGY,K2O,0
GBR,K2O,39192
TZA,N,0
TZA,P2O5,0
TZA,K2O,0
USA,N,1330290.55866
USA,P2O5,166939.58800000002
USA,K2O,331422.82204000006
URY,N,0
URY,P2O5,0
URY,K2O,0
UZB,N,14426.32
UZB,P2O5,4516.52
UZB,K2O,1151.28
VEN,N,0
VEN,P2O5,0
VEN,K2O,0
VNM,N,0
VNM,P2O5,0
VNM,K2O,0
YEM,N,0
YEM,P2O5,0
YEM,K2O,0
ZMB,N,0
ZMB,P2O5,0
ZMB,K2O,0
ZWE,N,0
ZWE,P2O5,0
ZWE,K2O,0
SRB,N,0
SRB,P2O5,0
SRB,K2O,0
