iso3c,nutrient,country_application,reported_by_fao
MNP,P2O5,NA,No
MNP,K2O,NA,No
PLW,N,NA,No
PLW,P2O5,NA,No
PLW,K2O,NA,No
PSE,N,NA,No
PSE,P2O5,NA,No
PSE,K2O,NA,No
PCN,N,NA,No
PCN,P2O5,NA,No
PCN,K2O,NA,No
PRI,N,NA,No
PRI,P2O5,NA,No
PRI,K2O,NA,No
REU,N,NA,No
REU,P2O5,NA,No
REU,K2O,NA,No
BLM,N,NA,No
BLM,P2O5,NA,No
BLM,K2O,NA,No
MAF,N,NA,No
MAF,P2O5,NA,No
MAF,K2O,NA,No
SHN,N,NA,No
SHN,P2O5,NA,No
SHN,K2O,NA,No
SPM,N,NA,No
SPM,P2O5,NA,No
SPM,K2O,NA,No
VCT,N,NA,No
VCT,P2O5,NA,No
VCT,K2O,NA,No
SMR,N,NA,No
SMR,P2O5,NA,No
SMR,K2O,NA,No
STP,N,NA,No
STP,P2O5,NA,No
STP,K2O,NA,No
SLE,N,NA,No
SLE,P2O5,NA,No
SLE,K2O,NA,No
SXM,N,NA,No
SXM,P2O5,NA,No
SXM,K2O,NA,No
SLB,N,NA,No
SLB,P2O5,NA,No
SLB,K2O,NA,No
SOM,N,NA,No
SOM,P2O5,NA,No
SOM,K2O,NA,No
SSD,N,NA,No
SSD,P2O5,NA,No
SSD,K2O,NA,No
SJM,N,NA,No
SJM,P2O5,NA,No
SJM,K2O,NA,No
SWZ,N,NA,No
SWZ,P2O5,NA,No
SWZ,K2O,NA,No
TLS,N,NA,No
TLS,P2O5,NA,No
TLS,K2O,NA,No
TKL,N,NA,No
TKL,P2O5,NA,No
TKL,K2O,NA,No
TKM,N,NA,No
TKM,P2O5,NA,No
TKM,K2O,NA,No
TCA,N,NA,No
TCA,P2O5,NA,No
TCA,K2O,NA,No
TUV,N,NA,No
TUV,P2O5,NA,No
TUV,K2O,NA,No
VUT,N,NA,No
VUT,P2O5,NA,No
VUT,K2O,NA,No
VIR,N,NA,No
VIR,P2O5,NA,No
VIR,K2O,NA,No
WLF,N,NA,No
WLF,P2O5,NA,No
WLF,K2O,NA,No
ESH,N,NA,No
ESH,P2O5,NA,No
ESH,K2O,NA,No
AFG,N,0,Yes
AFG,P2O5,0,Yes
AFG,K2O,0,Yes
ALB,N,0,Yes
ALB,P2O5,0,Yes
ALB,K2O,0,Yes
DZA,N,0,Yes
DZA,P2O5,0,Yes
DZA,K2O,0,Yes
AGO,N,0,Yes
AGO,P2O5,0,Yes
AGO,K2O,0,Yes
ATG,N,0,Yes
ATG,P2O5,0,Yes
ATG,K2O,0,Yes
ARG,N,58550.5848,Yes
ARG,P2O5,21776.325440000004,Yes
ARG,K2O,0,Yes
ARM,N,0,Yes
ARM,P2O5,0,Yes
ARM,K2O,0,Yes
AUS,N,106060.43899999998,Yes
AUS,P2O5,342015.34085,Yes
AUS,K2O,89039.13794,Yes
AUT,N,19782.031,Yes
AUT,P2O5,3154.634,Yes
AUT,K2O,4779.861999999999,Yes
AZE,N,0,Yes
AZE,P2O5,0,Yes
AZE,K2O,0,Yes
BHS,N,0,Yes
BHS,P2O5,0,Yes
BHS,K2O,0,Yes
BHR,N,0,Yes
BHR,P2O5,0,Yes
BHR,K2O,0,Yes
BGD,N,0,Yes
BGD,P2O5,0,Yes
BGD,K2O,0,Yes
BRB,N,0,Yes
BRB,P2O5,0,Yes
BRB,K2O,0,Yes
BLR,N,33768.218,Yes
BLR,P2O5,465.216,Yes
BLR,K2O,24855.6,Yes
BEL,N,29487.529949999996,Yes
BEL,P2O5,1883.31569,Yes
BEL,K2O,8565.15742,Yes
BLZ,N,0,Yes
BLZ,P2O5,0,Yes
BLZ,K2O,0,Yes
BEN,N,0,Yes
BEN,P2O5,0,Yes
BEN,K2O,0,Yes
BMU,N,0,Yes
BMU,P2O5,0,Yes
BMU,K2O,0,Yes
BTN,N,0,Yes
BTN,P2O5,0,Yes
BTN,K2O,0,Yes
BOL,N,0,Yes
BOL,P2O5,0,Yes
BOL,K2O,0,Yes
BIH,N,0,Yes
BIH,P2O5,0,Yes
BIH,K2O,0,Yes
BWA,N,0,Yes
BWA,P2O5,0,Yes
BWA,K2O,0,Yes
BRA,N,103454.1342,Yes
BRA,P2O5,46386.468539999994,Yes
BRA,K2O,25024.40136,Yes
BRN,N,0,Yes
BRN,P2O5,0,Yes
BRN,K2O,0,Yes
BGR,N,57879.744999999995,Yes
BGR,P2O5,7025.56,Yes
BGR,K2O,5272.317999999999,Yes
BFA,N,0,Yes
BFA,P2O5,0,Yes
BFA,K2O,0,Yes
BDI,N,0,Yes
BDI,P2O5,0,Yes
BDI,K2O,0,Yes
KHM,N,0,Yes
KHM,P2O5,0,Yes
KHM,K2O,0,Yes
CMR,N,0,Yes
CMR,P2O5,0,Yes
CMR,K2O,0,Yes
CAN,N,59304,Yes
CAN,P2O5,0,Yes
CAN,K2O,0,Yes
CAF,N,0,Yes
CAF,P2O5,0,Yes
CAF,K2O,0,Yes
CHL,N,52736.076,Yes
CHL,P2O5,25633.45764,Yes
CHL,K2O,4549.227,Yes
HKG,N,163.32500000000002,Yes
HKG,P2O5,11.43,Yes
HKG,K2O,7.565099999999999,Yes
MAC,N,0,Yes
MAC,P2O5,0,Yes
MAC,K2O,0,Yes
CHN,N,590899.8200000001,Yes
CHN,P2O5,396160.82920000004,Yes
CHN,K2O,314998.90739999997,Yes
TWN,N,0,Yes
TWN,P2O5,0,Yes
TWN,K2O,0,Yes
COL,N,0,Yes
COL,P2O5,0,Yes
COL,K2O,0,Yes
COG,N,0,Yes
COG,P2O5,0,Yes
COG,K2O,0,Yes
COK,N,0,Yes
COK,P2O5,0,Yes
COK,K2O,0,Yes
CRI,N,0,Yes
CRI,P2O5,0,Yes
CRI,K2O,0,Yes
CIV,N,0,Yes
CIV,P2O5,0,Yes
CIV,K2O,0,Yes
HRV,N,17025.275999999998,Yes
HRV,P2O5,3444.5040000000004,Yes
HRV,K2O,5957.325999999999,Yes
CUB,N,0,Yes
CUB,P2O5,0,Yes
CUB,K2O,0,Yes
CYP,N,1379.156,Yes
CYP,P2O5,502.677,Yes
CYP,K2O,485.782,Yes
CZE,N,63325.611999999994,Yes
CZE,P2O5,5588.4310000000005,Yes
CZE,K2O,4820.473999999999,Yes
COD,N,0,Yes
COD,P2O5,0,Yes
COD,K2O,0,Yes
DNK,N,37948.068999999996,Yes
DNK,P2O5,3235.5350000000003,Yes
DNK,K2O,9018.277999999998,Yes
DMA,N,0,Yes
DMA,P2O5,0,Yes
DMA,K2O,0,Yes
DOM,N,0,Yes
DOM,P2O5,0,Yes
DOM,K2O,0,Yes
ECU,N,0,Yes
ECU,P2O5,0,Yes
ECU,K2O,0,Yes
EGY,N,0,Yes
EGY,P2O5,0,Yes
EGY,K2O,0,Yes
SLV,N,0,Yes
SLV,P2O5,0,Yes
SLV,K2O,0,Yes
ERI,N,0,Yes
ERI,P2O5,0,Yes
ERI,K2O,0,Yes
EST,N,6458.6089999999995,Yes
EST,P2O5,939.8050000000001,Yes
EST,K2O,1855.9399999999998,Yes
ETH,N,0,Yes
ETH,P2O5,0,Yes
ETH,K2O,0,Yes
FJI,N,0,Yes
FJI,P2O5,0,Yes
FJI,K2O,0,Yes
FIN,N,24038.003999999997,Yes
FIN,P2O5,2836.1163600000004,Yes
FIN,K2O,4787.813999999999,Yes
FRA,N,386461.41299999994,Yes
FRA,P2O5,45507.368,Yes
FRA,K2O,65727.824,Yes
PYF,N,0,Yes
PYF,P2O5,0,Yes
PYF,K2O,0,Yes
GAB,N,0,Yes
GAB,P2O5,0,Yes
GAB,K2O,0,Yes
GMB,N,0,Yes
GMB,P2O5,0,Yes
GMB,K2O,0,Yes
GEO,N,0,Yes
GEO,P2O5,0,Yes
GEO,K2O,0,Yes
DEU,N,258920.27699999997,Yes
DEU,P2O5,21061.227000000003,Yes
DEU,K2O,55612.88,Yes
GHA,N,0,Yes
GHA,P2O5,0,Yes
GHA,K2O,0,Yes
GRC,N,31438.597999999998,Yes
GRC,P2O5,5157.262000000001,Yes
GRC,K2O,6526.745999999999,Yes
GTM,N,0,Yes
GTM,P2O5,0,Yes
GTM,K2O,0,Yes
GIN,N,0,Yes
GIN,P2O5,0,Yes
GIN,K2O,0,Yes
GUY,N,0,Yes
GUY,P2O5,0,Yes
GUY,K2O,0,Yes
HND,N,0,Yes
HND,P2O5,0,Yes
HND,K2O,0,Yes
HUN,N,64827.943999999996,Yes
HUN,P2O5,11335.432,Yes
HUN,K2O,15691.71,Yes
ISL,N,0,Yes
ISL,P2O5,0,Yes
ISL,K2O,0,Yes
IND,N,0,Yes
IND,P2O5,0,Yes
IND,K2O,0,Yes
IDN,N,0,Yes
IDN,P2O5,0,Yes
IDN,K2O,0,Yes
IRN,N,31635.057999999994,Yes
IRN,P2O5,4016.6141999999986,Yes
IRN,K2O,1164.1245000000001,Yes
IRQ,N,0,Yes
IRQ,P2O5,0,Yes
IRQ,K2O,0,Yes
IRL,N,59553.17746,Yes
IRL,P2O5,11937.084960000002,Yes
IRL,K2O,22644.103839999996,Yes
ISR,N,0,Yes
ISR,P2O5,0,Yes
ISR,K2O,0,Yes
ITA,N,104165.03,Yes
ITA,P2O5,16163.535000000002,Yes
ITA,K2O,16445.73,Yes
JAM,N,0,Yes
JAM,P2O5,0,Yes
JAM,K2O,0,Yes
JPN,N,18676.8,Yes
JPN,P2O5,16320.8,Yes
JPN,K2O,16276.3,Yes
JOR,N,0,Yes
JOR,P2O5,0,Yes
JOR,K2O,0,Yes
KAZ,N,0,Yes
KAZ,P2O5,0,Yes
KAZ,K2O,0,Yes
KEN,N,0,Yes
KEN,P2O5,0,Yes
KEN,K2O,0,Yes
KWT,N,0,Yes
KWT,P2O5,0,Yes
KWT,K2O,0,Yes
KGZ,N,0,Yes
KGZ,P2O5,0,Yes
KGZ,K2O,0,Yes
LVA,N,13397.293,Yes
LVA,P2O5,2613.981,Yes
LVA,K2O,4284.566,Yes
LBN,N,0,Yes
LBN,P2O5,0,Yes
LBN,K2O,0,Yes
LBY,N,0,Yes
LBY,P2O5,0,Yes
LBY,K2O,0,Yes
LTU,N,28916.777,Yes
LTU,P2O5,5429.962,Yes
LTU,K2O,10783.48,Yes
LUX,N,2348.4490499999997,Yes
LUX,P2O5,117.89831,Yes
LUX,K2O,128.50858,Yes
MDG,N,0,Yes
MDG,P2O5,0,Yes
MDG,K2O,0,Yes
MWI,N,0,Yes
MWI,P2O5,0,Yes
MWI,K2O,0,Yes
MYS,N,0,Yes
MYS,P2O5,0,Yes
MYS,K2O,0,Yes
MDV,N,0,Yes
MDV,P2O5,0,Yes
MDV,K2O,0,Yes
MLI,N,0,Yes
MLI,P2O5,0,Yes
MLI,K2O,0,Yes
MLT,N,107.91047999999999,Yes
MLT,P2O5,12.68964,Yes
MLT,K2O,19.304899999999996,Yes
MUS,N,0,Yes
MUS,P2O5,0,Yes
MUS,K2O,0,Yes
MEX,N,0,Yes
MEX,P2O5,0,Yes
MEX,K2O,0,Yes
MNG,N,0,Yes
MNG,P2O5,0,Yes
MNG,K2O,0,Yes
MNE,N,0,Yes
MNE,P2O5,0,Yes
MNE,K2O,0,Yes
MAR,N,0,Yes
MAR,P2O5,0,Yes
MAR,K2O,0,Yes
MOZ,N,0,Yes
MOZ,P2O5,0,Yes
MOZ,K2O,0,Yes
MMR,N,0,Yes
MMR,P2O5,0,Yes
MMR,K2O,0,Yes
"NAM",N,0,Yes
"NAM",P2O5,0,Yes
"NAM",K2O,0,Yes
NRU,N,0,Yes
NRU,P2O5,0,Yes
NRU,K2O,0,Yes
NPL,N,0,Yes
NPL,P2O5,0,Yes
NPL,K2O,0,Yes
NLD,N,38814.799,Yes
NLD,P2O5,1297.143,Yes
NLD,K2O,9102.625999999998,Yes
NCL,N,0,Yes
NCL,P2O5,0,Yes
NCL,K2O,0,Yes
NZL,N,397371,Yes
NZL,P2O5,272080,Yes
NZL,K2O,141356.45034,Yes
NIC,N,0,Yes
NIC,P2O5,0,Yes
NIC,K2O,0,Yes
NER,N,0,Yes
NER,P2O5,0,Yes
NER,K2O,0,Yes
NGA,N,0,Yes
NGA,P2O5,0,Yes
NGA,K2O,0,Yes
MKD,N,0,Yes
MKD,P2O5,0,Yes
MKD,K2O,0,Yes
NOR,N,0,Yes
NOR,P2O5,0,Yes
NOR,K2O,0,Yes
OMN,N,0,Yes
OMN,P2O5,0,Yes
OMN,K2O,0,Yes
PAK,N,0,Yes
PAK,P2O5,0,Yes
PAK,K2O,0,Yes
PAN,N,0,Yes
PAN,P2O5,0,Yes
PAN,K2O,0,Yes
PNG,N,0,Yes
PNG,P2O5,0,Yes
PNG,K2O,0,Yes
PRY,N,0,Yes
PRY,P2O5,0,Yes
PRY,K2O,0,Yes
PER,N,0,Yes
PER,P2O5,0,Yes
PER,K2O,0,Yes
PHL,N,0,Yes
PHL,P2O5,0,Yes
PHL,K2O,0,Yes
POL,N,188778.63799999998,Yes
POL,P2O5,33743.696,Yes
POL,K2O,75250.912,Yes
PRT,N,18283.28183,Yes
XMI,N,0,Yes
PRT,P2O5,5476.4028100000005,Yes
XMI,P2O5,0,Yes
PRT,K2O,5113.069259999999,Yes
XMI,K2O,0,Yes
QAT,N,0,Yes
QAT,P2O5,0,Yes
QAT,K2O,0,Yes
KOR,N,0,Yes
KOR,P2O5,0,Yes
KOR,K2O,0,Yes
MDA,N,0,Yes
MDA,P2O5,0,Yes
MDA,K2O,0,Yes
ROU,N,59565.80299999999,Yes
ROU,P2O5,12745.089,Yes
ROU,K2O,6194.892,Yes
RUS,N,98331.675,Yes
RUS,P2O5,10617.3,Yes
RUS,K2O,10367.587999999996,Yes
RWA,N,0,Yes
RWA,P2O5,0,Yes
RWA,K2O,0,Yes
KNA,N,0,Yes
KNA,P2O5,0,Yes
KNA,K2O,0,Yes
LCA,N,0,Yes
LCA,P2O5,0,Yes
LCA,K2O,0,Yes
WSM,N,0,Yes
WSM,P2O5,0,Yes
WSM,K2O,0,Yes
SAU,N,0,Yes
SAU,P2O5,0,Yes
SAU,K2O,0,Yes
SEN,N,0,Yes
SEN,P2O5,0,Yes
SEN,K2O,0,Yes
XKO,N,0,Yes
XKO,P2O5,0,Yes
XKO,K2O,0,Yes
SYC,N,0,Yes
SYC,P2O5,0,Yes
SYC,K2O,0,Yes
SGP,N,0,Yes
SGP,P2O5,0,Yes
SGP,K2O,0,Yes
SVK,N,21199.618949999996,Yes
SVK,P2O5,2343.96962,Yes
SVK,K2O,2510.0899799999997,Yes
SVN,N,4685.51643,Yes
SVN,P2O5,922.40472,Yes
SVN,K2O,1570.93606,Yes
ZAF,N,25380,Yes
ZAF,P2O5,18492,Yes
ZAF,K2O,5168,Yes
ESP,N,186722.533,Yes
ESP,P2O5,44081.652,Yes
ESP,K2O,55327.31799999999,Yes
LKA,N,0,Yes
LKA,P2O5,0,Yes
LKA,K2O,0,Yes
SDN,N,0,Yes
SDN,P2O5,0,Yes
SDN,K2O,0,Yes
SUR,N,0,Yes
SUR,P2O5,0,Yes
SUR,K2O,0,Yes
SWE,N,34333.51945,Yes
SWE,P2O5,3328.4186400000003,Yes
SWE,K2O,5224.321999999999,Yes
CHE,N,0,Yes
CHE,P2O5,0,Yes
CHE,K2O,0,Yes
SYR,N,0,Yes
SYR,P2O5,0,Yes
SYR,K2O,0,Yes
TJK,N,0,Yes
TJK,P2O5,0,Yes
TJK,K2O,0,Yes
THA,N,0,Yes
THA,P2O5,0,Yes
THA,K2O,0,Yes
TGO,N,0,Yes
TGO,P2O5,0,Yes
TGO,K2O,0,Yes
TON,N,0,Yes
TON,P2O5,0,Yes
TON,K2O,0,Yes
TTO,N,0,Yes
TTO,P2O5,0,Yes
TTO,K2O,0,Yes
TUN,N,0,Yes
TUN,P2O5,0,Yes
TUN,K2O,0,Yes
TUR,N,0,Yes
TUR,P2O5,0,Yes
TUR,K2O,0,Yes
UGA,N,0,Yes
UGA,P2O5,0,Yes
UGA,K2O,0,Yes
UKR,N,27306.2,Yes
UKR,P2O5,7268.6,Yes
UKR,K2O,5986.8,Yes
ARE,N,0,Yes
ARE,P2O5,0,Yes
ARE,K2O,0,Yes
GGY,N,0,Yes
GBR,N,180093,Yes
GGY,P2O5,0,Yes
GBR,P2O5,19695,Yes
GGY,K2O,0,Yes
GBR,K2O,39192,Yes
TZA,N,0,Yes
TZA,P2O5,0,Yes
TZA,K2O,0,Yes
USA,N,1330290.55866,Yes
USA,P2O5,166939.58800000002,Yes
USA,K2O,331422.82204000006,Yes
URY,N,0,Yes
URY,P2O5,0,Yes
URY,K2O,0,Yes
UZB,N,14426.32,Yes
UZB,P2O5,4516.52,Yes
UZB,K2O,1151.28,Yes
VEN,N,0,Yes
VEN,P2O5,0,Yes
VEN,K2O,0,Yes
VNM,N,0,Yes
VNM,P2O5,0,Yes
VNM,K2O,0,Yes
YEM,N,0,Yes
YEM,P2O5,0,Yes
YEM,K2O,0,Yes
ZMB,N,0,Yes
ZMB,P2O5,0,Yes
ZMB,K2O,0,Yes
ZWE,N,0,Yes
ZWE,P2O5,0,Yes
ZWE,K2O,0,Yes
SRB,N,0,Yes
SRB,P2O5,0,Yes
SRB,K2O,0,Yes
