Country,Element,Item,combo,product,animal,Unit,Value
Algeria,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,390000
Algeria,Production,"Meat, camel",camel-meat,meat,camel,tonnes,6090
Algeria,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,166291
Algeria,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,276014
Algeria,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,276014
Algeria,Production,"Meat, goat",goat-meat,meat,goat,tonnes,19041
Algeria,Production,"Meat, horse",horse-meat,meat,horse,tonnes,360
Algeria,Production,"Meat, pig",pig-meat,meat,pig,tonnes,114
Algeria,Producing Animals/Slaughtered,"Meat, rabbit",rabbit-meat,meat,rabbit,1000 Head,8406
Algeria,Production,"Meat, rabbit",rabbit-meat,meat,rabbit,tonnes,8406
Algeria,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,325114
Algeria,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,6627
Algeria,Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,21450
Algeria,Production,"Milk, whole fresh camel",camel-milk,milk,camel,tonnes,13936
Algeria,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,2666000
Algeria,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,399830
Algeria,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,515828
American Samoa,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,9
American Samoa,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,35
American Samoa,Production,Meat nes,nes-meat,meat,nes,tonnes,NA
American Samoa,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,4
American Samoa,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,31
American Samoa,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,25
American Samoa,Production,"Meat, pig",pig-meat,meat,pig,tonnes,315
American Samoa,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,33
Angola,Production,Beeswax,bee-beeswax,beeswax,bee,tonnes,2311
Angola,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,920
Angola,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,5250
Angola,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,104539
Angola,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,29857
Angola,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,26871
Angola,Production,"Meat, game",game-meat,meat,game,tonnes,9380
Angola,Production,"Meat, goat",goat-meat,meat,goat,tonnes,20174
Angola,Production,"Meat, pig",pig-meat,meat,pig,tonnes,97882
Angola,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,4274
Angola,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,215953
Antigua and Barbuda,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,60
Antigua and Barbuda,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,280
Antigua and Barbuda,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,150
Antigua and Barbuda,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,80
Antigua and Barbuda,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,96
Antigua and Barbuda,Production,"Meat, goat",goat-meat,meat,goat,tonnes,13
Antigua and Barbuda,Production,"Meat, pig",pig-meat,meat,pig,tonnes,89
Antigua and Barbuda,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,11
Antigua and Barbuda,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,3100
Argentina,Production,Beeswax,bee-beeswax,beeswax,bee,tonnes,4902
Argentina,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,44000
Argentina,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,813000
Argentina,Production,Meat nes,nes-meat,meat,nes,tonnes,115
Argentina,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,2842000
Argentina,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,722119
Argentina,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,2116000
Argentina,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,3648
Argentina,Production,"Meat, duck",duck-meat,meat,duck,tonnes,9485
Argentina,Production,"Meat, game",game-meat,meat,game,tonnes,50000
Argentina,Production,"Meat, goat",goat-meat,meat,goat,tonnes,7237
Argentina,Producing Animals/Slaughtered,"Meat, goose and guinea fowl",goose and guinea-meat,meat,goose and guinea,1000 Head,190
Argentina,Production,"Meat, goose and guinea fowl",goose and guinea-meat,meat,goose and guinea,tonnes,570
Argentina,Production,"Meat, horse",horse-meat,meat,horse,tonnes,20393
Argentina,Production,"Meat, pig",pig-meat,meat,pig,tonnes,566276
Argentina,Producing Animals/Slaughtered,"Meat, rabbit",rabbit-meat,meat,rabbit,1000 Head,583
Argentina,Production,"Meat, rabbit",rabbit-meat,meat,rabbit,tonnes,1100
Argentina,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,50616
Argentina,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,6981
Argentina,Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,35604
Argentina,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,10097500
Armenia,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,2689
Armenia,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,34150
Armenia,Production,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,tonnes,420
Armenia,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,70800
Armenia,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,8058
Armenia,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,10600
Armenia,Production,"Meat, goat",goat-meat,meat,goat,tonnes,47
Armenia,Production,"Meat, pig",pig-meat,meat,pig,tonnes,16600
Armenia,Producing Animals/Slaughtered,"Meat, rabbit",rabbit-meat,meat,rabbit,1000 Head,NA
Armenia,Production,"Meat, rabbit",rabbit-meat,meat,rabbit,tonnes,NA
Armenia,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,11000
Armenia,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,693800
Armenia,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,4300
Armenia,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,60100
Australia,Production,Beeswax,bee-beeswax,beeswax,bee,tonnes,280
Australia,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,16029
Australia,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,247579
Australia,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,2048517
Australia,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,652680
Australia,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,1229505
Australia,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,9223
Australia,Production,"Meat, duck",duck-meat,meat,duck,tonnes,19510
Australia,Production,"Meat, goat",goat-meat,meat,goat,tonnes,33000
Australia,Production,"Meat, horse",horse-meat,meat,horse,tonnes,25034
Australia,Production,"Meat, pig",pig-meat,meat,pig,tonnes,397139
Australia,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,669604
Australia,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,6320
Australia,Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,22120
Australia,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,9331500
Austria,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,7348
Austria,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,124728
Austria,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,226859
Austria,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,88700
Austria,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,127200
Austria,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,55
Austria,Production,"Meat, duck",duck-meat,meat,duck,tonnes,140
Austria,Production,"Meat, game",game-meat,meat,game,tonnes,6700
Austria,Production,"Meat, goat",goat-meat,meat,goat,tonnes,552
Austria,Producing Animals/Slaughtered,"Meat, goose and guinea fowl",goose and guinea-meat,meat,goose and guinea,1000 Head,121
Austria,Production,"Meat, goose and guinea fowl",goose and guinea-meat,meat,goose and guinea,tonnes,510
Austria,Production,"Meat, horse",horse-meat,meat,horse,tonnes,110
Austria,Production,"Meat, pig",pig-meat,meat,pig,tonnes,508494
Austria,Producing Animals/Slaughtered,"Meat, rabbit",rabbit-meat,meat,rabbit,1000 Head,130
Austria,Production,"Meat, rabbit",rabbit-meat,meat,rabbit,tonnes,346
Austria,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,6011
Austria,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,1910
Austria,Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,20100
Austria,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,3712727
Austria,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,23075
Austria,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,11982
Azerbaijan,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,15646
Azerbaijan,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,102842
Azerbaijan,Production,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,tonnes,200
Azerbaijan,Production,Meat nes,nes-meat,meat,nes,tonnes,NA
Azerbaijan,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,132902
Azerbaijan,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,88500
Azerbaijan,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,104362
Azerbaijan,Production,"Meat, pig",pig-meat,meat,pig,tonnes,471
Azerbaijan,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,79092
Azerbaijan,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,1985063
Azerbaijan,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,6125
Azerbaijan,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,32955
Bahamas,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,109
Bahamas,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,818
Bahamas,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,17
Bahamas,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,5837
Bahamas,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,7029
Bahamas,Production,"Meat, goat",goat-meat,meat,goat,tonnes,74
Bahamas,Production,"Meat, pig",pig-meat,meat,pig,tonnes,333
Bahamas,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,29
Bahamas,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,675
Bahamas,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,2116
Bahrain,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,274
Bahrain,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,2841
Bahrain,Production,"Meat, camel",camel-meat,meat,camel,tonnes,97
Bahrain,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,985
Bahrain,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,4222
Bahrain,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,6841
Bahrain,Production,"Meat, goat",goat-meat,meat,goat,tonnes,182
Bahrain,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,16283
Bahrain,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,13620
Bahrain,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,274
Bahrain,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,137
Bangladesh,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,192500
Bangladesh,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,491000
Bangladesh,Laying,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,1000 Head,57600
Bangladesh,Production,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,tonnes,201600
Bangladesh,Production,Meat nes,nes-meat,meat,nes,tonnes,17265
Bangladesh,Production,"Meat, buffalo",buffalo-meat,meat,buffalo,tonnes,6800
Bangladesh,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,197571
Bangladesh,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,277856
Bangladesh,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,194428
Bangladesh,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,53252
Bangladesh,Production,"Meat, duck",duck-meat,meat,duck,tonnes,53252
Bangladesh,Production,"Meat, goat",goat-meat,meat,goat,tonnes,221230
Bangladesh,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,4804
Bangladesh,Production,"Milk, whole fresh buffalo",buffalo-milk,milk,buffalo,tonnes,35562
Bangladesh,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,827372
Bangladesh,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,1114318
Bangladesh,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,28169
Barbados,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,872
Barbados,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,3367
Barbados,Laying,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,1000 Head,NA
Barbados,Production,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,tonnes,NA
Barbados,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,163
Barbados,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,9735
Barbados,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,15805
Barbados,Production,"Meat, goat",goat-meat,meat,goat,tonnes,31
Barbados,Production,"Meat, pig",pig-meat,meat,pig,tonnes,2519
Barbados,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,96
Barbados,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,39
Barbados,Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,127
Barbados,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,4862
Belarus,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,19400
Belarus,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,199315
Belarus,Production,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,tonnes,2300
Belarus,Production,Meat nes,nes-meat,meat,nes,tonnes,NA
Belarus,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,317300
Belarus,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,345254
Belarus,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,460000
Belarus,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,1215
Belarus,Production,"Meat, duck",duck-meat,meat,duck,tonnes,3000
Belarus,Production,"Meat, horse",horse-meat,meat,horse,tonnes,700
Belarus,Production,"Meat, pig",pig-meat,meat,pig,tonnes,399600
Belarus,Producing Animals/Slaughtered,"Meat, rabbit",rabbit-meat,meat,rabbit,1000 Head,569
Belarus,Production,"Meat, rabbit",rabbit-meat,meat,rabbit,tonnes,1269
Belarus,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,1400
Belarus,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,7304000
Belarus,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,16800
Belgium,Production,Beeswax,bee-beeswax,beeswax,bee,tonnes,40
Belgium,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,9749
Belgium,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,138320
Belgium,Production,Meat nes,nes-meat,meat,nes,tonnes,500
Belgium,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,281536
Belgium,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,300502
Belgium,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,455364
Belgium,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,42
Belgium,Production,"Meat, duck",duck-meat,meat,duck,tonnes,123
Belgium,Production,"Meat, goat",goat-meat,meat,goat,tonnes,284
Belgium,Production,"Meat, horse",horse-meat,meat,horse,tonnes,1772
Belgium,Production,"Meat, pig",pig-meat,meat,pig,tonnes,1044561
Belgium,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,2950
Belgium,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,775
Belgium,Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,7868
Belgium,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,4025417
Belgium,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,32865
Belize,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,654
Belize,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,2884
Belize,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,1483
Belize,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,11870
Belize,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,19646
Belize,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,11
Belize,Production,"Meat, duck",duck-meat,meat,duck,tonnes,15
Belize,Production,"Meat, goat",goat-meat,meat,goat,tonnes,1
Belize,Production,"Meat, pig",pig-meat,meat,pig,tonnes,1778
Belize,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,45
Belize,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,50
Belize,Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,317
Belize,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,4785
Benin,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,16694
Benin,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,15125
Benin,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,40800
Benin,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,25653
Benin,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,14109
Benin,Production,"Meat, game",game-meat,meat,game,tonnes,8901
Benin,Production,"Meat, goat",goat-meat,meat,goat,tonnes,6029
Benin,Production,"Meat, pig",pig-meat,meat,pig,tonnes,6480
Benin,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,3422
Benin,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,118903
Benin,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,26892
Bermuda,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,30
Bermuda,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,360
Bermuda,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,29
Bermuda,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,99
Bermuda,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,119
Bermuda,Production,"Meat, goat",goat-meat,meat,goat,tonnes,2
Bermuda,Production,"Meat, pig",pig-meat,meat,pig,tonnes,74
Bermuda,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,1415
Bhutan,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,970
Bhutan,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,5400
Bhutan,Production,"Meat, buffalo",buffalo-meat,meat,buffalo,tonnes,12
Bhutan,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,5047
Bhutan,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,1259
Bhutan,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,1571
Bhutan,Production,"Meat, goat",goat-meat,meat,goat,tonnes,170
Bhutan,Production,"Meat, pig",pig-meat,meat,pig,tonnes,1000
Bhutan,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,67
Bhutan,Production,"Milk, whole fresh buffalo",buffalo-milk,milk,buffalo,tonnes,290
Bhutan,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,190456
Bolivia (Plurinational State of),Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,24650
Bolivia (Plurinational State of),Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,115000
Bolivia (Plurinational State of),Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,260000
Bolivia (Plurinational State of),Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,202404
Bolivia (Plurinational State of),Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,504093
Bolivia (Plurinational State of),Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,754
Bolivia (Plurinational State of),Production,"Meat, duck",duck-meat,meat,duck,tonnes,754
Bolivia (Plurinational State of),Production,"Meat, goat",goat-meat,meat,goat,tonnes,7000
Bolivia (Plurinational State of),Production,"Meat, other camelids",other camelids-meat,meat,other camelids,tonnes,14917
Bolivia (Plurinational State of),Producing Animals/Slaughtered,"Meat, other rodents",other rodents-meat,meat,other rodents,1000 Head,17526
Bolivia (Plurinational State of),Production,"Meat, other rodents",other rodents-meat,meat,other rodents,tonnes,5258
Bolivia (Plurinational State of),Production,"Meat, pig",pig-meat,meat,pig,tonnes,106000
Bolivia (Plurinational State of),Producing Animals/Slaughtered,"Meat, rabbit",rabbit-meat,meat,rabbit,1000 Head,280
Bolivia (Plurinational State of),Production,"Meat, rabbit",rabbit-meat,meat,rabbit,tonnes,179
Bolivia (Plurinational State of),Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,22000
Bolivia (Plurinational State of),Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,299
Bolivia (Plurinational State of),Production,"Meat, turkey",turkey-meat,meat,turkey,tonnes,747
Bolivia (Plurinational State of),Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,543508
Bolivia (Plurinational State of),Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,29532
Bolivia (Plurinational State of),Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,35000
Bosnia and Herzegovina,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,3773
Bosnia and Herzegovina,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,22180
Bosnia and Herzegovina,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,15530
Bosnia and Herzegovina,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,39782
Bosnia and Herzegovina,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,60970
Bosnia and Herzegovina,Producing Animals/Slaughtered,"Meat, duck",duck-meat,meat,duck,1000 Head,NA
Bosnia and Herzegovina,Production,"Meat, duck",duck-meat,meat,duck,tonnes,NA
Bosnia and Herzegovina,Producing Animals/Slaughtered,"Meat, goose and guinea fowl",goose and guinea-meat,meat,goose and guinea,1000 Head,NA
Bosnia and Herzegovina,Production,"Meat, goose and guinea fowl",goose and guinea-meat,meat,goose and guinea,tonnes,NA
Bosnia and Herzegovina,Production,"Meat, pig",pig-meat,meat,pig,tonnes,8771
Bosnia and Herzegovina,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,1304
Bosnia and Herzegovina,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,7
Bosnia and Herzegovina,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,679714
Bosnia and Herzegovina,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,16611
Botswana,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,560
Botswana,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,2860
Botswana,Production,Meat nes,nes-meat,meat,nes,tonnes,734
Botswana,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,34000
Botswana,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,4293
Botswana,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,4600
Botswana,Production,"Meat, game",game-meat,meat,game,tonnes,26614
