country,iso3c,SPAM_super,imported
Angola,AGO,ocer,1000
Angola,AGO,oilp,202000
Angola,AGO,orts,0
Angola,AGO,plnt,0
Angola,AGO,pota,23000
Angola,AGO,rice,651000
Angola,AGO,sorg,0
Angola,AGO,soyb,108000
Angola,AGO,spis,1000
Angola,AGO,sugb,0
Angola,AGO,sugc,0
Angola,AGO,swpo,0
Angola,AGO,tnut,0
Angola,AGO,vege,122000
Angola,AGO,whea,1193000
Angola,AGO,xfru,37000
Angola,AGO,xmil,0
Angola,AGO,xoil,21000
Angola,AGO,xpul,66000
Angola,AGO,yams,0
Antigua and Barbuda,ATG,bana,2000
Antigua and Barbuda,ATG,barl,0
Antigua and Barbuda,ATG,cass,0
Antigua and Barbuda,ATG,cnut,0
Antigua and Barbuda,ATG,coco,0
Antigua and Barbuda,ATG,maiz,0
Antigua and Barbuda,ATG,ocer,0
Antigua and Barbuda,ATG,oilp,0
Antigua and Barbuda,ATG,orts,0
Antigua and Barbuda,ATG,plnt,0
Antigua and Barbuda,ATG,pota,2000
Antigua and Barbuda,ATG,rice,2000
Antigua and Barbuda,ATG,sorg,0
Antigua and Barbuda,ATG,soyb,1000
Antigua and Barbuda,ATG,spis,0
Antigua and Barbuda,ATG,sugc,0
Antigua and Barbuda,ATG,swpo,0
Antigua and Barbuda,ATG,tnut,0
Antigua and Barbuda,ATG,vege,5000
Antigua and Barbuda,ATG,whea,9000
Antigua and Barbuda,ATG,xfru,5000
Antigua and Barbuda,ATG,xmil,0
Antigua and Barbuda,ATG,xoil,1000
Antigua and Barbuda,ATG,xpul,0
Antigua and Barbuda,ATG,yams,0
Argentina,ARG,bana,488000
Argentina,ARG,barl,4000
Argentina,ARG,cass,10000
Argentina,ARG,cnut,7000
Argentina,ARG,coco,10000
Argentina,ARG,maiz,14000
Argentina,ARG,ocer,2000
Argentina,ARG,oilp,17000
Argentina,ARG,orts,0
Argentina,ARG,plnt,1000
Argentina,ARG,pota,50000
Argentina,ARG,rice,14000
Argentina,ARG,sorg,0
Argentina,ARG,soyb,1898000
Argentina,ARG,spis,5000
Argentina,ARG,sugb,0
Argentina,ARG,sugc,0
Argentina,ARG,swpo,2000
Argentina,ARG,tnut,5000
Argentina,ARG,vege,112000
Argentina,ARG,whea,13000
Argentina,ARG,xfru,197000
Argentina,ARG,xmil,0
Argentina,ARG,xoil,29000
Argentina,ARG,xpul,2000
Australia,AUS,bana,0
Australia,AUS,barl,11000
Australia,AUS,cass,12000
Australia,AUS,cnut,32000
Australia,AUS,coco,12000
Australia,AUS,maiz,37000
Australia,AUS,ocer,20000
Australia,AUS,oilp,145000
Australia,AUS,orts,4000
Australia,AUS,plnt,0
Australia,AUS,pota,154000
Australia,AUS,rice,267000
Australia,AUS,sorg,0
Australia,AUS,soyb,44000
Australia,AUS,spis,22000
Australia,AUS,sugb,0
Australia,AUS,sugc,0
Australia,AUS,swpo,0
Australia,AUS,tnut,48000
Australia,AUS,vege,390000
Australia,AUS,whea,260000
Australia,AUS,xfru,562000
Australia,AUS,xmil,1000
Australia,AUS,xoil,304000
Australia,AUS,xpul,16000
Australia,AUS,yams,1000
Austria,AUT,bana,129000
Austria,AUT,barl,284000
Austria,AUT,cass,0
Austria,AUT,cnut,14000
Austria,AUT,coco,11000
Austria,AUT,maiz,1090000
Austria,AUT,ocer,100000
Austria,AUT,oilp,35000
Austria,AUT,orts,0
Austria,AUT,plnt,0
Austria,AUT,pota,267000
Austria,AUT,rice,67000
Austria,AUT,sorg,2000
Austria,AUT,soyb,120000
Austria,AUT,spis,18000
Austria,AUT,sugb,0
Austria,AUT,sugc,0
Austria,AUT,swpo,3000
Austria,AUT,tnut,59000
Austria,AUT,vege,575000
Austria,AUT,whea,1479000
Austria,AUT,xfru,1283000
Austria,AUT,xmil,2000
Austria,AUT,xoil,861000
Austria,AUT,xpul,21000
Austria,AUT,yams,0
Bahamas,BHS,bana,2000
Bahamas,BHS,barl,3000
Bahamas,BHS,cass,0
Bahamas,BHS,cnut,0
Bahamas,BHS,coco,0
Bahamas,BHS,maiz,3000
Bahamas,BHS,ocer,2000
Bahamas,BHS,oilp,0
Bahamas,BHS,orts,0
Bahamas,BHS,plnt,0
Bahamas,BHS,pota,8000
Bahamas,BHS,rice,9000
Bahamas,BHS,sorg,0
Bahamas,BHS,soyb,2000
Bahamas,BHS,spis,1000
Bahamas,BHS,sugb,0
Bahamas,BHS,sugc,0
Bahamas,BHS,swpo,0
Bahamas,BHS,tnut,0
Bahamas,BHS,vege,12000
Bahamas,BHS,whea,16000
Bahamas,BHS,xfru,18000
Bahamas,BHS,xmil,0
Bahamas,BHS,xoil,3000
Bahamas,BHS,xpul,0
Bahamas,BHS,yams,0
Barbados,BRB,bana,3000
Barbados,BRB,barl,2000
Barbados,BRB,cass,0
Barbados,BRB,cnut,0
Barbados,BRB,coco,0
Barbados,BRB,maiz,30000
Barbados,BRB,ocer,2000
Barbados,BRB,oilp,1000
Barbados,BRB,orts,0
Barbados,BRB,plnt,1000
Barbados,BRB,pota,14000
Barbados,BRB,rice,6000
Barbados,BRB,sorg,0
Barbados,BRB,soyb,26000
Barbados,BRB,spis,0
Barbados,BRB,sugc,0
Barbados,BRB,swpo,0
Barbados,BRB,tnut,1000
Barbados,BRB,vege,12000
Barbados,BRB,whea,32000
Barbados,BRB,xfru,15000
Barbados,BRB,xmil,0
Barbados,BRB,xoil,5000
Barbados,BRB,xpul,0
Barbados,BRB,yams,0
Bangladesh,BGD,bana,0
Bangladesh,BGD,barl,0
Bangladesh,BGD,cass,185000
Bangladesh,BGD,cnut,121000
Bangladesh,BGD,coco,0
Bangladesh,BGD,maiz,1250000
Bangladesh,BGD,ocer,4000
Bangladesh,BGD,oilp,1497000
Bangladesh,BGD,orts,0
Bangladesh,BGD,plnt,0
Bangladesh,BGD,pota,18000
Bangladesh,BGD,rice,2729000
Bangladesh,BGD,sorg,3000
Bangladesh,BGD,soyb,1927000
Bangladesh,BGD,spis,115000
Bangladesh,BGD,sugb,0
Bangladesh,BGD,sugc,0
Bangladesh,BGD,swpo,0
Bangladesh,BGD,tnut,6000
Bangladesh,BGD,vege,275000
Bangladesh,BGD,whea,6808000
Bangladesh,BGD,xfru,483000
Bangladesh,BGD,xmil,0
Bangladesh,BGD,xoil,155000
Bangladesh,BGD,xpul,879000
Bangladesh,BGD,yams,0
Bolivia (Plurinational State of),BOL,bana,0
Bolivia (Plurinational State of),BOL,barl,56000
Bolivia (Plurinational State of),BOL,cass,23000
Bolivia (Plurinational State of),BOL,cnut,1000
Bolivia (Plurinational State of),BOL,coco,0
Bolivia (Plurinational State of),BOL,maiz,91000
Bolivia (Plurinational State of),BOL,ocer,2000
Bolivia (Plurinational State of),BOL,oilp,3000
Bolivia (Plurinational State of),BOL,orts,0
Bolivia (Plurinational State of),BOL,plnt,0
Bolivia (Plurinational State of),BOL,pota,42000
Bolivia (Plurinational State of),BOL,rice,33000
Bolivia (Plurinational State of),BOL,sorg,2000
Bolivia (Plurinational State of),BOL,soyb,12000
Bolivia (Plurinational State of),BOL,spis,2000
Bolivia (Plurinational State of),BOL,sugb,0
Bolivia (Plurinational State of),BOL,sugc,0
Bolivia (Plurinational State of),BOL,swpo,5000
Bolivia (Plurinational State of),BOL,tnut,1000
Bolivia (Plurinational State of),BOL,vege,35000
Bolivia (Plurinational State of),BOL,whea,640000
Bolivia (Plurinational State of),BOL,xfru,67000
Bolivia (Plurinational State of),BOL,xmil,0
Bolivia (Plurinational State of),BOL,xoil,8000
Bolivia (Plurinational State of),BOL,xpul,2000
Botswana,BWA,bana,1000
Botswana,BWA,barl,7000
Botswana,BWA,cass,0
Botswana,BWA,cnut,0
Botswana,BWA,coco,0
Botswana,BWA,maiz,189000
Botswana,BWA,ocer,3000
Botswana,BWA,oilp,1000
Botswana,BWA,orts,0
Botswana,BWA,plnt,6000
Botswana,BWA,pota,18000
Botswana,BWA,rice,37000
Botswana,BWA,sorg,10000
Botswana,BWA,soyb,4000
Botswana,BWA,spis,4000
Botswana,BWA,sugb,0
Botswana,BWA,sugc,0
Botswana,BWA,swpo,0
Botswana,BWA,tnut,0
Botswana,BWA,vege,36000
Botswana,BWA,whea,104000
Botswana,BWA,xfru,54000
Botswana,BWA,xmil,0
Botswana,BWA,xoil,24000
Botswana,BWA,xpul,1000
Botswana,BWA,yams,0
Brazil,BRA,bana,0
Brazil,BRA,barl,1614000
Brazil,BRA,cass,62000
Brazil,BRA,cnut,22000
Brazil,BRA,coco,61000
Brazil,BRA,maiz,1344000
Brazil,BRA,ocer,33000
Brazil,BRA,oilp,393000
Brazil,BRA,orts,0
Brazil,BRA,plnt,0
Brazil,BRA,pota,372000
Brazil,BRA,rice,1113000
Brazil,BRA,sorg,0
Brazil,BRA,soyb,312000
Brazil,BRA,spis,19000
Brazil,BRA,sugb,0
Brazil,BRA,sugc,0
Brazil,BRA,swpo,0
Brazil,BRA,tnut,38000
Brazil,BRA,vege,457000
Brazil,BRA,whea,6682000
Brazil,BRA,xfru,555000
Brazil,BRA,xmil,6000
Brazil,BRA,xoil,342000
Brazil,BRA,xpul,191000
Brazil,BRA,yams,0
Belize,BLZ,bana,0
Belize,BLZ,barl,3000
Belize,BLZ,cass,0
Belize,BLZ,cnut,0
Belize,BLZ,coco,0
Belize,BLZ,maiz,2000
Belize,BLZ,ocer,2000
Belize,BLZ,oilp,0
Belize,BLZ,orts,0
Belize,BLZ,plnt,0
Belize,BLZ,pota,4000
Belize,BLZ,rice,1000
Belize,BLZ,sorg,0
Belize,BLZ,soyb,1000
Belize,BLZ,spis,0
Belize,BLZ,sugc,0
Belize,BLZ,swpo,0
Belize,BLZ,tnut,0
Belize,BLZ,vege,5000
Belize,BLZ,whea,25000
Belize,BLZ,xfru,3000
Belize,BLZ,xmil,0
Belize,BLZ,xoil,10000
Belize,BLZ,xpul,0
Belize,BLZ,yams,0
Solomon Islands,SLB,bana,0
Solomon Islands,SLB,barl,1000
Solomon Islands,SLB,cass,0
Solomon Islands,SLB,cnut,0
Solomon Islands,SLB,coco,0
Solomon Islands,SLB,maiz,0
Solomon Islands,SLB,ocer,0
Solomon Islands,SLB,oilp,0
Solomon Islands,SLB,orts,0
Solomon Islands,SLB,pota,0
Solomon Islands,SLB,rice,64000
Solomon Islands,SLB,sorg,0
Solomon Islands,SLB,soyb,2000
Solomon Islands,SLB,spis,0
Solomon Islands,SLB,swpo,0
Solomon Islands,SLB,tnut,0
Solomon Islands,SLB,vege,2000
Solomon Islands,SLB,whea,20000
Solomon Islands,SLB,xfru,1000
Solomon Islands,SLB,xmil,0
Solomon Islands,SLB,xoil,1000
Solomon Islands,SLB,xpul,0
Solomon Islands,SLB,yams,0
Bulgaria,BGR,bana,38000
Bulgaria,BGR,barl,31000
Bulgaria,BGR,cass,0
Bulgaria,BGR,cnut,2000
Bulgaria,BGR,coco,13000
Bulgaria,BGR,maiz,361000
Bulgaria,BGR,ocer,6000
Bulgaria,BGR,oilp,50000
Bulgaria,BGR,orts,0
Bulgaria,BGR,plnt,8000
Bulgaria,BGR,pota,74000
Bulgaria,BGR,rice,39000
Bulgaria,BGR,sorg,0
Bulgaria,BGR,soyb,18000
Bulgaria,BGR,spis,6000
Bulgaria,BGR,sugb,0
Bulgaria,BGR,sugc,0
Bulgaria,BGR,swpo,1000
Bulgaria,BGR,tnut,9000
Bulgaria,BGR,vege,286000
Bulgaria,BGR,whea,147000
Bulgaria,BGR,xfru,263000
Bulgaria,BGR,xmil,2000
Bulgaria,BGR,xoil,327000
Bulgaria,BGR,xpul,26000
Bulgaria,BGR,yams,0
Myanmar,MMR,bana,0
Myanmar,MMR,barl,540000
Myanmar,MMR,cass,1000
Myanmar,MMR,cnut,0
Myanmar,MMR,coco,0
Myanmar,MMR,maiz,10000
Myanmar,MMR,ocer,0
Myanmar,MMR,oilp,197000
Myanmar,MMR,orts,0
Myanmar,MMR,plnt,0
Myanmar,MMR,pota,5000
Myanmar,MMR,rice,12000
Myanmar,MMR,sorg,0
Myanmar,MMR,soyb,19000
Myanmar,MMR,spis,7000
Myanmar,MMR,sugc,0
Myanmar,MMR,swpo,0
Myanmar,MMR,tnut,1000
Myanmar,MMR,vege,19000
Myanmar,MMR,whea,163000
Myanmar,MMR,xfru,138000
Myanmar,MMR,xmil,0
Myanmar,MMR,xoil,624000
Myanmar,MMR,xpul,118000
Myanmar,MMR,yams,0
Cameroon,CMR,bana,0
Cameroon,CMR,barl,1000
Cameroon,CMR,cass,0
Cameroon,CMR,cnut,1000
Cameroon,CMR,coco,0
Cameroon,CMR,maiz,75000
Cameroon,CMR,ocer,3000
Cameroon,CMR,oilp,58000
Cameroon,CMR,orts,0
Cameroon,CMR,plnt,0
Cameroon,CMR,pota,1000
Cameroon,CMR,rice,1064000
Cameroon,CMR,sorg,15000
Cameroon,CMR,soyb,0
Cameroon,CMR,spis,0
Cameroon,CMR,sugb,0
Cameroon,CMR,sugc,0
Cameroon,CMR,swpo,0
Cameroon,CMR,tnut,0
Cameroon,CMR,vege,19000
Cameroon,CMR,whea,697000
Cameroon,CMR,xfru,9000
Cameroon,CMR,xmil,0
Cameroon,CMR,xoil,0
Cameroon,CMR,xpul,7000
Cameroon,CMR,yams,0
Canada,CAN,bana,579000
Canada,CAN,barl,201000
Canada,CAN,cass,18000
Canada,CAN,cnut,44000
Canada,CAN,coco,63000
Canada,CAN,maiz,1149000
Canada,CAN,ocer,63000
Canada,CAN,oilp,119000
Canada,CAN,orts,8000
Canada,CAN,plnt,19000
Canada,CAN,pota,309000
Canada,CAN,rice,531000
Canada,CAN,sorg,7000
Canada,CAN,soyb,565000
Canada,CAN,spis,47000
Canada,CAN,sugb,0
Canada,CAN,sugc,1000
Canada,CAN,swpo,66000
Canada,CAN,tnut,125000
Canada,CAN,vege,2770000
Canada,CAN,whea,1368000
Canada,CAN,xfru,2707000
Canada,CAN,xmil,13000
Canada,CAN,xoil,614000
Canada,CAN,xpul,283000
Canada,CAN,yams,20000
Cabo Verde,CPV,bana,0
Cabo Verde,CPV,barl,1000
Cabo Verde,CPV,cass,0
Cabo Verde,CPV,cnut,0
Cabo Verde,CPV,coco,0
Cabo Verde,CPV,maiz,32000
Cabo Verde,CPV,ocer,1000
Cabo Verde,CPV,oilp,0
Cabo Verde,CPV,orts,0
Cabo Verde,CPV,plnt,0
Cabo Verde,CPV,pota,10000
Cabo Verde,CPV,rice,53000
Cabo Verde,CPV,soyb,6000
Cabo Verde,CPV,spis,0
Cabo Verde,CPV,sugb,0
Cabo Verde,CPV,sugc,0
Cabo Verde,CPV,swpo,0
Cabo Verde,CPV,tnut,0
Cabo Verde,CPV,vege,11000
Cabo Verde,CPV,whea,30000
Cabo Verde,CPV,xfru,16000
Cabo Verde,CPV,xoil,3000
Cabo Verde,CPV,xpul,4000
Cabo Verde,CPV,yams,0
Central African Republic,CAF,bana,0
Central African Republic,CAF,barl,0
Central African Republic,CAF,cass,0
Central African Republic,CAF,cnut,0
Central African Republic,CAF,coco,0
Central African Republic,CAF,maiz,3000
Central African Republic,CAF,ocer,0
Central African Republic,CAF,oilp,9000
Central African Republic,CAF,orts,0
Central African Republic,CAF,plnt,0
Central African Republic,CAF,pota,1000
Central African Republic,CAF,rice,16000
Central African Republic,CAF,sorg,0
Central African Republic,CAF,soyb,0
Central African Republic,CAF,spis,0
Central African Republic,CAF,sugb,0
Central African Republic,CAF,sugc,0
Central African Republic,CAF,swpo,0
Central African Republic,CAF,tnut,0
Central African Republic,CAF,vege,2000
Central African Republic,CAF,whea,21000
Central African Republic,CAF,xfru,3000
Central African Republic,CAF,xmil,0
Central African Republic,CAF,xoil,0
Central African Republic,CAF,xpul,2000
Central African Republic,CAF,yams,0
Sri Lanka,LKA,bana,0
Sri Lanka,LKA,barl,13000
Sri Lanka,LKA,cass,26000
Sri Lanka,LKA,cnut,4000
Sri Lanka,LKA,coco,0
Sri Lanka,LKA,maiz,195000
Sri Lanka,LKA,ocer,10000
Sri Lanka,LKA,oilp,200000
Sri Lanka,LKA,orts,0
Sri Lanka,LKA,plnt,0
Sri Lanka,LKA,pota,161000
Sri Lanka,LKA,rice,1100000
Sri Lanka,LKA,sorg,0
Sri Lanka,LKA,soyb,3000
Sri Lanka,LKA,spis,81000
Sri Lanka,LKA,sugb,0
Sri Lanka,LKA,sugc,0
Sri Lanka,LKA,swpo,0
Sri Lanka,LKA,tnut,4000
Sri Lanka,LKA,vege,283000
Sri Lanka,LKA,whea,1259000
Sri Lanka,LKA,xfru,87000
Sri Lanka,LKA,xmil,4000
Sri Lanka,LKA,xoil,23000
Sri Lanka,LKA,xpul,267000
Chad,TCD,bana,0
Chad,TCD,barl,0
Chad,TCD,cass,0
Chad,TCD,cnut,0
Chad,TCD,coco,0
Chad,TCD,maiz,10000
Chad,TCD,ocer,0
Chad,TCD,oilp,1000
Chad,TCD,orts,0
Chad,TCD,plnt,0
Chad,TCD,pota,0
Chad,TCD,rice,23000
Chad,TCD,sorg,25000
Chad,TCD,soyb,0
Chad,TCD,spis,0
Chad,TCD,sugb,0
Chad,TCD,sugc,0
Chad,TCD,swpo,0
Chad,TCD,tnut,0
Chad,TCD,vege,0
Chad,TCD,whea,74000
Chad,TCD,xfru,2000
Chad,TCD,xmil,0
Chad,TCD,xoil,0
Chad,TCD,xpul,0
Chad,TCD,yams,0
Chile,CHL,bana,222000
Chile,CHL,barl,80000
Chile,CHL,cass,6000
Chile,CHL,cnut,2000
Chile,CHL,coco,3000
Chile,CHL,maiz,1639000
Chile,CHL,ocer,11000
Chile,CHL,oilp,31000
Chile,CHL,orts,0
Chile,CHL,plnt,12000
Chile,CHL,pota,126000
Chile,CHL,rice,241000
Chile,CHL,sorg,54000
Chile,CHL,soyb,205000
Chile,CHL,spis,5000
Chile,CHL,sugb,0
Chile,CHL,sugc,0
Chile,CHL,swpo,3000
Chile,CHL,tnut,6000
Chile,CHL,vege,117000
Chile,CHL,whea,1533000
Chile,CHL,xfru,118000
Chile,CHL,xmil,0
Chile,CHL,xoil,380000
Chile,CHL,xpul,51000
China,CHN,bana,1039000
China,CHN,barl,8870000
China,CHN,cass,36202000
China,CHN,cnut,572000
China,CHN,coco,50000
China,CHN,maiz,2832000
China,CHN,ocer,448000
China,CHN,oilp,5694000
China,CHN,orts,4000
China,CHN,plnt,0
China,CHN,pota,271000
China,CHN,rice,5932000
China,CHN,sorg,5056000
China,CHN,soyb,96191000
China,CHN,spis,14000
China,CHN,sugb,0
China,CHN,sugc,99000
China,CHN,swpo,0
China,CHN,tnut,193000
China,CHN,vege,350000
China,CHN,whea,4780000
China,CHN,xfru,3297000
China,CHN,xmil,0
China,CHN,xoil,8691000
China,CHN,xpul,1419000
China,CHN,yams,0
Colombia,COL,bana,6000
Colombia,COL,barl,308000
Colombia,COL,cass,38000
Colombia,COL,cnut,6000
Colombia,COL,coco,1000
Colombia,COL,maiz,4943000
Colombia,COL,ocer,69000
Colombia,COL,oilp,209000
Colombia,COL,orts,0
Colombia,COL,plnt,7000
Colombia,COL,pota,188000
Colombia,COL,rice,171000
Colombia,COL,sorg,0
Colombia,COL,soyb,892000
Colombia,COL,spis,4000
Colombia,COL,sugb,0
Colombia,COL,sugc,0
Colombia,COL,swpo,0
Colombia,COL,tnut,5000
Colombia,COL,vege,163000
Colombia,COL,whea,1946000
Colombia,COL,xfru,243000
Colombia,COL,xmil,1000
Colombia,COL,xoil,128000
Colombia,COL,xpul,135000
Colombia,COL,yams,0
Congo,COG,bana,0
Congo,COG,barl,0
Congo,COG,cass,0
Congo,COG,cnut,0
Congo,COG,coco,0
Congo,COG,maiz,7000
Congo,COG,ocer,1000
Congo,COG,oilp,66000
Congo,COG,orts,0
Congo,COG,plnt,0
Congo,COG,pota,3000
Congo,COG,rice,274000
Congo,COG,sorg,0
Congo,COG,soyb,2000
Congo,COG,spis,0
Congo,COG,sugb,0
Congo,COG,sugc,0
Congo,COG,swpo,0
Congo,COG,tnut,0
Congo,COG,vege,33000
Congo,COG,whea,255000
Congo,COG,xfru,2000
Congo,COG,xmil,0
Congo,COG,xoil,3000
Congo,COG,xpul,6000
Congo,COG,yams,0
Costa Rica,CRI,bana,7000
Costa Rica,CRI,barl,24000
Costa Rica,CRI,cass,1000
Costa Rica,CRI,cnut,2000
Costa Rica,CRI,coco,0
Costa Rica,CRI,maiz,879000
Costa Rica,CRI,ocer,7000
Costa Rica,CRI,oilp,63000
Costa Rica,CRI,orts,0
Costa Rica,CRI,plnt,1000
Costa Rica,CRI,pota,33000
Costa Rica,CRI,rice,199000
Costa Rica,CRI,sorg,0
Costa Rica,CRI,soyb,324000
Costa Rica,CRI,spis,2000
Costa Rica,CRI,sugb,0
Costa Rica,CRI,sugc,0
Costa Rica,CRI,swpo,0
Costa Rica,CRI,tnut,3000
Costa Rica,CRI,vege,74000
Costa Rica,CRI,whea,348000
Costa Rica,CRI,xfru,219000
Costa Rica,CRI,xmil,0
Costa Rica,CRI,xoil,34000
Costa Rica,CRI,xpul,54000
Costa Rica,CRI,yams,0
Cuba,CUB,bana,0
Cuba,CUB,barl,29000
Cuba,CUB,cass,0
Cuba,CUB,cnut,0
Cuba,CUB,coco,0
Cuba,CUB,maiz,971000
Cuba,CUB,ocer,2000
Cuba,CUB,oilp,4000
Cuba,CUB,orts,0
Cuba,CUB,plnt,0
Cuba,CUB,pota,20000
Cuba,CUB,rice,629000
Cuba,CUB,sorg,0
Cuba,CUB,soyb,177000
Cuba,CUB,spis,2000
Cuba,CUB,sugc,0
Cuba,CUB,swpo,0
Cuba,CUB,tnut,0
Cuba,CUB,vege,14000
Cuba,CUB,whea,863000
Cuba,CUB,xfru,25000
Cuba,CUB,xmil,0
Cuba,CUB,xoil,325000
Cuba,CUB,xpul,100000
Cuba,CUB,yams,0
Cyprus,CYP,bana,5000
Cyprus,CYP,barl,193000
Cyprus,CYP,cass,0
Cyprus,CYP,cnut,0
Cyprus,CYP,coco,0
Cyprus,CYP,maiz,238000
Cyprus,CYP,ocer,3000
Cyprus,CYP,oilp,1000
Cyprus,CYP,orts,0
Cyprus,CYP,plnt,1000
Cyprus,CYP,pota,22000
Cyprus,CYP,rice,8000
Cyprus,CYP,sorg,0
Cyprus,CYP,soyb,4000
Cyprus,CYP,spis,1000
Cyprus,CYP,sugc,0
Cyprus,CYP,swpo,0
Cyprus,CYP,tnut,4000
Cyprus,CYP,vege,38000
Cyprus,CYP,whea,157000
Cyprus,CYP,xfru,55000
Cyprus,CYP,xmil,0
Cyprus,CYP,xoil,29000
Cyprus,CYP,xpul,3000
Azerbaijan,AZE,bana,14000
Azerbaijan,AZE,barl,59000
Azerbaijan,AZE,cass,0
Azerbaijan,AZE,cnut,0
Azerbaijan,AZE,coco,0
Azerbaijan,AZE,maiz,117000
Azerbaijan,AZE,ocer,13000
Azerbaijan,AZE,oilp,53000
Azerbaijan,AZE,orts,0
Azerbaijan,AZE,plnt,0
Azerbaijan,AZE,pota,170000
Azerbaijan,AZE,rice,11000
Azerbaijan,AZE,sorg,0
Azerbaijan,AZE,soyb,18000
Azerbaijan,AZE,spis,1000
Azerbaijan,AZE,sugb,0
Azerbaijan,AZE,sugc,0
Azerbaijan,AZE,swpo,0
Azerbaijan,AZE,tnut,8000
Azerbaijan,AZE,vege,39000
Azerbaijan,AZE,whea,1335000
Azerbaijan,AZE,xfru,65000
Azerbaijan,AZE,xmil,6000
Azerbaijan,AZE,xoil,79000
Azerbaijan,AZE,xpul,10000
Benin,BEN,bana,0
Benin,BEN,barl,11000
Benin,BEN,cass,0
Benin,BEN,cnut,6000
Benin,BEN,coco,0
Benin,BEN,maiz,1000
Benin,BEN,ocer,7000
Benin,BEN,oilp,225000
Benin,BEN,orts,0
Benin,BEN,pota,5000
Benin,BEN,rice,2682000
Benin,BEN,sorg,0
Benin,BEN,soyb,1000
Benin,BEN,spis,0
Benin,BEN,sugc,0
Benin,BEN,swpo,0
Benin,BEN,tnut,0
Benin,BEN,vege,25000
Benin,BEN,whea,210000
Benin,BEN,xfru,32000
Benin,BEN,xmil,0
Benin,BEN,xoil,40000
Benin,BEN,xpul,1000
Benin,BEN,yams,0
Denmark,DNK,bana,82000
Denmark,DNK,barl,73000
Denmark,DNK,cass,0
Denmark,DNK,cnut,7000
Denmark,DNK,coco,3000
Denmark,DNK,maiz,210000
Denmark,DNK,ocer,110000
Denmark,DNK,oilp,197000
Denmark,DNK,orts,0
Denmark,DNK,plnt,1000
Denmark,DNK,pota,196000
Denmark,DNK,rice,52000
Denmark,DNK,sorg,1000
Denmark,DNK,soyb,94000
