"Taxonkey","TaxonName","CommonName","Gear","GearName","Descript","bycatch","destruction","type"
690404,"Venus (=Chamelea) gallina","Striped venus",830,"dredges","demersal mollusc","high","destructive","demersal"
100038,"Sharks rays chimaeras","Sharks rays skates etc",840,"bottom trawls","rays <90 cm","high","destructive","demersal"
100039,"Marine fishes not identified","Marine fishes",1400,"gillnets","demersal <30 cm","high","non-destructive","demersal"
100047,"Miscellaneous marine crustaceans","Marine crustaceans",500,"traps","lobsters crab","high","non-destructive","demersal"
600142,"Thunnus alalunga","Albacore",850,"mid-water trawls","pelagic >=90 cm","high","non-destructive","pelagic"
600107,"Katsuwonus pelamis","Skipjack tuna",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600107,"Katsuwonus pelamis","Skipjack tuna",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600107,"Katsuwonus pelamis","Skipjack tuna",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
500327,"Macrourus","Grenadiers",850,"mid-water trawls","benthopelagic >=90 cm","high","non-destructive","demersal"
500327,"Macrourus","Grenadiers",420,"with gorges or hooks","benthopelagic >=90 cm","low","non-destructive","demersal"
500327,"Macrourus","Grenadiers",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
1e+05,"Marine animals","Marine animals",1400,"gillnets","demersal <30 cm","high","non-destructive","demersal"
400015,"Squatinidae","Angel sharks",1400,"gillnets","shark >=90 cm","high","non-destructive","demersal"
400218,"Atherinidae","Silversides",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
400218,"Atherinidae","Silversides",1020,"purse seines","pelagic <30 cm","low","non-destructive","pelagic"
400218,"Atherinidae","Silversides",563,"pound nets","pelagic <30 cm","low","non-destructive","pelagic"
400218,"Atherinidae","Silversides",1010,"lampara-like nets","pelagic <30 cm","low","non-destructive","pelagic"
400218,"Atherinidae","Silversides",1410,"set gillnets","pelagic <30 cm","high","non-destructive","pelagic"
400331,"Sciaenidae","Drums or croakers",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
400359,"Mugilidae","Mullets",1400,"gillnets","demersal 30 - 90 cm","high","non-destructive","demersal"
400581,"Peristediidae","Armored searobins or armored gurnards",420,"with gorges or hooks","bathydemersal <30 cm","low","non-destructive","demersal"
400581,"Peristediidae","Armored searobins or armored gurnards",840,"bottom trawls","bathydemersal <30 cm","high","destructive","demersal"
400581,"Peristediidae","Armored searobins or armored gurnards",1400,"gillnets","bathydemersal <30 cm","high","non-destructive","demersal"
500112,"Lophius","Monkfishes",1400,"gillnets","bathydemersal >=90 cm","high","non-destructive","demersal"
500112,"Lophius","Monkfishes",840,"bottom trawls","bathydemersal >=90 cm","high","destructive","demersal"
500112,"Lophius","Monkfishes",1500,"tangle nets","bathydemersal >=90 cm","high","non-destructive","demersal"
500142,"Scomber","Mackerels",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
500142,"Scomber","Mackerels",850,"mid-water trawls","pelagic 30 - 90 cm","high","non-destructive","pelagic"
500142,"Scomber","Mackerels",922,"boat seines","pelagic 30 - 90 cm","high","non-destructive","pelagic"
500143,"Mullus","Western goatfishes",1400,"gillnets","demersal 30 - 90 cm","high","non-destructive","demersal"
500348,"Mustelus","Smooth-hounds",1400,"gillnets","shark >=90 cm","high","non-destructive","demersal"
500348,"Mustelus","Smooth-hounds",420,"with gorges or hooks","shark >=90 cm","low","non-destructive","demersal"
500348,"Mustelus","Smooth-hounds",840,"bottom trawls","shark >=90 cm","high","destructive","demersal"
300014,"Rajiformes","Skates and rays",840,"bottom trawls","rays <90 cm","high","destructive","demersal"
300028,"Clupeiformes","Herrings",1020,"purse seines","pelagic <30 cm","low","non-destructive","pelagic"
300028,"Clupeiformes","Herrings",1010,"lampara-like nets","pelagic <30 cm","low","non-destructive","pelagic"
300028,"Clupeiformes","Herrings",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
600223,"Tetrapturus audax","Striped marlin",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
590051,"Strombus","Stromboid conchs",830,"dredges","demersal mollusc","high","destructive","demersal"
590051,"Strombus","Stromboid conchs",100,"without gear","demersal mollusc","low","non-destructive","demersal"
590051,"Strombus","Stromboid conchs",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
590244,"Scyllarides","Scyllarides",500,"traps","lobsters crab","high","non-destructive","demersal"
600006,"Coryphaena hippurus","Common dolphinfish",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
600006,"Coryphaena hippurus","Common dolphinfish",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
690071,"Panulirus argus","Caribbean spiny lobster",500,"traps","lobsters crab","high","non-destructive","demersal"
100039,"Marine fishes not identified","Marine fishes",840,"bottom trawls","demersal <30 cm","high","destructive","demersal"
502794,"Cynoscion","Weakfishes",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
509366,"Trematomus","Antarctic rockcods",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
690674,"Zidona dufresnei","Angulate volute",830,"dredges","demersal mollusc","high","destructive","demersal"
690674,"Zidona dufresnei","Angulate volute",120,"by diving","demersal mollusc","low","non-destructive","demersal"
690674,"Zidona dufresnei","Angulate volute",213,"raking devices","demersal mollusc","high","destructive","demersal"
690674,"Zidona dufresnei","Angulate volute",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
690686,"Zygochlamys patagonica","Patagonean scallop",830,"dredges","demersal mollusc","high","destructive","demersal"
690686,"Zygochlamys patagonica","Patagonean scallop",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
690686,"Zygochlamys patagonica","Patagonean scallop",120,"by diving","demersal mollusc","low","non-destructive","demersal"
690686,"Zygochlamys patagonica","Patagonean scallop",213,"raking devices","demersal mollusc","high","destructive","demersal"
600143,"Thunnus albacares","Yellowfin tuna",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600143,"Thunnus albacares","Yellowfin tuna",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
500366,"Epinephelus","Groupers",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
500661,"Trachurus","Jack and horse mackerels",850,"mid-water trawls","pelagic 30 - 90 cm","high","non-destructive","pelagic"
400323,"Lutjanidae","Snappers",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
400323,"Lutjanidae","Snappers",421,"handlines","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
400323,"Lutjanidae","Snappers",1400,"gillnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
400323,"Lutjanidae","Snappers",500,"traps","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
390007,"Octopoda","Octopuses",433,"squid hooks","cephalopods","low","non-destructive","pelagic"
390007,"Octopoda","Octopuses",840,"bottom trawls","cephalopods","high","destructive","pelagic"
600076,"Helicolenus dactylopterus dactylopterus","Blackbelly rosefish",1400,"gillnets","bathydemersal 30 - 90 cm","high","non-destructive","demersal"
600115,"Sarda sarda","Atlantic bonito",1020,"purse seines","pelagic >=90 cm","low","non-destructive","pelagic"
600115,"Sarda sarda","Atlantic bonito",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
600115,"Sarda sarda","Atlantic bonito",900,"seine nets","pelagic >=90 cm","high","non-destructive","pelagic"
400328,"Lethrinidae","Emperors or scavengers",421,"handlines","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
400328,"Lethrinidae","Emperors or scavengers",1400,"gillnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
400364,"Scaridae","Parrotfishes",500,"traps","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
400412,"Acanthuridae","Surgeonfishes tangs unicornfishes",1400,"gillnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
500372,"Sphyraena","Barracudas",424,"troll lines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
500638,"Isurus","Mako sharks",420,"with gorges or hooks","shark >=90 cm","low","non-destructive","demersal"
500639,"Alopias","Thresher sharks",1400,"gillnets","shark >=90 cm","high","non-destructive","demersal"
600006,"Coryphaena hippurus","Common dolphinfish",1000,"surrounding nets","pelagic >=90 cm","low","non-destructive","pelagic"
600077,"Istiophorus platypterus","Indo-Pacific sailfish",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
501940,"Sardinella","Sardinella",850,"mid-water trawls","pelagic 30 - 90 cm","high","non-destructive","pelagic"
590010,"Loligo","Common squids",1020,"purse seines","cephalopods","low","non-destructive","pelagic"
590010,"Loligo","Common squids",433,"squid hooks","cephalopods","low","non-destructive","pelagic"
590010,"Loligo","Common squids",840,"bottom trawls","cephalopods","high","destructive","pelagic"
590010,"Loligo","Common squids",850,"mid-water trawls","cephalopods","high","non-destructive","pelagic"
590082,"Palinurus","Spiny lobsters",500,"traps","lobsters crab","high","non-destructive","demersal"
600029,"Merlangius merlangus","Whiting",840,"bottom trawls","benthopelagic 30 - 90 cm","high","destructive","demersal"
600029,"Merlangius merlangus","Whiting",900,"seine nets","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
400013,"Squalidae","Dogfish sharks",840,"bottom trawls","shark >=90 cm","high","destructive","demersal"
400264,"Scorpaenidae","Scorpionfishes or rockfishes",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
400264,"Scorpaenidae","Scorpionfishes or rockfishes",1400,"gillnets","demersal 30 - 90 cm","high","non-destructive","demersal"
400264,"Scorpaenidae","Scorpionfishes or rockfishes",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600115,"Sarda sarda","Atlantic bonito",1420,"driftnets","pelagic >=90 cm","high","non-destructive","pelagic"
500661,"Trachurus","Jack and horse mackerels",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
500661,"Trachurus","Jack and horse mackerels",922,"boat seines","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600118,"Scomber scombrus","Atlantic mackerel",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600118,"Scomber scombrus","Atlantic mackerel",500,"traps","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600118,"Scomber scombrus","Atlantic mackerel",900,"seine nets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600118,"Scomber scombrus","Atlantic mackerel",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600118,"Scomber scombrus","Atlantic mackerel",421,"handlines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
100039,"Marine fishes not identified","Marine fishes",421,"handlines","demersal <30 cm","low","non-destructive","demersal"
100538,"Sharks rays chimaeras","Various sharks",840,"bottom trawls","rays <90 cm","high","destructive","demersal"
600146,"Thunnus obesus","Bigeye tuna",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600146,"Thunnus obesus","Bigeye tuna",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600146,"Thunnus obesus","Bigeye tuna",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
500686,"Gaidropsarus","Rocklings",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
501145,"Pagellus","Pandoras",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
501145,"Pagellus","Pandoras",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
501145,"Pagellus","Pandoras",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
503124,"Lepidorhombus","Megrims",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
600030,"Merluccius merluccius","European hake",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
600030,"Merluccius merluccius","European hake",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
600030,"Merluccius merluccius","European hake",1400,"gillnets","demersal >=90 cm","high","non-destructive","demersal"
600030,"Merluccius merluccius","European hake",900,"seine nets","demersal >=90 cm","high","non-destructive","demersal"
600063,"Dicentrarchus labrax","European seabass",850,"mid-water trawls","demersal >=90 cm","high","non-destructive","demersal"
600063,"Dicentrarchus labrax","European seabass",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
600063,"Dicentrarchus labrax","European seabass",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
600066,"Engraulis encrasicolus","European anchovy",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
600066,"Engraulis encrasicolus","European anchovy",1020,"purse seines","pelagic <30 cm","low","non-destructive","pelagic"
600139,"Squalus acanthias","Piked dogfish",840,"bottom trawls","shark >=90 cm","high","destructive","demersal"
600147,"Thunnus thynnus","Atlantic bluefin tuna",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
600066,"Engraulis encrasicolus","European anchovy",1010,"lampara-like nets","pelagic <30 cm","low","non-destructive","pelagic"
600147,"Thunnus thynnus","Atlantic bluefin tuna",400,"Lines","pelagic >=90 cm","low","non-destructive","pelagic"
300003,"Chimaeriformes","Chimaeras",100,"without gear","rays >=90 cm","low","non-destructive","demersal"
300003,"Chimaeriformes","Chimaeras",840,"bottom trawls","rays >=90 cm","high","destructive","demersal"
600097,"Euthynnus alletteratus","Little tunny",900,"seine nets","pelagic >=90 cm","high","non-destructive","pelagic"
600108,"Orcynopsis unicolor","Plain bonito",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
600204,"Sarpa salpa","Salema",840,"bottom trawls","benthopelagic 30 - 90 cm","high","destructive","demersal"
600204,"Sarpa salpa","Salema",850,"mid-water trawls","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
600204,"Sarpa salpa","Salema",420,"with gorges or hooks","benthopelagic 30 - 90 cm","low","non-destructive","demersal"
601164,"Sparus aurata","Gilthead seabream",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
601164,"Sparus aurata","Gilthead seabream",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
690686,"Zygochlamys patagonica","Patagonean scallop",100,"without gear","demersal mollusc","low","non-destructive","demersal"
1e+05,"Marine animals","Marine animals",421,"handlines","demersal <30 cm","low","non-destructive","demersal"
100036,"Scombroids","Tunas bonitos billfishes",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
100036,"Scombroids","Tunas bonitos billfishes",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
100036,"Scombroids","Tunas bonitos billfishes",850,"mid-water trawls","pelagic >=90 cm","high","non-destructive","pelagic"
100036,"Scombroids","Tunas bonitos billfishes",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
100036,"Scombroids","Tunas bonitos billfishes",1420,"driftnets","pelagic >=90 cm","high","non-destructive","pelagic"
500814,"Scyliorhinus","Lesser catsharks",840,"bottom trawls","shark <90 cm","high","destructive","demersal"
500814,"Scyliorhinus","Lesser catsharks",1400,"gillnets","shark <90 cm","high","non-destructive","demersal"
500814,"Scyliorhinus","Lesser catsharks",420,"with gorges or hooks","shark <90 cm","low","non-destructive","demersal"
500903,"Pagrus","Seabreams (Pagrus spp)",850,"mid-water trawls","demersal >=90 cm","high","non-destructive","demersal"
500903,"Pagrus","Seabreams (Pagrus spp)",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
500903,"Pagrus","Seabreams (Pagrus spp)",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
501163,"Auxis","Frigate tuna",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
501163,"Auxis","Frigate tuna",424,"troll lines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
501163,"Auxis","Frigate tuna",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600146,"Thunnus obesus","Bigeye tuna",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
501940,"Sardinella","Sardinella",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
501940,"Sardinella","Sardinella",922,"boat seines","pelagic 30 - 90 cm","high","non-destructive","pelagic"
501940,"Sardinella","Sardinella",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
300028,"Clupeiformes","Herrings",1410,"set gillnets","pelagic <30 cm","high","non-destructive","pelagic"
300028,"Clupeiformes","Herrings",840,"bottom trawls","pelagic <30 cm","high","destructive","pelagic"
600143,"Thunnus albacares","Yellowfin tuna",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
400307,"Sillaginidae","Smelt-whitings",1540,"trammel nets","demersal 30 - 90 cm","high","non-destructive","demersal"
400307,"Sillaginidae","Smelt-whitings",921,"beach seines","demersal 30 - 90 cm","high","non-destructive","demersal"
600217,"Makaira indica","Black marlin",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
614290,"Thunnus orientalis","Pacific bluefin tuna",900,"seine nets","pelagic >=90 cm","high","non-destructive","pelagic"
400362,"Labridae","Wrasses",120,"by diving","reef-associated <30 cm","low","non-destructive","pelagic"
600117,"Scomber japonicus","Chub mackerel",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
400330,"Sparidae","Porgies",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
400330,"Sparidae","Porgies",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
400330,"Sparidae","Porgies",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
600143,"Thunnus albacares","Yellowfin tuna",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
300061,"Pleuronectiformes","Flatfishes",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
390002,"Teuthida","Squids",840,"bottom trawls","cephalopods","high","destructive","pelagic"
600141,"Scomberomorus tritor","West African Spanish mackerel",900,"seine nets","pelagic >=90 cm","high","non-destructive","pelagic"
400382,"Nototheniidae","Cod icefishes",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
400384,"Channichthyidae","Crocodile icefishes",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600107,"Katsuwonus pelamis","Skipjack tuna",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
600143,"Thunnus albacares","Yellowfin tuna",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
600850,"Oblada melanura","Saddled seabream",840,"bottom trawls","benthopelagic <30 cm","high","destructive","demersal"
600850,"Oblada melanura","Saddled seabream",420,"with gorges or hooks","benthopelagic <30 cm","low","non-destructive","demersal"
600850,"Oblada melanura","Saddled seabream",850,"mid-water trawls","benthopelagic <30 cm","high","non-destructive","demersal"
600893,"Pagellus erythrinus","Common pandora",420,"with gorges or hooks","benthopelagic 30 - 90 cm","low","non-destructive","demersal"
601340,"Phycis blennoides","Greater forkbeard",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
600107,"Katsuwonus pelamis","Skipjack tuna",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
601363,"Trachinus draco","Greater weever",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
601753,"Diplodus sargus sargus","White seabream",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
601753,"Diplodus sargus sargus","White seabream",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
601756,"Pagrus pagrus","Common seabream",850,"mid-water trawls","benthopelagic >=90 cm","high","non-destructive","demersal"
601756,"Pagrus pagrus","Common seabream",420,"with gorges or hooks","benthopelagic >=90 cm","low","non-destructive","demersal"
601756,"Pagrus pagrus","Common seabream",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
690051,"Aristeus antennatus","Blue and red shrimp",840,"bottom trawls","shrimp","high","destructive","demersal"
690091,"Crangon crangon","Common shrimp",840,"bottom trawls","shrimp","high","destructive","demersal"
390007,"Octopoda","Octopuses",400,"Lines","cephalopods","low","non-destructive","pelagic"
390007,"Octopoda","Octopuses",1420,"driftnets","cephalopods","high","non-destructive","pelagic"
390007,"Octopoda","Octopuses",850,"mid-water trawls","cephalopods","high","non-destructive","pelagic"
400243,"Holocentridae","Squirrelfishes soldierfishes",421,"handlines","reef-associated <30 cm","low","non-destructive","pelagic"
400243,"Holocentridae","Squirrelfishes soldierfishes",420,"with gorges or hooks","reef-associated <30 cm","low","non-destructive","pelagic"
400243,"Holocentridae","Squirrelfishes soldierfishes",840,"bottom trawls","reef-associated <30 cm","high","destructive","pelagic"
590083,"Panulirus","Tropical spiny lobsters",500,"traps","lobsters crab","high","non-destructive","demersal"
390002,"Teuthida","Squids",433,"squid hooks","cephalopods","low","non-destructive","pelagic"
390002,"Teuthida","Squids",850,"mid-water trawls","cephalopods","high","non-destructive","pelagic"
600706,"Lithognathus mormyrus","Striped seabream",840,"bottom trawls","benthopelagic 30 - 90 cm","high","destructive","demersal"
600706,"Lithognathus mormyrus","Striped seabream",420,"with gorges or hooks","benthopelagic 30 - 90 cm","low","non-destructive","demersal"
600706,"Lithognathus mormyrus","Striped seabream",850,"mid-water trawls","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
400416,"Scombridae","Mackerels tunas bonitos",1020,"purse seines","pelagic >=90 cm","low","non-destructive","pelagic"
400416,"Scombridae","Mackerels tunas bonitos",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
400416,"Scombridae","Mackerels tunas bonitos",1420,"driftnets","pelagic >=90 cm","high","non-destructive","pelagic"
400416,"Scombridae","Mackerels tunas bonitos",850,"mid-water trawls","pelagic >=90 cm","high","non-destructive","pelagic"
390002,"Teuthida","Squids",400,"Lines","cephalopods","low","non-destructive","pelagic"
600299,"Conger orbignianus","Argentine conger",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
600306,"Salilota australis","Tadpole codling",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
390002,"Teuthida","Squids",1420,"driftnets","cephalopods","high","non-destructive","pelagic"
600311,"Urophycis brasiliensis","Brazilian codling",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
400416,"Scombridae","Mackerels tunas bonitos",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
390006,"Sepiida","Cuttlefishes",433,"squid hooks","cephalopods","low","non-destructive","pelagic"
390006,"Sepiida","Cuttlefishes",840,"bottom trawls","cephalopods","high","destructive","pelagic"
603915,"Tetrapturus angustirostris","Shortbill spearfish",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
603915,"Tetrapturus angustirostris","Shortbill spearfish",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
600142,"Thunnus alalunga","Albacore",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
600320,"Micromesistius australis","Southern blue whiting",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
600146,"Thunnus obesus","Bigeye tuna",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
600322,"Merluccius australis","Southern hake",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
400361,"Polynemidae","Threadfins",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
400361,"Polynemidae","Threadfins",421,"handlines","demersal 30 - 90 cm","low","non-destructive","demersal"
400361,"Polynemidae","Threadfins",1410,"set gillnets","demersal 30 - 90 cm","high","non-destructive","demersal"
400361,"Polynemidae","Threadfins",921,"beach seines","demersal 30 - 90 cm","high","non-destructive","demersal"
600325,"Merluccius hubbsi","Argentine hake",850,"mid-water trawls","benthopelagic >=90 cm","high","non-destructive","demersal"
600325,"Merluccius hubbsi","Argentine hake",420,"with gorges or hooks","benthopelagic >=90 cm","low","non-destructive","demersal"
