crop_number,SPAM_short_name,SPAM_super,SPAM_full_name,FAONAMES,FAO_item_code_NFB,FAO_item_code,GROUP,product_description_FAOSTAT,non_food
27,ooil,xoil,other oil crops,olives ++,2570,280,oilcrops,Safflower seed,
27,ooil,xoil,other oil crops,olives ++,2586,281,oilcrops,Oil of Safflower Seed,
27,ooil,xoil,other oil crops,olives ++,2586,282,oilcrops,Cake of Safflower Seed,
27,ooil,xoil,other oil crops,olives ++,,283,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,284,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,285,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,286,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,287,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,288,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,2579,290,oilcrops,Oil of Sesame Seed,
27,ooil,xoil,other oil crops,olives ++,2579,291,oilcrops,Cake of Sesame Seed,
27,ooil,xoil,other oil crops,olives ++,2574,293,oilcrops,Oil of Mustard Seed,
27,ooil,xoil,other oil crops,olives ++,2574,294,oilcrops,Cake of Mustard Seed,
27,ooil,xoil,other oil crops,olives ++,2570,296,oilcrops,Poppy seed,
27,ooil,xoil,other oil crops,olives ++,2586,297,oilcrops,Oil of Poppy Seed,
27,ooil,xoil,other oil crops,olives ++,2586,298,oilcrops,Cake of Poppy Seed,
27,ooil,xoil,other oil crops,olives ++,2570,299,oilcrops,Melonseed,
27,ooil,xoil,other oil crops,olives ++,,300,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,301,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,302,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,303,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,304,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,2570,305,oilcrops,Tallowtree Seeds,
27,ooil,xoil,other oil crops,olives ++,2586,306,oilcrops,Vegetable tallow,
27,ooil,xoil,other oil crops,olives ++,2586,307,oilcrops,Stillingia oil,
27,ooil,xoil,other oil crops,olives ++,,308,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,309,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,2570,310,oilcrops,Kapok fruit,
27,ooil,xoil,other oil crops,olives ++,2570,311,oilcrops,"Kapokseed,in shell",
27,ooil,xoil,other oil crops,olives ++,2570,312,oilcrops,"Kapokseed, shelled",
27,ooil,xoil,other oil crops,olives ++,2586,313,oilcrops,Oil of Kapok,
27,ooil,xoil,other oil crops,olives ++,2586,314,oilcrops,Cake of Kapok,
27,ooil,xoil,other oil crops,olives ++,,315,oilcrops,NA,
