iso3c,animal,system,product,feedstuff,tonnes_feedstuff
PHL,crustaceans,aquaculture,meat,wheat,111.0039726385458
PHL,crustaceans,aquaculture,meat,wheat bran,333.01191899619073
PHL,crustaceans,aquaculture,meat,wheat meal,7229.3357142939885
PHL,crustaceans,aquaculture,meat,fofm,3136.695069930583
VNM,crustaceans,aquaculture,meat,cassava meal,1505.5537992666864
VNM,crustaceans,aquaculture,meat,maize meal,11123.880463772586
VNM,crustaceans,aquaculture,meat,soybean cake,25240.444242084977
VNM,crustaceans,aquaculture,meat,soybean oil,8482.152647248056
VNM,crustaceans,aquaculture,meat,sunflower oilcake,8206.43831710014
VNM,crustaceans,aquaculture,meat,wheat,410.6055808914638
VNM,crustaceans,aquaculture,meat,wheat bran,1231.8167466713767
VNM,crustaceans,aquaculture,meat,wheat meal,26741.435642964716
VNM,crustaceans,aquaculture,meat,fofm,11602.688360191198
ALB,marine-fish-general,aquaculture,meat,cassava,0
ALB,marine-fish-general,aquaculture,meat,corn,0
ALB,marine-fish-general,aquaculture,meat,corn meal,1265.896758963771
ALB,marine-fish-general,aquaculture,meat,other animal byproducts,0
ALB,marine-fish-general,aquaculture,meat,palm oil,0
ALB,marine-fish-general,aquaculture,meat,pea protein,488.3649645672
ALB,marine-fish-general,aquaculture,meat,rapeseed meal,0
ALB,marine-fish-general,aquaculture,meat,rapeseed oil,550.5591415409399
ALB,marine-fish-general,aquaculture,meat,soybean meal,376.93925365710754
ALB,marine-fish-general,aquaculture,meat,soybean oil,0
ALB,marine-fish-general,aquaculture,meat,sunflower oil,0
ALB,marine-fish-general,aquaculture,meat,wheat,441.19444785128087
ALB,marine-fish-general,aquaculture,meat,wheat meal,1089.645433419701
ALB,marine-fish-general,aquaculture,meat,fofm,466.9082912773657
AUS,marine-fish-general,aquaculture,meat,cassava,0
AUS,marine-fish-general,aquaculture,meat,corn,0
AUS,marine-fish-general,aquaculture,meat,corn meal,384.8901875
AUS,marine-fish-general,aquaculture,meat,groundnut meal,521.9103479805324
AUS,marine-fish-general,aquaculture,meat,maize meal,850.2906966558512
AUS,marine-fish-general,aquaculture,meat,other animal byproducts,2167.67167616469
AUS,marine-fish-general,aquaculture,meat,palm oil,59.213875
AUS,marine-fish-general,aquaculture,meat,pea protein,59.213875
AUS,marine-fish-general,aquaculture,meat,rapeseed meal,118.42775
AUS,marine-fish-general,aquaculture,meat,rapeseed oil,148.0346875
AUS,marine-fish-general,aquaculture,meat,rice bran,1120.5556227992836
AUS,marine-fish-general,aquaculture,meat,soybean meal,1241.2373738996416
AUS,marine-fish-general,aquaculture,meat,soybean oil,0
AUS,marine-fish-general,aquaculture,meat,sunflower oil,0
AUS,marine-fish-general,aquaculture,meat,wheat,740.1734374999999
AUS,marine-fish-general,aquaculture,meat,wheat meal,473.711
AUS,marine-fish-general,aquaculture,meat,fofm,873.9795385081765
BGD,marine-fish-general,aquaculture,meat,cassava,0
BGD,marine-fish-general,aquaculture,meat,corn,0
BGD,marine-fish-general,aquaculture,meat,corn meal,19481.080937500003
BGD,marine-fish-general,aquaculture,meat,other animal byproducts,8991.268125
BGD,marine-fish-general,aquaculture,meat,palm oil,2997.0893750000005
BGD,marine-fish-general,aquaculture,meat,pea protein,2997.0893750000005
BGD,marine-fish-general,aquaculture,meat,rapeseed meal,5994.178750000001
BGD,marine-fish-general,aquaculture,meat,rapeseed oil,7492.723437500001
BGD,marine-fish-general,aquaculture,meat,soybean meal,34466.527812500004
BGD,marine-fish-general,aquaculture,meat,soybean oil,0
BGD,marine-fish-general,aquaculture,meat,sunflower oil,0
BGD,marine-fish-general,aquaculture,meat,wheat,37463.61718750001
BGD,marine-fish-general,aquaculture,meat,wheat meal,23976.715000000004
BGD,marine-fish-general,aquaculture,meat,fofm,15944.918147122038
KHM,marine-fish-general,aquaculture,meat,groundnut meal,108.99124524502126
KHM,marine-fish-general,aquaculture,meat,maize meal,177.56735846945625
KHM,marine-fish-general,aquaculture,meat,other animal byproducts,415.5806724099352
KHM,marine-fish-general,aquaculture,meat,rice bran,234.0071492503916
KHM,marine-fish-general,aquaculture,meat,soybean meal,117.0035746251958
KHM,marine-fish-general,aquaculture,meat,fofm,116.72707281934143
CHN,marine-fish-general,aquaculture,meat,cassava,0
CHN,marine-fish-general,aquaculture,meat,corn,0
CHN,marine-fish-general,aquaculture,meat,corn meal,268588.4186877052
CHN,marine-fish-general,aquaculture,meat,groundnut meal,19915.21472844247
CHN,marine-fish-general,aquaculture,meat,maize meal,22307.8328407381
CHN,marine-fish-general,aquaculture,meat,other animal byproducts,96250.81022927063
CHN,marine-fish-general,aquaculture,meat,palm oil,24984.0994375
CHN,marine-fish-general,aquaculture,meat,pea protein,55438.94556833275
CHN,marine-fish-general,aquaculture,meat,rapeseed meal,49968.198875
CHN,marine-fish-general,aquaculture,meat,rapeseed oil,114415.22860148446
CHN,marine-fish-general,aquaculture,meat,rice bran,5942.089719402985
CHN,marine-fish-general,aquaculture,meat,soybean cake,3158.4357903445584
CHN,marine-fish-general,aquaculture,meat,soybean meal,393950.1618382818
CHN,marine-fish-general,aquaculture,meat,soybean oil,0
CHN,marine-fish-general,aquaculture,meat,sunflower oil,0
CHN,marine-fish-general,aquaculture,meat,wheat,368133.77780561725
CHN,marine-fish-general,aquaculture,meat,wheat meal,335532.5868778798
CHN,marine-fish-general,aquaculture,meat,fofm,194914.84864680897
HKG,marine-fish-general,aquaculture,meat,cassava,0
HKG,marine-fish-general,aquaculture,meat,corn,0
HKG,marine-fish-general,aquaculture,meat,corn meal,125.83593750000001
HKG,marine-fish-general,aquaculture,meat,other animal byproducts,58.078125
HKG,marine-fish-general,aquaculture,meat,palm oil,19.359375000000004
HKG,marine-fish-general,aquaculture,meat,pea protein,19.359375000000004
HKG,marine-fish-general,aquaculture,meat,rapeseed meal,38.71875000000001
HKG,marine-fish-general,aquaculture,meat,rapeseed oil,48.3984375
HKG,marine-fish-general,aquaculture,meat,soybean meal,222.6328125
HKG,marine-fish-general,aquaculture,meat,soybean oil,0
HKG,marine-fish-general,aquaculture,meat,sunflower oil,0
HKG,marine-fish-general,aquaculture,meat,wheat,241.99218750000003
HKG,marine-fish-general,aquaculture,meat,wheat meal,154.87500000000003
HKG,marine-fish-general,aquaculture,meat,fofm,102.99447601706596
CRI,marine-fish-general,aquaculture,meat,cassava,0
CRI,marine-fish-general,aquaculture,meat,corn,0
CRI,marine-fish-general,aquaculture,meat,corn meal,117.446875
CRI,marine-fish-general,aquaculture,meat,other animal byproducts,54.20625
CRI,marine-fish-general,aquaculture,meat,palm oil,18.06875
CRI,marine-fish-general,aquaculture,meat,pea protein,18.06875
CRI,marine-fish-general,aquaculture,meat,rapeseed meal,36.1375
CRI,marine-fish-general,aquaculture,meat,rapeseed oil,45.171875
CRI,marine-fish-general,aquaculture,meat,soybean meal,207.79062499999998
CRI,marine-fish-general,aquaculture,meat,soybean oil,0
CRI,marine-fish-general,aquaculture,meat,sunflower oil,0
CRI,marine-fish-general,aquaculture,meat,wheat,225.859375
CRI,marine-fish-general,aquaculture,meat,wheat meal,144.55
CRI,marine-fish-general,aquaculture,meat,fofm,96.12817761592821
HRV,marine-fish-general,aquaculture,meat,cassava,0
HRV,marine-fish-general,aquaculture,meat,corn,0
HRV,marine-fish-general,aquaculture,meat,corn meal,3589.412179400836
HRV,marine-fish-general,aquaculture,meat,other animal byproducts,0
HRV,marine-fish-general,aquaculture,meat,palm oil,0
HRV,marine-fish-general,aquaculture,meat,pea protein,982.7530970307288
HRV,marine-fish-general,aquaculture,meat,rapeseed meal,0
HRV,marine-fish-general,aquaculture,meat,rapeseed oil,1781.7534485316141
HRV,marine-fish-general,aquaculture,meat,soybean meal,2116.819230080121
HRV,marine-fish-general,aquaculture,meat,soybean oil,0
HRV,marine-fish-general,aquaculture,meat,sunflower oil,0
HRV,marine-fish-general,aquaculture,meat,wheat,1871.5068120595095
HRV,marine-fish-general,aquaculture,meat,wheat meal,2599.618222897191
HRV,marine-fish-general,aquaculture,meat,fofm,1434.4260396445611
CYP,marine-fish-general,aquaculture,meat,cassava,0
CYP,marine-fish-general,aquaculture,meat,corn,0
CYP,marine-fish-general,aquaculture,meat,corn meal,2665.880543041979
CYP,marine-fish-general,aquaculture,meat,other animal byproducts,0
CYP,marine-fish-general,aquaculture,meat,palm oil,0
CYP,marine-fish-general,aquaculture,meat,pea protein,1007.0492540179469
CYP,marine-fish-general,aquaculture,meat,rapeseed meal,0
CYP,marine-fish-general,aquaculture,meat,rapeseed oil,1171.1869694735267
CYP,marine-fish-general,aquaculture,meat,soybean meal,849.6210777431204
CYP,marine-fish-general,aquaculture,meat,soybean oil,0
CYP,marine-fish-general,aquaculture,meat,sunflower oil,0
CYP,marine-fish-general,aquaculture,meat,wheat,962.1691004577808
CYP,marine-fish-general,aquaculture,meat,wheat meal,2268.6100552656453
CYP,marine-fish-general,aquaculture,meat,fofm,989.1589476679013
EGY,marine-fish-general,aquaculture,meat,cassava,0
EGY,marine-fish-general,aquaculture,meat,corn,0
EGY,marine-fish-general,aquaculture,meat,corn meal,27413.83614716957
EGY,marine-fish-general,aquaculture,meat,other animal byproducts,1936.9441874999998
EGY,marine-fish-general,aquaculture,meat,palm oil,645.6480625
EGY,marine-fish-general,aquaculture,meat,pea protein,7812.607402925562
EGY,marine-fish-general,aquaculture,meat,rapeseed meal,1291.296125
EGY,marine-fish-general,aquaculture,meat,rapeseed oil,12694.118885387767
EGY,marine-fish-general,aquaculture,meat,rice bran,27871.409237976884
EGY,marine-fish-general,aquaculture,meat,soybean meal,66102.43666292436
EGY,marine-fish-general,aquaculture,meat,soybean oil,3845.3001667702247
EGY,marine-fish-general,aquaculture,meat,sunflower oil,0
EGY,marine-fish-general,aquaculture,meat,sunflower oilcake,76877.9354509755
EGY,marine-fish-general,aquaculture,meat,wheat,84295.26391330882
EGY,marine-fish-general,aquaculture,meat,wheat meal,27767.475757561275
EGY,marine-fish-general,aquaculture,meat,fofm,37524.04611028165
FRA,marine-fish-general,aquaculture,meat,cassava,0
FRA,marine-fish-general,aquaculture,meat,corn,0
FRA,marine-fish-general,aquaculture,meat,corn meal,1115.9585197746596
FRA,marine-fish-general,aquaculture,meat,other animal byproducts,46.4625
FRA,marine-fish-general,aquaculture,meat,palm oil,15.487500000000002
FRA,marine-fish-general,aquaculture,meat,pea protein,320.7156028545
FRA,marine-fish-general,aquaculture,meat,rapeseed meal,30.975000000000005
FRA,marine-fish-general,aquaculture,meat,rapeseed oil,527.7420949633557
FRA,marine-fish-general,aquaculture,meat,soybean meal,705.8212051199506
FRA,marine-fish-general,aquaculture,meat,soybean oil,0
FRA,marine-fish-general,aquaculture,meat,sunflower oil,0
FRA,marine-fish-general,aquaculture,meat,wheat,680.8996632745733
FRA,marine-fish-general,aquaculture,meat,wheat meal,892.4379140129612
FRA,marine-fish-general,aquaculture,meat,fofm,480.6408880796412
GRC,marine-fish-general,aquaculture,meat,cassava,0
GRC,marine-fish-general,aquaculture,meat,corn,0
GRC,marine-fish-general,aquaculture,meat,corn meal,35966.255780629384
GRC,marine-fish-general,aquaculture,meat,other animal byproducts,226.55889374999998
GRC,marine-fish-general,aquaculture,meat,palm oil,75.51963125
GRC,marine-fish-general,aquaculture,meat,pea protein,11422.67958296889
GRC,marine-fish-general,aquaculture,meat,rapeseed meal,151.0392625
GRC,marine-fish-general,aquaculture,meat,rapeseed oil,16901.39067518425
GRC,marine-fish-general,aquaculture,meat,soybean meal,17529.03999531769
GRC,marine-fish-general,aquaculture,meat,soybean oil,0
GRC,marine-fish-general,aquaculture,meat,sunflower oil,0
GRC,marine-fish-general,aquaculture,meat,wheat,16918.06173941308
GRC,marine-fish-general,aquaculture,meat,wheat meal,28289.297138986698
GRC,marine-fish-general,aquaculture,meat,fofm,14129.372721683603
IND,marine-fish-general,aquaculture,meat,cassava,0
IND,marine-fish-general,aquaculture,meat,corn,0
IND,marine-fish-general,aquaculture,meat,corn meal,16107.000000000002
IND,marine-fish-general,aquaculture,meat,other animal byproducts,7434
IND,marine-fish-general,aquaculture,meat,palm oil,2478.0000000000005
IND,marine-fish-general,aquaculture,meat,pea protein,2478.0000000000005
IND,marine-fish-general,aquaculture,meat,rapeseed meal,4956.000000000001
IND,marine-fish-general,aquaculture,meat,rapeseed oil,6195
IND,marine-fish-general,aquaculture,meat,soybean meal,28497
IND,marine-fish-general,aquaculture,meat,soybean oil,0
IND,marine-fish-general,aquaculture,meat,sunflower oil,0
IND,marine-fish-general,aquaculture,meat,wheat,30975.000000000004
IND,marine-fish-general,aquaculture,meat,wheat meal,19824.000000000004
IND,marine-fish-general,aquaculture,meat,fofm,13183.292930184443
IDN,marine-fish-general,aquaculture,meat,cassava,0
IDN,marine-fish-general,aquaculture,meat,corn,0
IDN,marine-fish-general,aquaculture,meat,corn meal,4682.1035625
IDN,marine-fish-general,aquaculture,meat,groundnut meal,9943.624438958597
IDN,marine-fish-general,aquaculture,meat,maize meal,56886.50127979909
IDN,marine-fish-general,aquaculture,meat,other animal byproducts,16335.329815225365
IDN,marine-fish-general,aquaculture,meat,palm oil,720.323625
IDN,marine-fish-general,aquaculture,meat,pea protein,720.323625
IDN,marine-fish-general,aquaculture,meat,rapeseed meal,1440.64725
IDN,marine-fish-general,aquaculture,meat,rapeseed oil,1800.8090625000002
IDN,marine-fish-general,aquaculture,meat,rice bran,308356.4784170377
IDN,marine-fish-general,aquaculture,meat,soybean meal,347904.17415937415
IDN,marine-fish-general,aquaculture,meat,soybean oil,0
IDN,marine-fish-general,aquaculture,meat,sunflower oil,0
IDN,marine-fish-general,aquaculture,meat,wheat,9004.0453125
IDN,marine-fish-general,aquaculture,meat,wheat bran,26931.463949116427
IDN,marine-fish-general,aquaculture,meat,wheat meal,131331.3035029886
IDN,marine-fish-general,aquaculture,meat,fofm,101532.22910955966
IRN,marine-fish-general,aquaculture,meat,cassava,0
IRN,marine-fish-general,aquaculture,meat,corn,0
IRN,marine-fish-general,aquaculture,meat,corn meal,2357.3265625000004
IRN,marine-fish-general,aquaculture,meat,other animal byproducts,1087.996875
IRN,marine-fish-general,aquaculture,meat,palm oil,362.66562500000003
IRN,marine-fish-general,aquaculture,meat,pea protein,362.66562500000003
IRN,marine-fish-general,aquaculture,meat,rapeseed meal,725.3312500000001
IRN,marine-fish-general,aquaculture,meat,rapeseed oil,906.6640625
IRN,marine-fish-general,aquaculture,meat,soybean meal,4170.6546875
IRN,marine-fish-general,aquaculture,meat,soybean oil,0
IRN,marine-fish-general,aquaculture,meat,sunflower oil,0
IRN,marine-fish-general,aquaculture,meat,wheat,4533.320312500001
IRN,marine-fish-general,aquaculture,meat,wheat meal,2901.3250000000003
IRN,marine-fish-general,aquaculture,meat,fofm,1929.4298507197022
ISR,marine-fish-general,aquaculture,meat,cassava,0
ISR,marine-fish-general,aquaculture,meat,corn,0
ISR,marine-fish-general,aquaculture,meat,corn meal,854.6386853907001
ISR,marine-fish-general,aquaculture,meat,other animal byproducts,0
ISR,marine-fish-general,aquaculture,meat,palm oil,0
ISR,marine-fish-general,aquaculture,meat,pea protein,427.31934399629995
ISR,marine-fish-general,aquaculture,meat,rapeseed meal,0
ISR,marine-fish-general,aquaculture,meat,rapeseed oil,318.11551167060003
ISR,marine-fish-general,aquaculture,meat,soybean meal,0
ISR,marine-fish-general,aquaculture,meat,soybean oil,0
ISR,marine-fish-general,aquaculture,meat,sunflower oil,0
ISR,marine-fish-general,aquaculture,meat,wheat,147.18777355170002
ISR,marine-fish-general,aquaculture,meat,wheat meal,854.6386853907001
ISR,marine-fish-general,aquaculture,meat,fofm,288.38453284778467
ITA,marine-fish-general,aquaculture,meat,cassava,0
ITA,marine-fish-general,aquaculture,meat,corn,0
ITA,marine-fish-general,aquaculture,meat,corn meal,5059.312562569403
ITA,marine-fish-general,aquaculture,meat,other animal byproducts,0
ITA,marine-fish-general,aquaculture,meat,palm oil,0
ITA,marine-fish-general,aquaculture,meat,pea protein,1546.4890544628001
ITA,marine-fish-general,aquaculture,meat,rapeseed meal,0
ITA,marine-fish-general,aquaculture,meat,rapeseed oil,2422.8653711604716
ITA,marine-fish-general,aquaculture,meat,rice bran,107.02484155585933
ITA,marine-fish-general,aquaculture,meat,soybean meal,2744.0405846173057
ITA,marine-fish-general,aquaculture,meat,soybean oil,14.76576363862309
ITA,marine-fish-general,aquaculture,meat,sunflower oil,0
ITA,marine-fish-general,aquaculture,meat,sunflower oilcake,295.2074934758295
ITA,marine-fish-general,aquaculture,meat,wheat,2639.9605199258626
ITA,marine-fish-general,aquaculture,meat,wheat meal,3879.2338085938463
ITA,marine-fish-general,aquaculture,meat,fofm,2073.6221171435946
JPN,marine-fish-general,aquaculture,meat,cassava,0
JPN,marine-fish-general,aquaculture,meat,corn,0
JPN,marine-fish-general,aquaculture,meat,corn meal,50917.61378508595
JPN,marine-fish-general,aquaculture,meat,groundnut meal,538.881788981896
JPN,marine-fish-general,aquaculture,meat,maize meal,148.69447148140938
JPN,marine-fish-general,aquaculture,meat,other animal byproducts,12066.889491203523
JPN,marine-fish-general,aquaculture,meat,palm oil,3898.3844375
JPN,marine-fish-general,aquaculture,meat,pea protein,16687.44194710355
JPN,marine-fish-general,aquaculture,meat,rapeseed meal,7796.768875
JPN,marine-fish-general,aquaculture,meat,rapeseed oil,19266.7039073201
JPN,marine-fish-general,aquaculture,meat,soybean cake,520.4306501849328
JPN,marine-fish-general,aquaculture,meat,soybean meal,44831.42103125
JPN,marine-fish-general,aquaculture,meat,soybean oil,0
JPN,marine-fish-general,aquaculture,meat,sunflower oil,0
JPN,marine-fish-general,aquaculture,meat,wheat,53562.55753855172
JPN,marine-fish-general,aquaculture,meat,wheat meal,57545.56507633693
JPN,marine-fish-general,aquaculture,meat,fofm,29679.84949085388
KOR,marine-fish-general,aquaculture,meat,cassava,0
KOR,marine-fish-general,aquaculture,meat,corn,0
KOR,marine-fish-general,aquaculture,meat,corn meal,4183.299069113955
KOR,marine-fish-general,aquaculture,meat,groundnut meal,10483.286571345141
KOR,marine-fish-general,aquaculture,meat,maize meal,2892.669204983453
KOR,marine-fish-general,aquaculture,meat,other animal byproducts,7286.9633874586325
KOR,marine-fish-general,aquaculture,meat,palm oil,18.430125
KOR,marine-fish-general,aquaculture,meat,pea protein,1754.3640886344926
KOR,marine-fish-general,aquaculture,meat,rapeseed meal,36.86025
KOR,marine-fish-general,aquaculture,meat,rapeseed oil,1720.9807549282743
KOR,marine-fish-general,aquaculture,meat,rice bran,1043.9508830620107
KOR,marine-fish-general,aquaculture,meat,soybean cake,10124.342217442085
KOR,marine-fish-general,aquaculture,meat,soybean meal,12831.07679876816
KOR,marine-fish-general,aquaculture,meat,soybean oil,144.02947732074065
KOR,marine-fish-general,aquaculture,meat,sunflower oil,0
KOR,marine-fish-general,aquaculture,meat,sunflower oilcake,2879.5382363613767
KOR,marine-fish-general,aquaculture,meat,wheat,19507.243339694738
KOR,marine-fish-general,aquaculture,meat,wheat meal,29458.891595886937
KOR,marine-fish-general,aquaculture,meat,fofm,11567.515590428711
MYS,marine-fish-general,aquaculture,meat,cassava,0
MYS,marine-fish-general,aquaculture,meat,corn,0
MYS,marine-fish-general,aquaculture,meat,corn meal,3621.4156671875
MYS,marine-fish-general,aquaculture,meat,groundnut meal,4653.253436499236
MYS,marine-fish-general,aquaculture,meat,maize meal,7314.667842721798
MYS,marine-fish-general,aquaculture,meat,other animal byproducts,17342.622741856707
MYS,marine-fish-general,aquaculture,meat,palm oil,557.140871875
MYS,marine-fish-general,aquaculture,meat,pea protein,557.140871875
MYS,marine-fish-general,aquaculture,meat,rapeseed meal,1114.28174375
MYS,marine-fish-general,aquaculture,meat,rapeseed oil,1392.8521796874998
MYS,marine-fish-general,aquaculture,meat,rice bran,8601.296386434487
MYS,marine-fish-general,aquaculture,meat,soybean meal,12789.159289809595
MYS,marine-fish-general,aquaculture,meat,soybean oil,0
MYS,marine-fish-general,aquaculture,meat,sunflower oil,0
MYS,marine-fish-general,aquaculture,meat,wheat,6964.260898437499
MYS,marine-fish-general,aquaculture,meat,wheat meal,6897.434449865671
MYS,marine-fish-general,aquaculture,meat,fofm,7958.64682769729
MLT,marine-fish-general,aquaculture,meat,cassava,0
MLT,marine-fish-general,aquaculture,meat,corn,0
MLT,marine-fish-general,aquaculture,meat,corn meal,1000.4156268701993
MLT,marine-fish-general,aquaculture,meat,other animal byproducts,0
MLT,marine-fish-general,aquaculture,meat,palm oil,0
MLT,marine-fish-general,aquaculture,meat,pea protein,500.2078149579545
MLT,marine-fish-general,aquaculture,meat,rapeseed meal,0
MLT,marine-fish-general,aquaculture,meat,rapeseed oil,372.3769289469852
MLT,marine-fish-general,aquaculture,meat,soybean meal,0
MLT,marine-fish-general,aquaculture,meat,soybean oil,0
MLT,marine-fish-general,aquaculture,meat,sunflower oil,0
MLT,marine-fish-general,aquaculture,meat,wheat,172.29380235466138
MLT,marine-fish-general,aquaculture,meat,wheat meal,1000.4156268701993
MLT,marine-fish-general,aquaculture,meat,fofm,337.57469459353536
MUS,marine-fish-general,aquaculture,meat,cassava,0
MUS,marine-fish-general,aquaculture,meat,corn,0
MUS,marine-fish-general,aquaculture,meat,corn meal,488.3649635036497
MUS,marine-fish-general,aquaculture,meat,other animal byproducts,0
MUS,marine-fish-general,aquaculture,meat,palm oil,0
MUS,marine-fish-general,aquaculture,meat,pea protein,244.18248175182484
MUS,marine-fish-general,aquaculture,meat,rapeseed meal,0
MUS,marine-fish-general,aquaculture,meat,rapeseed oil,181.78029197080292
MUS,marine-fish-general,aquaculture,meat,soybean meal,0
MUS,marine-fish-general,aquaculture,meat,soybean oil,0
MUS,marine-fish-general,aquaculture,meat,sunflower oil,0
MUS,marine-fish-general,aquaculture,meat,wheat,84.107299270073
MUS,marine-fish-general,aquaculture,meat,wheat meal,488.3649635036497
MUS,marine-fish-general,aquaculture,meat,fofm,164.79116162730554
MEX,marine-fish-general,aquaculture,meat,cassava,0
MEX,marine-fish-general,aquaculture,meat,corn,0
MEX,marine-fish-general,aquaculture,meat,corn meal,189.68765898209287
MEX,marine-fish-general,aquaculture,meat,other animal byproducts,0
MEX,marine-fish-general,aquaculture,meat,palm oil,0
MEX,marine-fish-general,aquaculture,meat,pea protein,0
MEX,marine-fish-general,aquaculture,meat,rapeseed meal,0
MEX,marine-fish-general,aquaculture,meat,rapeseed oil,122.66731327296263
MEX,marine-fish-general,aquaculture,meat,soybean meal,247.26461161398942
MEX,marine-fish-general,aquaculture,meat,soybean oil,0
MEX,marine-fish-general,aquaculture,meat,sunflower oil,0
MEX,marine-fish-general,aquaculture,meat,wheat,179.06932167926132
MEX,marine-fish-general,aquaculture,meat,wheat meal,74.07031445169373
MEX,marine-fish-general,aquaculture,meat,fofm,90.08308850356657
NOR,marine-fish-general,aquaculture,meat,groundnut meal,388.73016233015375
NOR,marine-fish-general,aquaculture,meat,maize meal,107.26290481214716
NOR,marine-fish-general,aquaculture,meat,other animal byproducts,268.1572620303678
NOR,marine-fish-general,aquaculture,meat,soybean cake,375.420166842515
NOR,marine-fish-general,aquaculture,meat,wheat,308.47871894880274
NOR,marine-fish-general,aquaculture,meat,wheat meal,562.9345150360132
NOR,marine-fish-general,aquaculture,meat,fofm,222.8896589186923
PAN,marine-fish-general,aquaculture,meat,cassava,0
PAN,marine-fish-general,aquaculture,meat,corn,0
PAN,marine-fish-general,aquaculture,meat,corn meal,302.00625
PAN,marine-fish-general,aquaculture,meat,other animal byproducts,139.3875
PAN,marine-fish-general,aquaculture,meat,palm oil,46.462500000000006
PAN,marine-fish-general,aquaculture,meat,pea protein,46.462500000000006
PAN,marine-fish-general,aquaculture,meat,rapeseed meal,92.92500000000001
PAN,marine-fish-general,aquaculture,meat,rapeseed oil,116.15625
PAN,marine-fish-general,aquaculture,meat,soybean meal,534.31875
PAN,marine-fish-general,aquaculture,meat,soybean oil,0
PAN,marine-fish-general,aquaculture,meat,sunflower oil,0
PAN,marine-fish-general,aquaculture,meat,wheat,580.7812500000001
PAN,marine-fish-general,aquaculture,meat,wheat meal,371.70000000000005
PAN,marine-fish-general,aquaculture,meat,fofm,247.18674244095828
PHL,marine-fish-general,aquaculture,meat,maize meal,25235.481726594804
PHL,marine-fish-general,aquaculture,meat,rice bran,174776.97681205662
PHL,marine-fish-general,aquaculture,meat,soybean meal,180617.99842517858
PHL,marine-fish-general,aquaculture,meat,wheat bran,15538.251669858375
PHL,marine-fish-general,aquaculture,meat,wheat meal,56311.98506631155
PHL,marine-fish-general,aquaculture,meat,fofm,50151.21006776434
PRT,marine-fish-general,aquaculture,meat,cassava,0
PRT,marine-fish-general,aquaculture,meat,corn,0
PRT,marine-fish-general,aquaculture,meat,corn meal,1085.6228473918488
PRT,marine-fish-general,aquaculture,meat,other animal byproducts,212.58529687499995
PRT,marine-fish-general,aquaculture,meat,palm oil,70.861765625
PRT,marine-fish-general,aquaculture,meat,pea protein,282.081647654333
PRT,marine-fish-general,aquaculture,meat,rapeseed meal,141.72353125
