iso3c,animal,product,system,feedstuff,feeditem_kg_per_head
MAR,pigs,meat,backyard,Leguminous beans,8.752
MAR,pigs,meat,backyard,Molasses,0
MAR,pigs,meat,backyard,Oil palm kernel expeller,0
MAR,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0
MAR,pigs,meat,backyard,Residual plant material such as stems from banana,16.2372
MAR,pigs,meat,backyard,SYNTHETIC,0
MAR,pigs,meat,backyard,Wet by-product from grain industries,0
SDN,pigs,meat,backyard,Beans from soy,0.0241
SDN,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",22.4385
SDN,pigs,meat,backyard,By-products from cottonseed,2.0188
SDN,pigs,meat,backyard,By-products from soy,0.4371
SDN,pigs,meat,backyard,Crop residue from leguminous plants cultivation,64.5606
SDN,pigs,meat,backyard,Crop residues from sugarcane,36.7275
SDN,pigs,meat,backyard,Dry by-product from grain industries,30.2405
SDN,pigs,meat,backyard,FISHMEAL,0.0663
SDN,pigs,meat,backyard,Fruit from banana trees,3.8114
SDN,pigs,meat,backyard,Grains from barley (Hordeum vulgare),17.3574
SDN,pigs,meat,backyard,Grains from maize (Zea mays),15.2834
SDN,pigs,meat,backyard,Grains from millet,7.7343
SDN,pigs,meat,backyard,Grains from rice,32.8937
SDN,pigs,meat,backyard,Grains from sorghum,3.9702
SDN,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,27.6379
SDN,pigs,meat,backyard,Household food waste and other organic material used as feed,66.3166
SDN,pigs,meat,backyard,Leguminous beans,26.0114
SDN,pigs,meat,backyard,Molasses,0.1055
SDN,pigs,meat,backyard,Oil palm kernel expeller,0
SDN,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2261
SDN,pigs,meat,backyard,Residual plant material such as stems from banana,3.8114
SDN,pigs,meat,backyard,SYNTHETIC,0.0543
SDN,pigs,meat,backyard,Wet by-product from grain industries,0
TUN,pigs,meat,backyard,Beans from soy,0.1438
TUN,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",23.8462
TUN,pigs,meat,backyard,By-products from cottonseed,0
TUN,pigs,meat,backyard,By-products from soy,0.8987
TUN,pigs,meat,backyard,Crop residue from leguminous plants cultivation,66.8814
TUN,pigs,meat,backyard,Crop residues from sugarcane,0
TUN,pigs,meat,backyard,Dry by-product from grain industries,55.1452
TUN,pigs,meat,backyard,FISHMEAL,0.1797
TUN,pigs,meat,backyard,Fruit from banana trees,0
TUN,pigs,meat,backyard,Grains from barley (Hordeum vulgare),42.4563
TUN,pigs,meat,backyard,Grains from maize (Zea mays),0.8628
TUN,pigs,meat,backyard,Grains from millet,0
TUN,pigs,meat,backyard,Grains from rice,0.719
TUN,pigs,meat,backyard,Grains from sorghum,0
TUN,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,63.2931
TUN,pigs,meat,backyard,Household food waste and other organic material used as feed,71.899
TUN,pigs,meat,backyard,Leguminous beans,32.5587
TUN,pigs,meat,backyard,Molasses,0
TUN,pigs,meat,backyard,Oil palm kernel expeller,0
TUN,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.5392
TUN,pigs,meat,backyard,Residual plant material such as stems from banana,0
TUN,pigs,meat,backyard,SYNTHETIC,0.0719
TUN,pigs,meat,backyard,Wet by-product from grain industries,0
ESH,pigs,meat,backyard,Beans from soy,0
ESH,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",62.1462
ESH,pigs,meat,backyard,By-products from cottonseed,0
ESH,pigs,meat,backyard,By-products from soy,0.0904
ESH,pigs,meat,backyard,Crop residue from leguminous plants cultivation,141.5276
ESH,pigs,meat,backyard,Crop residues from sugarcane,0
ESH,pigs,meat,backyard,Dry by-product from grain industries,31.725
ESH,pigs,meat,backyard,FISHMEAL,0.0723
ESH,pigs,meat,backyard,Fruit from banana trees,0
ESH,pigs,meat,backyard,Grains from barley (Hordeum vulgare),0
ESH,pigs,meat,backyard,Grains from maize (Zea mays),32.1591
ESH,pigs,meat,backyard,Grains from millet,0.3617
ESH,pigs,meat,backyard,Grains from rice,0.1809
ESH,pigs,meat,backyard,Grains from sorghum,0.2713
ESH,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,0
ESH,pigs,meat,backyard,Household food waste and other organic material used as feed,72.3454
ESH,pigs,meat,backyard,Leguminous beans,20.4492
ESH,pigs,meat,backyard,Molasses,0.0904
ESH,pigs,meat,backyard,Oil palm kernel expeller,0
ESH,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2713
ESH,pigs,meat,backyard,Residual plant material such as stems from banana,0
ESH,pigs,meat,backyard,SYNTHETIC,0.0362
ESH,pigs,meat,backyard,Wet by-product from grain industries,0
IOT,pigs,meat,backyard,Beans from soy,9.8976
IOT,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",4.6142
IOT,pigs,meat,backyard,By-products from cottonseed,11.5458
IOT,pigs,meat,backyard,By-products from soy,10.4224
IOT,pigs,meat,backyard,Crop residue from leguminous plants cultivation,22.6685
IOT,pigs,meat,backyard,Crop residues from sugarcane,69.6157
IOT,pigs,meat,backyard,Dry by-product from grain industries,17.4834
IOT,pigs,meat,backyard,FISHMEAL,0.0839
IOT,pigs,meat,backyard,Fruit from banana trees,4.801
IOT,pigs,meat,backyard,Grains from barley (Hordeum vulgare),11.0304
IOT,pigs,meat,backyard,Grains from maize (Zea mays),18.8945
IOT,pigs,meat,backyard,Grains from millet,8.3161
IOT,pigs,meat,backyard,Grains from rice,25.7224
IOT,pigs,meat,backyard,Grains from sorghum,10.7738
IOT,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,20.7684
IOT,pigs,meat,backyard,Household food waste and other organic material used as feed,58.4488
IOT,pigs,meat,backyard,Leguminous beans,8.4376
IOT,pigs,meat,backyard,Molasses,0.0551
IOT,pigs,meat,backyard,Oil palm kernel expeller,0
IOT,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,37.3319
IOT,pigs,meat,backyard,Residual plant material such as stems from banana,4.801
IOT,pigs,meat,backyard,SYNTHETIC,0.0627
IOT,pigs,meat,backyard,Wet by-product from grain industries,0
BDI,pigs,meat,backyard,Beans from soy,6.4873
BDI,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",10.6489
BDI,pigs,meat,backyard,By-products from cottonseed,6.0293
BDI,pigs,meat,backyard,By-products from soy,6.8468
BDI,pigs,meat,backyard,Crop residue from leguminous plants cultivation,22.8868
BDI,pigs,meat,backyard,Crop residues from sugarcane,75.401
BDI,pigs,meat,backyard,Dry by-product from grain industries,15.6139
BDI,pigs,meat,backyard,FISHMEAL,0.0719
BDI,pigs,meat,backyard,Fruit from banana trees,1.9782
BDI,pigs,meat,backyard,Grains from barley (Hordeum vulgare),0
BDI,pigs,meat,backyard,Grains from maize (Zea mays),12.9582
BDI,pigs,meat,backyard,Grains from millet,11.9095
BDI,pigs,meat,backyard,Grains from rice,36.8448
BDI,pigs,meat,backyard,Grains from sorghum,15.3566
BDI,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,10.9279
BDI,pigs,meat,backyard,Household food waste and other organic material used as feed,71.9035
BDI,pigs,meat,backyard,Leguminous beans,10.1608
BDI,pigs,meat,backyard,Molasses,0.0899
BDI,pigs,meat,backyard,Oil palm kernel expeller,0
BDI,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,41.3882
BDI,pigs,meat,backyard,Residual plant material such as stems from banana,1.9782
BDI,pigs,meat,backyard,SYNTHETIC,0.036
BDI,pigs,meat,backyard,Wet by-product from grain industries,0
COM,pigs,meat,backyard,Beans from soy,7.8096
COM,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",5.6227
COM,pigs,meat,backyard,By-products from cottonseed,8.3377
COM,pigs,meat,backyard,By-products from soy,8.3377
COM,pigs,meat,backyard,Crop residue from leguminous plants cultivation,21.8097
COM,pigs,meat,backyard,Crop residues from sugarcane,83.4061
COM,pigs,meat,backyard,Dry by-product from grain industries,16.5478
COM,pigs,meat,backyard,FISHMEAL,0.0928
COM,pigs,meat,backyard,Fruit from banana trees,3.586
COM,pigs,meat,backyard,Grains from barley (Hordeum vulgare),16.4527
COM,pigs,meat,backyard,Grains from maize (Zea mays),19.0091
COM,pigs,meat,backyard,Grains from millet,7.6853
COM,pigs,meat,backyard,Grains from rice,31.5122
COM,pigs,meat,backyard,Grains from sorghum,8.6272
COM,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,16.9408
COM,pigs,meat,backyard,Household food waste and other organic material used as feed,56.2252
COM,pigs,meat,backyard,Leguminous beans,8.9838
COM,pigs,meat,backyard,Molasses,0.0791
COM,pigs,meat,backyard,Oil palm kernel expeller,0
COM,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,31.0601
COM,pigs,meat,backyard,Residual plant material such as stems from banana,3.586
COM,pigs,meat,backyard,SYNTHETIC,0.0634
COM,pigs,meat,backyard,Wet by-product from grain industries,0
DJI,pigs,meat,backyard,Beans from soy,0.3558
DJI,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
DJI,pigs,meat,backyard,By-products from cottonseed,9.0836
DJI,pigs,meat,backyard,By-products from soy,0.8894
DJI,pigs,meat,backyard,Crop residue from leguminous plants cultivation,41.9368
DJI,pigs,meat,backyard,Crop residues from sugarcane,123.6122
DJI,pigs,meat,backyard,Dry by-product from grain industries,11.4166
DJI,pigs,meat,backyard,FISHMEAL,0.1423
DJI,pigs,meat,backyard,Fruit from banana trees,0
DJI,pigs,meat,backyard,Grains from barley (Hordeum vulgare),0
DJI,pigs,meat,backyard,Grains from maize (Zea mays),25.9513
DJI,pigs,meat,backyard,Grains from millet,0
DJI,pigs,meat,backyard,Grains from rice,44.6173
DJI,pigs,meat,backyard,Grains from sorghum,5.4791
DJI,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,0.8539
DJI,pigs,meat,backyard,Household food waste and other organic material used as feed,71.155
DJI,pigs,meat,backyard,Leguminous beans,20.0329
DJI,pigs,meat,backyard,Molasses,0
DJI,pigs,meat,backyard,Oil palm kernel expeller,0
DJI,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.1779
DJI,pigs,meat,backyard,Residual plant material such as stems from banana,0
DJI,pigs,meat,backyard,SYNTHETIC,0.0712
DJI,pigs,meat,backyard,Wet by-product from grain industries,0
ERI,pigs,meat,backyard,Beans from soy,0
ERI,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
ERI,pigs,meat,backyard,By-products from cottonseed,7.7926
ERI,pigs,meat,backyard,By-products from soy,0.0954
ERI,pigs,meat,backyard,Crop residue from leguminous plants cultivation,24.2318
ERI,pigs,meat,backyard,Crop residues from sugarcane,139.9496
ERI,pigs,meat,backyard,Dry by-product from grain industries,9.2032
ERI,pigs,meat,backyard,FISHMEAL,0.0763
ERI,pigs,meat,backyard,Fruit from banana trees,3.1122
ERI,pigs,meat,backyard,Grains from barley (Hordeum vulgare),16.578
ERI,pigs,meat,backyard,Grains from maize (Zea mays),13.0787
ERI,pigs,meat,backyard,Grains from millet,7.0327
ERI,pigs,meat,backyard,Grains from rice,47.6845
ERI,pigs,meat,backyard,Grains from sorghum,7.6666
ERI,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,15.4842
ERI,pigs,meat,backyard,Household food waste and other organic material used as feed,76.3421
ERI,pigs,meat,backyard,Leguminous beans,9.8504
ERI,pigs,meat,backyard,Molasses,0.0954
ERI,pigs,meat,backyard,Oil palm kernel expeller,0
ERI,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2863
ERI,pigs,meat,backyard,Residual plant material such as stems from banana,3.1122
ERI,pigs,meat,backyard,SYNTHETIC,0.0382
ERI,pigs,meat,backyard,Wet by-product from grain industries,0
ETH,pigs,meat,backyard,Beans from soy,0
ETH,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",5.9269
ETH,pigs,meat,backyard,By-products from cottonseed,8.2836
ETH,pigs,meat,backyard,By-products from soy,1.4467
ETH,pigs,meat,backyard,Crop residue from leguminous plants cultivation,25.1379
ETH,pigs,meat,backyard,Crop residues from sugarcane,111.1867
ETH,pigs,meat,backyard,Dry by-product from grain industries,20.4388
ETH,pigs,meat,backyard,FISHMEAL,0
ETH,pigs,meat,backyard,Fruit from banana trees,2.6789
ETH,pigs,meat,backyard,Grains from barley (Hordeum vulgare),17.1373
ETH,pigs,meat,backyard,Grains from maize (Zea mays),26.801
ETH,pigs,meat,backyard,Grains from millet,14.8149
ETH,pigs,meat,backyard,Grains from rice,25.9416
ETH,pigs,meat,backyard,Grains from sorghum,19.2202
ETH,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,19.9084
ETH,pigs,meat,backyard,Household food waste and other organic material used as feed,36.1671
ETH,pigs,meat,backyard,Leguminous beans,14.1309
ETH,pigs,meat,backyard,Molasses,0.3617
ETH,pigs,meat,backyard,Oil palm kernel expeller,0
ETH,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,9.2645
ETH,pigs,meat,backyard,Residual plant material such as stems from banana,2.6789
ETH,pigs,meat,backyard,SYNTHETIC,0.1447
ETH,pigs,meat,backyard,Wet by-product from grain industries,0
KEN,pigs,meat,backyard,Beans from soy,11.1837
KEN,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",9.1109000000000009
KEN,pigs,meat,backyard,By-products from cottonseed,4.9348
KEN,pigs,meat,backyard,By-products from soy,11.9253
KEN,pigs,meat,backyard,Crop residue from leguminous plants cultivation,13.337
KEN,pigs,meat,backyard,Crop residues from sugarcane,72.8834
KEN,pigs,meat,backyard,Dry by-product from grain industries,12.9193
KEN,pigs,meat,backyard,FISHMEAL,0.1766
KEN,pigs,meat,backyard,Fruit from banana trees,5.3659
KEN,pigs,meat,backyard,Grains from barley (Hordeum vulgare),25.6983
KEN,pigs,meat,backyard,Grains from maize (Zea mays),13.8542
KEN,pigs,meat,backyard,Grains from millet,5.453
KEN,pigs,meat,backyard,Grains from rice,29.8069
KEN,pigs,meat,backyard,Grains from sorghum,5.8769
KEN,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,20.2588
KEN,pigs,meat,backyard,Household food waste and other organic material used as feed,70.6331
KEN,pigs,meat,backyard,Leguminous beans,4.5104
KEN,pigs,meat,backyard,Molasses,0
KEN,pigs,meat,backyard,Oil palm kernel expeller,0
KEN,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,29.8005
KEN,pigs,meat,backyard,Residual plant material such as stems from banana,5.3659
KEN,pigs,meat,backyard,SYNTHETIC,0.0706
KEN,pigs,meat,backyard,Wet by-product from grain industries,0
MDG,pigs,meat,backyard,Beans from soy,0
MDG,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
MDG,pigs,meat,backyard,By-products from cottonseed,14.8225
MDG,pigs,meat,backyard,By-products from soy,0.0922
MDG,pigs,meat,backyard,Crop residue from leguminous plants cultivation,36.6265
MDG,pigs,meat,backyard,Crop residues from sugarcane,52.3744
MDG,pigs,meat,backyard,Dry by-product from grain industries,44.9619
MDG,pigs,meat,backyard,FISHMEAL,0.0737
MDG,pigs,meat,backyard,Fruit from banana trees,3.0512
MDG,pigs,meat,backyard,Grains from barley (Hordeum vulgare),0
MDG,pigs,meat,backyard,Grains from maize (Zea mays),24.0617
MDG,pigs,meat,backyard,Grains from millet,0.36870000000000003
MDG,pigs,meat,backyard,Grains from rice,49.2355
MDG,pigs,meat,backyard,Grains from sorghum,0.2765
MDG,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,0
MDG,pigs,meat,backyard,Household food waste and other organic material used as feed,73.7448
MDG,pigs,meat,backyard,Leguminous beans,18.2864
MDG,pigs,meat,backyard,Molasses,0.0922
MDG,pigs,meat,backyard,Oil palm kernel expeller,0
MDG,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,47.568
MDG,pigs,meat,backyard,Residual plant material such as stems from banana,3.0512
MDG,pigs,meat,backyard,SYNTHETIC,0.0369
MDG,pigs,meat,backyard,Wet by-product from grain industries,0
MWI,pigs,meat,backyard,Beans from soy,8.653
MWI,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",6.7355
MWI,pigs,meat,backyard,By-products from cottonseed,7.0551
MWI,pigs,meat,backyard,By-products from soy,9.4118
MWI,pigs,meat,backyard,Crop residue from leguminous plants cultivation,14.4867
MWI,pigs,meat,backyard,Crop residues from sugarcane,91.3004
MWI,pigs,meat,backyard,Dry by-product from grain industries,16.3353
MWI,pigs,meat,backyard,FISHMEAL,0.1807
MWI,pigs,meat,backyard,Fruit from banana trees,6.087
MWI,pigs,meat,backyard,Grains from barley (Hordeum vulgare),0
MWI,pigs,meat,backyard,Grains from maize (Zea mays),17.8941
MWI,pigs,meat,backyard,Grains from millet,5.4091
MWI,pigs,meat,backyard,Grains from rice,17.422
MWI,pigs,meat,backyard,Grains from sorghum,5.9679
MWI,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,14.3896
MWI,pigs,meat,backyard,Household food waste and other organic material used as feed,72.265
MWI,pigs,meat,backyard,Leguminous beans,5.7625
MWI,pigs,meat,backyard,Molasses,0
MWI,pigs,meat,backyard,Oil palm kernel expeller,0
MWI,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,55.8098
MWI,pigs,meat,backyard,Residual plant material such as stems from banana,6.087
MWI,pigs,meat,backyard,SYNTHETIC,0.0723
MWI,pigs,meat,backyard,Wet by-product from grain industries,0
MUS,pigs,meat,backyard,Beans from soy,8.9514
MUS,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",6.4447
MUS,pigs,meat,backyard,By-products from cottonseed,9.5567
MUS,pigs,meat,backyard,By-products from soy,9.5567
MUS,pigs,meat,backyard,Crop residue from leguminous plants cultivation,24.9982
MUS,pigs,meat,backyard,Crop residues from sugarcane,95.5999
MUS,pigs,meat,backyard,Dry by-product from grain industries,18.9671
MUS,pigs,meat,backyard,FISHMEAL,0.1063
MUS,pigs,meat,backyard,Fruit from banana trees,4.1102
MUS,pigs,meat,backyard,Grains from barley (Hordeum vulgare),18.8581
MUS,pigs,meat,backyard,Grains from maize (Zea mays),21.7882
MUS,pigs,meat,backyard,Grains from millet,8.8089
MUS,pigs,meat,backyard,Grains from rice,36.1193
MUS,pigs,meat,backyard,Grains from sorghum,9.8885
MUS,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,19.4175
MUS,pigs,meat,backyard,Household food waste and other organic material used as feed,64.4452
MUS,pigs,meat,backyard,Leguminous beans,10.2972
MUS,pigs,meat,backyard,Molasses,0.0907
MUS,pigs,meat,backyard,Oil palm kernel expeller,0
MUS,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,35.6011
MUS,pigs,meat,backyard,Residual plant material such as stems from banana,4.1102
MUS,pigs,meat,backyard,SYNTHETIC,0.0727
MUS,pigs,meat,backyard,Wet by-product from grain industries,0
MYT,pigs,meat,backyard,Beans from soy,7.8096
MYT,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",5.6227
MYT,pigs,meat,backyard,By-products from cottonseed,8.3377
MYT,pigs,meat,backyard,By-products from soy,8.3377
MYT,pigs,meat,backyard,Crop residue from leguminous plants cultivation,21.8097
MYT,pigs,meat,backyard,Crop residues from sugarcane,83.4061
MYT,pigs,meat,backyard,Dry by-product from grain industries,16.5478
MYT,pigs,meat,backyard,FISHMEAL,0.0928
MYT,pigs,meat,backyard,Fruit from banana trees,3.586
MYT,pigs,meat,backyard,Grains from barley (Hordeum vulgare),16.4527
MYT,pigs,meat,backyard,Grains from maize (Zea mays),19.0091
MYT,pigs,meat,backyard,Grains from millet,7.6853
MYT,pigs,meat,backyard,Grains from rice,31.5122
MYT,pigs,meat,backyard,Grains from sorghum,8.6272
MYT,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,16.9408
MYT,pigs,meat,backyard,Household food waste and other organic material used as feed,56.2252
MYT,pigs,meat,backyard,Leguminous beans,8.9838
MYT,pigs,meat,backyard,Molasses,0.0791
MYT,pigs,meat,backyard,Oil palm kernel expeller,0
MYT,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,31.0601
MYT,pigs,meat,backyard,Residual plant material such as stems from banana,3.586
MYT,pigs,meat,backyard,SYNTHETIC,0.0634
MYT,pigs,meat,backyard,Wet by-product from grain industries,0
MOZ,pigs,meat,backyard,Beans from soy,13.577
MOZ,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",4.5551
MOZ,pigs,meat,backyard,By-products from cottonseed,5.4711
MOZ,pigs,meat,backyard,By-products from soy,13.665
MOZ,pigs,meat,backyard,Crop residue from leguminous plants cultivation,13.9569
MOZ,pigs,meat,backyard,Crop residues from sugarcane,74.9107
MOZ,pigs,meat,backyard,Dry by-product from grain industries,10.5422
MOZ,pigs,meat,backyard,FISHMEAL,0.0704
MOZ,pigs,meat,backyard,Fruit from banana trees,2.5608
MOZ,pigs,meat,backyard,Grains from barley (Hordeum vulgare),60.7068
MOZ,pigs,meat,backyard,Grains from maize (Zea mays),12.5747
MOZ,pigs,meat,backyard,Grains from millet,4.9241
MOZ,pigs,meat,backyard,Grains from rice,11.8759
MOZ,pigs,meat,backyard,Grains from sorghum,6.6211
MOZ,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,13.4445
MOZ,pigs,meat,backyard,Household food waste and other organic material used as feed,70.4197
MOZ,pigs,meat,backyard,Leguminous beans,3.9653
MOZ,pigs,meat,backyard,Molasses,0.088
MOZ,pigs,meat,backyard,Oil palm kernel expeller,0
MOZ,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,25.5733
MOZ,pigs,meat,backyard,Residual plant material such as stems from banana,2.5608
MOZ,pigs,meat,backyard,SYNTHETIC,0.0352
MOZ,pigs,meat,backyard,Wet by-product from grain industries,0
REU,pigs,meat,backyard,Beans from soy,8.956
REU,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",6.4481
REU,pigs,meat,backyard,By-products from cottonseed,9.5616
REU,pigs,meat,backyard,By-products from soy,9.5617
REU,pigs,meat,backyard,Crop residue from leguminous plants cultivation,25.0111
REU,pigs,meat,backyard,Crop residues from sugarcane,95.6494
REU,pigs,meat,backyard,Dry by-product from grain industries,18.9769
REU,pigs,meat,backyard,FISHMEAL,0.1064
REU,pigs,meat,backyard,Fruit from banana trees,4.1124
REU,pigs,meat,backyard,Grains from barley (Hordeum vulgare),18.8679
REU,pigs,meat,backyard,Grains from maize (Zea mays),21.7995
REU,pigs,meat,backyard,Grains from millet,8.8134
REU,pigs,meat,backyard,Grains from rice,36.138
