species,isscaap,isscaap_num,global_catch,common_name,Genus,Subfamily,Family,Order,Class,SuperClass
Alosa mediocris,Shads,24,4.46035,NA,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Alosa pseudoharengus,Shads,24,57.76102,NA,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Alosa sapidissima,Shads,24,256.81501000000003,NA,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Ambassidae,Redfishes basses congers,33,1381.60911,NA,NA,NA,NA,NA,NA,NA
Amblyraja georgiana,Sharks rays skates etc,38,0.11008,Amblyraja georgiana,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Amblyraja hyperborea,Sharks rays skates etc,38,0.10221999999999999,NA,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Amblyraja taaf,Sharks rays skates etc,38,24.6649,NA,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Ammodytes personatus,Misc Finfishes,39,128356.58603,NA,Ammodytes,NA,Ammodytidae,Perciformes,Actinopterygii,Osteichthyes
Ammodytidae,Misc Finfishes,39,308435.8496,NA,NA,NA,NA,NA,NA,NA
Anadara,Clams cockles arkshells,56,1070.46482,NA,NA,NA,NA,NA,NA,NA
Anadara granosa,Clams cockles arkshells,56,138005.30489,NA,NA,NA,NA,NA,NA,NA
Anarhichas,Misc Finfishes,39,2789.19374,NA,NA,NA,NA,NA,NA,NA
Anarhichas denticulatus,Misc Finfishes,39,2695.25056,NA,Anarhichas,NA,Anarhichadidae,Perciformes,Actinopterygii,Osteichthyes
Anarhichas lupus,Misc Finfishes,39,34464.92374,NA,Anarhichas,NA,Anarhichadidae,Perciformes,Actinopterygii,Osteichthyes
Anarhichas minor,Misc Finfishes,39,6043.75619,NA,Anarhichas,NA,Anarhichadidae,Perciformes,Actinopterygii,Osteichthyes
Anguilliformes,Misc Finfishes,39,75640.31254,NA,NA,NA,NA,NA,NA,NA
Anodontostoma chacunda,Shads,24,59523.60758,NA,Anodontostoma,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Anoplopoma fimbria,Misc Finfishes,39,19519.63923,NA,Anoplopoma,NA,Anoplopomatidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Anthias anthias,Redfishes basses congers,33,0.71753,NA,Anthias,Anthiinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Antimora rostrata,Cods hakes haddocks,32,148.64337,NA,Antimora,NA,Moridae,Gadiformes,Actinopterygii,Osteichthyes
Aphanopus carbo,Jacks mullets sauries,34,8660.58711,NA,Aphanopus,Aphanopodinae,Trichiuridae,Perciformes,Actinopterygii,Osteichthyes
Aphareus rutilans,Redfishes basses congers,33,492.4455,NA,Aphareus,Etelinae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Apogonidae,Redfishes basses congers,33,1071.68438,NA,NA,NA,NA,NA,NA,NA
Apostichopus japonicus,Seacucumbers Echinoderms starfish nei,76,23199.7137,NA,NA,NA,NA,NA,NA,NA
Aprion virescens,Redfishes basses congers,33,57.75047,NA,Aprion,Etelinae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Arca,Clams cockles arkshells,56,32109.36658,NA,NA,NA,NA,NA,NA,NA
Archosargus probatocephalus,Redfishes basses congers,33,535.5296,NA,Archosargus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Arctica islandica,Clams cockles arkshells,56,140751.8093,NA,NA,NA,NA,NA,NA,NA
Arctoscopus japonicus,Misc Finfishes,39,15549.30245,NA,Arctoscopus,NA,Trichodontidae,Perciformes,Actinopterygii,Osteichthyes
Argentina,Salmons trouts smelts,23,84546.75767,NA,NA,NA,NA,NA,NA,NA
Argentina silus,Salmons trouts smelts,23,5432.75208,NA,Argentina,NA,Argentinidae,Osmeriformes,Actinopterygii,Osteichthyes
Argentina sphyraena,Salmons trouts smelts,23,8572.23488,NA,Argentina,NA,Argentinidae,Osmeriformes,Actinopterygii,Osteichthyes
Argopecten irradians,Scallops pectens,55,5293.1698400000005,NA,NA,NA,NA,NA,NA,NA
Argopecten purpuratus,Scallops pectens,55,10978.46653,NA,NA,NA,NA,NA,NA,NA
Argopecten ventricosus,Scallops pectens,55,1350.4235,NA,NA,NA,NA,NA,NA,NA
Argyrops spinifer,Redfishes basses congers,33,7320.40678,NA,Argyrops,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Argyrosomus hololepidotus,Redfishes basses congers,33,60172.15258,NA,Argyrosomus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Argyrosomus regius,Redfishes basses congers,33,23709.10002,Salmon bass,Argyrosomus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Argyrozona argyrozona,Redfishes basses congers,33,1605.78096,NA,Argyrozona,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Ariidae,Redfishes basses congers,33,462884.62719,NA,NA,NA,NA,NA,NA,NA
Ariomma indica,Redfishes basses congers,33,559.99746,NA,NA,NA,NA,NA,NA,NA
Aristaeomorpha foliacea,Shrimps prawns,45,2903.00452,NA,NA,NA,NA,NA,NA,NA
Aristeidae,Shrimps prawns,45,0.9534,NA,NA,NA,NA,NA,NA,NA
Aristeus antennatus,Shrimps prawns,45,4218.89606,NA,NA,NA,NA,NA,NA,NA
Aristeus varidens,Shrimps prawns,45,3053.52921,NA,NA,NA,NA,NA,NA,NA
Arius thalassinus,Redfishes basses congers,33,1392.89732,NA,NA,NA,NA,NA,NA,NA
Arnoglossus laterna,Flounders halibuts soles,31,182.72034,NA,Arnoglossus,NA,Bothidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Arripis georgianus,Misc Finfishes,39,185.2102,NA,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Australian salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Black-backed salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Buck salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Cocky salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Colonial salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Eastern Australian salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Native salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Salmon,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Arripis trutta,Misc Finfishes,39,3363.56911,Salmon trout,Arripis,NA,Arripidae,Perciformes,Actinopterygii,Osteichthyes
Artemesia longinaris,Shrimps prawns,45,4008.92746,NA,NA,NA,NA,NA,NA,NA
Ascidiacea,Sea-squirts and other tunicates,74,1349.73696,NA,NA,NA,NA,NA,NA,NA
Aspitrigla cuculus,Jacks mullets sauries,34,5570.59086,NA,NA,NA,NA,NA,NA,NA
Asteroidea,Seacucumbers Echinoderms starfish nei,76,8.41138,NA,NA,NA,NA,NA,NA,NA
Atheresthes evermanni,Flounders halibuts soles,31,792.16851,NA,Atheresthes,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Atheresthes stomias,Flounders halibuts soles,31,42990.14353,Turbot,Atheresthes,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Atherina boyeri,Mackerels snoeks cutlassfishes,37,561.67387,NA,Atherina,Atherininae,Atherinidae,Atheriniformes,Actinopterygii,Osteichthyes
Atherina presbyter,Mackerels snoeks cutlassfishes,37,13.80249,NA,Atherina,Atherininae,Atherinidae,Atheriniformes,Actinopterygii,Osteichthyes
Atherinidae,Mackerels snoeks cutlassfishes,37,6588.04469,NA,NA,NA,NA,NA,NA,NA
Atractoscion aequidens,Redfishes basses congers,33,212.9331,Cape salmon,Atractoscion,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Atractoscion nobilis,Redfishes basses congers,33,108.28204,NA,Atractoscion,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Atrobucca nibe,Redfishes basses congers,33,610.24962,NA,Atrobucca,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Atule mate,Mackerels snoeks cutlassfishes,37,2113.3989,NA,Atule,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Aulacomya ater,Mussels,54,47761.72784,NA,NA,NA,NA,NA,NA,NA
Austroglossus microlepis,Flounders halibuts soles,31,20192.49976,NA,Austroglossus,NA,Soleidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Austroglossus pectoralis,Flounders halibuts soles,31,205.66131,NA,Austroglossus,NA,Soleidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Auxis,Tunas bonitos billfishes,36,343607.44438,NA,NA,NA,NA,NA,NA,NA
Auxis rochei rochei,Tunas bonitos billfishes,36,18351.22256,NA,NA,NA,NA,NA,NA,NA
Auxis thazard thazard,Tunas bonitos billfishes,36,44605.86272,NA,NA,NA,NA,NA,NA,NA
Balistes capriscus,Redfishes basses congers,33,1276.26581,Turbot,Balistes,NA,Balistidae,Tetraodontiformes,Actinopterygii,Osteichthyes
Balistidae,Redfishes basses congers,33,19029.03596,NA,NA,NA,NA,NA,NA,NA
Bathylagidae,Salmons trouts smelts,23,6063.01706,NA,NA,NA,NA,NA,NA,NA
Bathyraja,Sharks rays skates etc,38,139.21632,NA,NA,NA,NA,NA,NA,NA
Bathyraja eatonii,Sharks rays skates etc,38,32.62849,NA,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes
Bathyraja irrasa,Sharks rays skates etc,38,9.94233,NA,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes
Bathyraja murrayi,Sharks rays skates etc,38,0.47306,NA,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes
Batrachoididae,Redfishes basses congers,33,326.58542,NA,NA,NA,NA,NA,NA,NA
Belone,Mackerels snoeks cutlassfishes,37,1.44189,NA,NA,NA,NA,NA,NA,NA
Belone belone,Mackerels snoeks cutlassfishes,37,1615.88122,NA,Belone,NA,Belonidae,Beloniformes,Actinopterygii,Osteichthyes
Belonidae,Mackerels snoeks cutlassfishes,37,12290.691209999999,NA,NA,NA,NA,NA,NA,NA
Benthodesmus,Jacks mullets sauries,34,81.25499,NA,NA,NA,NA,NA,NA,NA
Benthosema pterotum,Jacks mullets sauries,34,18335.56268,NA,Benthosema,Myctophinae,Myctophidae,Myctophiformes,Actinopterygii,Osteichthyes
Berycidae,Misc Finfishes,39,151596.01215,NA,NA,NA,NA,NA,NA,NA
Beryx,Misc Finfishes,39,81.14488,NA,NA,NA,NA,NA,NA,NA
Beryx decadactylus,Misc Finfishes,39,6475.26341,Beryx,Beryx,NA,Berycidae,Beryciformes,Actinopterygii,Osteichthyes
Beryx decadactylus,Misc Finfishes,39,6475.26341,Longfinned beryx,Beryx,NA,Berycidae,Beryciformes,Actinopterygii,Osteichthyes
Beryx decadactylus,Misc Finfishes,39,6475.26341,Long-finned beryx,Beryx,NA,Berycidae,Beryciformes,Actinopterygii,Osteichthyes
Beryx splendens,Misc Finfishes,39,427.11759,Beryx,Beryx,NA,Berycidae,Beryciformes,Actinopterygii,Osteichthyes
Beryx splendens,Misc Finfishes,39,427.11759,Lowe's beryx,Beryx,NA,Berycidae,Beryciformes,Actinopterygii,Osteichthyes
Beryx splendens,Misc Finfishes,39,427.11759,Slender beryx,Beryx,NA,Berycidae,Beryciformes,Actinopterygii,Osteichthyes
Bivalvia,Clams cockles arkshells,56,1632.33906,NA,NA,NA,NA,NA,NA,NA
Bolbometopon muricatum,Redfishes basses congers,33,181.42411,NA,Bolbometopon,Scarinae,Scaridae,Perciformes,Actinopterygii,Osteichthyes
Boops boops,Redfishes basses congers,33,29563.40363,NA,Boops,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Boreogadus saida,Cods hakes haddocks,32,17047.30467,NA,Boreogadus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Bothidae,Flounders halibuts soles,31,655.66675,NA,NA,NA,NA,NA,NA,NA
Bothus pantherinus,Flounders halibuts soles,31,93.98,NA,Bothus,NA,Bothidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Brachydeuterus auritus,Redfishes basses congers,33,78875.48041999999,NA,Brachydeuterus,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Brachyura,Sea-spiders crabs,42,707294.23789,NA,NA,NA,NA,NA,NA,NA
Brama brama,Mackerels snoeks cutlassfishes,37,23089.04274,NA,Brama,NA,Bramidae,Perciformes,Actinopterygii,Osteichthyes
Bramidae,Mackerels snoeks cutlassfishes,37,30026.44671,NA,NA,NA,NA,NA,NA,NA
Bregmaceros mcclellandi,Cods hakes haddocks,32,1412.18246,NA,Bregmaceros,NA,Bregmacerotidae,Gadiformes,Actinopterygii,Osteichthyes
Brevoortia aurea,Herrings sardines anchovies,35,1000.20445,NA,Brevoortia,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Brevoortia patronus,Herrings sardines anchovies,35,471230.37959,NA,Brevoortia,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Brevoortia pectinata,Herrings sardines anchovies,35,4683.85514,NA,Brevoortia,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Brevoortia tyrannus,Herrings sardines anchovies,35,208061.454,NA,Brevoortia,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Brosme brosme,Cods hakes haddocks,32,39106.03783,NA,Brosme,NA,Lotidae,Gadiformes,Actinopterygii,Osteichthyes
Brotula barbata,Jacks mullets sauries,34,3744.14606,NA,Brotula,Brotulinae,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes
Buccinidae,Abalones winkles conchs,52,6.55112,NA,NA,NA,NA,NA,NA,NA
Buccinum undatum,Abalones winkles conchs,52,33662.85071,NA,NA,NA,NA,NA,NA,NA
Busycon,Abalones winkles conchs,52,4740.52634,NA,NA,NA,NA,NA,NA,NA
Caesionidae,Misc Finfishes,39,152510.11931,NA,NA,NA,NA,NA,NA,NA
Calamus,Redfishes basses congers,33,297.2555,NA,NA,NA,NA,NA,NA,NA
Calamus bajonado,Redfishes basses congers,33,17.10563,NA,Calamus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Callinectes danae,Sea-spiders crabs,42,2515.99351,NA,NA,NA,NA,NA,NA,NA
Callinectes sapidus,Sea-spiders crabs,42,88077.18822,NA,NA,NA,NA,NA,NA,NA
Callista chione,Clams cockles arkshells,56,7.8953999999999995,NA,NA,NA,NA,NA,NA,NA
Callorhinchus capensis,Sharks rays skates etc,38,3761.81099,NA,Callorhinchus,NA,Callorhinchidae,Chimaeriformes,Holocephali,Chondrichthyes
Callorhinchus milii,Sharks rays skates etc,38,1589.45491,NA,Callorhinchus,NA,Callorhinchidae,Chimaeriformes,Holocephali,Chondrichthyes
Cancer borealis,Sea-spiders crabs,42,8660.84474,NA,NA,NA,NA,NA,NA,NA
Cancer irroratus,Sea-spiders crabs,42,1545.8283099999999,NA,NA,NA,NA,NA,NA,NA
Cancer magister,Sea-spiders crabs,42,34794.94371,NA,NA,NA,NA,NA,NA,NA
Cancer pagurus,Sea-spiders crabs,42,53357.821130000004,NA,NA,NA,NA,NA,NA,NA
Cancer productus,Sea-spiders crabs,42,666.47432,NA,NA,NA,NA,NA,NA,NA
Cantherhines,Misc Finfishes,39,164361.59249,NA,NA,NA,NA,NA,NA,NA
Caproidae,Jacks mullets sauries,34,2794.10242,NA,NA,NA,NA,NA,NA,NA
Capros aper,Jacks mullets sauries,34,97.2217,NA,Capros,NA,Caproidae,Perciformes,Actinopterygii,Osteichthyes
Carangidae,Mackerels snoeks cutlassfishes,37,1128878.2730400001,NA,NA,NA,NA,NA,NA,NA
Carangoides bajad,Mackerels snoeks cutlassfishes,37,7887.6732,NA,Carangoides,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Carangoides fulvoguttatus,Mackerels snoeks cutlassfishes,37,214.27197999999999,NA,Carangoides,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Caranx,Mackerels snoeks cutlassfishes,37,992987.06845,NA,NA,NA,NA,NA,NA,NA
Caranx crysos,Mackerels snoeks cutlassfishes,37,13112.88594,NA,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Caranx hippos,Mackerels snoeks cutlassfishes,37,14782.51743,NA,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Caranx ignobilis,Mackerels snoeks cutlassfishes,37,54857.13197,NA,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Caranx melampygus,Mackerels snoeks cutlassfishes,37,47.61601,NA,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Caranx rhonchus,Mackerels snoeks cutlassfishes,37,16162.7835,NA,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Caranx sexfasciatus,Mackerels snoeks cutlassfishes,37,166.65616,NA,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Carcharhinidae,Sharks rays skates etc,38,72010.89846,NA,NA,NA,NA,NA,NA,NA
Carcharhiniformes,Sharks rays skates etc,38,806.226,NA,NA,NA,NA,NA,NA,NA
Carcharhinus brachyurus,Sharks rays skates etc,38,124.93839,NA,Carcharhinus,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Carcharhinus falciformis,Sharks rays skates etc,38,5998.63937,NA,Carcharhinus,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Carcharhinus limbatus,Sharks rays skates etc,38,177.99471,NA,Carcharhinus,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Carcharhinus longimanus,Sharks rays skates etc,38,66.76643,NA,Carcharhinus,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Carcharhinus plumbeus,Sharks rays skates etc,38,60.37317,NA,Carcharhinus,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Carcharhinus sorrah,Sharks rays skates etc,38,8640.26151,NA,Carcharhinus,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Carcinus aestuarii,Sea-spiders crabs,42,6979.81226,NA,NA,NA,NA,NA,NA,NA
Carcinus maenas,Sea-spiders crabs,42,1133.72721,NA,NA,NA,NA,NA,NA,NA
Cardiidae,Clams cockles arkshells,56,1311.60695,NA,NA,NA,NA,NA,NA,NA
Cardium edule,Clams cockles arkshells,56,21790.12617,NA,NA,NA,NA,NA,NA,NA
Caulolatilus princeps,Jacks mullets sauries,34,2941.14639,NA,Caulolatilus,Latilinae,Malacanthidae,Perciformes,Actinopterygii,Osteichthyes
Centriscops humerosus,Misc Finfishes,39,42.13225,NA,Centriscops,Macroramphosinae,Centriscidae,Syngnathiformes,Actinopterygii,Osteichthyes
Centroberyx affinis,Misc Finfishes,39,61.19206,NA,Centroberyx,NA,Berycidae,Beryciformes,Actinopterygii,Osteichthyes
Centrolophidae,Jacks mullets sauries,34,231.25141,NA,NA,NA,NA,NA,NA,NA
Centrolophus niger,Jacks mullets sauries,34,47.14792,NA,Centrolophus,NA,Centrolophidae,Perciformes,Actinopterygii,Osteichthyes
Centrophorus granulosus,Sharks rays skates etc,38,133.07188,NA,Centrophorus,NA,Centrophoridae,Squaliformes,Elasmobranchii,Chondrichthyes
Centrophorus lusitanicus,Sharks rays skates etc,38,0.10108,NA,Centrophorus,NA,Centrophoridae,Squaliformes,Elasmobranchii,Chondrichthyes
Centrophorus squamosus,Sharks rays skates etc,38,874.17104,NA,Centrophorus,NA,Centrophoridae,Squaliformes,Elasmobranchii,Chondrichthyes
Centropomus,Redfishes basses congers,33,17820.13281,NA,NA,NA,NA,NA,NA,NA
Centropomus undecimalis,Redfishes basses congers,33,2899.92815,NA,Centropomus,NA,Centropomidae,Perciformes,Actinopterygii,Osteichthyes
Centropristis striata,Redfishes basses congers,33,1726.53203,NA,Centropristis,Serraninae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Centroscyllium fabricii,Sharks rays skates etc,38,5.3562,NA,Centroscyllium,NA,Etmopteridae,Squaliformes,Elasmobranchii,Chondrichthyes
Centroscymnus coelolepis,Sharks rays skates etc,38,1293.85846,NA,Centroscymnus,NA,Somniosidae,Squaliformes,Elasmobranchii,Chondrichthyes
Centroselachus crepidater,Sharks rays skates etc,38,105.8462,NA,NA,NA,NA,NA,NA,NA
Cephalopholis argus,Redfishes basses congers,33,64.03213,NA,Cephalopholis,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Cephalopholis boenak,Redfishes basses congers,33,30520.78256,NA,Cephalopholis,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Cephalopholis fulva,Redfishes basses congers,33,167.03394,NA,Cephalopholis,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Cephalopholis hemistiktos,Redfishes basses congers,33,288.14402,NA,Cephalopholis,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Cephalopholis miniata,Redfishes basses congers,33,352.17601,NA,Cephalopholis,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Cephalopoda,Squids cuttlefishes octopuses,57,694457.72598,NA,NA,NA,NA,NA,NA,NA
Cepola macrophthalma,Misc Finfishes,39,685.19969,NA,Cepola,NA,Cepolidae,Perciformes,Actinopterygii,Osteichthyes
Cervimunida johni,Craylets squat lobsters,44,5010.3779,NA,NA,NA,NA,NA,NA,NA
Cetengraulis edentulus,Herrings sardines anchovies,35,5.10892,NA,Cetengraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Cetengraulis mysticetus,Herrings sardines anchovies,35,160078.09776,NA,Cetengraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Cetorhinus maximus,Sharks rays skates etc,38,33.05117,NA,Cetorhinus,NA,Cetorhinidae,Lamniformes,Elasmobranchii,Chondrichthyes
Chaceon affinis,Sea-spiders crabs,42,479.35898,NA,NA,NA,NA,NA,NA,NA
Chaceon quinquedens,Sea-spiders crabs,42,2096.20563,NA,NA,NA,NA,NA,NA,NA
Chaenocephalus aceratus,Jacks mullets sauries,34,0.97839,NA,Chaenocephalus,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Chaenodraco wilsoni,Jacks mullets sauries,34,0.22541,NA,Chaenodraco,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Champsocephalus gunnari,Jacks mullets sauries,34,474.63133,NA,Champsocephalus,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Channichthyidae,Jacks mullets sauries,34,7.27164,NA,NA,NA,NA,NA,NA,NA
Channichthys rhinoceratus,Jacks mullets sauries,34,57.40649,NA,Channichthys,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Charybdis,Sea-spiders crabs,42,41999.35025,NA,NA,NA,NA,NA,NA,NA
Cheilinus undulatus,Redfishes basses congers,33,45901.98425,NA,Cheilinus,Cheilininae,Labridae,Perciformes,Actinopterygii,Osteichthyes
Cheilodactylus variegatus,Misc Finfishes,39,348.39864,NA,Cheilodactylus,NA,Cheilodactylidae,Perciformes,Actinopterygii,Osteichthyes
Cheimerius nufar,Redfishes basses congers,33,381.73533,NA,Cheimerius,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Chelidonichthys capensis,Jacks mullets sauries,34,479.34841,NA,Chelidonichthys,Triglinae,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes
