iso3c,head_count,water_consumption,full_name,gleam_prod_system,gleam_product,gleam_livestock
LBN,3623045.3168081166,303838.6163547341,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CHL,4165640.1006113603,324816.484381253,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PRY,3602674.153824183,328794.65718787216,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
LKA,3195660.2849675715,335301.63001537696,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MYS,3136706.0332589033,336760.22214588034,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CUB,3347640.0918107238,337883.31650396157,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MRT,2931989.755187392,352593.57303362794,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TWN,4057786.3752276427,375697.04619887046,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
JPN,4652365.260874356,382765.63199693017,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
RWA,4740301.817413444,383430.8240081973,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SAU,3967280.922874025,427346.18534357904,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ARG,5206146.750126676,433116.6254023178,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
AZE,5397308.7450471055,445415.09211699455,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
HTI,4620842.528897613,450206.1465697369,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TUN,5480566.02455981,478618.2398111959,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CAF,5200812.227135949,508203.1910404074,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ROU,8418865.845801689,661760.3112853969,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TCD,6092971.335035127,689432.844069317,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
AGO,8025991.897297578,713150.1977649512,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SSD,6580069.070868049,715471.2934624945,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PRK,9677257.90351104,773085.2875043375,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
LBR,8031891.6999422405,816277.2312695201,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NIC,8400086.830938693,829482.0270032476,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GTM,10171323.04157812,902642.6839844828,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
POL,11901114.66425284,919700.2044240482,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
VEN,9095255.058156857,919866.9980736006,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
KHM,8776357.448603075,978593.5733141996,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SLE,9997003.267185792,1047895.4560290416,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
AFG,13044014.018866006,1122187.6465698092,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
IRQ,11010826.948381376,1149174.194000754,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
HND,12045980.402470546,1150608.6207026003,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MDA,15724330.264284905,1233025.9883589395,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
RUS,16165913.489198683,1262155.751626946,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TUR,16633494.204369802,1358879.339345212,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MWI,15590922.761894625,1376466.0364517176,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PER,17172961.02350622,1446208.8845303594,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
DZA,18208877.7966592,1551544.1501806206,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
COD,17350324.210513998,1622559.2521760836,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MOZ,17102850.648184232,1636634.5968135428,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
USA,19835117.536308516,1637741.9246743277,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ZWE,19352699.99867382,1639921.0890008959,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
COL,17775849.439149175,1678399.1806945323,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ECU,19872733.193236716,1790158.9753490386,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
YEM,18859103.896844327,1831756.4537722524,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MEX,22252620.36740898,1976038.8393258308,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TGO,18757748.6445067,2024117.8009700237,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
DOM,20413585.7679411,2053112.765084597,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MDG,23241325.805960007,2077639.9514796569,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BEN,19408796.36386437,2116573.7212216742,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NER,18812500.51772322,2190363.233947517,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
UZB,27049866.924518827,2314573.817819844,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ZAF,29194981.110691767,2398171.523689399,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GIN,23499926.503845327,2401787.967227329,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ZMB,28298625.149907727,2451467.885696627,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TZA,32998643.284016337,2982690.8686573533,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
UGA,33864271.432029635,3011498.307949902,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
LAO,31008040.75985482,3076576.379218513,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MAR,40100553.31681492,3351297.292203943,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
KEN,38986308.928962104,3379210.158217933,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CMR,35750035.717480704,3541890.144581709,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
EGY,40048891.67549525,3647382.7328185616,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CIV,35919864.1641963,3731731.575130015,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
UKR,48783417.97641227,3806204.9569358155,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SDN,33841044.14640671,3843137.2322793882,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SEN,35926634.38330921,3949691.5804465148,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ETH,56775509.40683329,4737332.898640832,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BFA,42195021.66928102,4805242.876267615,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MLI,42747727.35223251,4840523.594582815,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NPL,52104788.08510363,4847043.53241522,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BOL,59433330.08039483,5134893.9889131375,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
THA,55256907.29389424,6023456.200242692,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
IRN,69974459.75616221,6214862.026233357,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BRA,71266840.426258,6515997.461412837,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GHA,61945810.51273185,6609004.47504269,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PHL,77197260.13018021,8270485.420188785,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NGA,100264245.09213784,10639432.292751255,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
VNM,182937260.94302988,18556799.558264762,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PAK,200870254.36987874,21068527.81766277,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BGD,222520933.7485016,22966703.194494892,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MMR,247427399.82891518,25987770.280558087,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
IND,386250442.6784152,41036299.83156986,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
IDN,414874446.63486147,42877621.55607482,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CHN,811492988.1811795,68958024.14619903,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NA,0,NA,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
