"iso3c","country","origin","cum_pressure_prop_final","cum_pressure_percent_final"
"CUB","Cuba","marine",0.0202568994290307,2.03
"CUW","Curaçao","freshwater",0.000914695955449566,0.09
"CUW","Curaçao","land",0.120530163140396,12.05
"CUW","Curaçao","marine",0.878555140904155,87.86
"CXR","Christmas Island","freshwater",6.43215222592817e-05,0.01
"CXR","Christmas Island","land",0.85820469980721,85.82
"CXR","Christmas Island","marine",0.14173097867053,14.17
"CYM","Cayman Islands","freshwater",0.0179290392250073,1.79
"CYM","Cayman Islands","land",0.222516950467402,22.25
"CYM","Cayman Islands","marine",0.759554010307591,75.96
"CYP","Cyprus","freshwater",0.000504181802414907,0.05
"CYP","Cyprus","land",0.876737511729165,87.67
"CYP","Cyprus","marine",0.12275830646842,12.28
"CZE","Czech Republic","freshwater",0.00064103734002743,0.06
"CZE","Czech Republic","land",0.999358962659973,99.94
"CZE","Czech Republic","marine",0,0
"DEU","Germany","freshwater",0.000692721649550924,0.07
"DEU","Germany","land",0.947451091036355,94.75
"DEU","Germany","marine",0.0518561873140938,5.19
"DJI","Djibouti","freshwater",0.00130262380046589,0.13
"DJI","Djibouti","land",0.703854275621743,70.39
"DJI","Djibouti","marine",0.294843100577791,29.48
"DMA","Dominica","freshwater",0.000896645008115302,0.09
"DMA","Dominica","land",0.844588472452197,84.46
"DMA","Dominica","marine",0.154514882539688,15.45
"DNK","Denmark","freshwater",0.000203510724495,0.02
"DNK","Denmark","land",0.653154750184728,65.32
"DNK","Denmark","marine",0.346641739090777,34.66
"DOM","Dominican Republic","freshwater",0.000197981841133389,0.02
"DOM","Dominican Republic","land",0.977262043240855,97.73
"DOM","Dominican Republic","marine",0.0225399749180118,2.25
"DZA","Algeria","freshwater",0.00095614952964976,0.1
"DZA","Algeria","land",0.981501523710659,98.15
"DZA","Algeria","marine",0.017542326759691,1.75
"ECU","Ecuador","freshwater",0.00123355092431261,0.12
"ECU","Ecuador","land",0.708005991246063,70.8
"ECU","Ecuador","marine",0.290760457829624,29.08
"EGY","Egypt","freshwater",0.000201367255262341,0.02
"EGY","Egypt","land",0.988145433946195,98.81
"EGY","Egypt","marine",0.0116531987985426,1.17
"ERI","Eritrea","freshwater",0.00162393418321931,0.16
"ERI","Eritrea","land",0.871534564191635,87.15
"ERI","Eritrea","marine",0.126841501625145,12.68
"ESH","Western Sahara","freshwater",0.00429386823440518,0.43
"ESH","Western Sahara","land",0.0385681408402915,3.86
"ESH","Western Sahara","marine",0.957137990925303,95.71
"ESP","Spain","freshwater",0.000343237288854527,0.03
"ESP","Spain","land",0.89977918009884,89.98
"ESP","Spain","marine",0.0998775826123054,9.99
"EST","Estonia","freshwater",0.00266245001394989,0.27
"EST","Estonia","land",0.858323861978161,85.83
"EST","Estonia","marine",0.139013688007889,13.9
"ETH","Ethiopia","freshwater",0.000917607341513263,0.09
"ETH","Ethiopia","land",0.999082392658487,99.91
"ETH","Ethiopia","marine",0,0
"FIN","Finland","freshwater",0.00778834863496338,0.78
"FIN","Finland","land",0.901926391730931,90.19
"FIN","Finland","marine",0.0902852596341057,9.03
"FJI","Fiji","freshwater",0.00142517470430312,0.14
"FJI","Fiji","land",0.639009560271844,63.9
"FJI","Fiji","marine",0.359565265023853,35.96
"FLK","Falkland Islands","freshwater",0.000254990106773191,0.03
"FLK","Falkland Islands","land",0.0512065924695487,5.12
"FLK","Falkland Islands","marine",0.948538417423678,94.85
"FRA","France","freshwater",0.000482663311527373,0.05
"FRA","France","land",0.912343643186758,91.23
"FRA","France","marine",0.0871736935017143,8.72
"FRO","Faroe Islands","freshwater",8.1338143940334e-05,0.01
"FRO","Faroe Islands","land",0.00667461943725097,0.67
"FRO","Faroe Islands","marine",0.993244042418809,99.32
"FSM","Micronesia","freshwater",0.000368180307526614,0.04
"FSM","Micronesia","land",0.146432718116729,14.64
"FSM","Micronesia","marine",0.853199101575745,85.32
"GAB","Gabon","freshwater",0.0406444691969772,4.06
"GAB","Gabon","land",0.671657594062409,67.17
"GAB","Gabon","marine",0.287697936740614,28.77
"GBR","United Kingdom","freshwater",0.00034912024161891,0.03
"GBR","United Kingdom","land",0.623366074431956,62.34
"GBR","United Kingdom","marine",0.376284805326425,37.63
"GEO","Georgia","freshwater",0.0025992205750345,0.26
"GEO","Georgia","land",0.966279968341337,96.63
"GEO","Georgia","marine",0.0311208110836283,3.11
"GGY","Guernsey","freshwater",6.622824680723e-05,0.01
"GGY","Guernsey","land",7.70984924425e-06,0
"GGY","Guernsey","marine",0.999926061903949,99.99
"GHA","Ghana","freshwater",0.000654528884148774,0.07
"GHA","Ghana","land",0.961096998503474,96.11
"GHA","Ghana","marine",0.038248472612377,3.82
"GIB","Gibraltar","freshwater",5.68238122987283e-05,0.01
"GIB","Gibraltar","land",0,0
"GIB","Gibraltar","marine",0.999943176187701,99.99
"GIN","Guinea","freshwater",0.00143112594133438,0.14
"GIN","Guinea","land",0.90640221529081,90.64
"GIN","Guinea","marine",0.092166658767856,9.22
"GLP","Guadeloupe","freshwater",0.000427619718940003,0.04
"GLP","Guadeloupe","land",0.987991508458361,98.8
"GLP","Guadeloupe","marine",0.0115808718226992,1.16
"GMB","Gambia","freshwater",0.000875849695449315,0.09
"GMB","Gambia","land",0.689616884018218,68.96
"GMB","Gambia","marine",0.309507266286332,30.95
"GNB","Guinea-Bissau","freshwater",0.00130439029847586,0.13
"GNB","Guinea-Bissau","land",0.555363161748269,55.54
"GNB","Guinea-Bissau","marine",0.443332447953255,44.33
"GNQ","Equatorial Guinea","freshwater",0.00571272057771534,0.57
"GNQ","Equatorial Guinea","land",0.153321059190079,15.33
"GNQ","Equatorial Guinea","marine",0.840966220232206,84.1
"GRC","Greece","freshwater",0.000462486300989452,0.05
"GRC","Greece","land",0.773547030469416,77.35
"GRC","Greece","marine",0.225990483229595,22.6
"GRD","Grenada","freshwater",0.000470776067072713,0.05
"GRD","Grenada","land",0.736454032178397,73.65
"GRD","Grenada","marine",0.26307519175453,26.31
