"","year","region","delivered_for_sale_count","loss_count","stock_dec_31_count","Stock_Jan1_count","supplies_count","salmon_tonnes","salmon_kg","avg_harvest_wgt_kg","mortality_rate"
"38",2014,"Rogaland",12747000,4955000,27712000,26292000,19122000,61436,61436000,4.81964383776575,0.188460368172828
"39",2014,"Sogn og Fjordane",20810000,3695000,29450000,30135000,23820000,97071,97071000,4.66463238827487,0.122614899618384
"40",2014,"Troms",27604171.6297851,3648217.79672001,52585873.461062,46094408.6939875,37766360.9358517,149638,149638000,5.42084732724019,0.0791466448987311
"41",2015,"Finnmark",16902000,7127000,31531000,30680000,24880000,90482,90482000,5.3533309667495,0.232301173402868
"42",2015,"Hordaland",32538000,8970000,54327000,49892000,45944000,164058,164058000,5.04204314954822,0.179788342820492
"43",2015,"Møre og Romsdal",36319000,5261000,21783000,48410000,14952000,171091,171091000,4.71078498857347,0.108675893410452
"44",2015,"Nordland",51358000,9125000,69960000,72830000,57614000,262252,262252000,5.10635149343822,0.125291775367294
"45",2015,"Other Counties",3344000,1098000,7661000,6380000,5723000,16332,16332000,4.88397129186603,0.172100313479624
"46",2015,"Rogaland",16446000,4188000,26761000,28003000,19392000,83055,83055000,5.05016417365925,0.149555404778059
"47",2015,"Sogn og Fjordane",20207000,3104000,30581000,29690000,24201000,100484,100484000,4.9727322215074,0.104546985517009
"48",2015,"Troms",33074000,5271000,56159000,53345000,41159000,163767,163767000,4.95153292616557,0.0988096353922579
"49",2016,"Finnmark",18194000,4980000,34034000,31531000,25677000,92702,92702000,5.09519621853358,0.157939805271003
"50",2016,"Hordaland",38761000,9123000,51383000,54359000,44908000,173790,173790000,4.48363045329068,0.167828694420427
"51",2016,"Møre og Romsdal",18422000,5452000,46129000,21886000,48116000,89363,89363000,4.85088481163826,0.249109019464498
"52",2016,"Nordland",55260000,8683000,74992000,72895000,66040000,249831,249831000,4.52100977198697,0.119116537485424
"53",2016,"Other Counties",3377000,1247000,4799000,6893000,2531000,17588,17588000,5.2081729345573,0.180908167706369
"54",2016,"Rogaland",15382000,4071000,28055000,26761000,20747000,75661,75661000,4.91880119620335,0.15212436007623
"55",2016,"Sogn og Fjordane",20910000,3885000,31003000,30581000,25217000,104647,104647000,5.00463892874223,0.127039665151565
"56",2016,"Troms",35018000,4867000,56425000,55717000,40593000,168813,168813000,4.82074932891656,0.0873521546386202
"57",2017,"Finnmark",18803000,5191000,37910000,34034000,27870000,95585,95585000,5.08349731425836,0.152523946641594
"58",2017,"Hordaland",32435000,13362000,54807000,50621000,49982000,160061,160061000,4.93482349314013,0.263961596965686
"59",2017,"Møre og Romsdal",32952000,6400000,19739000,46026000,13065000,162953,162953000,4.94516266084001,0.139051840264199
"60",2017,"Nordland",54302000,6739000,79258000,75961000,64338000,255601,255601000,4.70702736547457,0.0887165782440989
"61",2017,"Other Counties",3408000,431000,7253000,4799000,6294000,14426,14426000,4.23298122065728,0.0898103771619087
"62",2017,"Rogaland",16324000,4220000,26354000,27589000,19309000,78723,78723000,4.82253124234256,0.152959512849324
"63",2017,"Sogn og Fjordane",20292000,5535000,31093000,31002000,25918000,93529,93529000,4.60915631776069,0.178536868589123
"64",2017,"Troms",43835000,5946000,57159000,56772000,50168000,186851,186851000,4.26259838028972,0.104734728387233
"65",2018,"Finnmark",21742000,4198000,43537000,37910000,31567000,113476,113476000,5.21920706466746,0.110735953574255
"66",2018,"Hordaland",39047000,10698000,54102000,55332000,48514000,172670,172670000,4.42210669193536,0.193342008241162
"67",2018,"Møre og Romsdal",16157000,5526000,51903000,19554000,54031000,78306,78306000,4.84656805099957,0.282602025161092
"68",2018,"Nordland",52587000,7501000,87985000,78434000,69640000,250532,250532000,4.76414322931523,0.0956345462427009
"69",2018,"Other Counties",2801000,566000,6305000,7244000,2428000,13411,13411000,4.78793288111389,0.0781336278299282
"70",2018,"Rogaland",14230000,4702000,28082000,26354000,20660000,64019,64019000,4.4988756148981,0.178416938605145
"71",2018,"Sogn og Fjordane",18491000,5987000,29109000,31092000,22496000,81408,81408000,4.40257422529879,0.192557571079377
"72",2018,"Troms",37730000,5830000,62181000,57626000,48116000,188398,188398000,4.99332096474954,0.101169610939506
"73",2010,"Trøndelag",36610000,10752000,69178000,63338000,53202000,187487,187487000,5.12119639442775,0.16975591272222
"74",2011,"Trøndelag",45194000,12123000,76606000,70801000,63121000,226888,226888000,5.02031243085365,0.171226395107414
"75",2012,"Trøndelag",53018000,7073000,65780000,74945000,50925000,262842,262842000,4.95759930589611,0.0943758756421376
"76",2013,"Trøndelag",45484200.4374131,8079464.64272492,84401247.1965471,63238177.4891217,74662356.3081771,226367,226367000,4.976827070127,0.127762452422269
"77",2014,"Trøndelag",58184282.083893,5864072.149204,61860997.4592911,83990504.075692,41933431.8114285,309043,309043000,5.31145163146305,0.0698182754555124
"78",2015,"Trøndelag",52375000,7607000,81770000,62888000,78862000,251825,251825000,4.80811455847255,0.120961073654751
"79",2016,"Trøndelag",55119000,13652000,58472000,86312000,40930000,261224,261224000,4.73927320887534,0.158170358698675
"80",2017,"Trøndelag",41566000,9748000,89158000,59537000,80935000,188625,188625000,4.53796372034836,0.163730117405983
"81",2018,"Trøndelag",67231000,7839000,58201000,89199000,44072000,319783,319783000,4.75648138507534,0.0878821511451922
