"region","species","variable","units","year","value","gapfilled"
"Rogaland","Other fish species","supplies_count","1000x","2010",422,NA
"Hordaland","Salmon","supplies_count","1000x","2010",36198,NA
"Hordaland","Rainbow trout","supplies_count","1000x","2010",10471,NA
"Hordaland","Other fish species","supplies_count","1000x","2010",97,NA
"Sogn og Fjordane","Salmon","supplies_count","1000x","2010",21757,NA
"Sogn og Fjordane","Rainbow trout","supplies_count","1000x","2010",4240,NA
"Sogn og Fjordane","Other fish species","supplies_count","1000x","2010",582,NA
"Møre og Romsdal","Salmon","supplies_count","1000x","2010",28120,NA
"Møre og Romsdal","Rainbow trout","supplies_count","1000x","2010",2656,NA
"Møre og Romsdal","Other fish species","supplies_count","1000x","2010",1285,NA
"Trøndelag","Salmon","supplies_count","1000x","2010",0,NA
"Trøndelag","Rainbow trout","supplies_count","1000x","2010",0,NA
"Trøndelag","Other fish species","supplies_count","1000x","2010",0,NA
"Sør-Trøndelag","Salmon","supplies_count","1000x","2010",28692,NA
"Sør-Trøndelag","Rainbow trout","supplies_count","1000x","2010",10,NA
"Sør-Trøndelag","Other fish species","supplies_count","1000x","2010",538,NA
"Nord-Trøndelag","Salmon","supplies_count","1000x","2010",24510,NA
"Nord-Trøndelag","Rainbow trout","supplies_count","1000x","2010",0,NA
"Nord-Trøndelag","Other fish species","supplies_count","1000x","2010",0,NA
"Nordland","Salmon","supplies_count","1000x","2010",48815,NA
"Nordland","Rainbow trout","supplies_count","1000x","2010",724,NA
"Nordland","Other fish species","supplies_count","1000x","2010",3484,NA
"Troms","Salmon","supplies_count","1000x","2010",25635,NA
"Troms","Rainbow trout","supplies_count","1000x","2010",1377,NA
"Troms","Other fish species","supplies_count","1000x","2010",826,NA
"Finnmark","Salmon","supplies_count","1000x","2010",17104,NA
"Finnmark","Rainbow trout","supplies_count","1000x","2010",582,NA
"Finnmark","Other fish species","supplies_count","1000x","2010",288,NA
"Other Counties","Salmon","supplies_count","1000x","2010",3279,NA
"Other Counties","Rainbow trout","supplies_count","1000x","2010",159,NA
"Other Counties","Other fish species","supplies_count","1000x","2010",165,NA
"Rogaland","Salmon","delivered_for_sale_count","1000x","2010",13984,NA
"Rogaland","Rainbow trout","delivered_for_sale_count","1000x","2010",6,NA
"Rogaland","Other fish species","delivered_for_sale_count","1000x","2010",224,NA
"Hordaland","Salmon","delivered_for_sale_count","1000x","2010",30259,NA
"Hordaland","Rainbow trout","delivered_for_sale_count","1000x","2010",7087,NA
"Hordaland","Other fish species","delivered_for_sale_count","1000x","2010",329,NA
"Sogn og Fjordane","Salmon","delivered_for_sale_count","1000x","2010",16686,NA
"Sogn og Fjordane","Rainbow trout","delivered_for_sale_count","1000x","2010",2437,NA
"Sogn og Fjordane","Other fish species","delivered_for_sale_count","1000x","2010",656,NA
"Møre og Romsdal","Salmon","delivered_for_sale_count","1000x","2010",22707,NA
"Møre og Romsdal","Rainbow trout","delivered_for_sale_count","1000x","2010",2701,NA
"Møre og Romsdal","Other fish species","delivered_for_sale_count","1000x","2010",1543,NA
"Trøndelag","Salmon","delivered_for_sale_count","1000x","2010",0,NA
"Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2010",0,NA
"Trøndelag","Other fish species","delivered_for_sale_count","1000x","2010",0,NA
"Sør-Trøndelag","Salmon","delivered_for_sale_count","1000x","2010",20277,NA
"Sør-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2010",48,NA
"Sør-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2010",184,NA
"Nord-Trøndelag","Salmon","delivered_for_sale_count","1000x","2010",16333,NA
"Nord-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2010",0,NA
"Nord-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2010",534,NA
"Nordland","Salmon","delivered_for_sale_count","1000x","2010",36005,NA
"Nordland","Rainbow trout","delivered_for_sale_count","1000x","2010",267,NA
"Nordland","Other fish species","delivered_for_sale_count","1000x","2010",4935,NA
"Troms","Salmon","delivered_for_sale_count","1000x","2010",20453,NA
"Troms","Rainbow trout","delivered_for_sale_count","1000x","2010",793,NA
"Troms","Other fish species","delivered_for_sale_count","1000x","2010",345,NA
"Finnmark","Salmon","delivered_for_sale_count","1000x","2010",10176,NA
"Finnmark","Rainbow trout","delivered_for_sale_count","1000x","2010",1607,NA
"Finnmark","Other fish species","delivered_for_sale_count","1000x","2010",370,NA
"Other Counties","Salmon","delivered_for_sale_count","1000x","2010",2474,NA
"Other Counties","Rainbow trout","delivered_for_sale_count","1000x","2010",143,NA
"Other Counties","Other fish species","delivered_for_sale_count","1000x","2010",143,NA
"Rogaland","Salmon","loss_count","1000x","2010",5455,NA
"Rogaland","Rainbow trout","loss_count","1000x","2010",18,NA
"Rogaland","Other fish species","loss_count","1000x","2010",102,NA
"Hordaland","Salmon","loss_count","1000x","2010",6794,NA
"Hordaland","Rainbow trout","loss_count","1000x","2010",2218,NA
"Hordaland","Other fish species","loss_count","1000x","2010",106,NA
"Sogn og Fjordane","Salmon","loss_count","1000x","2010",1734,NA
"Sogn og Fjordane","Rainbow trout","loss_count","1000x","2010",426,NA
"Sogn og Fjordane","Other fish species","loss_count","1000x","2010",281,NA
"Møre og Romsdal","Salmon","loss_count","1000x","2010",4618,NA
"Møre og Romsdal","Rainbow trout","loss_count","1000x","2010",141,NA
"Møre og Romsdal","Other fish species","loss_count","1000x","2010",1183,NA
"Trøndelag","Salmon","loss_count","1000x","2010",0,NA
"Trøndelag","Rainbow trout","loss_count","1000x","2010",0,NA
"Trøndelag","Other fish species","loss_count","1000x","2010",0,NA
"Sør-Trøndelag","Salmon","loss_count","1000x","2010",7307,NA
"Sør-Trøndelag","Rainbow trout","loss_count","1000x","2010",8,NA
"Sør-Trøndelag","Other fish species","loss_count","1000x","2010",60,NA
"Nord-Trøndelag","Salmon","loss_count","1000x","2010",3445,NA
"Nord-Trøndelag","Rainbow trout","loss_count","1000x","2010",0,NA
"Nord-Trøndelag","Other fish species","loss_count","1000x","2010",10,NA
"Nordland","Salmon","loss_count","1000x","2010",6904,NA
"Nordland","Rainbow trout","loss_count","1000x","2010",50,NA
"Nordland","Other fish species","loss_count","1000x","2010",2000,NA
"Troms","Salmon","loss_count","1000x","2010",5861,NA
"Troms","Rainbow trout","loss_count","1000x","2010",103,NA
"Troms","Other fish species","loss_count","1000x","2010",182,NA
"Finnmark","Salmon","loss_count","1000x","2010",4153,NA
"Finnmark","Rainbow trout","loss_count","1000x","2010",270,NA
"Finnmark","Other fish species","loss_count","1000x","2010",155,NA
"Other Counties","Salmon","loss_count","1000x","2010",580,NA
"Other Counties","Rainbow trout","loss_count","1000x","2010",17,NA
"Other Counties","Other fish species","loss_count","1000x","2010",17,NA
"Rogaland","Salmon","stock_dec_31_count","1000x","2010",28705,NA
"Rogaland","Rainbow trout","stock_dec_31_count","1000x","2010",43,NA
"Rogaland","Other fish species","stock_dec_31_count","1000x","2010",1073,NA
"Hordaland","Salmon","stock_dec_31_count","1000x","2010",48131,NA
"Hordaland","Rainbow trout","stock_dec_31_count","1000x","2010",11643,NA
"Hordaland","Other fish species","stock_dec_31_count","1000x","2010",112,NA
"Sogn og Fjordane","Salmon","stock_dec_31_count","1000x","2010",29725,NA
"Sogn og Fjordane","Rainbow trout","stock_dec_31_count","1000x","2010",4894,NA
"Sogn og Fjordane","Other fish species","stock_dec_31_count","1000x","2010",1453,NA
"Møre og Romsdal","Salmon","stock_dec_31_count","1000x","2010",36609,NA
"Møre og Romsdal","Rainbow trout","stock_dec_31_count","1000x","2010",3185,NA
"Møre og Romsdal","Other fish species","stock_dec_31_count","1000x","2010",2971,NA
"Trøndelag","Salmon","stock_dec_31_count","1000x","2010",0,NA
"Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2010",0,NA
"Trøndelag","Other fish species","stock_dec_31_count","1000x","2010",0,NA
"Sør-Trøndelag","Salmon","stock_dec_31_count","1000x","2010",40732,NA
"Sør-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2010",29,NA
"Sør-Trøndelag","Other fish species","stock_dec_31_count","1000x","2010",1015,NA
"Nord-Trøndelag","Salmon","stock_dec_31_count","1000x","2010",28446,NA
"Nord-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2010",0,NA
"Nord-Trøndelag","Other fish species","stock_dec_31_count","1000x","2010",1046,NA
"Nordland","Salmon","stock_dec_31_count","1000x","2010",61559,NA
"Nordland","Rainbow trout","stock_dec_31_count","1000x","2010",1225,NA
"Nordland","Other fish species","stock_dec_31_count","1000x","2010",6005,NA
"Troms","Salmon","stock_dec_31_count","1000x","2010",35376,NA
"Troms","Rainbow trout","stock_dec_31_count","1000x","2010",1296,NA
"Troms","Other fish species","stock_dec_31_count","1000x","2010",749,NA
"Finnmark","Salmon","stock_dec_31_count","1000x","2010",22507,NA
"Finnmark","Rainbow trout","stock_dec_31_count","1000x","2010",743,NA
"Finnmark","Other fish species","stock_dec_31_count","1000x","2010",294,NA
"Other Counties","Salmon","stock_dec_31_count","1000x","2010",5365,NA
"Other Counties","Rainbow trout","stock_dec_31_count","1000x","2010",22,NA
"Other Counties","Other fish species","stock_dec_31_count","1000x","2010",309,NA
"Rogaland","Salmon","tonnes_fish","tonnes","2010",64336,NA
"Rogaland","Rainbow trout","tonnes_fish","tonnes","2010",32,NA
"Rogaland","Char","tonnes_fish","tonnes","2010",0,NA
"Rogaland","Cod","tonnes_fish","tonnes","2010",50,NA
"Rogaland","Halibut","tonnes_fish","tonnes","2010",0,"gapfilled"
"Rogaland","Shellfish","tonnes_fish","tonnes","2010",52,NA
"Rogaland","Other fish species","tonnes_fish","tonnes","2010",0,"gapfilled"
"Hordaland","Salmon","tonnes_fish","tonnes","2010",136972,NA
"Hordaland","Rainbow trout","tonnes_fish","tonnes","2010",26407,NA
"Hordaland","Char","tonnes_fish","tonnes","2010",0,NA
"Hordaland","Cod","tonnes_fish","tonnes","2010",888,NA
"Hordaland","Halibut","tonnes_fish","tonnes","2010",0,NA
"Hordaland","Shellfish","tonnes_fish","tonnes","2010",31,NA
"Hordaland","Other fish species","tonnes_fish","tonnes","2010",0,NA
"Sogn og Fjordane","Salmon","tonnes_fish","tonnes","2010",78220,NA
"Sogn og Fjordane","Rainbow trout","tonnes_fish","tonnes","2010",8856,NA
"Sogn og Fjordane","Char","tonnes_fish","tonnes","2010",0,NA
"Sogn og Fjordane","Cod","tonnes_fish","tonnes","2010",1435,NA
"Sogn og Fjordane","Halibut","tonnes_fish","tonnes","2010",0,"gapfilled"
"Sogn og Fjordane","Shellfish","tonnes_fish","tonnes","2010",66,NA
"Sogn og Fjordane","Other fish species","tonnes_fish","tonnes","2010",0,"gapfilled"
"Møre og Romsdal","Salmon","tonnes_fish","tonnes","2010",111683,NA
"Møre og Romsdal","Rainbow trout","tonnes_fish","tonnes","2010",8719,NA
"Møre og Romsdal","Char","tonnes_fish","tonnes","2010",0,NA
"Møre og Romsdal","Cod","tonnes_fish","tonnes","2010",3249,NA
"Møre og Romsdal","Halibut","tonnes_fish","tonnes","2010",351,NA
"Møre og Romsdal","Shellfish","tonnes_fish","tonnes","2010",9,NA
"Møre og Romsdal","Other fish species","tonnes_fish","tonnes","2010",0,NA
"Trøndelag","Salmon","tonnes_fish","tonnes","2010",0,NA
"Trøndelag","Rainbow trout","tonnes_fish","tonnes","2010",0,NA
"Trøndelag","Char","tonnes_fish","tonnes","2010",0,NA
"Trøndelag","Cod","tonnes_fish","tonnes","2010",0,NA
"Trøndelag","Halibut","tonnes_fish","tonnes","2010",0,NA
"Trøndelag","Shellfish","tonnes_fish","tonnes","2010",0,NA
"Trøndelag","Other fish species","tonnes_fish","tonnes","2010",0,NA
"Sør-Trøndelag","Salmon","tonnes_fish","tonnes","2010",107325,NA
"Sør-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2010",175,NA
"Sør-Trøndelag","Char","tonnes_fish","tonnes","2010",0,"gapfilled"
"Sør-Trøndelag","Cod","tonnes_fish","tonnes","2010",0,"gapfilled"
"Sør-Trøndelag","Halibut","tonnes_fish","tonnes","2010",0,NA
"Sør-Trøndelag","Shellfish","tonnes_fish","tonnes","2010",522,NA
"Sør-Trøndelag","Other fish species","tonnes_fish","tonnes","2010",0,NA
"Nord-Trøndelag","Salmon","tonnes_fish","tonnes","2010",80162,NA
"Nord-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2010",0,NA
"Nord-Trøndelag","Char","tonnes_fish","tonnes","2010",0,NA
"Nord-Trøndelag","Cod","tonnes_fish","tonnes","2010",0,"gapfilled"
"Nord-Trøndelag","Halibut","tonnes_fish","tonnes","2010",0,"gapfilled"
"Nord-Trøndelag","Shellfish","tonnes_fish","tonnes","2010",608,NA
"Nord-Trøndelag","Other fish species","tonnes_fish","tonnes","2010",0,NA
"Nordland","Salmon","tonnes_fish","tonnes","2010",191316,NA
"Nordland","Rainbow trout","tonnes_fish","tonnes","2010",1622,NA
"Nordland","Char","tonnes_fish","tonnes","2010",373,NA
"Nordland","Cod","tonnes_fish","tonnes","2010",11789,NA
"Nordland","Halibut","tonnes_fish","tonnes","2010",0,"gapfilled"
"Nordland","Shellfish","tonnes_fish","tonnes","2010",587,NA
"Nordland","Other fish species","tonnes_fish","tonnes","2010",0,"gapfilled"
"Troms","Salmon","tonnes_fish","tonnes","2010",106679,NA
"Troms","Rainbow trout","tonnes_fish","tonnes","2010",2884,NA
"Troms","Char","tonnes_fish","tonnes","2010",0,"gapfilled"
"Troms","Cod","tonnes_fish","tonnes","2010",971,NA
"Troms","Halibut","tonnes_fish","tonnes","2010",0,NA
"Troms","Shellfish","tonnes_fish","tonnes","2010",0,"gapfilled"
"Troms","Other fish species","tonnes_fish","tonnes","2010",0,NA
"Finnmark","Salmon","tonnes_fish","tonnes","2010",51249,NA
"Finnmark","Rainbow trout","tonnes_fish","tonnes","2010",5900,NA
"Finnmark","Char","tonnes_fish","tonnes","2010",0,"gapfilled"
"Finnmark","Cod","tonnes_fish","tonnes","2010",766,NA
"Finnmark","Halibut","tonnes_fish","tonnes","2010",0,NA
"Finnmark","Shellfish","tonnes_fish","tonnes","2010",0,"gapfilled"
"Finnmark","Other fish species","tonnes_fish","tonnes","2010",0,NA
"Other Counties","Salmon","tonnes_fish","tonnes","2010",11596,NA
"Other Counties","Rainbow trout","tonnes_fish","tonnes","2010",80,NA
"Other Counties","Char","tonnes_fish","tonnes","2010",0,NA
"Other Counties","Cod","tonnes_fish","tonnes","2010",0,NA
"Other Counties","Halibut","tonnes_fish","tonnes","2010",0,NA
"Other Counties","Shellfish","tonnes_fish","tonnes","2010",78,NA
"Other Counties","Other fish species","tonnes_fish","tonnes","2010",256,NA
"Rogaland","Salmon","Stock_Jan1_count","1000x","2011",28705,NA
"Rogaland","Rainbow trout","Stock_Jan1_count","1000x","2011",43,NA
"Rogaland","Other fish species","Stock_Jan1_count","1000x","2011",1074,NA
"Hordaland","Salmon","Stock_Jan1_count","1000x","2011",48402,NA
"Hordaland","Rainbow trout","Stock_Jan1_count","1000x","2011",11465,NA
"Hordaland","Other fish species","Stock_Jan1_count","1000x","2011",508,NA
"Sogn og Fjordane","Salmon","Stock_Jan1_count","1000x","2011",29355,NA
"Sogn og Fjordane","Rainbow trout","Stock_Jan1_count","1000x","2011",4710,NA
"Sogn og Fjordane","Other fish species","Stock_Jan1_count","1000x","2011",1006,NA
"Møre og Romsdal","Salmon","Stock_Jan1_count","1000x","2011",36347,NA
"Møre og Romsdal","Rainbow trout","Stock_Jan1_count","1000x","2011",3390,NA
"Møre og Romsdal","Other fish species","Stock_Jan1_count","1000x","2011",2994,NA
"Trøndelag","Salmon","Stock_Jan1_count","1000x","2011",0,NA
"Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2011",0,NA
"Trøndelag","Other fish species","Stock_Jan1_count","1000x","2011",0,NA
"Sør-Trøndelag","Salmon","Stock_Jan1_count","1000x","2011",40271,NA
"Sør-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2011",27,NA
"Sør-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2011",1015,"gapfilled"
"Nord-Trøndelag","Salmon","Stock_Jan1_count","1000x","2011",30530,NA
"Nord-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2011",0,NA
"Nord-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2011",1136,NA
"Nordland","Salmon","Stock_Jan1_count","1000x","2011",59616,NA
"Nordland","Rainbow trout","Stock_Jan1_count","1000x","2011",1225,NA
"Nordland","Other fish species","Stock_Jan1_count","1000x","2011",6087,NA
"Troms","Salmon","Stock_Jan1_count","1000x","2011",35197,NA
"Troms","Rainbow trout","Stock_Jan1_count","1000x","2011",1296,NA
"Troms","Other fish species","Stock_Jan1_count","1000x","2011",632,NA
"Finnmark","Salmon","Stock_Jan1_count","1000x","2011",22507,NA
"Finnmark","Rainbow trout","Stock_Jan1_count","1000x","2011",743,NA
"Finnmark","Other fish species","Stock_Jan1_count","1000x","2011",359,"gapfilled"
"Other Counties","Salmon","Stock_Jan1_count","1000x","2011",5493,NA
"Other Counties","Rainbow trout","Stock_Jan1_count","1000x","2011",24,NA
"Other Counties","Other fish species","Stock_Jan1_count","1000x","2011",939,NA
"Rogaland","Salmon","supplies_count","1000x","2011",18038,NA
"Rogaland","Rainbow trout","supplies_count","1000x","2011",14,NA
"Rogaland","Other fish species","supplies_count","1000x","2011",356,NA
"Hordaland","Salmon","supplies_count","1000x","2011",47220,NA
"Hordaland","Rainbow trout","supplies_count","1000x","2011",10605,NA
"Hordaland","Other fish species","supplies_count","1000x","2011",1949,NA
"Sogn og Fjordane","Salmon","supplies_count","1000x","2011",21626,NA
"Sogn og Fjordane","Rainbow trout","supplies_count","1000x","2011",4429,NA
"Sogn og Fjordane","Other fish species","supplies_count","1000x","2011",1544,NA
"Møre og Romsdal","Salmon","supplies_count","1000x","2011",25442,NA
"Møre og Romsdal","Rainbow trout","supplies_count","1000x","2011",3035,NA
"Møre og Romsdal","Other fish species","supplies_count","1000x","2011",1030,NA
"Trøndelag","Salmon","supplies_count","1000x","2011",0,NA
"Trøndelag","Rainbow trout","supplies_count","1000x","2011",0,NA
"Trøndelag","Other fish species","supplies_count","1000x","2011",0,NA
"Sør-Trøndelag","Salmon","supplies_count","1000x","2011",44034,NA
"Sør-Trøndelag","Rainbow trout","supplies_count","1000x","2011",0,NA
"Sør-Trøndelag","Other fish species","supplies_count","1000x","2011",300,"gapfilled"
"Nord-Trøndelag","Salmon","supplies_count","1000x","2011",19087,NA
"Nord-Trøndelag","Rainbow trout","supplies_count","1000x","2011",0,NA
"Nord-Trøndelag","Other fish species","supplies_count","1000x","2011",4,NA
"Nordland","Salmon","supplies_count","1000x","2011",48800,NA
"Nordland","Rainbow trout","supplies_count","1000x","2011",920,NA
"Nordland","Other fish species","supplies_count","1000x","2011",1710,NA
"Troms","Salmon","supplies_count","1000x","2011",30812,NA
"Troms","Rainbow trout","supplies_count","1000x","2011",998,NA
"Troms","Other fish species","supplies_count","1000x","2011",105,NA
"Finnmark","Salmon","supplies_count","1000x","2011",22039,NA
"Finnmark","Rainbow trout","supplies_count","1000x","2011",1096,NA
"Finnmark","Other fish species","supplies_count","1000x","2011",160,"gapfilled"
"Other Counties","Salmon","supplies_count","1000x","2011",4122,NA
"Other Counties","Rainbow trout","supplies_count","1000x","2011",201,NA
"Other Counties","Other fish species","supplies_count","1000x","2011",766,NA
"Rogaland","Salmon","delivered_for_sale_count","1000x","2011",14987,NA
"Rogaland","Rainbow trout","delivered_for_sale_count","1000x","2011",29,NA
"Rogaland","Other fish species","delivered_for_sale_count","1000x","2011",224,NA
"Hordaland","Salmon","delivered_for_sale_count","1000x","2011",31970,NA
"Hordaland","Rainbow trout","delivered_for_sale_count","1000x","2011",8322,NA
"Hordaland","Other fish species","delivered_for_sale_count","1000x","2011",18,NA
"Sogn og Fjordane","Salmon","delivered_for_sale_count","1000x","2011",17466,NA
"Sogn og Fjordane","Rainbow trout","delivered_for_sale_count","1000x","2011",2999,NA
"Sogn og Fjordane","Other fish species","delivered_for_sale_count","1000x","2011",670,NA
"Møre og Romsdal","Salmon","delivered_for_sale_count","1000x","2011",23499,NA
"Møre og Romsdal","Rainbow trout","delivered_for_sale_count","1000x","2011",2871,NA
"Møre og Romsdal","Other fish species","delivered_for_sale_count","1000x","2011",1212,NA
"Trøndelag","Salmon","delivered_for_sale_count","1000x","2011",0,NA
"Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2011",0,NA
"Trøndelag","Other fish species","delivered_for_sale_count","1000x","2011",0,NA
"Sør-Trøndelag","Salmon","delivered_for_sale_count","1000x","2011",29494,NA
"Sør-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2011",18,NA
"Sør-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2011",149,"gapfilled"
"Nord-Trøndelag","Salmon","delivered_for_sale_count","1000x","2011",15700,NA
"Nord-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2011",0,NA
"Nord-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2011",795,NA
"Nordland","Salmon","delivered_for_sale_count","1000x","2011",33272,NA
"Nordland","Rainbow trout","delivered_for_sale_count","1000x","2011",545,NA
"Nordland","Other fish species","delivered_for_sale_count","1000x","2011",3142,NA
"Troms","Salmon","delivered_for_sale_count","1000x","2011",20399,NA
"Troms","Rainbow trout","delivered_for_sale_count","1000x","2011",388,NA
"Troms","Other fish species","delivered_for_sale_count","1000x","2011",289,NA
"Finnmark","Salmon","delivered_for_sale_count","1000x","2011",10600,NA
"Finnmark","Rainbow trout","delivered_for_sale_count","1000x","2011",188,NA
"Finnmark","Other fish species","delivered_for_sale_count","1000x","2011",142,"gapfilled"
"Other Counties","Salmon","delivered_for_sale_count","1000x","2011",3154,NA
"Other Counties","Rainbow trout","delivered_for_sale_count","1000x","2011",183,NA
"Other Counties","Other fish species","delivered_for_sale_count","1000x","2011",266,NA
"Rogaland","Salmon","loss_count","1000x","2011",5041,NA
"Rogaland","Rainbow trout","loss_count","1000x","2011",6,NA
"Rogaland","Other fish species","loss_count","1000x","2011",119,NA
"Hordaland","Salmon","loss_count","1000x","2011",5423,NA
"Hordaland","Rainbow trout","loss_count","1000x","2011",1511,NA
"Hordaland","Other fish species","loss_count","1000x","2011",1357,NA
"Sogn og Fjordane","Salmon","loss_count","1000x","2011",2693,NA
"Sogn og Fjordane","Rainbow trout","loss_count","1000x","2011",364,NA
"Sogn og Fjordane","Other fish species","loss_count","1000x","2011",434,NA
"Møre og Romsdal","Salmon","loss_count","1000x","2011",6804,NA
"Møre og Romsdal","Rainbow trout","loss_count","1000x","2011",222,NA
"Møre og Romsdal","Other fish species","loss_count","1000x","2011",769,NA
"Trøndelag","Salmon","loss_count","1000x","2011",0,NA
"Trøndelag","Rainbow trout","loss_count","1000x","2011",0,NA
"Trøndelag","Other fish species","loss_count","1000x","2011",0,NA
"Sør-Trøndelag","Salmon","loss_count","1000x","2011",7501,NA
"Sør-Trøndelag","Rainbow trout","loss_count","1000x","2011",5,NA
"Sør-Trøndelag","Other fish species","loss_count","1000x","2011",816,"gapfilled"
"Nord-Trøndelag","Salmon","loss_count","1000x","2011",4622,NA
"Nord-Trøndelag","Rainbow trout","loss_count","1000x","2011",0,NA
"Nord-Trøndelag","Other fish species","loss_count","1000x","2011",345,NA
"Nordland","Salmon","loss_count","1000x","2011",9011,NA
"Nordland","Rainbow trout","loss_count","1000x","2011",184,NA
"Nordland","Other fish species","loss_count","1000x","2011",1318,NA
"Troms","Salmon","loss_count","1000x","2011",4979,NA
"Troms","Rainbow trout","loss_count","1000x","2011",111,NA
"Troms","Other fish species","loss_count","1000x","2011",85,NA
"Finnmark","Salmon","loss_count","1000x","2011",4251,NA
"Finnmark","Rainbow trout","loss_count","1000x","2011",143,NA
"Finnmark","Other fish species","loss_count","1000x","2011",1,"gapfilled"
"Other Counties","Salmon","loss_count","1000x","2011",646,NA
"Other Counties","Rainbow trout","loss_count","1000x","2011",17,NA
"Other Counties","Other fish species","loss_count","1000x","2011",340,NA
"Rogaland","Salmon","stock_dec_31_count","1000x","2011",26715,NA
"Rogaland","Rainbow trout","stock_dec_31_count","1000x","2011",22,NA
"Rogaland","Other fish species","stock_dec_31_count","1000x","2011",1087,NA
"Hordaland","Salmon","stock_dec_31_count","1000x","2011",58229,NA
"Hordaland","Rainbow trout","stock_dec_31_count","1000x","2011",12237,NA
"Hordaland","Other fish species","stock_dec_31_count","1000x","2011",1082,NA
"Sogn og Fjordane","Salmon","stock_dec_31_count","1000x","2011",30822,NA
"Sogn og Fjordane","Rainbow trout","stock_dec_31_count","1000x","2011",5777,NA
"Sogn og Fjordane","Other fish species","stock_dec_31_count","1000x","2011",1447,NA
"Møre og Romsdal","Salmon","stock_dec_31_count","1000x","2011",31485,NA
"Møre og Romsdal","Rainbow trout","stock_dec_31_count","1000x","2011",3332,NA
"Møre og Romsdal","Other fish species","stock_dec_31_count","1000x","2011",2043,NA
"Trøndelag","Salmon","stock_dec_31_count","1000x","2011",0,NA
