ISO3,ID_0,Country,developed,fraction_burned
FLK,75,Falkland Islands,yes,0.1
FRO,76,Faroe Islands,yes,0.1
FJI,77,Fiji,yes,0.1
FIN,78,Finland,yes,0.1
FRA,79,France,yes,0.1
GUF,80,French Guiana,yes,0.1
PYF,81,French Polynesia,yes,0.1
GAB,83,Gabon,yes,0.1
GMB,84,Gambia,no,0.25
GEO,85,Georgia,no,0.25
DEU,86,Germany,yes,0.1
GHA,87,Ghana,no,0.25
GIB,88,Gibraltar,yes,0.1
GRC,89,Greece,yes,0.1
GRL,90,Greenland,yes,0.1
GRD,91,Grenada,yes,0.1
GLP,92,Guadeloupe,yes,0.1
GUM,93,Guam,yes,0.1
GTM,94,Guatemala,no,0.25
GGY,95,Guernsey,yes,0.1
GNB,97,Guinea-Bissau,no,0.25
GIN,96,Guinea,no,0.25
GUY,98,Guyana,yes,0.1
HTI,99,Haiti,no,0.25
HND,101,Honduras,no,0.25
HKG,102,Hong Kong,yes,0.1
HUN,103,Hungary,yes,0.1
ISL,104,Iceland,yes,0.1
IND,105,India,no,0.25
IDN,106,Indonesia,no,0.25
IRN,107,Iran,yes,0.1
IRQ,108,Iraq,yes,0.1
IRL,109,Ireland,yes,0.1
IMN,110,Isle of Man,yes,0.1
ISR,111,Israel,yes,0.1
ITA,112,Italy,yes,0.1
JAM,113,Jamaica,yes,0.1
JPN,114,Japan,yes,0.1
JEY,115,Jersey,yes,0.1
JOR,116,Jordan,no,0.25
KAZ,117,Kazakhstan,yes,0.1
KEN,118,Kenya,no,0.25
KIR,119,Kiribati,no,0.25
XKO,120,Kosovo,yes,0.1
KWT,121,Kuwait,yes,0.1
KGZ,122,Kyrgyzstan,no,0.25
LAO,123,Laos,no,0.25
LVA,124,Latvia,yes,0.1
LBN,125,Lebanon,yes,0.1
LSO,126,Lesotho,no,0.25
LBR,127,Liberia,no,0.25
LBY,128,Libya,yes,0.1
LIE,129,Liechtenstein,yes,0.1
LTU,130,Lithuania,yes,0.1
LUX,131,Luxembourg,yes,0.1
MAC,132,Macao,yes,0.1
MKD,133,Macedonia,yes,0.1
MDG,134,Madagascar,no,0.25
MWI,135,Malawi,no,0.25
MYS,136,Malaysia,yes,0.1
MDV,137,Maldives,yes,0.1
MLI,138,Mali,no,0.25
MLT,139,Malta,yes,0.1
MHL,140,Marshall Islands,yes,0.1
MTQ,141,Martinique,yes,0.1
MRT,142,Mauritania,no,0.25
MUS,143,Mauritius,yes,0.1
MYT,144,Mayotte,yes,0.1
MEX,145,Mexico,yes,0.1
FSM,146,Micronesia,no,0.25
MDA,147,Moldova,no,0.25
MCO,148,Monaco,yes,0.1
MNG,149,Mongolia,no,0.25
MNE,150,Montenegro,yes,0.1
MSR,151,Montserrat,yes,0.1
MAR,152,Morocco,no,0.25
MOZ,153,Mozambique,no,0.25
MMR,154,Myanmar,no,0.25
NAM,155,Namibia,yes,0.1
NRU,156,Nauru,yes,0.1
NPL,157,Nepal,no,0.25
NLD,158,Netherlands,yes,0.1
NCL,159,New Caledonia,yes,0.1
NZL,160,New Zealand,yes,0.1
NIC,161,Nicaragua,no,0.25
NER,162,Niger,no,0.25
NGA,163,Nigeria,no,0.25
NIU,164,Niue,yes,0.1
NFK,165,Norfolk Island,yes,0.1
PRK,166,North Korea,no,0.25
MNP,168,Northern Mariana Islands,yes,0.1
NOR,169,Norway,yes,0.1
OMN,170,Oman,yes,0.1
PAK,171,Pakistan,no,0.25
PLW,172,Palau,yes,0.1
PSE,173,Palestina,no,0.25
PAN,174,Panama,yes,0.1
PNG,175,Papua New Guinea,no,0.25
PRY,177,Paraguay,yes,0.1
PER,178,Peru,yes,0.1
PHL,179,Philippines,no,0.25
PCN,180,Pitcairn Islands,yes,0.1
POL,181,Poland,yes,0.1
PRT,182,Portugal,yes,0.1
XMI,300,Madeira Island,yes,0.1
PRI,183,Puerto Rico,yes,0.1
QAT,184,Qatar,yes,0.1
COG,185,Republic of Congo,no,0.25
REU,186,Reunion,yes,0.1
ROU,187,Romania,yes,0.1
RUS,188,Russia,yes,0.1
RWA,189,Rwanda,no,0.25
BLM,190,Saint-Barthélemy,yes,0.1
MAF,191,Saint-Martin,yes,0.1
SHN,192,Saint Helena,yes,0.1
KNA,193,Saint Kitts and Nevis,yes,0.1
LCA,194,Saint Lucia,yes,0.1
SPM,195,Saint Pierre and Miquelon,yes,0.1
VCT,196,Saint Vincent and the Grenadines,yes,0.1
WSM,197,Samoa,yes,0.1
SMR,198,San Marino,yes,0.1
STP,199,São Tomé and Príncipe,no,0.25
SAU,200,Saudi Arabia,yes,0.1
SEN,201,Senegal,no,0.25
SRB,202,Serbia,yes,0.1
SYC,203,Seychelles,yes,0.1
SLE,204,Sierra Leone,no,0.25
SGP,205,Singapore,yes,0.1
SXM,206,Sint Maarten,yes,0.1
SVK,207,Slovakia,yes,0.1
SVN,208,Slovenia,yes,0.1
SLB,209,Solomon Islands,no,0.25
SOM,210,Somalia,no,0.25
ZAF,211,South Africa,yes,0.1
KOR,213,South Korea,yes,0.1
SSD,214,South Sudan,no,0.25
ESP,215,Spain,yes,0.1
LKA,217,Sri Lanka,no,0.25
SDN,218,Sudan,no,0.25
SUR,219,Suriname,yes,0.1
SJM,220,Svalbard and Jan Mayen,yes,0.1
SWZ,221,Swaziland,no,0.25
SWE,222,Sweden,yes,0.1
CHE,223,Switzerland,yes,0.1
SYR,224,Syria,no,0.25
TWN,225,Taiwan,yes,0.1
TJK,226,Tajikistan,no,0.25
TZA,227,Tanzania,no,0.25
THA,228,Thailand,yes,0.1
TLS,229,Timor-Leste,no,0.25
TGO,230,Togo,no,0.25
TKL,231,Tokelau,yes,0.1
TON,232,Tonga,yes,0.1
TTO,233,Trinidad and Tobago,yes,0.1
TUN,234,Tunisia,no,0.25
TUR,235,Turkey,yes,0.1
TKM,236,Turkmenistan,yes,0.1
TCA,237,Turks and Caicos Islands,yes,0.1
TUV,238,Tuvalu,yes,0.1
UGA,239,Uganda,no,0.25
UKR,240,Ukraine,no,0.25
ARE,241,United Arab Emirates,yes,0.1
GBR,242,United Kingdom,yes,0.1
USA,243,United States,yes,0.1
URY,245,Uruguay,yes,0.1
UZB,246,Uzbekistan,no,0.25
VUT,247,Vanuatu,no,0.25
VEN,249,Venezuela,yes,0.1
VNM,250,Vietnam,no,0.25
VIR,251,"Virgin Islands, U.S.",yes,0.1
WLF,252,Wallis and Futuna,yes,0.1
ESH,253,Western Sahara,yes,0.1
YEM,254,Yemen,no,0.25
ZMB,255,Zambia,no,0.25
ZWE,256,Zimbabwe,no,0.25
