iso3c,nutrient,nutrient_CO2eq
AUT,N,5.62
BEL,N,5.62
FRA,N,5.62
DEU,N,5.62
LIE,N,5.62
LUX,N,5.62
MCO,N,5.62
NLD,N,5.62
CHE,N,5.62
BLR,N,6.87
BGR,N,6.87
CZE,N,6.87
HUN,N,6.87
POL,N,6.87
MDA,N,6.87
ROU,N,6.87
RUS,N,6.87
SVK,N,6.87
UKR,N,6.87
BLZ,N,3.53
CRI,N,3.53
SLV,N,3.53
GTM,N,3.53
HND,N,3.53
MEX,N,3.53
NIC,N,3.53
PAN,N,3.53
ARG,N,3.53
BOL,N,3.53
BRA,N,3.53
CHL,N,3.53
COL,N,3.53
ECU,N,3.53
FLK,N,3.53
GUF,N,3.53
GUY,N,3.53
PRY,N,3.53
PER,N,3.53
SUR,N,3.53
URY,N,3.53
VEN,N,3.53
KAZ,N,4
KGZ,N,4
TJK,N,4
TKM,N,4
UZB,N,4
CHN,N,4
HKG,N,4
MAC,N,4
PRK,N,4
JPN,N,4
MNG,N,4
KOR,N,4
BRN,N,4
KHM,N,4
IDN,N,4
LAO,N,4
MYS,N,4
MMR,N,4
PHL,N,4
SGP,N,4
THA,N,4
TLS,N,4
VNM,N,4
AFG,N,4
BGD,N,4
BTN,N,4
IND,N,4
IRN,N,4
MDV,N,4
NPL,N,4
PAK,N,4
LKA,N,4
ARM,N,4
AZE,N,4
BHR,N,4
CYP,N,4
GEO,N,4
IRQ,N,4
ISR,N,4
JOR,N,4
KWT,N,4
LBN,N,4
OMN,N,4
QAT,N,4
SAU,N,4
PSE,N,4
SYR,N,4
TUR,N,4
ARE,N,4
YEM,N,4
TWN,N,4
AUS,N,6.92
NZL,N,3.06
DZA,P2O5,1.36
EGY,P2O5,1.36
LBY,P2O5,1.36
MAR,P2O5,1.36
SDN,P2O5,1.36
TUN,P2O5,1.36
ESH,P2O5,1.36
IOT,P2O5,1.36
BDI,P2O5,1.36
COM,P2O5,1.36
DJI,P2O5,1.36
ERI,P2O5,1.36
ETH,P2O5,1.36
KEN,P2O5,1.36
MDG,P2O5,1.36
MWI,P2O5,1.36
MUS,P2O5,1.36
MYT,P2O5,1.36
MOZ,P2O5,1.36
REU,P2O5,1.36
RWA,P2O5,1.36
SYC,P2O5,1.36
SOM,P2O5,1.36
SSD,P2O5,1.36
UGA,P2O5,1.36
TZA,P2O5,1.36
ZMB,P2O5,1.36
ZWE,P2O5,1.36
AGO,P2O5,1.36
CMR,P2O5,1.36
CAF,P2O5,1.36
TCD,P2O5,1.36
COG,P2O5,1.36
COD,P2O5,1.36
GNQ,P2O5,1.36
GAB,P2O5,1.36
STP,P2O5,1.36
BWA,P2O5,1.36
SWZ,P2O5,1.36
LSO,P2O5,1.36
"NAM",P2O5,1.36
ZAF,P2O5,1.36
BEN,P2O5,1.36
BFA,P2O5,1.36
CPV,P2O5,1.36
CIV,P2O5,1.36
GMB,P2O5,1.36
GHA,P2O5,1.36
GIN,P2O5,1.36
GNB,P2O5,1.36
LBR,P2O5,1.36
MLI,P2O5,1.36
MRT,P2O5,1.36
NER,P2O5,1.36
NGA,P2O5,1.36
SHN,P2O5,1.36
SEN,P2O5,1.36
SLE,P2O5,1.36
TGO,P2O5,1.36
AIA,P2O5,1.36
ATG,P2O5,1.36
ABW,P2O5,1.36
BHS,P2O5,1.36
BRB,P2O5,1.36
BES,P2O5,1.36
VGB,P2O5,1.36
CYM,P2O5,1.36
CUB,P2O5,1.36
CUW,P2O5,1.36
DMA,P2O5,1.36
DOM,P2O5,1.36
GRD,P2O5,1.36
GLP,P2O5,1.36
HTI,P2O5,1.36
JAM,P2O5,1.36
MTQ,P2O5,1.36
MSR,P2O5,1.36
PRI,P2O5,1.36
BLM,P2O5,1.36
KNA,P2O5,1.36
LCA,P2O5,1.36
MAF,P2O5,1.36
VCT,P2O5,1.36
SXM,P2O5,1.36
TTO,P2O5,1.36
TCA,P2O5,1.36
VIR,P2O5,1.36
BMU,P2O5,1.36
CAN,P2O5,1.36
GRL,P2O5,1.36
SPM,P2O5,1.36
USA,P2O5,1.36
ALA,P2O5,1.36
GGY,P2O5,1.36
JEY,P2O5,1.36
DNK,P2O5,1.36
EST,P2O5,1.36
FRO,P2O5,1.36
FIN,P2O5,1.36
ISL,P2O5,1.36
IRL,P2O5,1.36
IMN,P2O5,1.36
LVA,P2O5,1.36
LTU,P2O5,1.36
NOR,P2O5,1.36
SJM,P2O5,1.36
SWE,P2O5,1.36
GBR,P2O5,1.36
ALB,P2O5,1.36
AND,P2O5,1.36
BIH,P2O5,1.36
HRV,P2O5,1.36
GIB,P2O5,1.36
GRC,P2O5,1.36
ITA,P2O5,1.36
MLT,P2O5,1.36
MNE,P2O5,1.36
MKD,P2O5,1.36
PRT,P2O5,1.36
SMR,P2O5,1.36
XKO,P2O5,1.36
SRB,P2O5,1.36
SVN,P2O5,1.36
ESP,P2O5,1.36
CXR,P2O5,1.36
CCK,P2O5,1.36
NFK,P2O5,1.36
FJI,P2O5,1.36
NCL,P2O5,1.36
PNG,P2O5,1.36
SLB,P2O5,1.36
VUT,P2O5,1.36
GUM,P2O5,1.36
KIR,P2O5,1.36
MHL,P2O5,1.36
FSM,P2O5,1.36
NRU,P2O5,1.36
MNP,P2O5,1.36
PLW,P2O5,1.36
ASM,P2O5,1.36
COK,P2O5,1.36
PYF,P2O5,1.36
NIU,P2O5,1.36
PCN,P2O5,1.36
WSM,P2O5,1.36
TKL,P2O5,1.36
TON,P2O5,1.36
TUV,P2O5,1.36
WLF,P2O5,1.36
XMI,P2O5,1.36
AUT,P2O5,1.47
BEL,P2O5,1.47
FRA,P2O5,1.47
DEU,P2O5,1.47
LIE,P2O5,1.47
LUX,P2O5,1.47
MCO,P2O5,1.47
NLD,P2O5,1.47
CHE,P2O5,1.47
BLR,P2O5,1.57
BGR,P2O5,1.57
CZE,P2O5,1.57
HUN,P2O5,1.57
POL,P2O5,1.57
MDA,P2O5,1.57
ROU,P2O5,1.57
RUS,P2O5,1.57
SVK,P2O5,1.57
UKR,P2O5,1.57
BLZ,P2O5,0.54
CRI,P2O5,0.54
SLV,P2O5,0.54
GTM,P2O5,0.54
HND,P2O5,0.54
MEX,P2O5,0.54
NIC,P2O5,0.54
PAN,P2O5,0.54
ARG,P2O5,0.54
BOL,P2O5,0.54
BRA,P2O5,0.54
CHL,P2O5,0.54
COL,P2O5,0.54
ECU,P2O5,0.54
FLK,P2O5,0.54
GUF,P2O5,0.54
GUY,P2O5,0.54
PRY,P2O5,0.54
PER,P2O5,0.54
SUR,P2O5,0.54
URY,P2O5,0.54
VEN,P2O5,0.54
KAZ,P2O5,1.29
KGZ,P2O5,1.29
TJK,P2O5,1.29
TKM,P2O5,1.29
UZB,P2O5,1.29
CHN,P2O5,1.29
HKG,P2O5,1.29
MAC,P2O5,1.29
PRK,P2O5,1.29
JPN,P2O5,1.29
MNG,P2O5,1.29
KOR,P2O5,1.29
BRN,P2O5,1.29
KHM,P2O5,1.29
IDN,P2O5,1.29
LAO,P2O5,1.29
MYS,P2O5,1.29
MMR,P2O5,1.29
PHL,P2O5,1.29
SGP,P2O5,1.29
THA,P2O5,1.29
TLS,P2O5,1.29
VNM,P2O5,1.29
AFG,P2O5,1.29
BGD,P2O5,1.29
BTN,P2O5,1.29
IND,P2O5,1.29
IRN,P2O5,1.29
MDV,P2O5,1.29
NPL,P2O5,1.29
PAK,P2O5,1.29
LKA,P2O5,1.29
ARM,P2O5,1.29
AZE,P2O5,1.29
BHR,P2O5,1.29
CYP,P2O5,1.29
GEO,P2O5,1.29
IRQ,P2O5,1.29
ISR,P2O5,1.29
JOR,P2O5,1.29
KWT,P2O5,1.29
LBN,P2O5,1.29
OMN,P2O5,1.29
QAT,P2O5,1.29
SAU,P2O5,1.29
PSE,P2O5,1.29
SYR,P2O5,1.29
TUR,P2O5,1.29
ARE,P2O5,1.29
YEM,P2O5,1.29
TWN,P2O5,1.29
AUS,P2O5,1.66
NZL,P2O5,1.14
DZA,K2O,1.36
EGY,K2O,1.36
LBY,K2O,1.36
MAR,K2O,1.36
SDN,K2O,1.36
TUN,K2O,1.36
ESH,K2O,1.36
IOT,K2O,1.36
BDI,K2O,1.36
COM,K2O,1.36
DJI,K2O,1.36
ERI,K2O,1.36
ETH,K2O,1.36
KEN,K2O,1.36
MDG,K2O,1.36
MWI,K2O,1.36
MUS,K2O,1.36
MYT,K2O,1.36
MOZ,K2O,1.36
REU,K2O,1.36
RWA,K2O,1.36
SYC,K2O,1.36
SOM,K2O,1.36
SSD,K2O,1.36
UGA,K2O,1.36
TZA,K2O,1.36
ZMB,K2O,1.36
ZWE,K2O,1.36
AGO,K2O,1.36
CMR,K2O,1.36
CAF,K2O,1.36
TCD,K2O,1.36
COG,K2O,1.36
COD,K2O,1.36
GNQ,K2O,1.36
GAB,K2O,1.36
STP,K2O,1.36
BWA,K2O,1.36
SWZ,K2O,1.36
LSO,K2O,1.36
"NAM",K2O,1.36
ZAF,K2O,1.36
BEN,K2O,1.36
BFA,K2O,1.36
CPV,K2O,1.36
CIV,K2O,1.36
GMB,K2O,1.36
GHA,K2O,1.36
GIN,K2O,1.36
GNB,K2O,1.36
LBR,K2O,1.36
MLI,K2O,1.36
MRT,K2O,1.36
NER,K2O,1.36
NGA,K2O,1.36
SHN,K2O,1.36
SEN,K2O,1.36
SLE,K2O,1.36
TGO,K2O,1.36
AIA,K2O,1.36
ATG,K2O,1.36
ABW,K2O,1.36
BHS,K2O,1.36
BRB,K2O,1.36
BES,K2O,1.36
VGB,K2O,1.36
CYM,K2O,1.36
CUB,K2O,1.36
CUW,K2O,1.36
DMA,K2O,1.36
DOM,K2O,1.36
GRD,K2O,1.36
GLP,K2O,1.36
HTI,K2O,1.36
JAM,K2O,1.36
MTQ,K2O,1.36
MSR,K2O,1.36
PRI,K2O,1.36
BLM,K2O,1.36
KNA,K2O,1.36
LCA,K2O,1.36
MAF,K2O,1.36
VCT,K2O,1.36
SXM,K2O,1.36
TTO,K2O,1.36
TCA,K2O,1.36
VIR,K2O,1.36
BMU,K2O,1.36
CAN,K2O,1.36
GRL,K2O,1.36
SPM,K2O,1.36
USA,K2O,1.36
ALA,K2O,1.36
GGY,K2O,1.36
JEY,K2O,1.36
DNK,K2O,1.36
EST,K2O,1.36
FRO,K2O,1.36
FIN,K2O,1.36
ISL,K2O,1.36
IRL,K2O,1.36
IMN,K2O,1.36
LVA,K2O,1.36
LTU,K2O,1.36
NOR,K2O,1.36
SJM,K2O,1.36
SWE,K2O,1.36
GBR,K2O,1.36
ALB,K2O,1.36
AND,K2O,1.36
BIH,K2O,1.36
HRV,K2O,1.36
GIB,K2O,1.36
GRC,K2O,1.36
ITA,K2O,1.36
MLT,K2O,1.36
MNE,K2O,1.36
MKD,K2O,1.36
PRT,K2O,1.36
SMR,K2O,1.36
XKO,K2O,1.36
SRB,K2O,1.36
SVN,K2O,1.36
ESP,K2O,1.36
CXR,K2O,1.36
CCK,K2O,1.36
NFK,K2O,1.36
FJI,K2O,1.36
NCL,K2O,1.36
PNG,K2O,1.36
SLB,K2O,1.36
VUT,K2O,1.36
GUM,K2O,1.36
KIR,K2O,1.36
MHL,K2O,1.36
FSM,K2O,1.36
NRU,K2O,1.36
MNP,K2O,1.36
PLW,K2O,1.36
ASM,K2O,1.36
COK,K2O,1.36
PYF,K2O,1.36
NIU,K2O,1.36
PCN,K2O,1.36
WSM,K2O,1.36
TKL,K2O,1.36
TON,K2O,1.36
TUV,K2O,1.36
WLF,K2O,1.36
XMI,K2O,1.36
AUT,K2O,1.45
BEL,K2O,1.45
FRA,K2O,1.45
DEU,K2O,1.45
LIE,K2O,1.45
LUX,K2O,1.45
MCO,K2O,1.45
NLD,K2O,1.45
CHE,K2O,1.45
BLR,K2O,0.61
BGR,K2O,0.61
CZE,K2O,0.61
HUN,K2O,0.61
POL,K2O,0.61
MDA,K2O,0.61
ROU,K2O,0.61
RUS,K2O,0.61
SVK,K2O,0.61
UKR,K2O,0.61
BLZ,K2O,1.02
CRI,K2O,1.02
SLV,K2O,1.02
GTM,K2O,1.02
HND,K2O,1.02
MEX,K2O,1.02
NIC,K2O,1.02
PAN,K2O,1.02
ARG,K2O,1.02
BOL,K2O,1.02
BRA,K2O,1.02
CHL,K2O,1.02
COL,K2O,1.02
ECU,K2O,1.02
FLK,K2O,1.02
GUF,K2O,1.02
GUY,K2O,1.02
PRY,K2O,1.02
PER,K2O,1.02
SUR,K2O,1.02
URY,K2O,1.02
VEN,K2O,1.02
KAZ,K2O,1.47
KGZ,K2O,1.47
TJK,K2O,1.47
TKM,K2O,1.47
UZB,K2O,1.47
CHN,K2O,1.47
HKG,K2O,1.47
MAC,K2O,1.47
PRK,K2O,1.47
JPN,K2O,1.47
MNG,K2O,1.47
KOR,K2O,1.47
BRN,K2O,1.47
KHM,K2O,1.47
IDN,K2O,1.47
LAO,K2O,1.47
MYS,K2O,1.47
MMR,K2O,1.47
PHL,K2O,1.47
SGP,K2O,1.47
THA,K2O,1.47
TLS,K2O,1.47
VNM,K2O,1.47
AFG,K2O,1.47
BGD,K2O,1.47
BTN,K2O,1.47
IND,K2O,1.47
IRN,K2O,1.47
MDV,K2O,1.47
NPL,K2O,1.47
PAK,K2O,1.47
LKA,K2O,1.47
ARM,K2O,1.47
AZE,K2O,1.47
BHR,K2O,1.47
CYP,K2O,1.47
GEO,K2O,1.47
IRQ,K2O,1.47
ISR,K2O,1.47
JOR,K2O,1.47
KWT,K2O,1.47
LBN,K2O,1.47
OMN,K2O,1.47
QAT,K2O,1.47
SAU,K2O,1.47
PSE,K2O,1.47
SYR,K2O,1.47
TUR,K2O,1.47
ARE,K2O,1.47
YEM,K2O,1.47
TWN,K2O,1.47
AUS,K2O,1.63
NZL,K2O,0.74
DZA,lime,0.074
EGY,lime,0.074
LBY,lime,0.074
MAR,lime,0.074
SDN,lime,0.074
TUN,lime,0.074
ESH,lime,0.074
IOT,lime,0.074
BDI,lime,0.074
COM,lime,0.074
DJI,lime,0.074
ERI,lime,0.074
ETH,lime,0.074
KEN,lime,0.074
MDG,lime,0.074
MWI,lime,0.074
MUS,lime,0.074
MYT,lime,0.074
MOZ,lime,0.074
REU,lime,0.074
RWA,lime,0.074
SYC,lime,0.074
SOM,lime,0.074
SSD,lime,0.074
UGA,lime,0.074
TZA,lime,0.074
ZMB,lime,0.074
ZWE,lime,0.074
AGO,lime,0.074
CMR,lime,0.074
CAF,lime,0.074
TCD,lime,0.074
COG,lime,0.074
COD,lime,0.074
GNQ,lime,0.074
GAB,lime,0.074
STP,lime,0.074
BWA,lime,0.074
SWZ,lime,0.074
LSO,lime,0.074
"NAM",lime,0.074
ZAF,lime,0.074
BEN,lime,0.074
BFA,lime,0.074
CPV,lime,0.074
CIV,lime,0.074
GMB,lime,0.074
GHA,lime,0.074
GIN,lime,0.074
GNB,lime,0.074
LBR,lime,0.074
MLI,lime,0.074
MRT,lime,0.074
NER,lime,0.074
NGA,lime,0.074
SHN,lime,0.074
SEN,lime,0.074
SLE,lime,0.074
TGO,lime,0.074
AIA,lime,0.074
ATG,lime,0.074
ABW,lime,0.074
BHS,lime,0.074
BRB,lime,0.074
BES,lime,0.074
VGB,lime,0.074
CYM,lime,0.074
CUB,lime,0.074
CUW,lime,0.074
DMA,lime,0.074
DOM,lime,0.074
GRD,lime,0.074
GLP,lime,0.074
HTI,lime,0.074
JAM,lime,0.074
MTQ,lime,0.074
MSR,lime,0.074
PRI,lime,0.074
BLM,lime,0.074
KNA,lime,0.074
LCA,lime,0.074
MAF,lime,0.074
VCT,lime,0.074
SXM,lime,0.074
TTO,lime,0.074
TCA,lime,0.074
VIR,lime,0.074
BMU,lime,0.074
CAN,lime,0.074
GRL,lime,0.074
SPM,lime,0.074
USA,lime,0.074
ALA,lime,0.074
GGY,lime,0.074
JEY,lime,0.074
DNK,lime,0.074
EST,lime,0.074
FRO,lime,0.074
FIN,lime,0.074
ISL,lime,0.074
IRL,lime,0.074
IMN,lime,0.074
LVA,lime,0.074
LTU,lime,0.074
NOR,lime,0.074
SJM,lime,0.074
SWE,lime,0.074
GBR,lime,0.074
ALB,lime,0.074
AND,lime,0.074
BIH,lime,0.074
HRV,lime,0.074
GIB,lime,0.074
GRC,lime,0.074
ITA,lime,0.074
MLT,lime,0.074
MNE,lime,0.074
MKD,lime,0.074
PRT,lime,0.074
SMR,lime,0.074
XKO,lime,0.074
SRB,lime,0.074
SVN,lime,0.074
ESP,lime,0.074
CXR,lime,0.074
CCK,lime,0.074
NFK,lime,0.074
FJI,lime,0.074
NCL,lime,0.074
PNG,lime,0.074
SLB,lime,0.074
VUT,lime,0.074
GUM,lime,0.074
KIR,lime,0.074
MHL,lime,0.074
FSM,lime,0.074
NRU,lime,0.074
MNP,lime,0.074
PLW,lime,0.074
ASM,lime,0.074
COK,lime,0.074
PYF,lime,0.074
NIU,lime,0.074
PCN,lime,0.074
WSM,lime,0.074
TKL,lime,0.074
TON,lime,0.074
TUV,lime,0.074
WLF,lime,0.074
XMI,lime,0.074
